POA_CODE_2016,POA_NAME_2016,SSC_CODE_2016,SSC_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
2176,2176,10002,Abbotsbury,40,1
2046,2046,10003,Abbotsford (NSW),73,1
2763,2763,10014,Acacia Gardens,36,1
2015,2015,10030,Alexandria,117,1
2234,2234,10031,Alfords Point,40,1
2100,2100,10036,Allambie Heights,81,1
2218,2218,10038,Allawah,76,1
2038,2038,10061,Annandale (NSW),133,1
2156,2156,10062,Annangrove,11,1
2159,2159,10072,Arcadia (NSW),16,1
2205,2205,10086,Arncliffe,107,1
2148,2148,10087,Arndell Park,13,1
2064,2064,10090,Artarmon,144,1
2193,2193,10093,Ashbury,34,1
2168,2168,10097,Ashcroft,37,1
2131,2131,10098,Ashfield (NSW),289,1
2077,2077,10103,Asquith,45,1
2144,2144,10106,Auburn (NSW),350,1
2179,2179,10109,Austral,27,0.9642857142857143
2107,2107,10111,Avalon Beach,130,1
2093,2093,10153,Balgowlah,97,1
2093,2093,10154,Balgowlah Heights,43,1
2041,2041,10164,Balmain,147,1
2041,2041,10165,Balmain East,34,1
2234,2234,10177,Bangor (NSW),79,1
2216,2216,10178,Banksia,52,0.9811320754716981
2019,2019,10179,Banksmeadow,16,1
2200,2200,10180,Bankstown,387,1
2200,2200,10181,Bankstown Aerodrome,10,1
2083,2083,10188,Bar Point,8,1
2000,2000,10191,Barangaroo,2,1
2234,2234,10193,Barden Ridge,52,1
2207,2207,10195,Bardwell Park,39,1
2207,2207,10196,Bardwell Valley,29,1
2197,2197,10224,Bass Hill,103,1
2153,2153,10233,Baulkham Hills,383,1
2104,2104,10237,Bayview (NSW),47,1
2100,2100,10238,Beacon Hill,80,1
2015,2015,10239,Beaconsfield (NSW),15,1
2155,2155,10243,Beaumont Hills,85,1
2119,2119,10249,Beecroft,100,1
2191,2191,10257,Belfield,64,1
2153,2153,10263,Bella Vista,74,1
2023,2023,10271,Bellevue Hill,139,1
2192,2192,10279,Belmore,151,1
2085,2085,10283,Belrose,107,1
2141,2141,10299,Berala,82,1
2765,2765,10305,Berkshire Park,20,1
2081,2081,10308,Berowra,50,1
2082,2082,10309,Berowra Creek,7,1
2082,2082,10310,Berowra Heights,52,1
2082,2082,10311,Berowra Waters,2,1
2159,2159,10319,Berrilee,6,1
2217,2217,10330,Beverley Park,28,1
2209,2209,10331,Beverly Hills,120,1
2207,2207,10334,Bexley,229,1
2207,2207,10335,Bexley North,66,1
2770,2770,10340,Bidwill (NSW),46,1
2107,2107,10350,Bilgola Beach,10,1
2107,2107,10351,Bilgola Plateau,35,1
2041,2041,10374,Birchgrove,47,1
2143,2143,10379,Birrong,36,1
2770,2770,10392,Blackett,39,1
2148,2148,10397,Blacktown,490,1
2221,2221,10403,Blakehurst,80,1
2026,2026,10464,Bondi,145,1
2026,2026,10465,Bondi Beach,175,1
2022,2022,10467,Bondi Junction,127,1
2226,2226,10469,Bonnet Bay,38,1
2177,2177,10471,Bonnyrigg,96,1
2177,2177,10472,Bonnyrigg Heights,81,1
2176,2176,10515,Bossley Park,157,1
2019,2019,10517,Botany,110,1
2765,2765,10539,Box Hill (NSW),11,1
2137,2137,10557,Breakfast Point,30,1
2216,2216,10569,Brighton-le-Sands,129,1
2024,2024,10594,Bronte,98,0.98989898989899
2083,2083,10599,Brooklyn (NSW),21,1
2100,2100,10601,Brookvale,88,1
2230,2230,10672,Bundeena,28,1
2767,2767,10682,Bungarribee,22,1
2230,2230,10705,Burraneer,50,1
2134,2134,10718,Burwood (NSW),176,1
2136,2136,10719,Burwood Heights,12,1
2168,2168,10720,Busby,37,1
2137,2137,10736,Cabarita (NSW),24,1
2166,2166,10740,Cabramatta,220,1
2166,2166,10741,Cabramatta West,80,1
2747,2747,10743,Caddens,2,1
2747,2747,10767,Cambridge Gardens,27,1
2747,2747,10768,Cambridge Park,77,1
2142,2142,10774,Camellia,2,1
2062,2062,10778,Cammeray,116,1
2050,2050,10781,Camperdown (NSW),96,0.9696969696969697
2194,2194,10782,Campsie,253,1
2046,2046,10785,Canada Bay,15,1
2166,2166,10791,Canley Heights,132,1
2166,2166,10792,Canley Vale,122,1
2157,2157,10794,Canoelands,4,1
2193,2193,10797,Canterbury (NSW),92,1
2229,2229,10815,Caringbah,147,1
2229,2229,10816,Caringbah South,126,1
2118,2118,10818,Carlingford,242,0.9958847736625515
2218,2218,10819,Carlton (NSW),135,1
2171,2171,10820,Carnes Hill,23,1
2163,2163,10826,Carramar (NSW),47,1
2221,2221,10837,Carss Park,21,1
2168,2168,10838,Cartwright,31,1
2069,2069,10845,Castle Cove,55,1
2154,2154,10847,Castle Hill (NSW),408,1
2068,2068,10849,Castlecrag,49,1
2749,2749,10850,Castlereagh,27,1
2170,2170,10852,Casula,164,1
2171,2171,10865,Cecil Hills,77,1
2178,2178,10866,Cecil Park,13,1
2021,2021,10873,Centennial Park (NSW),40,1
2067,2067,10892,Chatswood,281,1
2067,2067,10893,Chatswood West,27,1
2083,2083,10895,Cheero Point,2,1
2119,2119,10896,Cheltenham (NSW),31,0.96875
2126,2126,10898,Cherrybrook,185,1
2162,2162,10899,Chester Hill,133,1
2036,2036,10901,Chifley (NSW),31,1
2008,2008,10907,Chippendale,59,1
2170,2170,10908,Chipping Norton,108,1
2046,2046,10910,Chiswick,30,1
2190,2190,10914,Chullora,2,1
2105,2105,10915,Church Point,10,1
2747,2747,10918,Claremont Meadows,50,1
2107,2107,10923,Clareville,12,1
2206,2206,10928,Clemton Park,17,1
2093,2093,10935,Clontarf (NSW),32,1
2031,2031,10938,Clovelly,71,1
2142,2142,10941,Clyde (NSW),11,1
2108,2108,10946,Coasters Retreat,2,1
2083,2083,10961,Cogra Bay,3,1
2761,2761,10965,Colebee,30,1
2097,2097,10970,Collaroy (NSW),115,0.9913793103448276
2097,2097,10971,Collaroy Plateau,47,1
2760,2760,10987,Colyton,91,1
2226,2226,10996,Como (NSW),39,0.975
2137,2137,10999,Concord,155,1
2138,2138,11000,Concord West,63,0.9692307692307692
2200,2200,11001,Condell Park,131,1
2221,2221,11013,Connells Point,42,1
2145,2145,11014,Constitution Hill,60,1
2034,2034,11015,Coogee (NSW),240,1
2084,2084,11086,Cottage Point,1,1
2081,2081,11097,Cowan,19,1
2749,2749,11105,Cranebrook,177,1
2090,2090,11112,Cremorne (NSW),158,1
2090,2090,11113,Cremorne Point,54,1
2099,2099,11118,Cromer (NSW),95,1
2230,2230,11119,Cronulla,335,1
2065,2065,11131,Crows Nest (NSW),99,1
2132,2132,11134,Croydon (NSW),127,1
2133,2133,11135,Croydon Park (NSW),136,1
2096,2096,11167,Curl Curl,29,1
2032,2032,11185,Daceyville,22,1
2083,2083,11199,Dangar Island,5,1
2027,2027,11211,Darling Point,69,1
2010,2010,11212,Darlinghurst,178,1
2008,2008,11214,Darlington (Sydney - NSW),33,1
2085,2085,11219,Davidson,37,1
2000,2000,11222,Dawes Point,14,1
2761,2761,11224,Dean Park,29,1
2099,2099,11227,Dee Why,286,1
2114,2114,11238,Denistone,43,1
2112,2112,11239,Denistone East,23,1
2114,2114,11240,Denistone West,12,1
2770,2770,11248,Dharruk,26,1
2229,2229,11266,Dolans Bay,7,1
2219,2219,11267,Dolls Point,26,1
2767,2767,11275,Doonside,151,1
2028,2028,11281,Double Bay,99,1
2030,2030,11284,Dover Heights,49,1
2047,2047,11293,Drummoyne,174,1
2084,2084,11301,Duffys Forest,10,1
2203,2203,11303,Dulwich Hill,165,0.9939759036144579
2117,2117,11312,Dundas (NSW),49,1
2117,2117,11313,Dundas Valley,69,1
2158,2158,11328,Dural (Hornsby - NSW),93,1
2206,2206,11343,Earlwood,212,1
2213,2213,11351,East Hills,49,1
2071,2071,11355,East Killara,52,1
2070,2070,11357,East Lindfield,48,1
2113,2113,11361,East Ryde,36,1
2766,2766,11366,Eastern Creek,14,1
2036,2036,11367,Eastgardens,17,1
2018,2018,11368,Eastlakes,73,1
2122,2122,11369,Eastwood (NSW),208,1
2176,2176,11377,Edensor Park,104,1
2027,2027,11379,Edgecliff,41,1
2174,2174,11383,Edmondson Park,19,0.95
2101,2101,11389,Elanora Heights,40,1
2011,2011,11395,Elizabeth Bay,85,1
2171,2171,11397,Elizabeth Hills,23,1
2105,2105,11410,Elvina Bay,1,1
2770,2770,11413,Emerton,24,1
2750,2750,11417,Emu Heights (NSW),35,1
2750,2750,11418,Emu Plains,111,1
2136,2136,11421,Enfield (NSW),41,1
2233,2233,11422,Engadine,218,1
2042,2042,11425,Enmore (Inner West - NSW),53,1
2121,2121,11428,Epping (NSW),250,1
2115,2115,11435,Ermington,120,0.9917355371900827
2759,2759,11438,Erskine Park,74,1
2043,2043,11439,Erskineville,72,1
2015,2015,11471,Eveleigh,7,1
2165,2165,11477,Fairfield (NSW),196,1
2165,2165,11478,Fairfield East,63,1
2165,2165,11479,Fairfield Heights,78,1
2165,2165,11480,Fairfield West,124,1
2094,2094,11482,Fairlight,84,1
2159,2159,11513,Fiddletown,6,1
2046,2046,11530,Five Dock,135,1
2157,2157,11542,Forest Glen (NSW),2,1
2037,2037,11546,Forest Lodge,52,1
2087,2087,11548,Forestville (NSW),91,1
2086,2086,11568,Frenchs Forest,157,0.9936708860759493
2096,2096,11569,Freshwater (NSW),117,1
2159,2159,11582,Galston,39,1
2198,2198,11601,Georges Hall,96,1
2145,2145,11636,Girraween (NSW),62,1
2111,2111,11638,Gladesville,157,0.9936708860759493
2037,2037,11641,Glebe (NSW),188,1
2761,2761,11659,Glendenning,47,1
2167,2167,11664,Glenfield (NSW),105,1
2156,2156,11667,Glenhaven,76,1
2157,2157,11673,Glenorie,33,1
2768,2768,11682,Glenwood (NSW),139,1
2072,2072,11718,Gordon (NSW),89,1
2142,2142,11738,Granville (NSW),188,1
2232,2232,11743,Grays Point,33,1
2108,2108,11744,Great Mackerel Beach,3,1
2168,2168,11756,Green Valley (NSW),114,1
2190,2190,11757,Greenacre,243,1
2176,2176,11761,Greenfield Park,58,1
2230,2230,11764,Greenhills Beach,9,1
2065,2065,11770,Greenwich,79,1
2145,2145,11781,Greystanes,273,1
2161,2161,11790,Guildford (NSW),248,0.9959839357429718
2161,2161,11791,Guildford West,47,1
2227,2227,11826,Gymea,92,1
2227,2227,11827,Gymea Bay,67,0.9852941176470589
2045,2045,11828,Haberfield,89,1
2170,2170,11844,Hammondville,31,1
2150,2150,11860,Harris Park,87,1
2761,2761,11866,Hassall Grove,40,1
2000,2000,11877,Haymarket,40,1
2233,2233,11883,Heathcote (NSW),75,1
2770,2770,11886,Hebersham,47,1
2168,2168,11887,Heckenberg,30,1
2111,2111,11891,Henley,7,1
2036,2036,11911,Hillsdale,55,1
2168,2168,11915,Hinchinbrook (NSW),90,1
2142,2142,11925,Holroyd,23,1
2173,2173,11926,Holsworthy,55,1
2140,2140,11929,Homebush (NSW),91,0.9891304347826086
2140,2140,11930,Homebush West,82,1
2171,2171,11935,Horningsea Park,30,1
2077,2077,11936,Hornsby,294,1
2077,2077,11937,Hornsby Heights,77,1
2175,2175,11943,Horsley Park,26,1
2171,2171,11951,Hoxton Park,44,1
2110,2110,11954,Hunters Hill,109,1
2148,2148,11957,Huntingwood,2,1
2111,2111,11960,Huntleys Cove,12,1
2111,2111,11961,Huntleys Point,4,1
2193,2193,11963,Hurlstone Park,62,1
2220,2220,11964,Hurstville,293,1
2220,2220,11965,Hurstville Grove,41,1
2234,2234,11974,Illawong,91,1
2101,2101,11979,Ingleside,30,1
2750,2750,12000,Jamisontown,79,1
2226,2226,12001,Jannali,77,1
2747,2747,12042,Jordan Springs,2,1
2224,2224,12060,Kangaroo Point (NSW),7,1
2232,2232,12073,Kareela,47,1
2155,2155,12088,Kellyville,258,1
2155,2155,12089,Kellyville Ridge,78,1
2178,2178,12094,Kemps Creek,23,1
2033,2033,12099,Kensington (NSW),130,0.9629629629629629
2156,2156,12100,Kenthurst,50,1
2071,2071,12129,Killara (NSW),98,1
2087,2087,12130,Killarney Heights,53,1
2147,2147,12149,Kings Langley,105,1
2148,2148,12150,Kings Park (NSW),60,1
2032,2032,12156,Kingsford (NSW),151,1
2208,2208,12158,Kingsgrove,161,0.9938271604938271
2747,2747,12163,Kingswood (Penrith - NSW),154,1
2232,2232,12172,Kirrawee,119,0.9916666666666667
2061,2061,12173,Kirribilli,70,0.9859154929577465
2217,2217,12181,Kogarah,194,1
2217,2217,12182,Kogarah Bay,24,1
2084,2084,12205,Ku-Ring-Gai Chase,5,1
2231,2231,12216,Kurnell,53,1
2089,2089,12217,Kurraba Point,23,1
2216,2216,12226,Kyeemagh,17,1
2221,2221,12227,Kyle Bay,13,1
2036,2036,12230,La Perouse,12,1
2195,2195,12257,Lakemba,181,1
2147,2147,12261,Lalor Park,89,1
2066,2066,12266,Lane Cove,136,1
2066,2066,12267,Lane Cove North,165,1
2066,2066,12268,Lane Cove West,49,1
2163,2163,12272,Lansdowne (Canterbury-Bankstown - NSW),11,1
2166,2166,12275,Lansvale,51,1
2060,2060,12285,Lavender Bay,22,1
2040,2040,12297,Leichhardt (NSW),196,1
2171,2171,12301,Len Waters Estate,3,1
2750,2750,12304,Leonay,30,1
2179,2179,12305,Leppington,21,1
2770,2770,12307,Lethbridge Park,47,1
2049,2049,12313,Lewisham (NSW),46,1
2138,2138,12315,Liberty Grove,23,1
2141,2141,12316,Lidcombe,206,1
2229,2229,12322,Lilli Pilli (Sutherland Shire - NSW),16,1
2040,2040,12325,Lilyfield,89,1
2070,2070,12339,Lindfield,124,1
2066,2066,12341,Linley Point,6,1
2036,2036,12349,Little Bay,46,1
2170,2170,12361,Liverpool,305,1
2747,2747,12363,Llandilo,23,1
2232,2232,12371,Loftus,44,1
2066,2066,12385,Longueville,29,1
2105,2105,12397,Lovett Bay,2,1
2234,2234,12417,Lucas Heights,3,1
2210,2210,12421,Lugarno,81,1
2170,2170,12422,Lurnea,85,1
2113,2113,12437,Macquarie Park,90,0.9
2230,2230,12443,Maianbar,9,1
2036,2036,12453,Malabar,36,1
2095,2095,12475,Manly (NSW),280,1
2093,2093,12476,Manly Vale,90,1
2765,2765,12484,Maraylya,13,1
2148,2148,12485,Marayong,73,1
2035,2035,12501,Maroubra,326,1
2204,2204,12504,Marrickville,344,0.9971014492753624
2765,2765,12505,Marsden Park,13,1
2122,2122,12506,Marsfield,151,1
2020,2020,12519,Mascot,121,1
2036,2036,12524,Matraville,94,1
2145,2145,12538,Mays Hill,11,1
2060,2060,12547,McMahons Point,48,1
2114,2114,12550,Meadowbank (NSW),51,1
2114,2114,12563,Melrose Park (NSW),26,1
2234,2234,12567,Menai,121,1
2160,2160,12588,Merrylands,321,0.9907407407407407
2160,2160,12589,Merrylands West,73,1
2068,2068,12602,Middle Cove,21,1
2158,2158,12603,Middle Dural,11,1
2171,2171,12607,Middleton Grange,47,1
2168,2168,12617,Miller,39,1
2000,2000,12619,Millers Point,21,1
2214,2214,12625,Milperra,54,1
2083,2083,12628,Milsons Passage,3,1
2061,2061,12629,Milsons Point,26,1
2770,2770,12633,Minchinbury,59,1
2228,2228,12645,Miranda (NSW),178,1
2103,2103,12672,Mona Vale,151,1
2217,2217,12686,Monterey,71,1
2083,2083,12704,Mooney Mooney,10,1
2021,2021,12711,Moore Park,11,1
2170,2170,12712,Moorebank,121,1
2105,2105,12725,Morning Bay,1,1
2223,2223,12728,Mortdale,138,1
2137,2137,12729,Mortlake (NSW),16,1
2088,2088,12738,Mosman,441,1
2079,2079,12750,Mount Colah,80,1
2770,2770,12756,Mount Druitt,167,1
2080,2080,12772,Mount Kuring-Gai,26,1
2190,2190,12774,Mount Lewis,17,1
2170,2170,12785,Mount Pritchard,100,1
2178,2178,12796,Mount Vernon,9,1
2765,2765,12815,Mulgrave (NSW),1,1
2065,2065,12898,Naremburn,89,1
2101,2101,12902,Narrabeen,115,1
2099,2099,12910,Narraweena,86,1
2209,2209,12912,Narwee,76,1
2765,2765,12922,Nelson (The Hills Shire - NSW),5,1
2089,2089,12934,Neutral Bay,160,0.9937888198757764
2127,2127,12953,Newington (NSW),52,1
2106,2106,12956,Newport (NSW),121,1
2042,2042,12960,Newtown (NSW),211,1
2076,2076,12976,Normanhurst,55,1
2093,2093,12981,North Balgowlah,41,1
2026,2026,12984,North Bondi,116,1
2099,2099,12988,North Curl Curl,46,1
2121,2121,12990,North Epping,53,1
2100,2100,12997,North Manly,33,1
2101,2101,12999,North Narrabeen,63,1
2151,2151,13001,North Parramatta,191,0.9947916666666666
2151,2151,13003,North Rocks,113,1
2113,2113,13005,North Ryde,131,1
2760,2760,13007,North St Marys,54,1
2137,2137,13009,North Strathfield,54,1
2060,2060,13010,North Sydney,127,1
2074,2074,13013,North Turramurra,62,1
2076,2076,13015,North Wahroonga,40,1
2068,2068,13016,North Willoughby,53,1
2063,2063,13022,Northbridge (NSW),94,1
2152,2152,13023,Northmead,157,1
2066,2066,13024,Northwood (NSW),10,1
2761,2761,13058,Oakhurst (NSW),63,1
2765,2765,13060,Oakville,19,1
2117,2117,13063,Oatlands (NSW),71,1
2223,2223,13064,Oatley,136,1
2161,2161,13077,Old Guildford,22,1
2146,2146,13081,Old Toongabbie,57,1
2748,2748,13095,Orchard Hills,27,1
2100,2100,13106,Oxford Falls,14,1
2760,2760,13110,Oxley Park,41,1
2225,2225,13112,Oyster Bay,55,0.9821428571428571
2021,2021,13115,Paddington (NSW),192,1
2211,2211,13120,Padstow,160,1
2211,2211,13121,Padstow Heights,54,1
2035,2035,13125,Pagewood,45,1
2108,2108,13132,Palm Beach (NSW),49,1
2213,2213,13144,Panania,129,1
2768,2768,13153,Parklea,16,1
2150,2150,13156,Parramatta,298,0.9933333333333333
2210,2210,13168,Peakhurst,127,1
2210,2210,13169,Peakhurst Heights,35,1
2145,2145,13181,Pemulwuy,53,1
2145,2145,13182,Pendle Hill,87,1
2120,2120,13183,Pennant Hills,91,1
2750,2750,13184,Penrith,244,1
2222,2222,13186,Penshurst (NSW),152,1
2049,2049,13190,Petersham,106,1
2036,2036,13193,Phillip Bay,10,1
2213,2213,13199,Picnic Point,62,1
2172,2172,13229,Pleasure Point,7,1
2761,2761,13230,Plumpton (NSW),84,1
2027,2027,13233,Point Piper,26,1
2036,2036,13243,Port Botany,2,1
2229,2229,13244,Port Hacking,11,1
2143,2143,13255,Potts Hill,10,1
2011,2011,13256,Potts Point,113,1
2176,2176,13258,Prairiewood,43,1
2170,2170,13260,Prestons,139,1
2148,2148,13266,Prospect (NSW),56,1
2196,2196,13273,Punchbowl (Canterbury-Bankstown - NSW),193,1
2112,2112,13277,Putney,58,1
2073,2073,13281,Pymble,117,0.9915254237288136
2009,2009,13284,Pyrmont,71,1
2763,2763,13286,Quakers Hill,271,1
2022,2022,13294,Queens Park (NSW),37,1
2096,2096,13296,Queenscliff (NSW),52,1
2217,2217,13309,Ramsgate,20,1
2217,2217,13310,Ramsgate Beach,32,1
2031,2031,13312,Randwick,370,1
2016,2016,13339,Redfern,139,1
2143,2143,13345,Regents Park (NSW),65,1
2212,2212,13355,Revesby,166,0.9880952380952381
2212,2212,13356,Revesby Heights,20,1
2138,2138,13358,Rhodes,40,1
2765,2765,13368,Riverstone,110,1
2066,2066,13370,Riverview (NSW),33,1
2210,2210,13371,Riverwood,131,1
2216,2216,13379,Rockdale,162,1
2046,2046,13391,Rodd Point,21,1
2141,2141,13394,Rookwood (NSW),1,1
2766,2766,13395,Rooty Hill,147,1
2760,2760,13397,Ropes Crossing,56,0.9824561403508771
2029,2029,13398,Rose Bay (NSW),141,0.986013986013986
2018,2018,13405,Rosebery (NSW),90,1
2142,2142,13408,Rosehill (NSW),49,1
2196,2196,13409,Roselands,132,1
2069,2069,13412,Roseville,116,1
2069,2069,13413,Roseville Chase,18,1
2155,2155,13429,Rouse Hill,97,1
2233,2233,13433,Royal National Park,8,1
2039,2039,13435,Rozelle,130,1
2011,2011,13444,Rushcutters Bay,45,1
2046,2046,13447,Russell Lea,66,1
2116,2116,13453,Rydalmere,87,1
2112,2112,13454,Ryde,281,1
2168,2168,13461,Sadleir,29,1
2219,2219,13478,Sandringham (NSW),27,1
2172,2172,13487,Sandy Point (NSW),5,1
