,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Lower Boro,176.0,0.554,0.446,50.0,51.0,1.8,0.5,142.0,2.0,1062.0,1170.0,0.0,1.9,12402
Oallen,141.0,0.555,0.445,50.0,32.0,1.8,0.5,157.0,2.0,966.0,1100.0,0.0,2.0,13062
Braidwood,1651.0,0.479,0.521,46.0,422.0,1.8,0.6,783.0,2.3,1091.0,1700.0,278.0,1.9,10547
Majors Creek (NSW),249.0,0.523,0.47700000000000004,48.0,71.0,1.7,0.5,132.0,2.2,1025.0,1251.0,300.0,1.9,12452
Araluen (NSW),168.0,0.539,0.461,55.0,38.0,1.2,0.2,112.0,1.9,716.0,867.0,150.0,1.9,10070
Monga,14.0,0.7690000000000001,0.231,62.0,0.0,0.0,0.0,26.0,1.4,1125.0,0.0,0.0,1.0,12677
Neringla,19.0,0.526,0.474,66.0,8.0,0.0,0.0,11.0,1.6,824.0,0.0,0.0,2.0,12928
Northangera,43.0,0.4,0.6,57.0,14.0,2.0,0.4,22.0,2.1,1437.0,1917.0,0.0,1.7,13021
Reidsdale,125.0,0.49200000000000005,0.508,49.0,32.0,1.5,0.5,72.0,2.4,1187.0,1542.0,250.0,2.1,13348
Kindervale,18.0,0.789,0.21100000000000002,41.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,12144
Jerrabattgulla,11.0,0.429,0.5710000000000001,66.0,3.0,0.0,0.0,10.0,1.7,1124.0,0.0,0.0,3.0,12015
Bendoura,70.0,0.478,0.522,50.0,22.0,1.4,0.5,46.0,2.0,1124.0,1434.0,0.0,2.6,10292
Bombay,117.0,0.525,0.47500000000000003,44.0,28.0,2.2,1.0,62.0,2.5,1281.0,1517.0,125.0,2.0,10456
Harolds Cross,53.0,0.45799999999999996,0.542,46.0,17.0,0.0,0.0,42.0,1.9,1624.0,2900.0,0.0,1.5,11855
Wyanbene,33.0,0.538,0.462,55.0,4.0,1.0,0.3,21.0,2.0,900.0,0.0,0.0,1.4,14433
Jinden,17.0,0.556,0.444,65.0,7.0,0.0,0.0,14.0,2.6,1125.0,0.0,0.0,1.7,12031
Hereford Hall,24.0,0.542,0.45799999999999996,53.0,7.0,1.0,0.3,19.0,2.1,1374.0,0.0,0.0,1.5,11893
Jembaicumbene,41.0,0.429,0.5710000000000001,54.0,14.0,2.0,0.4,21.0,1.8,1625.0,0.0,0.0,2.9,12007
Farringdon,14.0,0.35700000000000004,0.643,59.0,4.0,0.0,0.0,8.0,1.9,649.0,0.0,0.0,1.0,11494
