"SSC_2006_NAME","SSC_CODE_2001","SSC_CODE_2006","SSC_CODE_2011","SSC_CODE_2016"
"Abbotsbury",11006,11003,10001,10002
"Abbotsford",11011,11005,10002,10003
"Acacia Gardens",11016,11007,10010,10014
"Adamstown",16006,14006,10012,10016
"Adamstown Heights",16011,14011,10013,10017
"Airds",11021,11009,10016,10022
"Albion Park",17006,15006,10018,10025
"Albion Park Rail",17011,15011,10019,10026
"Alexandria",11026,11011,10022,10030
"Alfords Point",11031,11013,10023,10031
"Allambie Heights",11036,11015,10025,10036
"Allawah",11041,11017,10027,10038
"Ambarvale",11046,11019,10034,10049
"Annandale",11051,11021,10039,10061
"Argenton",16016,14016,10049,10078
"Arncliffe",11056,11023,10054,10086
"Artarmon",11061,11025,10058,10090
"Ashbury",11066,11027,10059,10093
"Ashcroft",11071,11029,10062,10097
"Ashfield",11076,11031,10063,10098
"Asquith",11081,11033,10068,10103
"Auburn",11086,11035,10070,10106
"Austinmer",17016,15016,10071,10108
"Avoca Beach",15006,13006,10074,10114
"Balgowlah",11096,11039,10084,10153
"Balgowlah Heights",11101,11041,10085,10154
"Balgownie",17021,15021,10086,10155
"Balmain",11106,11043,10090,10164
"Balmain East",11111,11045,10091,10165
"Bangor",11116,11047,10099,10177
"Banksia",11121,11049,10100,10178
"Bankstown",11126,11053,10102,10180
"Bar Beach",16021,14021,10107,10187
"Barden Ridge",11131,11055,10112,10193
"Bardwell Park",11136,11057,10113,10195
"Bardwell Valley",11141,11059,10114,10196
"Barnsley",16026,14026,10120,10204
"Barrack Heights",17026,15026,10123,10207
"Barrack Point",17031,15031,10124,10208
"Bass Hill",11146,11061,10129,10224
"Bateau Bay",15011,13011,10130,10227
"Baulkham Hills",11151,11063,10135,10233
"Bayview",11156,11065,10138,10237
"Beacon Hill",11161,11067,10139,10238
"Beaconsfield",11166,11069,10140,10239
"Beecroft",11171,11073,10146,10249
"Belfield",11176,11075,10151,10257
"Bella Vista",11181,11077,10154,10263
"Bellambi",17036,15036,10155,10264
"Bellevue Hill",11186,11079,10162,10271
"Belmont",16031,14031,10164,10276
"Belmont North",16036,14036,10165,10277
"Belmont South",16041,14041,10166,10278
