,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Abbotsbury,238.0,855.0,629.0,1782.0,214.0,130.0,6.2,22.2,16.3,46.3,5.6,3.4
Australia,1243969.0,2668506.0,2566346.0,8159808.0,1759742.0,2370878.0,6.6,14.2,13.7,43.5,9.4,12.6
Abbotsford,249.0,439.0,501.0,2500.0,496.0,665.0,5.1,9.1,10.3,51.6,10.2,13.7
Acacia Gardens,187.0,333.0,231.0,887.0,80.0,60.0,10.5,18.8,13.0,50.0,4.5,3.4
Adamstown,285.0,624.0,651.0,2126.0,386.0,801.0,5.8,12.8,13.4,43.6,7.9,16.4
Adamstown Heights,263.0,660.0,641.0,2012.0,742.0,893.0,5.0,12.7,12.3,38.6,14.2,17.1
Airds,455.0,998.0,682.0,1502.0,312.0,156.0,11.1,24.3,16.6,36.6,7.6,3.8
Albion Park,1008.0,2089.0,1408.0,4746.0,562.0,660.0,9.6,19.9,13.4,45.3,5.4,6.3
Albion Park Rail,590.0,1203.0,1068.0,3071.0,604.0,718.0,8.1,16.6,14.7,42.3,8.3,9.9
Alexandria,210.0,230.0,570.0,2686.0,254.0,254.0,5.0,5.5,13.6,64.0,6.0,6.0
Alfords Point,246.0,887.0,517.0,1598.0,181.0,154.0,6.9,24.9,14.5,44.8,5.1,4.3
Allambie Heights,451.0,851.0,704.0,2732.0,723.0,1287.0,6.7,12.6,10.4,40.5,10.7,19.1
Allawah,312.0,468.0,543.0,2259.0,348.0,411.0,7.2,10.8,12.5,52.0,8.0,9.5
Ambarvale,606.0,1583.0,1356.0,3248.0,442.0,318.0,8.0,21.0,18.0,43.0,5.9,4.2
Annandale,444.0,544.0,991.0,4763.0,634.0,734.0,5.5,6.7,12.2,58.7,7.8,9.0
Argenton,73.0,140.0,171.0,527.0,126.0,241.0,5.7,10.9,13.3,41.1,9.8,18.8
Arncliffe,671.0,1248.0,1299.0,3953.0,834.0,1230.0,7.3,13.5,14.1,42.8,9.0,13.3
Artarmon,450.0,808.0,1093.0,4358.0,572.0,801.0,5.6,10.0,13.5,53.9,7.1,9.9
Ashbury,225.0,430.0,416.0,1418.0,322.0,414.0,7.0,13.3,12.9,44.0,10.0,12.8
Ashcroft,266.0,561.0,506.0,1262.0,307.0,368.0,8.1,17.2,15.5,38.6,9.4,11.3
Ashfield,1093.0,1890.0,2662.0,9986.0,1563.0,3152.0,5.4,9.3,13.1,49.1,7.7,15.5
Asquith,177.0,450.0,442.0,1304.0,268.0,432.0,5.8,14.7,14.4,42.5,8.7,14.1
Auburn,2300.0,4067.0,4295.0,11266.0,1860.0,2679.0,8.7,15.4,16.2,42.6,7.0,10.1
Austinmer,143.0,358.0,262.0,977.0,213.0,265.0,6.5,16.2,11.8,44.1,9.6,12.0
Avoca Beach,284.0,709.0,539.0,1786.0,305.0,468.0,6.9,17.3,13.2,43.7,7.5,11.4
Balgowlah,459.0,650.0,630.0,2982.0,592.0,872.0,7.4,10.5,10.2,48.2,9.6,14.1
Balgowlah Heights,224.0,542.0,342.0,1227.0,268.0,533.0,7.1,17.3,10.9,39.1,8.5,17.0
Balgownie,396.0,881.0,826.0,2554.0,755.0,768.0,6.4,14.3,13.4,41.3,12.2,12.4
Balmain,444.0,632.0,924.0,5270.0,868.0,871.0,4.9,7.0,10.3,58.5,9.6,9.7
Balmain East,74.0,133.0,174.0,985.0,204.0,192.0,4.2,7.6,9.9,56.3,11.7,11.0
Bangor,339.0,920.0,1105.0,2531.0,458.0,317.0,6.0,16.2,19.5,44.6,8.1,5.6
Banksia,213.0,370.0,416.0,1301.0,318.0,383.0,7.1,12.3,13.9,43.4,10.6,12.8
Bankstown,2269.0,3335.0,3661.0,11282.0,1867.0,2877.0,9.0,13.2,14.5,44.6,7.4,11.4
Bar Beach,64.0,148.0,227.0,584.0,126.0,197.0,4.8,11.1,17.0,43.6,9.4,14.7
