,Occupied private dwellings,All private dwellings (including unoccupied),Occupied private dwellings (%),All private dwellings (including unoccupied) (%)
Abbotsbury,1033.0,1059.0,97.5,--
Australia,7072202.0,7790079.0,90.8,--
Abbotsford,2144.0,2328.0,92.1,--
Acacia Gardens,522.0,540.0,96.7,--
Adamstown,2205.0,2350.0,93.8,--
Adamstown Heights,1990.0,2075.0,95.9,--
Airds,1227.0,1279.0,95.9,--
Albion Park,3305.0,3430.0,96.4,--
Albion Park Rail,2479.0,2586.0,95.9,--
Alexandria,2079.0,2267.0,91.7,--
Alfords Point,926.0,954.0,97.1,--
Allambie Heights,2386.0,2485.0,96.0,--
Allawah,1803.0,1916.0,94.1,--
Ambarvale,2281.0,2381.0,95.8,--
Annandale,3652.0,3972.0,91.9,--
Argenton,546.0,579.0,94.3,--
Arncliffe,3081.0,3314.0,93.0,--
Artarmon,3584.0,3842.0,93.3,--
Ashbury,1069.0,1134.0,94.3,--
Ashcroft,1085.0,1156.0,93.9,--
Ashfield,8172.0,8762.0,93.3,--
Asquith,1112.0,1143.0,97.3,--
Auburn,8084.0,8651.0,93.4,--
Austinmer,811.0,904.0,89.7,--
Avoca Beach,1514.0,2143.0,70.6,--
Balgowlah,2662.0,2887.0,92.2,--
Balgowlah Heights,1073.0,1135.0,94.5,--
Balgownie,2239.0,2372.0,94.4,--
Balmain,4312.0,4655.0,92.6,--
Balmain East,856.0,934.0,91.6,--
Bangor,1693.0,1744.0,97.1,--
Banksia,983.0,1034.0,95.1,--
Bankstown,8213.0,8929.0,92.0,--
Bar Beach,648.0,718.0,90.3,--
Barden Ridge,1035.0,1059.0,97.7,--
Bardwell Park,808.0,861.0,93.8,--
Bardwell Valley,684.0,733.0,93.3,--
Barnsley,600.0,621.0,96.6,--
Barrack Heights,2286.0,2422.0,94.4,--
Barrack Point,244.0,283.0,86.2,--
Bass Hill,2879.0,3055.0,94.2,--
Bateau Bay,4345.0,4752.0,91.4,--
Baulkham Hills,11167.0,11723.0,95.3,--
Bayview,1237.0,1284.0,96.3,--
Beacon Hill,1989.0,2077.0,95.8,--
Beaconsfield,302.0,337.0,89.6,--
Beecroft,2789.0,2928.0,95.3,--
Belfield,2012.0,2110.0,95.4,--
Bella Vista,1266.0,1334.0,94.9,--
Bellambi,1685.0,1789.0,94.2,--
Bellevue Hill,3941.0,4432.0,88.9,--
Belmont,2628.0,2811.0,93.5,--
Belmont North,2029.0,2112.0,96.1,--
Belmont South,459.0,515.0,89.1,--
Belmore,4316.0,4618.0,93.5,--
Belrose,2549.0,2644.0,96.4,--
Bensville,557.0,601.0,92.7,--
Berala,2616.0,2783.0,94.0,--
Berkeley,2662.0,2794.0,95.3,--
Berkeley Vale,3269.0,3436.0,95.1,--
Berowra,1434.0,1496.0,95.9,--
Berowra Heights,1682.0,1746.0,96.3,--
Beverley Park,735.0,781.0,94.1,--
Beverly Hills,3225.0,3390.0,95.1,--
Bexley,6177.0,6620.0,93.3,--
Bexley North,1416.0,1496.0,94.7,--
Bidwill,1385.0,1440.0,96.2,--
Birchgrove,1293.0,1503.0,86.0,--
Birmingham Gardens,719.0,758.0,94.9,--
Birrong,986.0,1031.0,95.6,--
Blackalls Park,1029.0,1087.0,94.7,--
Blackbutt,1024.0,1094.0,93.6,--
Blackett,1083.0,1132.0,95.7,--
Blacksmiths,786.0,868.0,90.6,--
Blacktown,13061.0,13688.0,95.4,--
Blackwall,746.0,845.0,88.3,--
Blairmount,100.0,104.0,96.2,--
Blakehurst,1780.0,1906.0,93.4,--
Blaxland,2460.0,2585.0,95.2,--
Blue Bay,403.0,668.0,60.3,--
Blue Haven,1617.0,1769.0,91.4,--
Bolton Point,769.0,827.0,93.0,--
Bondi,4235.0,4717.0,89.8,--
Bondi Beach,5475.0,6013.0,91.1,--
Bondi Junction,3715.0,4100.0,90.6,--
Bonnet Bay,715.0,745.0,96.0,--
Bonnyrigg,2464.0,2537.0,97.1,--
Bonnyrigg Heights,1808.0,1848.0,97.8,--
Booker Bay,636.0,800.0,79.5,--
Boolaroo,484.0,514.0,94.2,--
Booragul,554.0,632.0,87.7,--
Bossley Park,4044.0,4174.0,96.9,--
Botany,2708.0,2840.0,95.4,--
Bow Bowing,495.0,506.0,97.8,--
Bradbury,3090.0,3255.0,94.9,--
Broadmeadow,665.0,732.0,90.8,--
Bronte,2875.0,3156.0,91.1,--
Brookvale,891.0,931.0,95.7,--
Budgewoi,1335.0,1615.0,82.7,--
Buff Point,1333.0,1467.0,90.9,--
Bulli,2019.0,2151.0,93.9,--
Burwood,4242.0,4668.0,90.9,--
Burwood Heights,274.0,296.0,92.6,--
Busby,1286.0,1352.0,95.1,--
