,Worked full-time,Worked part-time,Hours worked not stated,Unemployed,Not in the labour force,Total in labour force (includes employed and unemployed people),Worked full-time (%),Worked part-time (%),Hours worked not stated (%),Unemployed (%),Not in the labour force (%),Total in labour force (includes employed and unemployed people) (%)
Abbotsbury,1260.0,586.0,66.0,77.0,680.0,1989.0,63.3,29.5,3.3,3.9,--,--
Australia,5360693.0,2689709.0,248204.0,660709.0,5265426.0,8959315.0,59.8,30.0,2.8,7.4,--,--
Abbotsford,2055.0,644.0,75.0,92.0,1168.0,2866.0,71.7,22.5,2.6,3.2,--,--
Acacia Gardens,670.0,251.0,29.0,30.0,261.0,980.0,68.4,25.6,3.0,3.1,--,--
Adamstown,1268.0,758.0,47.0,240.0,1507.0,2313.0,54.8,32.8,2.0,10.4,--,--
Adamstown Heights,1376.0,930.0,60.0,159.0,1661.0,2525.0,54.5,36.8,2.4,6.3,--,--
Airds,369.0,234.0,60.0,285.0,1434.0,948.0,38.9,24.7,6.3,30.1,--,--
Albion Park,2982.0,1578.0,118.0,290.0,2241.0,4968.0,60.0,31.8,2.4,5.8,--,--
Albion Park Rail,1813.0,979.0,101.0,317.0,2069.0,3210.0,56.5,30.5,3.1,9.9,--,--
Alexandria,2109.0,590.0,49.0,138.0,575.0,2886.0,73.1,20.4,1.7,4.8,--,--
Alfords Point,1137.0,574.0,53.0,39.0,582.0,1803.0,63.1,31.8,2.9,2.2,--,--
Allambie Heights,2023.0,1192.0,87.0,86.0,1823.0,3388.0,59.7,35.2,2.6,2.5,--,--
Allawah,1500.0,517.0,57.0,164.0,1068.0,2238.0,67.0,23.1,2.5,7.3,--,--
Ambarvale,1962.0,931.0,101.0,330.0,1806.0,3324.0,59.0,28.0,3.0,9.9,--,--
Annandale,3626.0,1261.0,112.0,242.0,1503.0,5241.0,69.2,24.1,2.1,4.6,--,--
Argenton,261.0,170.0,16.0,73.0,518.0,520.0,50.2,32.7,3.1,14.0,--,--
Arncliffe,2524.0,993.0,167.0,316.0,3032.0,4000.0,63.1,24.8,4.2,7.9,--,--
Artarmon,3340.0,1047.0,105.0,205.0,1718.0,4697.0,71.1,22.3,2.2,4.4,--,--
Ashbury,998.0,432.0,62.0,65.0,933.0,1557.0,64.1,27.7,4.0,4.2,--,--
Ashcroft,545.0,240.0,67.0,188.0,1251.0,1040.0,52.4,23.1,6.4,18.1,--,--
Ashfield,6401.0,2664.0,318.0,717.0,6007.0,10100.0,63.4,26.4,3.1,7.1,--,--
Asquith,982.0,530.0,45.0,59.0,766.0,1616.0,60.8,32.8,2.8,3.7,--,--
Auburn,5445.0,2219.0,485.0,1430.0,9104.0,9579.0,56.8,23.2,5.1,14.9,--,--
Austinmer,574.0,402.0,25.0,61.0,566.0,1062.0,54.0,37.9,2.4,5.7,--,--
Avoca Beach,1098.0,716.0,45.0,140.0,965.0,1999.0,54.9,35.8,2.3,7.0,--,--
Balgowlah,2224.0,1006.0,83.0,117.0,1435.0,3430.0,64.8,29.3,2.4,3.4,--,--
Balgowlah Heights,842.0,479.0,38.0,45.0,899.0,1404.0,60.0,34.1,2.7,3.2,--,--
Balgownie,1680.0,923.0,76.0,193.0,1839.0,2872.0,58.5,32.1,2.6,6.7,--,--
Balmain,4049.0,1376.0,81.0,226.0,1731.0,5732.0,70.6,24.0,1.4,3.9,--,--
Balmain East,778.0,292.0,21.0,37.0,341.0,1128.0,69.0,25.9,1.9,3.3,--,--
Bangor,2033.0,1112.0,91.0,98.0,969.0,3334.0,61.0,33.4,2.7,2.9,--,--
