,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
Abbotsbury,158.0,736.0,78.0,4.0,976.0,16.2,75.4,8.0,0.4,--
Australia,1764167.0,2321165.0,762632.0,88864.0,4936828.0,35.7,47.0,15.4,1.8,--
Abbotsford,654.0,522.0,176.0,45.0,1397.0,46.8,37.4,12.6,3.2,--
Acacia Gardens,107.0,333.0,43.0,5.0,488.0,21.9,68.2,8.8,1.0,--
Adamstown,480.0,480.0,280.0,32.0,1272.0,37.7,37.7,22.0,2.5,--
Adamstown Heights,691.0,734.0,172.0,17.0,1614.0,42.8,45.5,10.7,1.1,--
Airds,114.0,361.0,498.0,14.0,987.0,11.6,36.6,50.5,1.4,--
Albion Park,784.0,1747.0,337.0,13.0,2881.0,27.2,60.6,11.7,0.5,--
Albion Park Rail,600.0,1031.0,340.0,26.0,1997.0,30.0,51.6,17.0,1.3,--
Alexandria,592.0,241.0,129.0,43.0,1005.0,58.9,24.0,12.8,4.3,--
Alfords Point,132.0,723.0,33.0,5.0,893.0,14.8,81.0,3.7,0.6,--
Allambie Heights,648.0,971.0,206.0,22.0,1847.0,35.1,52.6,11.2,1.2,--
Allawah,390.0,526.0,211.0,44.0,1171.0,33.3,44.9,18.0,3.8,--
Ambarvale,381.0,1066.0,498.0,12.0,1957.0,19.5,54.5,25.4,0.6,--
Annandale,959.0,661.0,229.0,68.0,1917.0,50.0,34.5,11.9,3.5,--
Argenton,142.0,141.0,74.0,12.0,369.0,38.5,38.2,20.1,3.3,--
Arncliffe,653.0,1205.0,402.0,52.0,2312.0,28.2,52.1,17.4,2.2,--
Artarmon,859.0,818.0,271.0,90.0,2038.0,42.1,40.1,13.3,4.4,--
Ashbury,241.0,526.0,111.0,11.0,889.0,27.1,59.2,12.5,1.2,--
Ashcroft,184.0,385.0,221.0,15.0,805.0,22.9,47.8,27.5,1.9,--
Ashfield,1692.0,2104.0,733.0,192.0,4721.0,35.8,44.6,15.5,4.1,--
Asquith,262.0,458.0,103.0,20.0,843.0,31.1,54.3,12.2,2.4,--
Auburn,1432.0,3738.0,904.0,182.0,6256.0,22.9,59.8,14.5,2.9,--
Austinmer,224.0,295.0,76.0,8.0,603.0,37.1,48.9,12.6,1.3,--
Avoca Beach,353.0,574.0,161.0,8.0,1096.0,32.2,52.4,14.7,0.7,--
Balgowlah,652.0,731.0,266.0,47.0,1696.0,38.4,43.1,15.7,2.8,--
Balgowlah Heights,280.0,521.0,82.0,8.0,891.0,31.4,58.5,9.2,0.9,--
Balgownie,605.0,886.0,229.0,17.0,1737.0,34.8,51.0,13.2,1.0,--
Balmain,1159.0,727.0,313.0,58.0,2257.0,51.4,32.2,13.9,2.6,--
Balmain East,239.0,152.0,56.0,13.0,460.0,52.0,33.0,12.2,2.8,--
Bangor,341.0,1046.0,118.0,13.0,1518.0,22.5,68.9,7.8,0.9,--
Banksia,231.0,443.0,119.0,16.0,809.0,28.6,54.8,14.7,2.0,--
