,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Abbotsbury,955.0,46.0,7.0,92.4,4.5,0.7
Australia,4866031.0,1616213.0,262551.0,68.8,22.9,3.7
Abbotsford,1380.0,553.0,134.0,64.4,25.8,6.3
Acacia Gardens,475.0,35.0,5.0,91.0,6.7,1.0
Adamstown,1267.0,765.0,124.0,57.5,34.7,5.6
Adamstown Heights,1600.0,322.0,31.0,80.4,16.2,1.6
Airds,966.0,174.0,12.0,78.7,14.2,1.0
Albion Park,2849.0,349.0,46.0,86.2,10.6,1.4
Albion Park Rail,1961.0,427.0,50.0,79.1,17.2,2.0
Alexandria,995.0,604.0,276.0,47.9,29.1,13.3
Alfords Point,880.0,32.0,3.0,95.0,3.5,0.3
Allambie Heights,1791.0,499.0,42.0,75.1,20.9,1.8
Allawah,1139.0,453.0,82.0,63.2,25.1,4.5
Ambarvale,1908.0,242.0,55.0,83.6,10.6,2.4
Annandale,1901.0,1152.0,362.0,52.1,31.5,9.9
Argenton,366.0,163.0,12.0,67.0,29.9,2.2
Arncliffe,2217.0,646.0,133.0,72.0,21.0,4.3
Artarmon,2018.0,925.0,375.0,56.3,25.8,10.5
Ashbury,866.0,145.0,23.0,81.0,13.6,2.2
Ashcroft,790.0,239.0,16.0,72.8,22.0,1.5
Ashfield,4598.0,2390.0,592.0,56.3,29.2,7.2
Asquith,838.0,224.0,26.0,75.4,20.1,2.3
Auburn,5966.0,1299.0,385.0,73.8,16.1,4.8
Austinmer,600.0,144.0,33.0,74.0,17.8,4.1
Avoca Beach,1085.0,300.0,49.0,71.7,19.8,3.2
Balgowlah,1686.0,720.0,144.0,63.3,27.0,5.4
Balgowlah Heights,881.0,152.0,12.0,82.1,14.2,1.1
Balgownie,1720.0,396.0,58.0,76.8,17.7,2.6
Balmain,2243.0,1404.0,334.0,52.0,32.6,7.7
Balmain East,460.0,273.0,70.0,53.7,31.9,8.2
Bangor,1496.0,159.0,13.0,88.4,9.4,0.8
Banksia,764.0,155.0,26.0,77.7,15.8,2.6
Bankstown,6038.0,1533.0,267.0,73.5,18.7,3.3
Bar Beach,298.0,233.0,54.0,46.0,36.0,8.3
Barden Ridge,986.0,30.0,9.0,95.3,2.9,0.9
Bardwell Park,607.0,160.0,22.0,75.1,19.8,2.7
Bardwell Valley,492.0,163.0,13.0,71.9,23.8,1.9
Barnsley,506.0,70.0,14.0,84.3,11.7,2.3
Barrack Heights,1808.0,381.0,42.0,79.1,16.7,1.8
Barrack Point,152.0,69.0,7.0,62.3,28.3,2.9
Bass Hill,2166.0,596.0,33.0,75.2,20.7,1.1
Bateau Bay,3043.0,1146.0,85.0,70.0,26.4,2.0
Baulkham Hills,9335.0,1403.0,238.0,83.6,12.6,2.1
Bayview,830.0,361.0,15.0,67.1,29.2,1.2
Beacon Hill,1670.0,230.0,44.0,84.0,11.6,2.2
Beaconsfield,181.0,84.0,21.0,59.9,27.8,7.0
Beecroft,2337.0,351.0,49.0,83.8,12.6,1.8
Belfield,1463.0,472.0,29.0,72.7,23.5,1.4
Bella Vista,1178.0,55.0,23.0,93.0,4.3,1.8
Bellambi,1138.0,450.0,41.0,67.5,26.7,2.4
Bellevue Hill,2276.0,1046.0,300.0,57.8,26.5,7.6
Belmont,1677.0,814.0,73.0,63.8,31.0,2.8
Belmont North,1548.0,406.0,33.0,76.3,20.0,1.6
Belmont South,321.0,113.0,15.0,69.9,24.6,3.3
Belmore,2983.0,860.0,139.0,69.1,19.9,3.2
Belrose,2064.0,441.0,25.0,81.0,17.3,1.0
Bensville,473.0,64.0,8.0,84.9,11.5,1.4
Berala,1920.0,529.0,80.0,73.4,20.2,3.1
Berkeley,2009.0,568.0,26.0,75.5,21.3,1.0
Berkeley Vale,2513.0,615.0,70.0,76.9,18.8,2.1
Berowra,1169.0,173.0,22.0,81.5,12.1,1.5
Berowra Heights,1481.0,152.0,26.0,88.0,9.0,1.5
Beverley Park,550.0,146.0,18.0,74.8,19.9,2.4
Beverly Hills,2360.0,654.0,63.0,73.2,20.3,2.0
Bexley,4413.0,1283.0,201.0,71.4,20.8,3.3
Bexley North,1035.0,303.0,20.0,73.1,21.4,1.4
Bidwill,1094.0,178.0,32.0,79.0,12.9,2.3
Birchgrove,785.0,354.0,103.0,60.7,27.4,8.0
Birmingham Gardens,454.0,184.0,66.0,63.1,25.6,9.2
