,Personal and Household Good Retailing,Business Services,Construction Trade Services,Food Retailing,Education,Health Services,"Accommodation, Cafes and Restaurants",Community Services,Metal Product Manufacturing,Personal and Household Good Wholesaling,Finance,Government Administration,Machinery and Equipment Manufacturing,Road Transport,Property Services,General Construction,Services to Finance and Insurance,Communication Services,"Libraries, Museums and the Arts",Other Services,Defence,Machinery and Motor Vehicle Wholesaling,Motor Vehicle Retailing and Services,Sport and Recreation,"Petroleum, Coal, Chemical and Associated Product Manufacturing","Printing, Publishing and Recorded Media","Food, Beverage and Tobacco Manufacturing","Water Supply, Sewerage and Drainage Services",Air and Space Transport,Commercial Fishing,"Motion Picture, Radio and Television Services",Personal and Household Good Retailing (%),Business Services (%),Construction Trade Services (%),Food Retailing (%),Education (%),Health Services (%),"Accommodation, Cafes and Restaurants (%)",Community Services (%),Metal Product Manufacturing (%),Personal and Household Good Wholesaling (%),Finance (%),Government Administration (%),Machinery and Equipment Manufacturing (%),Road Transport (%),Property Services (%),General Construction (%),Services to Finance and Insurance (%),Communication Services (%),"Libraries, Museums and the Arts (%)",Other Services (%),Defence (%),Machinery and Motor Vehicle Wholesaling (%),Motor Vehicle Retailing and Services (%),Sport and Recreation (%),"Petroleum, Coal, Chemical and Associated Product Manufacturing (%)","Printing, Publishing and Recorded Media (%)","Food, Beverage and Tobacco Manufacturing (%)","Water Supply, Sewerage and Drainage Services (%)",Air and Space Transport (%),Commercial Fishing (%),"Motion Picture, Radio and Television Services (%)"
Abbotsbury,165,160,127,120,106,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.8,4.6,4.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"517,816","795,439","342,542","443,890","595,398",,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.4,2.3,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford,155,493,,,206,204,126,,,,,,,,,,,,,,,,,,,,,,,,,3.7,11.8,,,4.9,4.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Gardens,59,94,57,,53,64,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,7.5,4.5,,4.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown,147,190,,,168,185,142,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.8,,,4.2,4.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown Heights,188,241,,153,254,248,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.6,,3.6,5.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
Airds,43,61,,56,,43,,28,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,,2.1,,1.6,,1.1,,,,,,,,,,,,,,,,,,,,,,,
Albion Park,326,357,,353,,333,,,449,,,,,,,,,,,,,,,,,,,,,,,4.4,4.8,,4.8,,4.5,,,6.1,,,,,,,,,,,,,,,,,,,,,,
Albion Park Rail,184,180,171,239,,,,,258,,,,,,,,,,,,,,,,,,,,,,,3.4,3.3,3.1,4.4,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,
Alexandria,136,463,,,163,170,194,,,,,,,,,,,,,,,,,,,,,,,,,3.6,12.3,,,4.3,4.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,
