,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Abbotsbury,354,272,251,235,205,157,145,136,116,12.8,9.9,9.1,8.5,7.4,5.7,5.3,4.9,4.2
Australia,"1,366,701","1,514,096","1,018,903","975,653","792,378","764,823","717,457","670,821","309,968",9.2,10.2,6.9,6.6,5.3,5.1,4.8,4.5,2.1
Abbotsford,440,818,192,425,144,398,67,90,150,10.6,19.7,4.6,10.2,3.5,9.6,1.6,2.2,3.6
Acacia Gardens,183,152,143,124,81,77,45,67,55,14.5,12.1,11.4,9.9,6.4,6.1,3.6,5.3,4.4
Adamstown,366,409,270,273,219,121,172,154,74,9.2,10.3,6.8,6.9,5.5,3.1,4.3,3.9,1.9
Adamstown Heights,381,630,221,318,259,165,117,137,113,8.9,14.7,5.2,7.4,6.0,3.8,2.7,3.2,2.6
Airds,119,35,63,32,92,9,140,132,14,4.5,1.3,2.4,1.2,3.5,0.3,5.3,5.0,0.5
Albion Park,860,598,715,527,543,231,383,585,146,11.7,8.1,9.7,7.1,7.4,3.1,5.2,7.9,2.0
Albion Park Rail,502,248,521,274,379,89,290,447,84,9.2,4.5,9.5,5.0,6.9,1.6,5.3,8.2,1.5
Alexandria,447,893,173,363,167,351,77,115,126,11.9,23.7,4.6,9.6,4.4,9.3,2.0,3.1,3.3
Alfords Point,302,367,177,222,157,237,61,88,117,12.3,15.0,7.2,9.1,6.4,9.7,2.5,3.6,4.8
Allambie Heights,595,691,359,454,299,316,207,179,167,10.9,12.7,6.6,8.3,5.5,5.8,3.8,3.3,3.1
Allawah,412,430,195,247,212,132,158,174,68,11.6,12.1,5.5,6.9,6.0,3.7,4.4,4.9,1.9
Ambarvale,614,282,396,297,369,139,328,389,113,11.4,5.3,7.4,5.5,6.9,2.6,6.1,7.3,2.1
Annandale,708,"1,837",322,631,301,672,143,138,185,9.9,25.8,4.5,8.9,4.2,9.4,2.0,1.9,2.6
Argenton,74,26,73,32,72,16,60,65,3,6.9,2.4,6.9,3.0,6.8,1.5,5.6,6.1,0.3
Arncliffe,654,553,437,392,404,219,387,396,136,8.9,7.6,6.0,5.4,5.5,3.0,5.3,5.4,1.9
Artarmon,695,"1,629",179,652,322,528,127,105,199,10.2,23.9,2.6,9.6,4.7,7.7,1.9,1.5,2.9
Ashbury,238,340,212,157,144,117,91,103,75,9.3,13.2,8.2,6.1,5.6,4.6,3.5,4.0,2.9
Ashcroft,151,68,140,56,99,20,123,162,20,6.2,2.8,5.7,2.3,4.1,0.8,5.0,6.6,0.8
Ashfield,"1,629","2,625",760,"1,022",910,620,688,572,339,9.4,15.1,4.4,5.9,5.2,3.6,4.0,3.3,2.0
Asquith,270,380,194,189,135,129,93,75,81,11.0,15.5,7.9,7.7,5.5,5.3,3.8,3.1,3.3
Auburn,"1,304","1,052","1,120",732,886,292,"1,108","1,145",203,6.5,5.2,5.6,3.6,4.4,1.5,5.5,5.7,1.0
Austinmer,110,397,93,127,63,101,34,36,29,6.4,23.1,5.4,7.4,3.7,5.9,2.0,2.1,1.7
Avoca Beach,289,429,267,255,182,131,104,95,72,9.3,13.8,8.6,8.2,5.9,4.2,3.4,3.1,2.3
Balgowlah,578,873,241,482,281,405,111,119,168,11.4,17.2,4.7,9.5,5.5,8.0,2.2,2.3,3.3
Balgowlah Heights,167,409,60,208,92,263,16,29,82,7.0,17.3,2.5,8.8,3.9,11.1,0.7,1.2,3.5
Balgownie,422,676,348,307,258,209,149,168,85,8.6,13.8,7.1,6.3,5.3,4.3,3.0,3.4,1.7
Balmain,610,"2,078",254,739,296,"1,055",107,90,215,7.7,26.2,3.2,9.3,3.7,13.3,1.3,1.1,2.7
Balmain East,123,448,33,150,40,202,31,15,39,7.9,28.8,2.1,9.6,2.6,13.0,2.0,1.0,2.5
Bangor,588,666,351,382,391,340,137,158,162,13.3,15.1,8.0,8.7,8.9,7.7,3.1,3.6,3.7
Banksia,239,174,168,153,145,72,169,144,54,9.9,7.2,6.9,6.3,6.0,3.0,7.0,6.0,2.2
Bankstown,"1,401","1,238","1,207",808,952,378,"1,035","1,169",244,7.1,6.3,6.1,4.1,4.8,1.9,5.3,5.9,1.2
Bar Beach,88,213,34,73,46,44,27,18,32,7.8,18.8,3.0,6.4,4.1,3.9,2.4,1.6,2.8
Barden Ridge,368,338,253,265,200,225,62,105,102,14.4,13.2,9.9,10.4,7.8,8.8,2.4,4.1,4.0
Bardwell Park,170,228,125,126,120,81,61,82,54,9.3,12.4,6.8,6.9,6.5,4.4,3.3,4.5,2.9
Bardwell Valley,166,177,106,86,104,49,48,90,37,10.9,11.6,7.0,5.6,6.8,3.2,3.2,5.9,2.4
Barnsley,115,54,161,67,108,30,96,125,19,8.5,4.0,11.9,4.9,8.0,2.2,7.1,9.2,1.4
Barrack Heights,417,218,438,240,318,75,292,367,71,8.3,4.3,8.7,4.8,6.3,1.5,5.8,7.3,1.4
Barrack Point,44,36,48,22,28,17,19,23,7,9.4,7.7,10.3,4.7,6.0,3.6,4.1,4.9,1.5
Bass Hill,699,469,535,335,317,195,293,375,157,10.4,7.0,8.0,5.0,4.7,2.9,4.4,5.6,2.3
Bateau Bay,715,604,626,446,530,228,353,322,156,8.1,6.9,7.1,5.1,6.0,2.6,4.0,3.7,1.8
Baulkham Hills,"3,356","4,349","1,839","2,318","1,559","2,018",761,881,990,12.5,16.2,6.9,8.7,5.8,7.5,2.8,3.3,3.7
Bayview,201,332,111,178,87,251,39,20,94,7.7,12.7,4.2,6.8,3.3,9.6,1.5,0.8,3.6
Beacon Hill,542,594,342,418,312,321,173,165,190,11.6,12.7,7.3,8.9,6.7,6.9,3.7,3.5,4.1
Beaconsfield,66,107,30,84,28,38,24,34,15,10.7,17.4,4.9,13.6,4.5,6.2,3.9,5.5,2.4
Beecroft,597,"1,567",205,495,339,594,99,86,204,8.8,23.0,3.0,7.3,5.0,8.7,1.5,1.3,3.0
Belfield,436,370,325,245,234,140,175,201,109,9.8,8.3,7.3,5.5,5.3,3.1,3.9,4.5,2.5
Bella Vista,386,594,163,334,213,361,74,95,124,11.8,18.2,5.0,10.2,6.5,11.1,2.3,2.9,3.8
Bellambi,272,172,223,146,151,44,158,158,49,8.4,5.3,6.9,4.5,4.6,1.4,4.9,4.9,1.5
Bellevue Hill,613,"1,756",184,762,296,844,85,68,245,7.7,22.1,2.3,9.6,3.7,10.6,1.1,0.9,3.1
Belmont,356,351,314,255,245,144,160,185,82,7.3,7.2,6.4,5.2,5.0,2.9,3.3,3.8,1.7
Belmont North,380,275,351,196,245,97,182,244,79,8.9,6.4,8.2,4.6,5.7,2.3,4.3,5.7,1.8
Belmont South,56,28,61,34,34,9,44,38,24,6.2,3.1,6.7,3.8,3.8,1.0,4.9,4.2,2.7
Belmore,756,543,655,446,534,170,598,546,143,7.6,5.5,6.6,4.5,5.4,1.7,6.0,5.5,1.4
Belrose,677,806,388,511,362,476,133,158,232,11.0,13.1,6.3,8.3,5.9,7.7,2.2,2.6,3.8
Bensville,124,133,132,96,89,51,55,64,41,9.9,10.7,10.6,7.7,7.1,4.1,4.4,5.1,3.3
Berala,488,392,396,245,281,117,411,387,77,8.0,6.5,6.5,4.0,4.6,1.9,6.8,6.4,1.3
Berkeley,366,199,354,153,320,61,379,420,60,6.3,3.4,6.1,2.6,5.5,1.1,6.6,7.3,1.0
Berkeley Vale,710,482,693,433,412,178,385,388,139,10.1,6.9,9.9,6.2,5.9,2.5,5.5,5.5,2.0
Berowra,422,554,262,309,184,218,103,96,129,13.1,17.2,8.1,9.6,5.7,6.8,3.2,3.0,4.0
Berowra Heights,572,604,339,356,245,286,153,166,154,14.4,15.2,8.5,8.9,6.2,7.2,3.8,4.2,3.9
Beverley Park,177,184,121,99,76,60,56,76,40,10.5,11.0,7.2,5.9,4.5,3.6,3.3,4.5,2.4
Beverly Hills,755,669,402,420,370,241,250,296,148,10.5,9.3,5.6,5.8,5.1,3.3,3.5,4.1,2.1
Bexley,"1,414","1,306",958,865,761,433,703,750,311,9.9,9.1,6.7,6.0,5.3,3.0,4.9,5.2,2.2
Bexley North,300,332,185,197,137,110,120,122,92,9.5,10.5,5.8,6.2,4.3,3.5,3.8,3.8,2.9
Bidwill,197,59,123,69,124,26,188,220,19,6.3,1.9,3.9,2.2,4.0,0.8,6.0,7.0,0.6
Birchgrove,195,776,74,250,68,302,32,26,87,8.0,31.9,3.0,10.3,2.8,12.4,1.3,1.1,3.6
Birmingham Gardens,96,110,98,52,99,12,55,59,15,6.7,7.6,6.8,3.6,6.9,0.8,3.8,4.1,1.0
Birrong,181,161,149,110,109,51,112,107,41,7.8,6.9,6.4,4.7,4.7,2.2,4.8,4.6,1.8
Blackalls Park,170,138,169,99,130,41,127,139,33,7.9,6.4,7.8,4.6,6.0,1.9,5.9,6.4,1.5
Blackbutt,217,161,216,145,171,58,113,153,45,9.6,7.1,9.6,6.4,7.6,2.6,5.0,6.8,2.0
Blackett,207,57,132,48,142,16,144,212,17,8.5,2.3,5.4,2.0,5.8,0.7,5.9,8.7,0.7
Blacksmiths,113,54,93,48,80,21,49,67,20,7.9,3.8,6.5,3.3,5.6,1.5,3.4,4.7,1.4
Blacktown,"3,086","1,918","2,308","1,352","1,700",655,"1,588","2,118",561,10.5,6.5,7.8,4.6,5.8,2.2,5.4,7.2,1.9
