,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Abbotsbury,1741.0,134.0,58.0,820.0,63.2,4.9,2.1,29.8
Australia,7635947.0,1609314.0,919904.0,4691609.0,51.4,10.8,6.2,31.6
Abbotsford,2023.0,487.0,231.0,1416.0,48.6,11.7,5.6,34.0
Acacia Gardens,797.0,114.0,23.0,321.0,63.4,9.1,1.8,25.5
Adamstown,1628.0,591.0,324.0,1416.0,41.1,14.9,8.2,35.7
Adamstown Heights,2685.0,340.0,229.0,1034.0,62.6,7.9,5.3,24.1
Airds,855.0,492.0,119.0,1181.0,32.2,18.6,4.5,44.5
Albion Park,4609.0,634.0,250.0,1891.0,62.5,8.6,3.4,25.6
Albion Park Rail,2910.0,601.0,329.0,1627.0,53.3,11.0,6.0,29.8
Alexandria,1062.0,471.0,117.0,2114.0,28.2,12.5,3.1,56.2
Alfords Point,1670.0,92.0,43.0,632.0,68.2,3.8,1.8,25.8
Allambie Heights,3103.0,450.0,491.0,1396.0,57.0,8.3,9.0,25.6
Allawah,1769.0,425.0,191.0,1180.0,49.7,11.9,5.4,33.1
Ambarvale,2601.0,662.0,184.0,1919.0,48.5,12.3,3.4,35.8
Annandale,2357.0,881.0,295.0,3589.0,33.1,12.4,4.1,50.4
Argenton,501.0,153.0,92.0,329.0,47.0,14.4,8.6,30.9
Arncliffe,3632.0,832.0,490.0,2353.0,49.6,11.4,6.7,32.2
Artarmon,3051.0,677.0,297.0,2811.0,44.7,9.9,4.4,41.2
Ashbury,1467.0,181.0,151.0,772.0,57.1,7.0,5.9,30.0
Ashcroft,1080.0,361.0,152.0,857.0,44.2,14.8,6.2,35.1
Ashfield,7460.0,1977.0,1308.0,6621.0,43.0,11.4,7.5,38.1
Asquith,1353.0,196.0,152.0,750.0,55.3,8.0,6.2,30.7
Auburn,11099.0,1713.0,1134.0,6155.0,55.2,8.5,5.6,30.6
Austinmer,904.0,187.0,74.0,547.0,52.6,10.9,4.3,31.9
Avoca Beach,1710.0,401.0,144.0,840.0,55.2,12.9,4.6,27.1
Balgowlah,2410.0,648.0,332.0,1691.0,47.5,12.8,6.5,33.3
Balgowlah Heights,1547.0,147.0,141.0,548.0,65.3,6.2,5.9,23.1
Balgownie,2879.0,400.0,269.0,1369.0,58.7,8.2,5.5,27.9
Balmain,2939.0,1134.0,368.0,3500.0,37.0,14.3,4.6,44.1
Balmain East,576.0,228.0,68.0,678.0,37.0,14.7,4.4,43.6
Bangor,2655.0,251.0,137.0,1369.0,60.2,5.7,3.1,31.0
Banksia,1311.0,236.0,142.0,741.0,54.2,9.8,5.9,30.6
Bankstown,10681.0,2155.0,1227.0,5624.0,54.3,10.9,6.2,28.6
Bar Beach,428.0,146.0,88.0,468.0,37.7,12.9,7.8,41.3
Barden Ridge,1737.0,140.0,37.0,637.0,68.0,5.5,1.4,25.0
Bardwell Park,1067.0,121.0,106.0,540.0,58.2,6.6,5.8,29.4
Bardwell Valley,825.0,169.0,99.0,442.0,54.2,11.1,6.5,29.0
Barnsley,752.0,138.0,43.0,435.0,55.4,10.2,3.2,32.0
Barrack Heights,2715.0,572.0,266.0,1503.0,53.8,11.3,5.3,29.8
Barrack Point,232.0,73.0,31.0,128.0,49.8,15.7,6.7,27.5
Bass Hill,3571.0,703.0,514.0,1926.0,53.1,10.5,7.6,28.6
Bateau Bay,4603.0,1010.0,968.0,2218.0,52.2,11.5,11.0,25.2
Baulkham Hills,16104.0,1883.0,1207.0,7569.0,60.2,7.0,4.5,28.3
Bayview,1522.0,188.0,392.0,512.0,58.2,7.2,15.0,19.6
Beacon Hill,2877.0,373.0,196.0,1245.0,61.5,8.0,4.2,26.6
Beaconsfield,223.0,65.0,20.0,279.0,36.2,10.6,3.2,45.3
Beecroft,4239.0,353.0,435.0,1786.0,62.1,5.2,6.4,26.2
Belfield,2386.0,451.0,355.0,1257.0,53.7,10.1,8.0,28.3
Bella Vista,2162.0,181.0,82.0,852.0,66.3,5.6,2.5,26.1
Bellambi,1382.0,495.0,199.0,1168.0,42.5,15.2,6.1,35.9
Bellevue Hill,3649.0,739.0,418.0,3119.0,46.0,9.3,5.3,39.3
Belmont,2511.0,689.0,529.0,1170.0,51.2,14.1,10.8,23.9
Belmont North,2305.0,434.0,388.0,1149.0,54.0,10.2,9.1,26.9
Belmont South,437.0,106.0,71.0,287.0,48.3,11.7,7.8,31.7
Belmore,5208.0,1010.0,659.0,3014.0,52.7,10.2,6.7,30.5
Belrose,3683.0,382.0,652.0,1452.0,59.8,6.2,10.6,23.6
Bensville,773.0,119.0,33.0,324.0,61.9,9.5,2.6,26.0
Berala,3278.0,560.0,389.0,1837.0,54.0,9.2,6.4,30.3
Berkeley,2912.0,665.0,416.0,1788.0,50.4,11.5,7.2,30.9
Berkeley Vale,3706.0,885.0,537.0,1883.0,52.7,12.6,7.6,26.8
Berowra,2013.0,256.0,93.0,828.0,62.5,8.0,2.9,25.7
Berowra Heights,2434.0,312.0,102.0,1119.0,61.2,7.8,2.6,28.1
Beverley Park,955.0,138.0,149.0,436.0,56.8,8.2,8.9,26.0
Beverly Hills,4033.0,553.0,662.0,1966.0,56.0,7.7,9.2,27.3
Bexley,7536.0,1347.0,1244.0,4219.0,52.5,9.4,8.7,29.4
Bexley North,1802.0,243.0,260.0,875.0,56.8,7.7,8.2,27.6
Bidwill,1068.0,539.0,139.0,1374.0,34.2,17.3,4.5,44.0
Birchgrove,963.0,330.0,80.0,1045.0,39.6,13.6,3.3,42.9
Birmingham Gardens,667.0,131.0,124.0,524.0,46.3,9.1,8.6,36.3
Birrong,1307.0,186.0,184.0,642.0,56.4,8.0,7.9,27.7
Blackalls Park,1168.0,273.0,123.0,599.0,54.1,12.6,5.7,27.7
Blackbutt,1352.0,208.0,114.0,587.0,60.0,9.2,5.1,26.0
