,Catholic,Anglican,Orthodox,Oriental Christian,No Religion,Presbyterian & Reformed,Uniting Church,Baptist,Islam,Buddhism,Hinduism,Judaism,Pentecostal,"Christian, nfd",Sikhism,Catholic (%),Anglican (%),Orthodox (%),Oriental Christian (%),No Religion (%),Presbyterian & Reformed (%),Uniting Church (%),Baptist (%),Islam (%),Buddhism (%),Hinduism (%),Judaism (%),Pentecostal (%),"Christian, nfd (%)",Sikhism (%)
Abbotsbury,"2,144",364,323,185,148,,,,,,,,,,,55.7,9.5,8.4,4.8,3.8,,,,,,,,,,
Australia,"5,001,624","3,881,162","529,444","36,324","2,905,993",,,,,,,,,,,26.6,20.7,2.8,0.2,15.5,,,,,,,,,,
Abbotsford,"2,106",820,183,,619,172,,,,,,,,,,43.4,16.9,3.8,,12.8,3.5,,,,,,,,,
Acacia Gardens,657,376,,,169,,81,60,,,,,,,,37.0,21.2,,,9.5,,4.6,3.4,,,,,,,
Adamstown,"1,346","1,260",217,,605,,420,,,,,,,,,27.6,25.9,4.5,,12.4,,8.6,,,,,,,,
Adamstown Heights,"1,406","1,307",321,,520,,557,,,,,,,,,27.0,25.1,6.2,,10.0,,10.7,,,,,,,,
Airds,"1,098","1,012",,,460,126,,,159,,,,,,,26.7,24.7,,,11.2,3.1,,,3.9,,,,,,
Albion Park,"3,308","3,051",,,"1,245",410,778,,,,,,,,,31.6,29.1,,,11.9,3.9,7.4,,,,,,,,
Albion Park Rail,"2,092","2,266",,,885,284,495,,,,,,,,,28.8,31.2,,,12.2,3.9,6.8,,,,,,,,
Alexandria,"1,103",667,105,,992,,97,,,,,,,,,26.3,15.9,2.5,,23.6,,2.3,,,,,,,,
Alfords Point,"1,310",709,494,,207,,172,,,,,,,,,36.7,19.9,13.9,,5.8,,4.8,,,,,,,,
Allambie Heights,"2,129","1,833",,,891,242,384,,,,,,,,,31.6,27.2,,,13.2,3.6,5.7,,,,,,,,
Allawah,997,466,387,,778,,,,256,,,,,,,23.0,10.7,8.9,,17.9,,,,5.9,,,,,,
Ambarvale,"2,443","1,957",,,792,235,,,217,,,,,,,32.3,25.9,,,10.5,3.1,,,2.9,,,,,,
Annandale,"2,053","1,354",203,,"2,152",204,,,,,,,,,,25.3,16.7,2.5,,26.5,2.5,,,,,,,,,
Argenton,320,410,69,,126,,118,,,,,,,,,25.0,32.0,5.4,,9.8,,9.2,,,,,,,,
Arncliffe,"2,033",874,"1,606",,724,,,,"2,151",,,,,,,22.0,9.5,17.4,,7.8,,,,23.3,,,,,,
Artarmon,"1,809","1,447",,,"1,658",,347,,,308,,,,,,22.4,17.9,,,20.5,,4.3,,,3.8,,,,,
Ashbury,"1,556",320,389,,295,,89,,,,,,,,,48.3,9.9,12.1,,9.2,,2.8,,,,,,,,
Ashcroft,"1,024",641,,,205,,,,394,201,,,,,,31.3,19.6,,,6.3,,,,12.1,6.2,,,,,
Ashfield,"6,297","2,012",,,"3,630",,,,,"1,109",900,,,,,30.9,9.9,,,17.8,,,,,5.5,4.4,,,,
Asquith,820,756,,,450,105,189,,,,,,,,,26.7,24.6,,,14.7,3.4,6.2,,,,,,,,
Auburn,"5,171","1,363",,,"2,353",,,,"9,737","1,883",,,,,,19.5,5.1,,,8.9,,,,36.8,7.1,,,,,
Austinmer,494,528,,,493,49,130,,,,,,,,,22.3,23.8,,,22.3,2.2,5.9,,,,,,,,
Avoca Beach,"1,143","1,196",,,576,122,264,,,,,,,,,27.9,29.2,,,14.1,3.0,6.5,,,,,,,,
Balgowlah,"1,532","1,635",,,"1,133",288,281,,,,,,,,,24.8,26.4,,,18.3,4.7,4.5,,,,,,,,
Balgowlah Heights,720,"1,129",,,332,156,188,,,,,,,,,23.0,36.0,,,10.6,5.0,6.0,,,,,,,,
Balgownie,"2,176","1,326",305,,643,,472,,,,,,,,,35.2,21.5,4.9,,10.4,,7.6,,,,,,,,
Balmain,"2,205","1,831",,,"2,282",259,239,,,,,,,,,24.5,20.3,,,25.3,2.9,2.7,,,,,,,,
Balmain East,391,375,,,487,56,61,,,,,,,,,22.4,21.4,,,27.8,3.2,3.5,,,,,,,,
Bangor,"1,780","1,708",,,468,,323,232,,,,,,,,31.4,30.1,,,8.3,,5.7,4.1,,,,,,,
Banksia,804,295,740,,222,,,,249,,,,,,,26.8,9.8,24.7,,7.4,,,,8.3,,,,,,
Bankstown,"6,324",,"3,010",,"1,661",,,,"4,812","2,846",,,,,,25.0,,11.9,,6.6,,,,19.0,11.3,,,,,
Bar Beach,344,351,,,187,61,71,,,,,,,,,25.7,26.2,,,14.0,4.6,5.3,,,,,,,,
Barden Ridge,"1,207","1,161",154,,336,,237,,,,,,,,,31.2,30.0,4.0,,8.7,,6.1,,,,,,,,
Bardwell Park,564,306,523,,245,,123,,,,,,,,,25.4,13.8,23.6,,11.0,,5.5,,,,,,,,
Bardwell Valley,537,239,320,,152,,,,275,,,,,,,28.1,12.5,16.7,,7.9,,,,14.4,,,,,,
Barnsley,412,581,,,241,87,183,,,,,,,,,22.5,31.7,,,13.1,4.7,10.0,,,,,,,,
Barrack Heights,"1,916","1,622",642,,689,,290,,,,,,,,,30.0,25.4,10.0,,10.8,,4.5,,,,,,,,
Barrack Point,164,209,,,42,15,47,,,,,,,,,28.8,36.7,,,7.4,2.6,8.2,,,,,,,,
Bass Hill,"2,897","1,362",779,,493,,,,937,,,,,,,33.7,15.8,9.1,,5.7,,,,10.9,,,,,,
Bateau Bay,"3,331","3,897",,,"1,099",459,654,,,,,,,,,29.9,35.0,,,9.9,4.1,5.9,,,,,,,,
Baulkham Hills,"10,966","7,703",,,"3,115","1,164","2,192",,,,,,,,,32.8,23.0,,,9.3,3.5,6.6,,,,,,,,
Bayview,607,"1,090",,,468,142,225,,,,,,,,,19.4,34.8,,,14.9,4.5,7.2,,,,,,,,
Beacon Hill,"1,955","1,487",,,850,245,273,,,,,,,,,32.6,24.8,,,14.2,4.1,4.6,,,,,,,,
Beaconsfield,190,129,,,120,,,,44,43,,,,,,27.6,18.7,,,17.4,,,,6.4,6.2,,,,,
Beecroft,"1,953","2,165",,,"1,216",560,697,,,,,,,,,22.9,25.4,,,14.3,6.6,8.2,,,,,,,,
Belfield,"2,478",565,676,,407,,,,222,,,,,,,43.6,9.9,11.9,,7.2,,,,3.9,,,,,,
Bella Vista,"1,727",744,,,410,,193,,,,193,,,,,38.7,16.7,,,9.2,,4.3,,,,4.3,,,,
Bellambi,"1,124","1,186",,,575,177,282,,,,,,,,,25.8,27.2,,,13.2,4.1,6.5,,,,,,,,
Bellevue Hill,"1,722","1,734",299,,"1,252",,,,,,,"2,185",,,,18.0,18.1,3.1,,13.1,,,,,,,22.8,,,
Belmont,"1,369","1,894",,,655,339,734,,,,,,,,,22.7,31.4,,,10.9,5.6,12.2,,,,,,,,
Belmont North,"1,224","1,643",,,587,236,613,,,,,,,,,22.5,30.3,,,10.8,4.3,11.3,,,,,,,,
Belmont South,243,368,,,130,57,97,,,,,,,,,21.4,32.5,,,11.5,5.0,8.6,,,,,,,,
Belmore,"3,242",839,"2,675",,794,,,,"1,063",,,,,,,26.2,6.8,21.6,,6.4,,,,8.6,,,,,,
Belrose,"1,714","2,450",,,803,351,648,,,,,,,,,22.6,32.3,,,10.6,4.6,8.5,,,,,,,,
Bensville,541,537,,,220,55,63,,,,,,,,,30.8,30.5,,,12.5,3.1,3.6,,,,,,,,
