,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Abbotsbury,3553.0,1213.0,4.0,92.3,31.5,0.1
Australia,16559774.0,4105444.0,203101.0,88.2,21.9,1.1
Abbotsford,4269.0,1384.0,49.0,88.0,28.5,1.0
Acacia Gardens,1617.0,487.0,6.0,91.1,27.4,0.3
Adamstown,4561.0,511.0,15.0,93.6,10.5,0.3
Adamstown Heights,4923.0,704.0,15.0,94.5,13.5,0.3
Airds,3246.0,842.0,11.0,79.1,20.5,0.3
Albion Park,9576.0,1558.0,33.0,91.4,14.9,0.3
Albion Park Rail,6490.0,1310.0,7.0,89.5,18.1,0.1
Alexandria,3275.0,1083.0,37.0,78.0,25.8,0.9
Alfords Point,3340.0,746.0,13.0,93.7,20.9,0.4
Allambie Heights,6039.0,1699.0,54.0,89.5,25.2,0.8
Allawah,3226.0,2241.0,54.0,74.3,51.6,1.2
Ambarvale,6511.0,1814.0,14.0,86.2,24.0,0.2
Annandale,6686.0,2114.0,117.0,82.4,26.1,1.4
Argenton,1213.0,153.0,3.0,94.6,11.9,0.2
Arncliffe,7849.0,3986.0,205.0,85.0,43.2,2.2
Artarmon,6115.0,3228.0,141.0,75.7,39.9,1.7
Ashbury,2827.0,1150.0,10.0,87.7,35.7,0.3
Ashcroft,2754.0,1104.0,6.0,84.3,33.8,0.2
Ashfield,14670.0,10049.0,335.0,72.1,49.4,1.6
Asquith,2757.0,708.0,18.0,89.8,23.1,0.6
Auburn,20181.0,14378.0,244.0,76.2,54.3,0.9
Austinmer,1984.0,323.0,9.0,89.6,14.6,0.4
Avoca Beach,3692.0,518.0,33.0,90.3,12.7,0.8
Balgowlah,5212.0,1612.0,77.0,84.3,26.1,1.2
Balgowlah Heights,2764.0,784.0,33.0,88.2,25.0,1.0
Balgownie,5594.0,1354.0,13.0,90.5,21.9,0.2
Balmain,7121.0,2591.0,176.0,79.0,28.8,1.9
Balmain East,1428.0,479.0,36.0,81.6,27.4,2.0
Bangor,5263.0,889.0,27.0,92.8,15.7,0.5
Banksia,2561.0,1345.0,12.0,85.3,44.8,0.4
Bankstown,19969.0,13417.0,214.0,79.0,53.0,0.8
Bar Beach,1163.0,158.0,14.0,86.9,11.8,1.0
Barden Ridge,3623.0,615.0,13.0,93.7,15.9,0.3
Bardwell Park,1995.0,778.0,19.0,89.9,35.1,0.8
Bardwell Valley,1694.0,685.0,10.0,88.5,35.8,0.5
Barnsley,1740.0,105.0,0.0,94.8,5.7,0.0
Barrack Heights,5738.0,1675.0,10.0,89.7,26.2,0.2
Barrack Point,521.0,75.0,3.0,91.4,13.2,0.5
Bass Hill,7770.0,2881.0,39.0,90.3,33.5,0.5
Bateau Bay,10342.0,1228.0,14.0,92.8,11.0,0.1
Baulkham Hills,30083.0,8968.0,199.0,89.9,26.8,0.6
Bayview,2774.0,693.0,18.0,88.5,22.1,0.6
Beacon Hill,5338.0,1574.0,58.0,89.1,26.3,1.0
Beaconsfield,543.0,248.0,3.0,78.8,36.0,0.4
Beecroft,7812.0,2131.0,72.0,91.8,25.0,0.8
Belfield,4922.0,2349.0,33.0,86.7,41.4,0.6
Bella Vista,4011.0,1538.0,36.0,90.0,34.5,0.8
Bellambi,3822.0,868.0,0.0,87.7,19.9,0.0
Bellevue Hill,7837.0,3263.0,179.0,81.9,34.1,1.8
