,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Abbotsbury,559.0,346.0,64.0,25.0,42.0,54.1,33.5,6.2,2.4,4.1
Australia,2810917.0,1872132.0,1858324.0,196026.0,334803.0,39.7,26.5,26.3,2.8,4.7
Abbotsford,833.0,393.0,788.0,40.0,87.0,38.9,18.3,36.8,1.9,4.1
Acacia Gardens,129.0,296.0,77.0,9.0,9.0,24.7,56.7,14.8,1.7,1.7
Adamstown,828.0,518.0,730.0,53.0,71.0,37.6,23.5,33.1,2.4,3.2
Adamstown Heights,1210.0,505.0,196.0,31.0,49.0,60.8,25.4,9.8,1.6,2.5
Airds,25.0,29.0,1074.0,4.0,97.0,2.0,2.4,87.5,0.3,7.9
Albion Park,1039.0,1634.0,471.0,57.0,99.0,31.4,49.4,14.3,1.7,3.0
Albion Park Rail,942.0,784.0,610.0,57.0,85.0,38.0,31.6,24.6,2.3,3.4
Alexandria,398.0,565.0,854.0,50.0,215.0,19.1,27.2,41.1,2.4,10.3
Alfords Point,488.0,369.0,29.0,18.0,21.0,52.7,39.8,3.1,1.9,2.3
Allambie Heights,1230.0,616.0,384.0,68.0,88.0,51.6,25.8,16.1,2.8,3.7
Allawah,575.0,324.0,720.0,30.0,152.0,31.9,18.0,39.9,1.7,8.4
Ambarvale,503.0,824.0,834.0,27.0,96.0,22.1,36.1,36.6,1.2,4.2
Annandale,949.0,812.0,1580.0,65.0,242.0,26.0,22.2,43.3,1.8,6.6
Argenton,243.0,121.0,155.0,11.0,8.0,44.5,22.2,28.4,2.0,1.5
Arncliffe,1321.0,558.0,963.0,91.0,150.0,42.9,18.1,31.3,3.0,4.9
Artarmon,1049.0,572.0,1637.0,65.0,261.0,29.3,16.0,45.7,1.8,7.3
Ashbury,619.0,244.0,128.0,21.0,57.0,57.9,22.8,12.0,2.0,5.3
Ashcroft,283.0,216.0,493.0,29.0,68.0,26.1,19.9,45.4,2.7,6.3
Ashfield,2532.0,1182.0,3547.0,208.0,703.0,31.0,14.5,43.4,2.5,8.6
Asquith,554.0,306.0,205.0,18.0,35.0,49.8,27.5,18.4,1.6,3.1
Auburn,3103.0,1243.0,2940.0,204.0,596.0,38.4,15.4,36.4,2.5,7.4
Austinmer,409.0,211.0,140.0,9.0,37.0,50.4,26.0,17.3,1.1,4.6
Avoca Beach,590.0,496.0,296.0,50.0,85.0,39.0,32.8,19.6,3.3,5.6
Balgowlah,1115.0,548.0,831.0,42.0,122.0,41.9,20.6,31.2,1.6,4.6
