,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,Median age,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%),Median age (%)
Abbotsbury,217.0,759.0,787.0,1888.0,320.0,219.0,33.0,5.2,18.1,18.8,45.1,7.6,5.2,--
Australia,1260405.0,2676807.0,2704276.0,8376751.0,2192675.0,2644374.0,37.0,6.3,13.5,13.6,42.2,11.0,13.3,--
Abbotsford,272.0,458.0,460.0,2352.0,625.0,780.0,40.0,5.5,9.3,9.3,47.6,12.6,15.8,--
Acacia Gardens,282.0,513.0,459.0,1564.0,198.0,94.0,30.0,9.1,16.5,14.8,50.3,6.4,3.0,--
Adamstown,343.0,668.0,697.0,2324.0,457.0,777.0,36.0,6.5,12.7,13.2,44.1,8.7,14.8,--
Adamstown Heights,312.0,586.0,659.0,1942.0,693.0,996.0,42.0,6.0,11.3,12.7,37.4,13.4,19.2,--
Airds,367.0,936.0,630.0,1269.0,359.0,181.0,23.0,9.8,25.0,16.8,33.9,9.6,4.8,--
Albion Park,895.0,2108.0,1662.0,4942.0,788.0,867.0,31.0,7.9,18.7,14.8,43.9,7.0,7.7,--
Albion Park Rail,497.0,1098.0,954.0,2783.0,753.0,851.0,35.0,7.2,15.8,13.8,40.1,10.9,12.3,--
Alexandria,309.0,259.0,732.0,3979.0,366.0,205.0,33.0,5.3,4.4,12.5,68.0,6.3,3.5,--
Alfords Point,142.0,606.0,697.0,1452.0,309.0,170.0,35.0,4.2,18.0,20.6,43.0,9.2,5.0,--
Allambie Heights,443.0,890.0,676.0,2536.0,728.0,1267.0,41.0,6.8,13.6,10.3,38.8,11.1,19.4,--
Allawah,276.0,533.0,676.0,2468.0,494.0,476.0,35.0,5.6,10.8,13.7,50.1,10.0,9.7,--
Ambarvale,601.0,1258.0,1393.0,3073.0,653.0,367.0,28.0,8.2,17.1,19.0,41.8,8.9,5.0,--
Annandale,566.0,594.0,842.0,4748.0,797.0,738.0,36.0,6.8,7.2,10.2,57.3,9.6,8.9,--
Argenton,94.0,157.0,168.0,532.0,165.0,224.0,39.0,7.0,11.7,12.6,39.8,12.3,16.8,--
Arncliffe,620.0,1062.0,1121.0,3541.0,885.0,1278.0,36.0,7.3,12.5,13.2,41.6,10.4,15.0,--
Artarmon,492.0,829.0,1051.0,4453.0,735.0,801.0,34.0,5.9,9.9,12.6,53.2,8.8,9.6,--
Ashbury,212.0,425.0,403.0,1352.0,397.0,453.0,39.0,6.5,13.1,12.4,41.7,12.2,14.0,--
Ashcroft,254.0,559.0,428.0,1222.0,232.0,397.0,32.0,8.2,18.1,13.8,39.5,7.5,12.8,--
Ashfield,1088.0,1917.0,2962.0,10447.0,1827.0,3017.0,35.0,5.1,9.0,13.9,49.1,8.6,14.2,--
Asquith,184.0,397.0,441.0,1293.0,348.0,428.0,40.0,6.0,12.8,14.3,41.8,11.3,13.8,--
Auburn,2552.0,4638.0,5439.0,12652.0,2129.0,2559.0,29.0,8.5,15.5,18.1,42.2,7.1,8.5,--
Austinmer,128.0,325.0,275.0,965.0,273.0,248.0,40.0,5.8,14.7,12.4,43.6,12.3,11.2,--
Avoca Beach,270.0,648.0,589.0,1725.0,472.0,493.0,38.0,6.4,15.4,14.0,41.1,11.2,11.7,--
Balgowlah,543.0,730.0,612.0,2974.0,677.0,875.0,38.0,8.5,11.4,9.5,46.4,10.6,13.6,--
Balgowlah Heights,229.0,577.0,372.0,1173.0,358.0,483.0,41.0,7.2,18.1,11.7,36.8,11.2,15.1,--
Balgownie,288.0,780.0,718.0,2151.0,763.0,876.0,40.0,5.2,14.0,12.9,38.6,13.7,15.7,--
Balmain,618.0,654.0,816.0,5380.0,1099.0,838.0,36.0,6.6,7.0,8.7,57.2,11.7,8.9,--
Balmain East,86.0,123.0,131.0,860.0,276.0,211.0,40.0,5.1,7.3,7.8,50.9,16.4,12.5,--
Bangor,268.0,716.0,959.0,2140.0,720.0,384.0,37.0,5.2,13.8,18.5,41.2,13.9,7.4,--
Banksia,167.0,331.0,405.0,1264.0,378.0,410.0,38.0,5.7,11.2,13.7,42.8,12.8,13.9,--
Bankstown,2656.0,3583.0,3818.0,11663.0,2021.0,2704.0,31.0,10.0,13.5,14.4,44.1,7.6,10.2,--
Bar Beach,45.0,167.0,204.0,600.0,133.0,173.0,36.0,3.4,12.6,15.4,45.4,10.1,13.1,--
Barden Ridge,270.0,946.0,720.0,1847.0,284.0,123.0,31.0,6.4,22.6,17.2,44.1,6.8,2.9,--
