,Australia,Australia (%)
Abbotsbury,2685.0,64.1
Australia,14072944.0,70.9
Abbotsford,3053.0,61.7
Acacia Gardens,1969.0,63.3
Adamstown,4375.0,83.1
Adamstown Heights,4296.0,82.8
Airds,2669.0,71.3
Albion Park,9224.0,81.9
Albion Park Rail,5409.0,78.0
Alexandria,3509.0,60.0
Alfords Point,2552.0,75.6
Allambie Heights,4660.0,71.3
Allawah,1917.0,38.9
Ambarvale,5153.0,70.2
Annandale,5503.0,66.4
Argenton,1125.0,84.1
Arncliffe,4345.0,51.1
Artarmon,4301.0,51.4
Ashbury,1909.0,58.9
Ashcroft,1793.0,58.0
Ashfield,8524.0,40.1
Asquith,2175.0,70.3
Auburn,9746.0,32.5
Austinmer,1783.0,80.6
Avoca Beach,3378.0,80.5
Balgowlah,4394.0,68.5
Balgowlah Heights,2166.0,67.9
Balgownie,4124.0,73.9
Balmain,5883.0,62.6
Balmain East,1088.0,64.5
Bangor,4212.0,81.2
Banksia,1467.0,49.6
Bankstown,10004.0,37.8
Bar Beach,1090.0,82.5
Barden Ridge,3421.0,81.6
Bardwell Park,1451.0,60.8
Bardwell Valley,1186.0,60.4
Barnsley,1624.0,90.3
Barrack Heights,4375.0,71.0
Barrack Point,434.0,79.1
Bass Hill,4267.0,59.1
Bateau Bay,9466.0,81.6
Baulkham Hills,23270.0,67.5
Bayview,2207.0,71.4
Beacon Hill,4284.0,69.7
Beaconsfield,336.0,50.2
Beecroft,6058.0,70.3
Belfield,3073.0,53.8
Bella Vista,3757.0,58.9
Bellambi,3162.0,75.8
Bellevue Hill,5293.0,56.0
Belmont,5585.0,86.2
Belmont North,4884.0,87.5
Belmont South,1034.0,88.7
Belmore,5046.0,41.6
Belrose,5929.0,70.5
Bensville,2374.0,84.3
Berala,3145.0,39.9
Berkeley,5018.0,67.7
Berkeley Vale,6700.0,84.0
Berowra,3237.0,75.6
Berowra Heights,3995.0,77.1
Beverley Park,1216.0,60.7
Beverly Hills,4365.0,54.2
Bexley,9486.0,52.9
Bexley North,2194.0,58.3
Bidwill,2946.0,68.1
Birchgrove,2239.0,63.6
Birmingham Gardens,1425.0,77.2
Birrong,1004.0,50.6
Blackalls Park,2395.0,86.4
Blackbutt,2148.0,69.2
Blackett,2196.0,68.4
Blacksmiths,1067.0,89.8
Blacktown,20764.0,53.4
Blackwall,1438.0,77.4
Blairmount,385.0,71.2
Blakehurst,3525.0,66.0
Blaxland,5687.0,81.8
Blue Bay,724.0,78.5
Blue Haven,4908.0,83.5
Bolton Point,1868.0,86.6
Bondi,3970.0,42.4
Bondi Beach,4254.0,41.0
Bondi Junction,3267.0,40.8
Bonnet Bay,1795.0,82.2
Bonnyrigg,3400.0,40.9
Bonnyrigg Heights,3088.0,44.5
Booker Bay,1076.0,76.6
Boolaroo,847.0,88.8
Booragul,1258.0,88.2
Bossley Park,6629.0,47.6
Botany,4705.0,63.1
Bow Bowing,1001.0,62.5
Bradbury,6621.0,71.7
Broadmeadow,1412.0,81.6
Bronte,3779.0,61.7
Brookvale,1931.0,59.9
Budgewoi,2401.0,81.3
Buff Point,2782.0,81.2
Bulli,4251.0,78.0
Burwood,3881.0,32.4
Burwood Heights,579.0,57.3
Busby,2390.0,60.5
Cabarita,1305.0,58.5
Cabramatta,5448.0,27.5
Cabramatta West,2571.0,40.2
Cambridge Gardens,1669.0,80.3
Cambridge Park,4717.0,78.9
Camden,2594.0,81.9
Camden South,3598.0,82.5
Cammeray,4178.0,62.4
Campbelltown,5549.0,69.2
Camperdown,3803.0,58.1
Campsie,6135.0,29.9
Canada Bay,744.0,60.6
Canley Heights,3870.0,39.4
Canley Vale,2981.0,33.2
Canterbury,2496.0,46.1
Canton Beach,820.0,79.2
Cardiff,5032.0,86.8
Cardiff Heights,2296.0,85.4
Cardiff South,2460.0,85.4
Caringbah,16683.0,78.4
Carlingford,11782.0,55.1
Carlton,4600.0,47.7
Carramar,1104.0,37.3
Carrington (Newcastle),1423.0,79.3
Carss Park,889.0,73.2
Cartwright,1130.0,54.2
Castle Cove,1349.0,56.7
Castle Hill,23228.0,65.6
Castlecrag,1843.0,65.7
Casula,7245.0,54.9
Caves Beach,3569.0,86.2
Cecil Hills,3603.0,53.2
Centennial Park,1175.0,55.0
Charlestown,9817.0,83.7
Charmhaven,1862.0,84.2
Chatswood,4692.0,34.7
Chatswood West,4054.0,52.1
Cheltenham,1544.0,73.7
Cherrybrook,10355.0,56.0
Chester Hill,5685.0,54.1
Chifley,2051.0,66.6
Chippendale,1194.0,29.4
Chipping Norton,5546.0,64.7
Chiswick,1332.0,56.0
Chittaway Bay,1793.0,84.3
Chittaway Point,667.0,83.0
Church Point,799.0,69.3
Claremont Meadows,2383.0,69.0
Claymore,2091.0,63.5
Clontarf,1086.0,68.7
Clovelly,2935.0,66.3
Coal Point,1456.0,84.1
Coledale,799.0,83.0
Collaroy,10519.0,74.0
Colyton,5282.0,67.0
Como,3131.0,83.8
Concord,8076.0,62.1
Concord West,3561.0,64.5
Condell Park,5464.0,52.5
Coniston,1123.0,59.6
Connells Point,2040.0,71.2
Coogee,7721.0,58.6
Cooks Hill,2270.0,77.4
Copacabana,2128.0,79.6
Cordeaux Heights,3796.0,74.9
Corrimal,4844.0,74.1
Cranebrook,10413.0,79.5
Cremorne,5859.0,56.1
Cremorne Point,1046.0,57.5
Cringila,1011.0,46.4
Cromer,5597.0,73.3
Cronulla,12204.0,72.8
Croudace Bay,349.0,88.6
Crows Nest,1875.0,59.4
Croydon,5095.0,52.8
Croydon Park,5751.0,55.0
Curl Curl,1613.0,76.2
Currans Hill,4043.0,81.2
Daceyville,673.0,56.6
Daleys Point,403.0,76.3
Dapto,7968.0,76.0
Darling Point,2158.0,56.1
Darlinghurst,3649.0,36.0
Darlington (Sydney),1038.0,47.5
Davidson,1721.0,71.0
Davistown,1942.0,84.5
Dawes Point,285.0,37.3
Dean Park,1801.0,57.9
Dee Why,9770.0,55.9
Denistone,2322.0,67.6
Denistone East,1257.0,61.9
Denistone West,502.0,66.3
Dharruk,1727.0,61.6
Dolans Bay,1017.0,82.8
Dolls Point,960.0,57.7
Doonside,7399.0,56.8
Double Bay,2645.0,56.2
Dover Heights,1947.0,49.5
Drummoyne,6774.0,65.2
Dudley,1949.0,87.0
Dulwich Hill,6446.0,52.8
Dundas,5283.0,54.6
Dundas Valley,3552.0,56.8
Dural (Baulkham Hills and Hornsby),4856.0,68.8
Eagle Vale,3695.0,66.1
Earlwood,9089.0,54.9
East Gosford,2605.0,74.1
East Hills,1947.0,75.5
East Killara,1302.0,45.7
East Lindfield,2275.0,63.1
East Ryde,1593.0,70.8
Eastern Creek,389.0,71.2
Eastlakes,2548.0,38.5
Eastwood,6789.0,47.1
Edensor Park,4413.0,47.4
Edgecliff,828.0,50.8
Edgeworth,5157.0,87.3
Elanora Heights,2901.0,76.6
Elderslie (Camden),2207.0,83.3
Eleebana,4761.0,84.1
Elermore Vale,3904.0,82.6
Elizabeth Bay,2437.0,49.3
Emerton,1304.0,58.8
Empire Bay,1994.0,84.0
Emu Heights,2742.0,82.6
Emu Plains,6245.0,78.6
Enfield,1331.0,51.8
Engadine,14989.0,83.6
Enmore (Marrickville),1890.0,56.2
Epping,10174.0,53.6
Erina,3797.0,76.5
Ermington,6502.0,62.9
Erskine Park,4928.0,71.2
Erskineville,4018.0,61.3
Eschol Park,1958.0,75.3
Ettalong Beach,3305.0,78.5
Fairfield,4771.0,30.8
Fairfield East,1848.0,41.3
Fairfield Heights,2149.0,35.8
Fairfield West,4576.0,44.4
Fairlight,3641.0,64.7
Fairy Meadow,4292.0,66.8
Farmborough Heights,2867.0,74.4
Faulconbridge,3234.0,80.6
Fennell Bay,1324.0,85.5
Figtree,7736.0,74.5
Five Dock,4783.0,60.1
Fletcher,1713.0,88.5
Flinders,3192.0,76.9
Floraville,1328.0,88.9
Forest Lodge,1396.0,58.0
Forestville,5271.0,67.6
Forresters Beach,1881.0,82.2
Frenchs Forest,8788.0,70.0
Garden Suburb,1445.0,84.2
Gateshead,3103.0,87.5
Georges Hall,5172.0,64.3
Georgetown,1595.0,85.9
Girraween,2040.0,50.3
Gladesville,7163.0,66.1
Glebe,6100.0,55.1
Glen Alpine,3096.0,70.3
Glenbrook,4272.0,83.1
Glendale,2633.0,87.9
Glendenning,2608.0,54.1
Glenfield,3827.0,56.6
Glenhaven,4164.0,74.1
Glenmore Park,14611.0,76.1
Glenning Valley,1618.0,84.6
Glenwood,7882.0,56.7
Gordon,3436.0,57.3
Gorokan,5804.0,82.1
Gosford,1903.0,63.0
Granville,10846.0,47.4
Grays Point,2309.0,81.6
Green Point (Gosford),4969.0,76.9
Green Valley,5216.0,43.6
Greenacre,11828.0,52.7
Greenfield Park,2166.0,41.1
Greenwich,3159.0,62.5
Greystanes,13218.0,65.6
Guildford,5517.0,49.0
Guildford West,2542.0,60.3
Gwynneville,1544.0,61.2
Gymea,5316.0,78.2
Gymea Bay,6323.0,85.2
Haberfield,4189.0,63.6
Halekulani,1961.0,82.4
Hamilton,2866.0,77.2
Hamilton East,791.0,82.4
Hamilton North,720.0,86.0
Hamilton South,3089.0,78.7
Hammondville,2069.0,71.9
Harrington Park,4666.0,77.1
Harris Park,2122.0,31.0
Hassall Grove,2594.0,59.3
Haymarket,349.0,8.1
Heathcote,5009.0,85.6
Hebersham,3534.0,62.0
Heckenberg,1643.0,57.2
Henley,339.0,70.9
Highfields,578.0,84.3
Hillsborough (Lake Macquarie),601.0,90.6
Hillsdale,1782.0,39.0
Hinchinbrook,5285.0,50.7
