,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
Abbotsbury,300.0,1733.0,3.7,1.1,--,--,--,--
Australia,190.0,1300.0,2.6,1.1,--,--,--,--
Abbotsford,327.0,2167.0,2.3,1.1,--,--,--,--
Acacia Gardens,298.0,2253.0,3.3,1.1,--,--,--,--
Adamstown,180.0,1300.0,2.2,1.1,--,--,--,--
Adamstown Heights,230.0,1390.0,2.6,1.0,--,--,--,--
Airds,120.0,867.0,3.1,1.2,--,--,--,--
Albion Park,220.0,1550.0,3.1,1.1,--,--,--,--
Albion Park Rail,200.0,1339.0,2.7,1.1,--,--,--,--
Alexandria,340.0,2167.0,2.0,1.2,--,--,--,--
Alfords Point,405.0,1780.0,3.7,1.0,--,--,--,--
Allambie Heights,250.0,2098.0,2.8,1.1,--,--,--,--
Allawah,240.0,1733.0,2.4,1.2,--,--,--,--
Ambarvale,180.0,1408.0,3.1,1.1,--,--,--,--
Annandale,320.0,2340.0,2.1,1.1,--,--,--,--
Argenton,170.0,1085.0,2.4,1.2,--,--,--,--
Arncliffe,220.0,1924.0,2.8,1.2,--,--,--,--
Artarmon,335.0,2167.0,2.3,1.2,--,--,--,--
Ashbury,330.0,2000.0,3.0,1.1,--,--,--,--
Ashcroft,125.0,1300.0,2.9,1.2,--,--,--,--
Ashfield,245.0,1733.0,2.3,1.3,--,--,--,--
Asquith,310.0,1928.0,2.8,1.1,--,--,--,--
Auburn,215.0,1500.0,3.3,1.4,--,--,--,--
Austinmer,295.0,1800.0,2.8,1.1,--,--,--,--
Avoca Beach,250.0,1720.0,2.7,1.1,--,--,--,--
Balgowlah,320.0,2286.0,2.4,1.1,--,--,--,--
Balgowlah Heights,695.0,2800.0,3.0,1.0,--,--,--,--
Balgownie,225.0,1733.0,2.7,1.1,--,--,--,--
Balmain,375.0,2565.0,2.1,1.1,--,--,--,--
Balmain East,355.0,2383.0,2.1,1.1,--,--,--,--
Bangor,348.0,1750.0,3.2,1.1,--,--,--,--
Banksia,290.0,1973.0,2.9,1.2,--,--,--,--
Bankstown,220.0,1517.0,2.9,1.4,--,--,--,--
Bar Beach,143.0,2167.0,2.1,1.1,--,--,--,--
Barden Ridge,370.0,1757.0,3.7,1.0,--,--,--,--
Bardwell Park,300.0,2000.0,2.8,1.1,--,--,--,--
Bardwell Valley,280.0,1625.0,2.8,1.2,--,--,--,--
Barnsley,200.0,1170.0,3.0,1.1,--,--,--,--
Barrack Heights,170.0,1343.0,2.7,1.1,--,--,--,--
Barrack Point,200.0,2000.0,2.2,1.0,--,--,--,--
Bass Hill,200.0,1733.0,2.9,1.2,--,--,--,--
Bateau Bay,210.0,1500.0,2.5,1.1,--,--,--,--
Baulkham Hills,300.0,1950.0,2.9,1.1,--,--,--,--
Bayview,470.0,2203.0,2.5,1.0,--,--,--,--
Beacon Hill,431.0,2097.0,3.1,1.1,--,--,--,--
Beaconsfield,340.0,2326.0,2.4,1.2,--,--,--,--
Beecroft,380.0,2167.0,3.0,1.0,--,--,--,--
Belfield,250.0,1800.0,2.8,1.2,--,--,--,--
Bella Vista,420.0,2167.0,3.6,1.0,--,--,--,--
Bellambi,135.0,1407.0,2.5,1.1,--,--,--,--
Bellevue Hill,370.0,2700.0,2.4,1.1,--,--,--,--
Belmont,165.0,1517.0,2.3,1.1,--,--,--,--
Belmont North,170.0,1300.0,2.6,1.1,--,--,--,--
Belmont South,170.0,1200.0,2.5,1.1,--,--,--,--
Belmore,185.0,1600.0,2.7,1.2,--,--,--,--
Belrose,475.0,2167.0,2.8,1.0,--,--,--,--
Bensville,260.0,1700.0,3.2,1.1,--,--,--,--
Berala,195.0,1500.0,3.0,1.3,--,--,--,--
Berkeley,126.0,1300.0,2.7,1.1,--,--,--,--
Berkeley Vale,220.0,1408.0,2.7,1.1,--,--,--,--
Berowra,321.0,1800.0,3.1,1.1,--,--,--,--
Berowra Heights,333.0,1842.0,3.0,1.1,--,--,--,--
Beverley Park,300.0,1842.0,2.8,1.1,--,--,--,--
Beverly Hills,260.0,1733.0,2.7,1.1,--,--,--,--
Bexley,250.0,1793.0,2.8,1.2,--,--,--,--
Bexley North,250.0,1950.0,2.8,1.2,--,--,--,--
Bidwill,125.0,1400.0,3.1,1.2,--,--,--,--
Birchgrove,410.0,2817.0,2.3,1.1,--,--,--,--
