,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Abbotsbury,1135.0,13.0,0.0,0.0,0.0,98.9,1.1,0.0,0.0,0.0
Australia,5685387.0,702550.0,1076315.0,127337.0,4594.0,74.8,9.2,14.2,1.7,0.1
Abbotsford,696.0,359.0,1111.0,13.0,0.0,31.9,16.5,51.0,0.6,0.0
Acacia Gardens,853.0,83.0,0.0,0.0,0.0,91.1,8.9,0.0,0.0,0.0
Adamstown,1589.0,341.0,351.0,10.0,0.0,69.4,14.9,15.3,0.4,0.0
Adamstown Heights,1884.0,23.0,54.0,3.0,3.0,95.8,1.2,2.7,0.2,0.2
Airds,793.0,379.0,28.0,0.0,3.0,65.9,31.5,2.3,0.0,0.2
Albion Park,3289.0,277.0,83.0,7.0,0.0,90.0,7.6,2.3,0.2,0.0
Albion Park Rail,2029.0,348.0,94.0,4.0,0.0,82.0,14.1,3.8,0.2,0.0
Alexandria,581.0,649.0,1639.0,25.0,6.0,20.0,22.4,56.5,0.9,0.2
Alfords Point,924.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Allambie Heights,2004.0,49.0,209.0,0.0,0.0,88.6,2.2,9.2,0.0,0.0
Allawah,314.0,71.0,1667.0,0.0,0.0,15.3,3.5,81.2,0.0,0.0
Ambarvale,1952.0,323.0,104.0,0.0,0.0,82.1,13.6,4.4,0.0,0.0
Annandale,870.0,1718.0,983.0,93.0,0.0,23.7,46.9,26.8,2.5,0.0
Argenton,486.0,15.0,38.0,5.0,0.0,89.3,2.8,7.0,0.9,0.0
Arncliffe,1844.0,301.0,760.0,16.0,0.0,63.1,10.3,26.0,0.5,0.0
Artarmon,825.0,244.0,2563.0,5.0,0.0,22.7,6.7,70.5,0.1,0.0
Ashbury,1061.0,26.0,5.0,3.0,0.0,96.9,2.4,0.5,0.3,0.0
Ashcroft,847.0,23.0,207.0,0.0,0.0,78.6,2.1,19.2,0.0,0.0
Ashfield,2397.0,1077.0,5141.0,49.0,0.0,27.7,12.4,59.3,0.6,0.0
Asquith,1026.0,38.0,31.0,16.0,0.0,92.3,3.4,2.8,1.4,0.0
Auburn,4697.0,850.0,3635.0,28.0,17.0,50.9,9.2,39.4,0.3,0.2
Austinmer,695.0,47.0,39.0,8.0,0.0,88.1,6.0,4.9,1.0,0.0
Avoca Beach,1261.0,85.0,48.0,119.0,0.0,83.3,5.6,3.2,7.9,0.0
Balgowlah,1133.0,414.0,1104.0,18.0,0.0,42.5,15.5,41.4,0.7,0.0
Balgowlah Heights,1024.0,14.0,11.0,0.0,0.0,97.6,1.3,1.0,0.0,0.0
Balgownie,1622.0,343.0,57.0,11.0,0.0,79.8,16.9,2.8,0.5,0.0
Balmain,1264.0,1688.0,1417.0,94.0,0.0,28.3,37.8,31.7,2.1,0.0
Balmain East,156.0,289.0,367.0,7.0,0.0,19.0,35.3,44.8,0.9,0.0
Bangor,1459.0,142.0,0.0,29.0,0.0,89.5,8.7,0.0,1.8,0.0
Banksia,833.0,91.0,61.0,18.0,0.0,83.1,9.1,6.1,1.8,0.0
Bankstown,3099.0,1117.0,4856.0,12.0,0.0,34.1,12.3,53.5,0.1,0.0
Bar Beach,241.0,42.0,352.0,0.0,0.0,38.0,6.6,55.4,0.0,0.0
Barden Ridge,1050.0,68.0,17.0,0.0,0.0,92.5,6.0,1.5,0.0,0.0
Bardwell Park,711.0,53.0,83.0,0.0,0.0,83.9,6.3,9.8,0.0,0.0
Bardwell Valley,456.0,121.0,110.0,3.0,0.0,66.1,17.5,15.9,0.4,0.0
Barnsley,593.0,0.0,4.0,0.0,0.0,99.3,0.0,0.7,0.0,0.0
Barrack Heights,2007.0,136.0,116.0,3.0,0.0,88.7,6.0,5.1,0.1,0.0
Barrack Point,145.0,11.0,26.0,67.0,0.0,58.2,4.4,10.4,26.9,0.0
Bass Hill,1938.0,289.0,158.0,72.0,0.0,78.9,11.8,6.4,2.9,0.0
Bateau Bay,3665.0,471.0,350.0,13.0,0.0,81.5,10.5,7.8,0.3,0.0
Baulkham Hills,9609.0,1693.0,578.0,13.0,5.0,80.8,14.2,4.9,0.1,0.0
Bayview,1135.0,46.0,4.0,7.0,0.0,95.2,3.9,0.3,0.6,0.0
Beacon Hill,1834.0,133.0,33.0,0.0,0.0,91.7,6.7,1.7,0.0,0.0
Beaconsfield,199.0,9.0,77.0,0.0,0.0,69.8,3.2,27.0,0.0,0.0
Beecroft,2635.0,95.0,54.0,0.0,0.0,94.6,3.4,1.9,0.0,0.0
Belfield,1457.0,434.0,90.0,21.0,4.0,72.6,21.6,4.5,1.0,0.2
Bella Vista,1496.0,303.0,4.0,7.0,0.0,82.7,16.7,0.2,0.4,0.0
Bellambi,858.0,502.0,308.0,3.0,0.0,51.3,30.0,18.4,0.2,0.0
Bellevue Hill,1337.0,230.0,2309.0,5.0,5.0,34.4,5.9,59.4,0.1,0.1
Belmont,1945.0,201.0,374.0,204.0,0.0,71.4,7.4,13.7,7.5,0.0
Belmont North,1818.0,174.0,46.0,0.0,0.0,89.2,8.5,2.3,0.0,0.0
Belmont South,382.0,30.0,45.0,21.0,0.0,79.9,6.3,9.4,4.4,0.0
Belmore,2236.0,689.0,1455.0,46.0,0.0,50.5,15.6,32.9,1.0,0.0
Belrose,2252.0,513.0,44.0,3.0,0.0,80.1,18.2,1.6,0.1,0.0
Bensville,865.0,6.0,0.0,0.0,0.0,99.3,0.7,0.0,0.0,0.0
Berala,1721.0,229.0,672.0,33.0,13.0,64.5,8.6,25.2,1.2,0.5
Berkeley,2373.0,132.0,238.0,18.0,0.0,85.9,4.8,8.6,0.7,0.0
Berkeley Vale,2589.0,48.0,234.0,3.0,0.0,90.1,1.7,8.1,0.1,0.0
Berowra,1285.0,66.0,12.0,4.0,0.0,94.0,4.8,0.9,0.3,0.0
Berowra Heights,1660.0,18.0,8.0,0.0,0.0,98.5,1.1,0.5,0.0,0.0
Beverley Park,662.0,28.0,30.0,0.0,0.0,91.9,3.9,4.2,0.0,0.0
Beverly Hills,2169.0,341.0,403.0,12.0,0.0,74.2,11.7,13.8,0.4,0.0
Bexley,3521.0,1430.0,1173.0,50.0,4.0,57.0,23.1,19.0,0.8,0.1
Bexley North,1123.0,132.0,72.0,6.0,6.0,83.9,9.9,5.4,0.4,0.4
Bidwill,946.0,420.0,12.0,0.0,0.0,68.7,30.5,0.9,0.0,0.0
Birchgrove,507.0,706.0,357.0,4.0,0.0,32.2,44.9,22.7,0.3,0.0
Birmingham Gardens,672.0,17.0,53.0,0.0,0.0,90.6,2.3,7.1,0.0,0.0
Birrong,608.0,52.0,15.0,6.0,0.0,89.3,7.6,2.2,0.9,0.0
Blackalls Park,948.0,106.0,4.0,0.0,0.0,89.6,10.0,0.4,0.0,0.0
Blackbutt,752.0,344.0,10.0,0.0,0.0,68.0,31.1,0.9,0.0,0.0
Blackett,960.0,99.0,3.0,0.0,0.0,90.4,9.3,0.3,0.0,0.0
Blacksmiths,434.0,8.0,6.0,7.0,0.0,95.4,1.8,1.3,1.5,0.0
Blacktown,10351.0,1760.0,1686.0,47.0,6.0,74.7,12.7,12.2,0.3,0.0
Blackwall,651.0,115.0,11.0,9.0,0.0,82.8,14.6,1.4,1.1,0.0
Blairmount,103.0,0.0,24.0,0.0,0.0,81.1,0.0,18.9,0.0,0.0
Blakehurst,1565.0,67.0,117.0,0.0,0.0,89.5,3.8,6.7,0.0,0.0
Blaxland,2329.0,62.0,84.0,3.0,3.0,93.9,2.5,3.4,0.1,0.1
Blue Bay,248.0,120.0,67.0,0.0,0.0,57.0,27.6,15.4,0.0,0.0
Blue Haven,1931.0,76.0,4.0,0.0,0.0,96.0,3.8,0.2,0.0,0.0
Bolton Point,624.0,81.0,61.0,6.0,0.0,80.8,10.5,7.9,0.8,0.0
Bondi,640.0,489.0,3228.0,98.0,0.0,14.4,11.0,72.5,2.2,0.0
Bondi Beach,395.0,536.0,4280.0,45.0,5.0,7.5,10.2,81.4,0.9,0.1
Bondi Junction,288.0,1036.0,2500.0,11.0,0.0,7.5,27.0,65.2,0.3,0.0
Bonnet Bay,714.0,0.0,4.0,0.0,0.0,99.4,0.0,0.6,0.0,0.0
Bonnyrigg,1981.0,437.0,28.0,6.0,0.0,80.8,17.8,1.1,0.2,0.0
Bonnyrigg Heights,1810.0,57.0,0.0,0.0,0.0,96.9,3.1,0.0,0.0,0.0
Booker Bay,344.0,186.0,113.0,11.0,0.0,52.6,28.4,17.3,1.7,0.0
Boolaroo,374.0,0.0,17.0,3.0,0.0,94.9,0.0,4.3,0.8,0.0
Booragul,453.0,10.0,45.0,3.0,0.0,88.6,2.0,8.8,0.6,0.0
Bossley Park,3938.0,98.0,53.0,25.0,0.0,95.7,2.4,1.3,0.6,0.0
Botany,1195.0,694.0,808.0,46.0,3.0,43.5,25.3,29.4,1.7,0.1
Bow Bowing,491.0,6.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0,0.0
Bradbury,2802.0,300.0,190.0,4.0,0.0,85.0,9.1,5.8,0.1,0.0
Broadmeadow,557.0,77.0,116.0,11.0,3.0,72.9,10.1,15.2,1.4,0.4
Bronte,1057.0,379.0,1137.0,18.0,0.0,40.8,14.6,43.9,0.7,0.0
Brookvale,688.0,50.0,500.0,24.0,0.0,54.5,4.0,39.6,1.9,0.0
Budgewoi,1150.0,86.0,27.0,17.0,9.0,89.2,6.7,2.1,1.3,0.7
Buff Point,1196.0,12.0,0.0,128.0,0.0,89.5,0.9,0.0,9.6,0.0
Bulli,1590.0,234.0,183.0,8.0,0.0,78.9,11.6,9.1,0.4,0.0
Burwood,1771.0,410.0,2181.0,8.0,0.0,40.5,9.4,49.9,0.2,0.0
Burwood Heights,240.0,7.0,23.0,0.0,0.0,88.9,2.6,8.5,0.0,0.0
Busby,1174.0,43.0,61.0,0.0,0.0,91.9,3.4,4.8,0.0,0.0
Cabarita,515.0,108.0,154.0,7.0,0.0,65.7,13.8,19.6,0.9,0.0
Cabramatta,2518.0,1167.0,2934.0,12.0,4.0,38.0,17.6,44.2,0.2,0.1
Cabramatta West,1778.0,151.0,16.0,0.0,0.0,91.4,7.8,0.8,0.0,0.0
Cambridge Gardens,682.0,6.0,0.0,0.0,0.0,99.1,0.9,0.0,0.0,0.0
Cambridge Park,2046.0,115.0,6.0,0.0,0.0,94.4,5.3,0.3,0.0,0.0
Camden,917.0,107.0,217.0,18.0,0.0,72.8,8.5,17.2,1.4,0.0
Camden South,1526.0,24.0,4.0,0.0,0.0,98.2,1.5,0.3,0.0,0.0
Cammeray,803.0,623.0,1754.0,14.0,4.0,25.1,19.5,54.8,0.4,0.1
Campbelltown,2344.0,424.0,429.0,17.0,0.0,72.9,13.2,13.3,0.5,0.0
Camperdown,121.0,848.0,1933.0,26.0,0.0,4.1,29.0,66.0,0.9,0.0
Campsie,2396.0,847.0,4188.0,31.0,0.0,32.1,11.4,56.1,0.4,0.0
Canada Bay,287.0,63.0,131.0,0.0,0.0,59.7,13.1,27.2,0.0,0.0
Canley Heights,2502.0,409.0,28.0,16.0,0.0,84.7,13.8,0.9,0.5,0.0
Canley Vale,1646.0,443.0,814.0,22.0,16.0,56.0,15.1,27.7,0.7,0.5
Canterbury,1071.0,217.0,684.0,28.0,0.0,53.6,10.9,34.2,1.4,0.0
Canton Beach,432.0,28.0,9.0,62.0,0.0,81.4,5.3,1.7,11.7,0.0
Cardiff,2042.0,119.0,116.0,7.0,0.0,89.4,5.2,5.1,0.3,0.0
Cardiff Heights,842.0,17.0,85.0,0.0,4.0,88.8,1.8,9.0,0.0,0.4
Cardiff South,962.0,33.0,106.0,0.0,0.0,87.4,3.0,9.6,0.0,0.0
Caringbah,4701.0,1742.0,1939.0,12.0,7.0,56.0,20.7,23.1,0.1,0.1
Carlingford,5587.0,715.0,734.0,11.0,0.0,79.3,10.1,10.4,0.2,0.0
Carlton,1870.0,124.0,1544.0,12.0,4.0,52.6,3.5,43.4,0.3,0.1
Carramar,489.0,159.0,552.0,9.0,0.0,40.4,13.2,45.7,0.7,0.0
Carrington (Newcastle),528.0,231.0,58.0,7.0,0.0,64.1,28.0,7.0,0.8,0.0
Carss Park,350.0,75.0,21.0,0.0,0.0,78.5,16.8,4.7,0.0,0.0
Cartwright,545.0,41.0,249.0,0.0,0.0,65.3,4.9,29.8,0.0,0.0
Castle Cove,796.0,9.0,0.0,0.0,0.0,98.9,1.1,0.0,0.0,0.0
Castle Hill,9172.0,1460.0,1091.0,7.0,0.0,78.2,12.4,9.3,0.1,0.0
Castlecrag,931.0,5.0,7.0,4.0,0.0,98.3,0.5,0.7,0.4,0.0
Casula,3000.0,1158.0,156.0,12.0,0.0,69.3,26.8,3.6,0.3,0.0
Caves Beach,1390.0,37.0,29.0,10.0,0.0,94.8,2.5,2.0,0.7,0.0
Cecil Hills,1735.0,73.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,0.0
Centennial Park,107.0,94.0,983.0,0.0,0.0,9.0,7.9,83.0,0.0,0.0
Charlestown,3775.0,461.0,465.0,6.0,0.0,80.2,9.8,9.9,0.1,0.0
Charmhaven,807.0,10.0,7.0,4.0,0.0,97.5,1.2,0.8,0.5,0.0
Chatswood,1678.0,381.0,3505.0,7.0,0.0,30.1,6.8,62.9,0.1,0.0
Chatswood West,1889.0,122.0,1003.0,3.0,0.0,62.6,4.0,33.2,0.1,0.0
Cheltenham,665.0,9.0,0.0,0.0,0.0,98.7,1.3,0.0,0.0,0.0
Cherrybrook,4669.0,954.0,65.0,0.0,3.0,82.0,16.8,1.1,0.0,0.1
Chester Hill,2868.0,441.0,265.0,13.0,0.0,80.0,12.3,7.4,0.4,0.0
Chifley,706.0,201.0,211.0,4.0,6.0,62.6,17.8,18.7,0.4,0.5
Chippendale,20.0,428.0,1520.0,26.0,0.0,1.0,21.5,76.2,1.3,0.0
Chipping Norton,2424.0,156.0,256.0,3.0,0.0,85.4,5.5,9.0,0.1,0.0
Chiswick,241.0,49.0,847.0,0.0,3.0,21.1,4.3,74.3,0.0,0.3
Chittaway Bay,724.0,7.0,14.0,3.0,0.0,96.8,0.9,1.9,0.4,0.0
Chittaway Point,293.0,4.0,0.0,0.0,0.0,98.7,1.3,0.0,0.0,0.0
Church Point,324.0,61.0,8.0,9.0,0.0,80.6,15.2,2.0,2.2,0.0
Claremont Meadows,1001.0,77.0,0.0,0.0,0.0,92.9,7.1,0.0,0.0,0.0
Claymore,263.0,708.0,0.0,0.0,0.0,27.1,72.9,0.0,0.0,0.0
Clontarf,504.0,11.0,3.0,7.0,0.0,96.0,2.1,0.6,1.3,0.0
Clovelly,639.0,382.0,806.0,19.0,0.0,34.6,20.7,43.7,1.0,0.0
Coal Point,614.0,5.0,6.0,0.0,4.0,97.6,0.8,1.0,0.0,0.6
Coledale,315.0,5.0,18.0,3.0,0.0,92.4,1.5,5.3,0.9,0.0
Collaroy,3282.0,155.0,1753.0,26.0,0.0,62.9,3.0,33.6,0.5,0.0
Colyton,2602.0,72.0,27.0,0.0,0.0,96.3,2.7,1.0,0.0,0.0
Como,1161.0,67.0,3.0,4.0,0.0,94.0,5.4,0.2,0.3,0.0
Concord,3416.0,288.0,947.0,21.0,0.0,73.1,6.2,20.3,0.4,0.0
Concord West,1658.0,75.0,201.0,5.0,0.0,85.5,3.9,10.4,0.3,0.0
Condell Park,2560.0,702.0,27.0,0.0,0.0,77.8,21.3,0.8,0.0,0.0
Coniston,404.0,142.0,223.0,5.0,0.0,52.2,18.3,28.8,0.6,0.0
Connells Point,807.0,161.0,6.0,3.0,0.0,82.6,16.5,0.6,0.3,0.0
Coogee,763.0,596.0,4944.0,28.0,3.0,12.0,9.4,78.1,0.4,0.0
Cooks Hill,394.0,587.0,457.0,11.0,4.0,27.1,40.4,31.5,0.8,0.3
Copacabana,907.0,23.0,8.0,0.0,0.0,96.7,2.5,0.9,0.0,0.0
Cordeaux Heights,1413.0,42.0,4.0,0.0,15.0,95.9,2.8,0.3,0.0,1.0
Corrimal,1795.0,459.0,387.0,4.0,0.0,67.9,17.4,14.6,0.2,0.0
Cranebrook,3957.0,253.0,9.0,0.0,0.0,93.8,6.0,0.2,0.0,0.0
Cremorne,977.0,696.0,3585.0,0.0,0.0,18.6,13.2,68.2,0.0,0.0
Cremorne Point,146.0,73.0,723.0,0.0,0.0,15.5,7.7,76.8,0.0,0.0
Cringila,707.0,5.0,35.0,0.0,0.0,94.6,0.7,4.7,0.0,0.0
Cromer,2057.0,196.0,439.0,14.0,0.0,76.0,7.2,16.2,0.5,0.0
Cronulla,1738.0,541.0,5859.0,22.0,17.0,21.3,6.6,71.7,0.3,0.2
Croudace Bay,149.0,5.0,0.0,0.0,0.0,96.8,3.2,0.0,0.0,0.0
Crows Nest,247.0,613.0,632.0,118.0,0.0,15.3,38.1,39.3,7.3,0.0
Croydon,2294.0,427.0,624.0,56.0,0.0,67.5,12.6,18.3,1.6,0.0
Croydon Park,2357.0,497.0,1095.0,22.0,0.0,59.4,12.5,27.6,0.6,0.0
Curl Curl,549.0,86.0,115.0,0.0,0.0,73.2,11.5,15.3,0.0,0.0
