,Worked full-time,Worked part-time,Away from work,Hours worked not stated,Unemployed,Not in the labour force,Total labour force (includes employed and unemployed people),Worked full-time (%),Worked part-time (%),Away from work (%),Hours worked not stated (%),Unemployed (%),Not in the labour force (%),Total labour force (includes employed and unemployed people) (%)
Abbotsbury,1467.0,642.0,56.0,94.0,100.0,790.0,2359.0,62.2,27.2,2.4,4.0,4.2,--,--
Australia,5827432.0,2685193.0,337991.0,253567.0,503804.0,5271116.0,9607987.0,60.7,27.9,3.5,2.6,5.2,--,--
Abbotsford,1812.0,578.0,79.0,53.0,66.0,1234.0,2588.0,70.0,22.3,3.1,2.0,2.6,--,--
Acacia Gardens,1252.0,399.0,60.0,39.0,48.0,460.0,1798.0,69.6,22.2,3.3,2.2,2.7,--,--
Adamstown,1486.0,707.0,100.0,40.0,197.0,1443.0,2530.0,58.7,27.9,4.0,1.6,7.8,--,--
Adamstown Heights,1373.0,892.0,89.0,61.0,115.0,1599.0,2530.0,54.3,35.3,3.5,2.4,4.5,--,--
Airds,377.0,206.0,20.0,47.0,246.0,1273.0,896.0,42.1,23.0,2.2,5.2,27.5,--,--
Albion Park,3260.0,1606.0,216.0,141.0,287.0,2442.0,5510.0,59.2,29.1,3.9,2.6,5.2,--,--
Albion Park Rail,1818.0,906.0,101.0,69.0,222.0,1976.0,3116.0,58.3,29.1,3.2,2.2,7.1,--,--
Alexandria,3040.0,617.0,125.0,54.0,112.0,598.0,3948.0,77.0,15.6,3.2,1.4,2.8,--,--
Alfords Point,1191.0,596.0,71.0,66.0,48.0,603.0,1972.0,60.4,30.2,3.6,3.3,2.4,--,--
Allambie Heights,1908.0,1095.0,87.0,98.0,73.0,1768.0,3261.0,58.5,33.6,2.7,3.0,2.2,--,--
Allawah,1678.0,582.0,78.0,63.0,181.0,1209.0,2582.0,65.0,22.5,3.0,2.4,7.0,--,--
Ambarvale,2036.0,801.0,113.0,100.0,327.0,1779.0,3377.0,60.3,23.7,3.3,3.0,9.7,--,--
Annandale,3555.0,1145.0,161.0,89.0,181.0,1400.0,5131.0,69.3,22.3,3.1,1.7,3.5,--,--
Argenton,316.0,123.0,21.0,19.0,51.0,498.0,530.0,59.6,23.2,4.0,3.6,9.6,--,--
Arncliffe,2223.0,888.0,134.0,141.0,245.0,2692.0,3631.0,61.2,24.5,3.7,3.9,6.7,--,--
Artarmon,3337.0,1082.0,147.0,79.0,177.0,1693.0,4822.0,69.2,22.4,3.0,1.6,3.7,--,--
Ashbury,994.0,480.0,46.0,36.0,48.0,822.0,1604.0,62.0,29.9,2.9,2.2,3.0,--,--
Ashcroft,566.0,188.0,25.0,49.0,142.0,1099.0,970.0,58.4,19.4,2.6,5.1,14.6,--,--
Ashfield,6765.0,2715.0,331.0,256.0,674.0,5626.0,10741.0,63.0,25.3,3.1,2.4,6.3,--,--
Asquith,993.0,517.0,57.0,40.0,65.0,776.0,1672.0,59.4,30.9,3.4,2.4,3.9,--,--
Auburn,5896.0,2544.0,279.0,502.0,1308.0,9897.0,10529.0,56.0,24.2,2.6,4.8,12.4,--,--
Austinmer,671.0,377.0,44.0,21.0,49.0,532.0,1162.0,57.7,32.4,3.8,1.8,4.2,--,--
Avoca Beach,1132.0,766.0,77.0,49.0,112.0,983.0,2136.0,53.0,35.9,3.6,2.3,5.2,--,--
Balgowlah,2156.0,984.0,139.0,83.0,97.0,1407.0,3459.0,62.3,28.4,4.0,2.4,2.8,--,--
Balgowlah Heights,799.0,477.0,52.0,27.0,56.0,858.0,1411.0,56.6,33.8,3.7,1.9,4.0,--,--
Balgownie,1580.0,814.0,78.0,64.0,124.0,1674.0,2660.0,59.4,30.6,2.9,2.4,4.7,--,--
Balmain,4132.0,1275.0,194.0,98.0,180.0,1604.0,5879.0,70.3,21.7,3.3,1.7,3.1,--,--
Balmain East,717.0,226.0,30.0,16.0,28.0,355.0,1017.0,70.5,22.2,2.9,1.6,2.8,--,--
Bangor,1968.0,952.0,89.0,70.0,67.0,906.0,3146.0,62.6,30.3,2.8,2.2,2.1,--,--
Banksia,942.0,368.0,55.0,53.0,89.0,834.0,1507.0,62.5,24.4,3.6,3.5,5.9,--,--
Bankstown,5969.0,2192.0,272.0,436.0,1116.0,8019.0,9985.0,59.8,22.0,2.7,4.4,11.2,--,--
