,School Education,"Cafes, Restaurants and Takeaway Food Services",Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Hospitals,Auxiliary Finance and Investment Services,Depository Financial Intermediation,Public Order and Safety Services,Defence,Tertiary Education,Manufacturing,Residential Care Services,"Building Cleaning, Pest Control and Gardening Services",Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Architectural, Engineering and Technical Services",Building Installation Services,Local Government Administration,"Pubs, Taverns and Bars",Air and Space Transport,Building Completion Services,Medical Services,Real Estate Services,Other Social Assistance Services,Other Machinery and Equipment Wholesaling,Employment Services,Automotive Repair and Maintenance,Postal and Courier Pick-up and Delivery Services,State Government Administration,Coal Mining,Polymer Product Manufacturing,Pharmaceutical and Other Store-Based Retailing,Department Stores,Health Care and Social Assistance,Advertising Services,Religious Services,Specialised Food Retailing,"Grocery, Liquor and Tobacco Product Wholesaling",Clothing and Footwear Manufacturing,Converted Paper Product Manufacturing,Accommodation,Clubs,Management and Related Consulting Services,"Clothing, Footwear and Personal Accessory Retailing",Allied Health Services,Meat and Meat Product Manufacturing,Timber and Hardware Goods Wholesaling,"Furniture, Floor Covering and Other Goods Wholesaling",Central Government Administration,Food Retailing,Horse and Dog Racing Activities,Land Development and Site Preparation Services,Personal Care Services,Transport Equipment Manufacturing,Petroleum and Coal Product Manufacturing,Road Passenger Transport,"Adult, Community and Other Education",Structural Metal Product Manufacturing,Telecommunications Services,Property Operators,Electrical and Electronic Goods Retailing,Mushroom and Vegetable Growing,Other Wood Product Manufacturing,Building Structure Services,Other Transport Support Services,Furniture Manufacturing,Rail Passenger Transport,Heavy and Civil Engineering Construction,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Hospitals (%),Auxiliary Finance and Investment Services (%),Depository Financial Intermediation (%),Public Order and Safety Services (%),Defence (%),Tertiary Education (%),Manufacturing (%),Residential Care Services (%),"Building Cleaning, Pest Control and Gardening Services (%)",Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Architectural, Engineering and Technical Services (%)",Building Installation Services (%),Local Government Administration (%),"Pubs, Taverns and Bars (%)",Air and Space Transport (%),Building Completion Services (%),Medical Services (%),Real Estate Services (%),Other Social Assistance Services (%),Other Machinery and Equipment Wholesaling (%),Employment Services (%),Automotive Repair and Maintenance (%),Postal and Courier Pick-up and Delivery Services (%),State Government Administration (%),Coal Mining (%),Polymer Product Manufacturing (%),Pharmaceutical and Other Store-Based Retailing (%),Department Stores (%),Health Care and Social Assistance (%),Advertising Services (%),Religious Services (%),Specialised Food Retailing (%),"Grocery, Liquor and Tobacco Product Wholesaling (%)",Clothing and Footwear Manufacturing (%),Converted Paper Product Manufacturing (%),Accommodation (%),Clubs (%),Management and Related Consulting Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Allied Health Services (%),Meat and Meat Product Manufacturing (%),Timber and Hardware Goods Wholesaling (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Central Government Administration (%),Food Retailing (%),Horse and Dog Racing Activities (%),Land Development and Site Preparation Services (%),Personal Care Services (%),Transport Equipment Manufacturing (%),Petroleum and Coal Product Manufacturing (%),Road Passenger Transport (%),"Adult, Community and Other Education (%)",Structural Metal Product Manufacturing (%),Telecommunications Services (%),Property Operators (%),Electrical and Electronic Goods Retailing (%),Mushroom and Vegetable Growing (%),Other Wood Product Manufacturing (%),Building Structure Services (%),Other Transport Support Services (%),Furniture Manufacturing (%),Rail Passenger Transport (%),Heavy and Civil Engineering Construction (%)
Abbotsbury,108,97,68,64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.3,3.0,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"414,214","328,521","162,448","163,300","185,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.6,1.8,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford,119,87,,,120,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.4,,,4.8,3.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Gardens,83,52,,,,52,,56,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.0,,,,3.0,,3.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown,110,77,,,54,117,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.3,,,2.3,5.0,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown Heights,167,90,,,79,140,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,3.7,,,3.3,5.8,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airds,,31,24,,,,,,,,,26,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.7,,,,,,,,,4.0,3.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park,247,210,,,,176,,,,,,,,,322,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.0,,,,3.4,,,,,,,,,6.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park Rail,,116,,,,96,,,,,,,100,,175,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.3,,,,,,,3.5,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,,116,,,115,,110,,,,,,,,,,127,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,2.9,,,,,,,,,,3.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
