,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Abbotsbury,54.0,0.0,21.0,8.0,66.7,0.0,25.9,9.9
Australia,1043198.0,306697.0,652012.0,62037.0,50.5,14.9,31.6,3.0
Abbotsford,473.0,147.0,123.0,16.0,62.4,19.4,16.2,2.1
Acacia Gardens,106.0,0.0,29.0,5.0,75.7,0.0,20.7,3.6
Adamstown,430.0,105.0,264.0,13.0,53.1,13.0,32.6,1.6
Adamstown Heights,151.0,4.0,79.0,3.0,63.7,1.7,33.3,1.3
Airds,12.0,973.0,17.0,27.0,1.2,94.4,1.6,2.6
Albion Park,338.0,94.0,140.0,9.0,58.1,16.2,24.1,1.5
Albion Park Rail,288.0,169.0,154.0,20.0,45.4,26.6,24.3,3.1
Alexandria,1014.0,16.0,186.0,10.0,82.7,1.3,15.2,0.8
Alfords Point,27.0,0.0,9.0,0.0,67.5,0.0,22.5,0.0
Allambie Heights,144.0,4.0,224.0,25.0,35.9,1.0,55.9,6.2
Allawah,618.0,26.0,122.0,21.0,78.2,3.3,15.4,2.7
Ambarvale,356.0,483.0,85.0,21.0,37.8,51.2,9.0,2.2
Annandale,1047.0,55.0,336.0,32.0,71.3,3.7,22.9,2.2
Argenton,62.0,37.0,57.0,6.0,37.8,22.6,34.8,3.7
Arncliffe,438.0,163.0,274.0,24.0,48.6,18.1,30.4,2.7
Artarmon,1144.0,175.0,234.0,17.0,72.8,11.1,14.9,1.1
Ashbury,85.0,7.0,55.0,3.0,57.4,4.7,37.2,2.0
Ashcroft,79.0,317.0,53.0,20.0,16.7,67.2,11.2,4.2
Ashfield,3018.0,103.0,675.0,57.0,78.3,2.7,17.5,1.5
Asquith,130.0,10.0,53.0,7.0,65.0,5.0,26.5,3.5
Auburn,2489.0,360.0,791.0,80.0,67.0,9.7,21.3,2.2
Austinmer,101.0,4.0,41.0,4.0,67.3,2.7,27.3,2.7
Avoca Beach,190.0,0.0,78.0,11.0,67.4,0.0,27.7,3.9
Balgowlah,557.0,27.0,202.0,18.0,69.2,3.4,25.1,2.2
