,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Labourers,Community and Personal Service Workers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Labourers (%),Community and Personal Service Workers (%),Machinery Operators And Drivers (%)
Abbotsbury,428,365,361,301,287,185,147,126,18.9,16.2,16.0,13.3,12.7,8.2,6.5,5.6
Australia,"1,365,805","1,309,258","1,806,010","1,202,267","896,208","952,520","801,906","604,616",15.0,14.4,19.8,13.2,9.8,10.5,8.8,6.6
Abbotsford,419,226,816,482,219,84,169,55,16.6,9.0,32.4,19.1,8.7,3.3,6.7,2.2
Acacia Gardens,356,244,352,202,179,141,125,111,20.3,13.9,20.1,11.5,10.2,8.1,7.1,6.3
Adamstown,385,326,537,243,222,232,237,126,16.5,14.0,23.0,10.4,9.5,9.9,10.2,5.4
Adamstown Heights,378,310,731,258,256,161,177,115,15.7,12.8,30.3,10.7,10.6,6.7,7.3,4.8
Airds,64,79,35,20,72,169,75,113,9.8,12.2,5.4,3.1,11.1,26.0,11.5,17.4
Albion Park,745,938,754,462,589,553,539,558,14.3,18.0,14.4,8.8,11.3,10.6,10.3,10.7
Albion Park Rail,397,547,319,196,312,377,337,362,13.7,18.9,11.0,6.8,10.8,13.0,11.6,12.5
Alexandria,599,313,"1,382",648,328,88,313,113,15.6,8.2,36.0,16.9,8.6,2.3,8.2,2.9
Alfords Point,373,236,426,321,213,117,131,73,19.4,12.3,22.1,16.7,11.1,6.1,6.8,3.8
Allambie Heights,533,452,748,473,330,240,256,113,16.7,14.2,23.5,14.8,10.4,7.5,8.0,3.5
Allawah,453,303,521,237,235,212,202,175,18.9,12.6,21.7,9.9,9.8,8.8,8.4,7.3
Ambarvale,528,438,362,238,364,390,302,361,17.3,14.4,11.9,7.8,11.9,12.8,9.9,11.8
Annandale,654,353,"2,042",926,347,158,311,88,13.2,7.1,41.3,18.7,7.0,3.2,6.3,1.8
Argenton,61,87,33,31,46,87,50,62,12.7,18.2,6.9,6.5,9.6,18.2,10.4,12.9
Arncliffe,580,482,601,336,304,387,263,330,17.1,14.2,17.7,9.9,9.0,11.4,7.8,9.7
Artarmon,712,339,"1,869",756,348,174,307,83,15.3,7.3,40.2,16.3,7.5,3.7,6.6,1.8
Ashbury,250,224,405,219,155,102,111,62,16.1,14.4,26.0,14.1,10.0,6.6,7.1,4.0
Ashcroft,104,134,73,47,83,141,77,135,12.6,16.2,8.8,5.7,10.0,17.0,9.3,16.3
Ashfield,"1,676","1,037","3,083",985,"1,002",822,795,448,16.6,10.3,30.6,9.8,10.0,8.2,7.9,4.5
Asquith,276,217,429,205,179,109,123,49,17.2,13.5,26.7,12.8,11.1,6.8,7.7,3.0
Auburn,"1,294","1,529","1,328",636,894,"1,482",660,"1,041",14.0,16.6,14.4,6.9,9.7,16.1,7.2,11.3
Austinmer,116,126,474,169,43,33,103,28,10.4,11.3,42.6,15.2,3.9,3.0,9.3,2.5
Avoca Beach,293,308,495,278,240,142,189,56,14.5,15.2,24.5,13.7,11.9,7.0,9.3,2.8
Balgowlah,515,333,"1,052",616,312,123,263,84,15.3,9.9,31.3,18.3,9.3,3.7,7.8,2.5
Balgowlah Heights,193,75,482,328,126,31,80,17,14.2,5.5,35.6,24.2,9.3,2.3,5.9,1.3
Balgownie,371,355,704,339,245,137,197,130,14.6,14.0,27.8,13.4,9.7,5.4,7.8,5.1
Balmain,693,338,"2,426","1,268",360,139,324,62,12.2,5.9,42.6,22.2,6.3,2.4,5.7,1.1
Balmain East,139,51,434,202,63,18,50,13,14.1,5.2,43.9,20.4,6.4,1.8,5.1,1.3
Bangor,616,402,673,455,346,165,245,133,20.0,13.1,21.9,14.8,11.2,5.4,8.0,4.3
Banksia,243,194,219,145,158,196,103,114,17.1,13.7,15.4,10.2,11.1,13.8,7.3,8.0
Bankstown,"1,290","1,418","1,308",704,867,"1,232",700,"1,041",14.5,16.0,14.7,7.9,9.8,13.9,7.9,11.7
Bar Beach,88,63,236,70,50,30,56,16,14.4,10.3,38.5,11.4,8.2,4.9,9.1,2.6
Barden Ridge,423,343,431,356,274,112,198,81,18.8,15.2,19.1,15.8,12.2,5.0,8.8,3.6
Bardwell Park,214,148,297,146,114,75,72,61,18.7,12.9,25.9,12.7,9.9,6.5,6.3,5.3
Bardwell Valley,172,127,194,90,86,63,65,75,19.2,14.2,21.6,10.0,9.6,7.0,7.2,8.4
Barnsley,133,194,75,63,107,134,70,100,15.0,21.9,8.5,7.1,12.1,15.1,7.9,11.3
Barrack Heights,331,434,237,166,272,330,245,263,14.2,18.6,10.1,7.1,11.6,14.1,10.5,11.2
Barrack Point,32,49,57,28,34,22,20,13,12.2,18.7,21.8,10.7,13.0,8.4,7.6,5.0
Bass Hill,465,478,327,251,236,290,208,245,18.0,18.5,12.7,9.7,9.2,11.3,8.1,9.5
Bateau Bay,638,783,705,474,670,481,516,259,13.9,17.1,15.4,10.4,14.6,10.5,11.3,5.7
Baulkham Hills,"3,449","2,301","4,850","2,724","1,882",966,"1,317",685,18.7,12.5,26.3,14.8,10.2,5.2,7.1,3.7
Bayview,175,118,324,305,104,75,85,22,14.1,9.5,26.1,24.5,8.4,6.0,6.8,1.8
Beacon Hill,594,398,722,466,357,232,231,132,18.6,12.5,22.6,14.6,11.2,7.3,7.2,4.1
Beaconsfield,54,34,109,59,25,14,26,21,15.4,9.7,31.1,16.9,7.1,4.0,7.4,6.0
Beecroft,642,295,"1,717",753,329,136,279,56,15.0,6.9,40.2,17.6,7.7,3.2,6.5,1.3
Belfield,436,367,389,264,243,196,164,165,18.9,15.9,16.9,11.5,10.5,8.5,7.1,7.2
Bella Vista,713,330,922,666,359,153,199,78,20.4,9.5,26.4,19.1,10.3,4.4,5.7,2.2
Bellambi,189,265,226,73,137,185,162,132,13.5,19.0,16.2,5.2,9.8,13.2,11.6,9.4
Bellevue Hill,638,219,"1,926","1,017",395,96,324,25,13.4,4.6,40.4,21.4,8.3,2.0,6.8,0.5
Belmont,406,460,419,263,277,265,214,176,16.1,18.2,16.6,10.4,11.0,10.5,8.5,7.0
Belmont North,347,447,319,172,286,229,209,172,15.6,20.1,14.4,7.7,12.9,10.3,9.4,7.7
Belmont South,61,90,36,28,42,57,32,39,15.6,23.0,9.2,7.1,10.7,14.5,8.2,9.9
Belmore,739,720,672,417,411,653,367,444,16.2,15.8,14.7,9.2,9.0,14.3,8.1,9.7
Belrose,742,445,969,714,435,173,264,100,19.0,11.4,24.9,18.3,11.2,4.4,6.8,2.6
Bensville,183,231,288,181,181,100,126,53,13.4,17.0,21.2,13.3,13.3,7.3,9.3,3.9
Berala,499,474,480,207,249,461,246,338,16.4,15.6,15.8,6.8,8.2,15.1,8.1,11.1
Berkeley,321,443,227,161,280,449,265,329,12.6,17.5,8.9,6.3,11.0,17.7,10.4,13.0
Berkeley Vale,544,674,443,307,443,458,361,252,15.3,19.0,12.5,8.6,12.5,12.9,10.2,7.1
Berowra,440,307,624,324,237,128,181,73,18.8,13.1,26.7,13.8,10.1,5.5,7.7,3.1
Berowra Heights,509,414,691,351,255,186,249,103,18.3,14.9,24.8,12.6,9.2,6.7,8.9,3.7
Beverley Park,169,123,194,117,88,61,72,46,19.1,13.9,21.9,13.2,10.0,6.9,8.1,5.2
Beverly Hills,672,511,750,358,348,242,273,262,19.2,14.6,21.4,10.2,9.9,6.9,7.8,7.5
Bexley,"1,447","1,136","1,501",814,802,784,614,622,18.2,14.3,18.9,10.3,10.1,9.9,7.7,7.8
Bexley North,316,211,331,180,153,146,110,117,19.7,13.1,20.6,11.2,9.5,9.1,6.9,7.3
Bidwill,158,123,55,34,86,211,101,182,16.2,12.6,5.7,3.5,8.8,21.7,10.4,18.7
Birchgrove,275,91,893,482,115,28,97,15,13.5,4.5,44.0,23.7,5.7,1.4,4.8,0.7
Birmingham Gardens,95,106,127,44,83,83,86,47,13.8,15.4,18.4,6.4,12.0,12.0,12.5,6.8
Birrong,123,91,106,61,70,90,57,94,17.0,12.6,14.7,8.4,9.7,12.4,7.9,13.0
Blackalls Park,134,210,144,82,122,159,119,105,12.2,19.1,13.1,7.5,11.1,14.5,10.8,9.6
Blackbutt,212,220,186,132,182,151,129,139,15.4,15.9,13.5,9.6,13.2,10.9,9.3,10.1
Blackett,134,134,45,55,100,161,85,198,14.3,14.3,4.8,5.9,10.6,17.1,9.1,21.1
Blacksmiths,78,106,45,54,48,54,35,33,17.0,23.1,9.8,11.8,10.5,11.8,7.6,7.2
Blacktown,"3,014","2,604","2,267","1,192","1,474","2,106","1,389","1,915",18.4,15.9,13.8,7.3,9.0,12.8,8.5,11.7
Blackwall,119,105,100,70,83,76,71,40,17.6,15.5,14.8,10.4,12.3,11.2,10.5,5.9
Blairmount,33,21,29,26,27,22,14,18,17.3,11.0,15.2,13.6,14.1,11.5,7.3,9.4
Blakehurst,478,264,671,413,243,133,147,82,19.2,10.6,27.0,16.6,9.8,5.3,5.9,3.3
Blaxland,604,473,"1,055",451,339,255,342,143,16.3,12.8,28.5,12.2,9.2,6.9,9.2,3.9
Blue Bay,44,55,46,44,51,32,46,20,12.9,16.1,13.5,12.9,15.0,9.4,13.5,5.9
Blue Haven,301,339,238,237,261,366,235,243,13.4,15.1,10.6,10.5,11.6,16.3,10.4,10.8
Bolton Point,80,82,86,52,71,90,80,56,13.1,13.4,14.1,8.5,11.6,14.7,13.1,9.2
Bondi,582,407,"1,719",764,401,200,443,112,12.3,8.6,36.4,16.2,8.5,4.2,9.4,2.4
Bondi Beach,612,430,"1,951",804,436,191,465,85,12.1,8.5,38.5,15.8,8.6,3.8,9.2,1.7
Bondi Junction,524,319,"1,337",641,323,179,311,67,13.9,8.5,35.5,17.0,8.6,4.7,8.3,1.8
Bonnet Bay,263,132,362,207,138,64,76,36,20.2,10.1,27.8,15.9,10.6,4.9,5.8,2.8
Bonnyrigg,387,412,289,140,253,457,176,359,15.1,16.0,11.2,5.4,9.8,17.8,6.9,14.0
Bonnyrigg Heights,465,528,394,266,351,431,193,323,15.3,17.4,13.0,8.8,11.6,14.2,6.4,10.6
Booker Bay,69,64,61,64,46,63,55,28,14.9,13.8,13.1,13.8,9.9,13.6,11.9,6.0
Boolaroo,49,84,44,20,48,56,45,39,12.4,21.3,11.2,5.1,12.2,14.2,11.4,9.9
Booragul,63,68,45,38,42,71,46,36,15.1,16.3,10.8,9.1,10.1,17.0,11.0,8.6
Bossley Park,"1,139","1,028",779,565,642,791,437,632,18.4,16.6,12.6,9.1,10.4,12.8,7.1,10.2
Botany,716,533,622,415,321,330,359,314,19.4,14.5,16.9,11.3,8.7,9.0,9.7,8.5
Bow Bowing,181,126,87,78,75,79,64,97,22.3,15.6,10.7,9.6,9.3,9.8,7.9,12.0
Bradbury,793,673,559,373,436,438,405,445,18.9,16.0,13.3,8.9,10.4,10.4,9.7,10.6
Broadmeadow,124,130,177,86,75,94,105,59,14.4,15.1,20.6,10.0,8.7,10.9,12.2,6.9
Bronte,431,236,"1,287",570,242,119,243,48,13.3,7.3,39.7,17.6,7.5,3.7,7.5,1.5
Brookvale,278,247,358,254,181,152,140,101,16.0,14.2,20.6,14.6,10.4,8.7,8.0,5.8
Budgewoi,106,189,120,86,133,142,118,71,10.7,19.1,12.1,8.7,13.4,14.3,11.9,7.2
Buff Point,179,242,130,128,136,183,155,106,14.0,18.9,10.1,10.0,10.6,14.3,12.1,8.3
Bulli,318,389,559,263,201,163,259,165,13.4,16.4,23.6,11.1,8.5,6.9,10.9,7.0
Burwood,846,474,"1,364",577,587,491,415,207,16.6,9.3,26.8,11.3,11.5,9.6,8.1,4.1
Burwood Heights,65,38,133,60,43,15,38,14,15.8,9.2,32.4,14.6,10.5,3.6,9.2,3.4
Busby,153,164,82,57,105,222,106,183,13.7,14.7,7.4,5.1,9.4,19.9,9.5,16.4
Cabarita,166,86,313,265,90,30,63,25,15.7,8.1,29.6,25.0,8.5,2.8,5.9,2.4
Cabramatta,559,888,563,337,495,"1,394",387,968,9.5,15.1,9.6,5.7,8.4,23.7,6.6,16.5
Cabramatta West,231,310,208,131,194,395,143,329,11.4,15.3,10.2,6.5,9.6,19.5,7.0,16.2
Cambridge Gardens,220,180,136,83,137,128,101,109,19.8,16.2,12.3,7.5,12.3,11.5,9.1,9.8
Cambridge Park,510,501,264,203,299,362,260,346,18.2,17.9,9.4,7.2,10.7,12.9,9.3,12.3
Camden,208,235,287,175,122,132,131,109,14.7,16.6,20.3,12.4,8.6,9.3,9.3,7.7
Camden South,395,377,448,237,236,184,223,186,17.0,16.2,19.2,10.2,10.1,7.9,9.6,8.0
Cammeray,640,281,"1,677",818,316,95,265,44,15.2,6.7,39.8,19.4,7.5,2.3,6.3,1.0
