,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Abbotsbury,"2,433",355,326,157,146,,,,,,,,,,,,,,58.1,8.5,7.8,3.7,3.5,,,,,,,,,,,,,
Australia,"5,126,882","544,165","3,718,248","3,706,557","8,189",,,,,,,,,,,,,,25.8,2.7,18.7,18.7,0.0,,,,,,,,,,,,,
Abbotsford,"1,918",200,785,716,,167,,,,,,,,,,,,,38.8,4.0,15.9,14.5,,3.4,,,,,,,,,,,,
Acacia Gardens,"1,160",,485,341,,,119,100,,,,,,,,,,,37.3,,15.6,11.0,,,3.8,3.2,,,,,,,,,,
Adamstown,"1,478",198,"1,234",875,,,,384,,,,,,,,,,,28.1,3.8,23.4,16.6,,,,7.3,,,,,,,,,,
Adamstown Heights,"1,424",285,"1,227",760,,,,457,,,,,,,,,,,27.4,5.5,23.6,14.6,,,,8.8,,,,,,,,,,
Airds,959,,"1,049",453,,,,,113,113,,,,,,,,,25.6,,28.0,12.1,,,,,3.0,3.0,,,,,,,,
Albion Park,"3,483",,"3,146","1,711",,439,,670,,,,,,,,,,,30.9,,27.9,15.2,,3.9,,5.9,,,,,,,,,,
Albion Park Rail,"1,916",,"2,039","1,108",,231,,395,,,,,,,,,,,27.6,,29.4,16.0,,3.3,,5.7,,,,,,,,,,
Alexandria,"1,390",140,781,"1,608",,,,,,,142,,,,,,,,23.8,2.4,13.3,27.5,,,,,,,2.4,,,,,,,
Alfords Point,"1,191",517,661,199,,,,166,,,,,,,,,,,35.3,15.3,19.6,5.9,,,,4.9,,,,,,,,,,
Allambie Heights,"2,053",,"1,646","1,068",,206,,282,,,,,,,,,,,31.4,,25.2,16.3,,3.1,,4.3,,,,,,,,,,
Allawah,"1,003",509,413,"1,187",,,,,,,279,,,,,,,,20.4,10.3,8.4,24.1,,,,,,,5.7,,,,,,,
Ambarvale,"2,255",,"1,737",959,,205,,,219,,,,,,,,,,30.7,,23.6,13.1,,2.8,,,3.0,,,,,,,,,
Annandale,"2,096",219,"1,201","2,470",,,,186,,,,,,,,,,,25.3,2.6,14.5,29.8,,,,2.2,,,,,,,,,,
Argenton,344,60,362,192,,,,97,,,,,,,,,,,25.7,4.5,27.1,14.4,,,,7.3,,,,,,,,,,
Arncliffe,"1,732","1,443",675,789,,,,,"2,121",,,,,,,,,,20.4,17.0,7.9,9.3,,,,,24.9,,,,,,,,,
Artarmon,"1,827",,"1,359","2,027",,,,292,,,361,,,,,,,,21.8,,16.3,24.2,,,,3.5,,,4.3,,,,,,,
Ashbury,"1,512",368,325,338,,,,84,,,,,,,,,,,46.6,11.4,10.0,10.4,,,,2.6,,,,,,,,,,
Ashcroft,839,,511,209,,,,,496,,222,,,,,,,,27.1,,16.5,6.8,,,,,16.0,,7.2,,,,,,,
Ashfield,"5,901",,"1,584","4,833",,,"1,276",,,,"1,259",,,,,,,,27.8,,7.5,22.7,,,6.0,,,,5.9,,,,,,,
Asquith,833,,728,554,,81,,203,,,,,,,,,,,26.9,,23.5,17.9,,2.6,,6.6,,,,,,,,,,
Auburn,"4,593",,"1,076","3,081",,,,,"12,251",,"2,050",,,,,,,,15.3,,3.6,10.3,,,,,40.9,,6.8,,,,,,,
Austinmer,529,,526,591,,,,130,,,42,,,,,,,,23.9,,23.8,26.7,,,,5.9,,,1.9,,,,,,,
Avoca Beach,"1,218",,"1,118",756,,,,262,,,,96,,,,,,,29.0,,26.6,18.0,,,,6.2,,,,2.3,,,,,,
Balgowlah,"1,683",,"1,660","1,320",,234,,257,,,,,,,,,,,26.3,,25.9,20.6,,3.6,,4.0,,,,,,,,,,
Balgowlah Heights,806,,"1,039",482,,150,,153,,,,,,,,,,,25.3,,32.6,15.1,,4.7,,4.8,,,,,,,,,,
Balgownie,"1,941",309,"1,163",696,,,,383,,,,,,,,,,,34.8,5.5,20.9,12.5,,,,6.9,,,,,,,,,,
Balmain,"2,360",,"1,709","2,665",,245,,260,,,,,,,,,,,25.1,,18.2,28.3,,2.6,,2.8,,,,,,,,,,
Balmain East,394,,336,549,,45,,39,,,,,,,,,,,23.3,,19.9,32.5,,2.7,,2.3,,,,,,,,,,
Bangor,"1,618",,"1,496",565,,,,266,,,,,187,,,,,,31.2,,28.8,10.9,,,,5.1,,,,,3.6,,,,,
Banksia,824,737,273,274,,,,,215,,,,,,,,,,27.9,24.9,9.2,9.3,,,,,7.3,,,,,,,,,
Bankstown,"6,017","2,560",,"1,955",,,,,"6,055",,"3,150",,,,,,,,22.8,9.7,,7.4,,,,,22.9,,11.9,,,,,,,
Bar Beach,352,,342,237,,60,,66,,,,,,,,,,,26.6,,25.9,17.9,,4.5,,5.0,,,,,,,,,,
Barden Ridge,"1,337",173,"1,230",419,,,,212,,,,,,,,,,,31.9,4.1,29.3,10.0,,,,5.1,,,,,,,,,,
Bardwell Park,610,590,268,298,,,,100,,,,,,,,,,,25.6,24.7,11.2,12.5,,,,4.2,,,,,,,,,,
Bardwell Valley,506,349,225,193,,,,,279,,,,,,,,,,25.8,17.8,11.5,9.8,,,,,14.2,,,,,,,,,
Barnsley,405,,561,250,,67,,186,,,,,,,,,,,22.5,,31.2,13.9,,3.7,,10.3,,,,,,,,,,
Barrack Heights,"1,820",560,"1,488",838,,,,209,,,,,,,,,,,29.5,9.1,24.2,13.6,,,,3.4,,,,,,,,,,
Barrack Point,183,,161,50,,15,,25,,,,,,,,,,,33.3,,29.3,9.1,,2.7,,4.6,,,,,,,,,,
Bass Hill,"2,337",644,917,420,,,,,"1,041",,,,,,,,,,32.3,8.9,12.7,5.8,,,,,14.4,,,,,,,,,
Bateau Bay,"3,526",,"3,638","1,368",,371,,646,,,,,,,,,,,30.4,,31.4,11.8,,3.2,,5.6,,,,,,,,,,
Baulkham Hills,"11,076",,"7,165","4,325",,"1,157",,"1,937",,,,,,,,,,,32.1,,20.8,12.5,,3.4,,5.6,,,,,,,,,,
Bayview,628,,"1,052",497,,100,,210,,,,,,,,,,,20.3,,34.0,16.1,,3.2,,6.8,,,,,,,,,,
Beacon Hill,"2,164",,"1,408",956,,208,,220,,,,,,,,,,,35.2,,22.9,15.6,,3.4,,3.6,,,,,,,,,,
Beaconsfield,167,,86,122,,,,,30,,20,,,,,,,,25.0,,12.9,18.2,,,,,4.5,,3.0,,,,,,,
Beecroft,"2,050",,"2,032","1,409",,516,,640,,,,,,,,,,,23.8,,23.6,16.4,,6.0,,7.4,,,,,,,,,,
Belfield,"2,501",674,447,396,,255,,,,,,,,,,,,,43.8,11.8,7.8,6.9,,4.5,,,,,,,,,,,,
Bella Vista,"2,276",,913,621,,,398,,,,,,,447,,,,,35.7,,14.3,9.7,,,6.2,,,,,,,7.0,,,,
Bellambi,"1,051",,"1,045",752,,171,,230,,,,,,,,,,,25.2,,25.0,18.0,,4.1,,5.5,,,,,,,,,,
Bellevue Hill,"1,652",253,"1,460","1,415",,,,,,,,,,,"2,362",,,,17.5,2.7,15.5,15.0,,,,,,,,,,,25.0,,,
Belmont,"1,528",,"1,916",848,,320,,643,,,,,,,,,,,23.6,,29.6,13.1,,4.9,,9.9,,,,,,,,,,
Belmont North,"1,305",,"1,637",778,,240,,559,,,,,,,,,,,23.4,,29.3,13.9,,4.3,,10.0,,,,,,,,,,
Belmont South,267,,365,195,,47,,99,,,,,,,,,,,22.9,,31.3,16.7,,4.0,,8.5,,,,,,,,,,
Belmore,"3,214","2,556",702,948,,,,,"1,071",,,,,,,,,,26.5,21.1,5.8,7.8,,,,,8.8,,,,,,,,,
Belrose,"1,992",,"2,443","1,142",,,,547,,,,,,,,297,,,23.7,,29.1,13.6,,,,6.5,,,,,,,,3.5,,
Bensville,807,,827,395,,,,122,,,,99,,,,,,,28.6,,29.4,14.0,,,,4.3,,,,3.5,,,,,,
Berala,"1,867",,506,"1,040",,,,,"1,097",,"1,303",,,,,,,,23.7,,6.4,13.2,,,,,13.9,,16.5,,,,,,,
Berkeley,"2,309",552,"1,639",797,,247,,,,,,,,,,,,,31.1,7.4,22.1,10.7,,3.3,,,,,,,,,,,,
Berkeley Vale,"2,191",,"2,504","1,302",,289,,361,,,,,,,,,,,27.5,,31.4,16.3,,3.6,,4.5,,,,,,,,,,
Berowra,949,,"1,179",745,,,,295,,,,,186,,,,,,22.2,,27.5,17.4,,,,6.9,,,,,4.3,,,,,
Berowra Heights,"1,202",,"1,463","1,003",,,,357,,,,,138,,,,,,23.2,,28.2,19.4,,,,6.9,,,,,2.7,,,,,
Beverley Park,615,510,278,159,,,,,85,,,,,,,,,,30.7,25.5,13.9,7.9,,,,,4.2,,,,,,,,,
Beverly Hills,"2,306","1,030",920,"1,263",,,,,,,504,,,,,,,,28.6,12.8,11.4,15.7,,,,,,,6.3,,,,,,,
Bexley,"4,347","3,649","1,673","1,897",,,,,"2,053",,,,,,,,,,24.3,20.4,9.3,10.6,,,,,11.5,,,,,,,,,
Bexley North,"1,002",993,343,389,,,,,192,,,,,,,,,,26.6,26.4,9.1,10.3,,,,,5.1,,,,,,,,,
