,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Abbotsbury,939,735,449,284,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,14.6,8.9,5.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,"246,158","2,217,158","2,151,788","16,503","42,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,25.0,24.2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"916,121","7,098,486","7,238,533","21,626","126,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,25.4,25.9,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford,980,"1,230","1,354",,,555,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,18.5,20.4,,,8.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Gardens,,960,752,,,202,,395,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,16.6,,,4.5,,8.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown,,"2,356","2,262",,,700,632,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,29.8,,,9.2,8.3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown Heights,,"2,071","2,031",,,625,601,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,29.5,,,9.1,8.7,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airds,,"1,379","1,061",,,217,204,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,23.9,,,4.9,4.6,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park,,"5,774","5,293",,,"1,108","1,138",,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,30.5,,,6.4,6.6,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park Rail,,"3,045","2,858",,,587,625,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,31.1,,,6.4,6.8,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,,"1,847","2,185",,,"1,020",728,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,22.7,,,10.6,7.6,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfords Point,213,"1,021",848,,,251,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,24.4,20.3,,,6.0,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allambie Heights,345,"2,431","2,630",,,741,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,27.2,29.5,,,8.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
