,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%)
Abbotsbury,2453.0,310.0,153.0,1093.0,61.2,7.7,3.8,27.3
New South Wales,2363793.0,433840.0,294595.0,3342215.0,36.7,6.7,4.6,51.9
Australia,6876586.0,1407270.0,989220.0,10757087.0,34.3,7.0,4.9,53.7
Abbotsford (NSW),2203.0,406.0,258.0,1933.0,45.9,8.5,5.4,40.3
Acacia Gardens,1946.0,216.0,185.0,1184.0,55.1,6.1,5.2,33.5
Adamstown,788.0,395.0,260.0,3908.0,14.7,7.4,4.9,73.0
Adamstown Heights,891.0,375.0,205.0,3503.0,17.9,7.5,4.1,70.4
Airds,941.0,196.0,129.0,1891.0,29.8,6.2,4.1,59.9
Albion Park,2633.0,1083.0,752.0,7884.0,21.3,8.8,6.1,63.8
Albion Park Rail,1563.0,564.0,416.0,4100.0,23.5,8.5,6.3,61.7
Alexandria,2794.0,613.0,357.0,2753.0,42.9,9.4,5.5,42.2
Alfords Point,1225.0,269.0,191.0,1501.0,38.4,8.4,6.0,47.1
Allambie Heights,2152.0,611.0,399.0,3215.0,33.7,9.6,6.3,50.4
Allawah,3954.0,206.0,160.0,735.0,78.2,4.1,3.2,14.5
Ambarvale,2317.0,524.0,328.0,3187.0,36.5,8.2,5.2,50.1
Annandale (NSW),2878.0,902.0,613.0,3683.0,35.6,11.2,7.6,45.6
Argenton,180.0,64.0,46.0,1014.0,13.8,4.9,3.5,77.8
Arncliffe,5215.0,549.0,296.0,1670.0,67.5,7.1,3.8,21.6
Artarmon,4681.0,532.0,486.0,2536.0,56.8,6.5,5.9,30.8
Ashbury,1591.0,271.0,167.0,978.0,52.9,9.0,5.6,32.5
Ashcroft,1714.0,203.0,124.0,958.0,57.2,6.8,4.1,31.9
Ashfield (NSW),13995.0,1067.0,704.0,4419.0,69.3,5.3,3.5,21.9
Asquith,1382.0,262.0,216.0,1502.0,41.1,7.8,6.4,44.7
Auburn (NSW),26207.0,986.0,571.0,2037.0,87.9,3.3,1.9,6.8
Austinmer,488.0,247.0,183.0,1381.0,21.2,10.7,8.0,60.1
Avoca Beach,899.0,369.0,236.0,2574.0,22.0,9.0,5.8,63.1
