,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander,Average number of people per household,Average number of people per bedroom,Median household income,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander (%),Average number of people per household (%),Average number of people per bedroom (%),Median household income (%)
Abbotsbury,,3.0,1.0,0.0,,--,--,--
New South Wales,,3.1,1.2,941.0,,--,--,--
Australia,,3.3,1.2,991.0,,--,--,--
Abbotsford (NSW),,2.0,1.2,1125.0,,--,--,--
Acacia Gardens,,4.4,1.3,1333.0,,--,--,--
Adamstown,,2.8,1.1,1458.0,,--,--,--
Adamstown Heights,,3.1,1.1,1333.0,,--,--,--
Airds,,3.4,1.3,576.0,,--,--,--
Albion Park,,3.7,1.1,1351.0,,--,--,--
Albion Park Rail,,3.8,1.2,1067.0,,--,--,--
Alexandria,,2.3,1.3,1156.0,,--,--,--
Alfords Point,,3.7,1.0,2750.0,,--,--,--
Allambie Heights,,3.4,1.0,1708.0,,--,--,--
Allawah,,2.2,1.2,1174.0,,--,--,--
Ambarvale,,3.3,1.1,705.0,,--,--,--
Annandale (NSW),,2.6,1.2,1666.0,,--,--,--
Argenton,,2.7,1.3,774.0,,--,--,--
Arncliffe,,2.8,1.1,1375.0,,--,--,--
Artarmon,,2.3,1.2,866.0,,--,--,--
Ashbury,,4.0,1.4,1383.0,,--,--,--
Ashcroft,,2.9,1.2,616.0,,--,--,--
Ashfield (NSW),,2.5,1.2,1312.0,,--,--,--
Asquith,,7.0,1.3,1483.0,,--,--,--
Auburn (NSW),,2.8,1.2,833.0,,--,--,--
Austinmer,,4.2,1.4,1333.0,,--,--,--
Avoca Beach,,3.5,1.1,1437.0,,--,--,--
Balgowlah,,2.3,1.0,1958.0,,--,--,--
Balgowlah Heights,,4.0,1.0,2250.0,,--,--,--
Balgownie,,2.6,1.2,729.0,,--,--,--
Balmain,,2.3,1.1,650.0,,--,--,--
Balmain East,,1.4,1.0,2700.0,,--,--,--
Bangor (NSW),,4.3,1.0,2833.0,,--,--,--
Banksia,,4.9,1.3,2750.0,,--,--,--
Bankstown,,2.4,1.2,933.0,,--,--,--
Bar Beach,,1.2,1.2,1208.0,,--,--,--
Barden Ridge,,3.8,1.0,1666.0,,--,--,--
Bardwell Park,,2.6,1.0,3750.0,,--,--,--
Bardwell Valley,,2.0,1.0,1375.0,,--,--,--
Barnsley,,3.6,1.3,1375.0,,--,--,--
Barrack Heights,,3.4,1.1,850.0,,--,--,--
Barrack Point,,4.0,1.5,900.0,,--,--,--
Bass Hill,,2.4,1.0,820.0,,--,--,--
Bateau Bay,,3.3,1.1,860.0,,--,--,--
Baulkham Hills,,3.3,1.0,1687.0,,--,--,--
Bayview (NSW),,2.0,1.0,1033.0,,--,--,--
Beacon Hill,,1.4,1.0,866.0,,--,--,--
Beaconsfield (NSW),,2.7,1.3,3083.0,,--,--,--
Beecroft,,4.3,1.5,2874.0,,--,--,--
Belfield,,2.9,1.0,1750.0,,--,--,--
Bella Vista,,3.5,1.0,500.0,,--,--,--
Bellambi,,3.2,1.2,723.0,,--,--,--
Bellevue Hill,,3.2,1.6,1125.0,,--,--,--
Belmont (NSW),,2.6,1.2,825.0,,--,--,--
Belmont North,,3.2,1.5,900.0,,--,--,--
Belmont South,,2.8,1.3,1066.0,,--,--,--
Belmore,,2.6,1.4,966.0,,--,--,--
Belrose,,2.9,1.0,1583.0,,--,--,--
Bensville,,4.6,1.0,2250.0,,--,--,--
Berala,,2.5,1.2,880.0,,--,--,--
Berkeley,,3.2,1.3,606.0,,--,--,--
Berkeley Vale,,3.5,1.3,1399.0,,--,--,--
Berowra,,3.3,1.0,1125.0,,--,--,--
Berowra Heights,,3.1,1.0,2750.0,,--,--,--
Beverley Park,,0.0,0.0,0.0,,--,--,--
Beverly Hills,,2.8,1.2,518.0,,--,--,--
Bexley,,2.7,1.2,1714.0,,--,--,--
Bexley North,,2.7,1.5,500.0,,--,--,--
Bidwill (NSW),,3.6,1.3,640.0,,--,--,--
Birchgrove,,2.0,1.0,2750.0,,--,--,--
Birmingham Gardens,,2.8,1.2,724.0,,--,--,--
Birrong,,3.0,1.0,1750.0,,--,--,--
Blackalls Park,,3.7,1.3,1208.0,,--,--,--
Blackbutt (NSW),,2.7,1.2,1083.0,,--,--,--
Blackett,,3.6,1.2,700.0,,--,--,--
Blacksmiths,,3.0,1.1,1437.0,,--,--,--
Blacktown,,3.1,1.2,908.0,,--,--,--
Blackwall (NSW),,2.9,1.2,1312.0,,--,--,--
Blairmount,,5.0,1.0,3166.0,,--,--,--
Blakehurst,,5.0,1.3,924.0,,--,--,--
Blaxland (NSW),,3.0,1.1,1650.0,,--,--,--
Blue Bay,,3.2,1.0,466.0,,--,--,--
Blue Haven,,3.5,1.2,979.0,,--,--,--
Bolton Point,,3.6,1.3,650.0,,--,--,--
Bondi,,3.0,1.6,1468.0,,--,--,--
Bondi Beach,,2.3,1.3,2583.0,,--,--,--
Bondi Junction,,2.3,1.4,1406.0,,--,--,--
Bonnet Bay,,4.0,1.0,1733.0,,--,--,--
Bonnyrigg,,3.0,1.2,900.0,,--,--,--
Bonnyrigg Heights,,4.3,1.4,2133.0,,--,--,--
Booker Bay,,3.4,1.3,762.0,,--,--,--
Boolaroo,,2.5,1.2,1550.0,,--,--,--
Booragul,,2.5,1.1,533.0,,--,--,--
Bossley Park,,3.6,1.1,1375.0,,--,--,--
Botany,,3.3,1.3,2181.0,,--,--,--
Bow Bowing,,3.5,1.0,2083.0,,--,--,--
Bradbury (NSW),,3.3,1.1,1201.0,,--,--,--
Broadmeadow,,2.9,1.0,779.0,,--,--,--
Bronte,,2.5,1.2,2062.0,,--,--,--
Brookvale,,2.0,1.0,2583.0,,--,--,--
Budgewoi,,2.9,1.2,700.0,,--,--,--
Buff Point,,3.3,1.1,759.0,,--,--,--
Bulli,,3.0,1.1,1478.0,,--,--,--
Burwood (NSW),,3.1,1.4,1312.0,,--,--,--
Busby,,3.2,1.2,900.0,,--,--,--
Cabarita (NSW),,0.0,1.0,5000.0,,--,--,--
Cabramatta,,3.4,1.5,949.0,,--,--,--
Cabramatta West,,3.7,1.2,662.0,,--,--,--
Cambridge Gardens,,3.7,1.0,1937.0,,--,--,--
Cambridge Park,,3.4,1.2,1312.0,,--,--,--
Camden,,2.6,1.1,1291.0,,--,--,--
Camden South,,3.8,1.1,1874.0,,--,--,--
Cammeray,,2.4,1.0,1833.0,,--,--,--
Campbelltown (NSW),,3.2,1.2,1139.0,,--,--,--
