,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Abbotsbury,1158.0,10.0,7.0,0.0,98.6,0.9,0.6,0.0
New South Wales,1717699.0,263926.0,465189.0,21140.0,69.5,10.7,18.8,0.9
Australia,5864574.0,765980.0,1056237.0,66666.0,75.6,9.9,13.6,0.9
Abbotsford (NSW),684.0,381.0,1042.0,5.0,32.4,18.0,49.3,0.2
Acacia Gardens,915.0,161.0,0.0,0.0,85.0,15.0,0.0,0.0
Adamstown,1618.0,308.0,399.0,13.0,69.2,13.2,17.1,0.6
Adamstown Heights,1869.0,10.0,62.0,0.0,96.3,0.5,3.2,0.0
Airds,775.0,292.0,49.0,3.0,69.1,26.0,4.4,0.3
Albion Park,3564.0,415.0,109.0,16.0,86.8,10.1,2.7,0.4
Albion Park Rail,2023.0,353.0,76.0,9.0,82.2,14.3,3.1,0.4
Alexandria,159.0,1160.0,1941.0,9.0,4.9,35.4,59.3,0.3
Alfords Point,909.0,16.0,0.0,0.0,98.3,1.7,0.0,0.0
Allambie Heights,1868.0,58.0,326.0,0.0,82.7,2.6,14.4,0.0
Allawah,352.0,74.0,1634.0,3.0,17.1,3.6,79.2,0.1
Ambarvale,1986.0,122.0,69.0,0.0,91.2,5.6,3.2,0.0
Annandale (NSW),898.0,1633.0,935.0,50.0,25.5,46.4,26.6,1.4
Argenton,482.0,4.0,75.0,0.0,85.9,0.7,13.4,0.0
Arncliffe,1695.0,244.0,705.0,15.0,63.7,9.2,26.5,0.6
Artarmon,824.0,270.0,2418.0,6.0,23.4,7.7,68.7,0.2
Ashbury,991.0,30.0,8.0,10.0,95.4,2.9,0.8,1.0
Ashcroft,806.0,23.0,226.0,0.0,76.4,2.2,21.4,0.0
Ashfield (NSW),2227.0,761.0,5194.0,28.0,27.1,9.3,63.2,0.3
Asquith,1059.0,118.0,25.0,4.0,87.8,9.8,2.1,0.3
Auburn (NSW),4544.0,879.0,3885.0,28.0,48.6,9.4,41.6,0.3
Austinmer,705.0,91.0,45.0,3.0,83.2,10.7,5.3,0.4
Avoca Beach,1233.0,90.0,55.0,99.0,83.5,6.1,3.7,6.7
Balgowlah,1073.0,530.0,1267.0,11.0,37.2,18.4,43.9,0.4
Balgowlah Heights,1000.0,14.0,3.0,7.0,97.7,1.4,0.3,0.7
Balgownie,1497.0,456.0,53.0,0.0,74.5,22.7,2.6,0.0
Balmain,1215.0,1538.0,1369.0,70.0,29.0,36.7,32.6,1.7
Balmain East,203.0,278.0,338.0,8.0,24.5,33.6,40.9,1.0
Bangor (NSW),1570.0,151.0,73.0,0.0,87.5,8.4,4.1,0.0
Banksia,927.0,35.0,60.0,6.0,90.2,3.4,5.8,0.6
Bankstown,3201.0,1069.0,4979.0,19.0,34.5,11.5,53.7,0.2
Bar Beach,193.0,64.0,263.0,0.0,37.1,12.3,50.6,0.0
Barden Ridge,1036.0,76.0,11.0,0.0,92.3,6.8,1.0,0.0
Bardwell Park,658.0,52.0,37.0,17.0,86.1,6.8,4.8,2.2
Bardwell Valley,531.0,173.0,46.0,3.0,70.5,23.0,6.1,0.4
Barnsley,594.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
