,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Abbotsbury,1175.0,33.0,97.3,2.7
New South Wales,2471299.0,265338.0,90.3,9.7
Australia,7760320.0,934470.0,89.3,10.7
Abbotsford (NSW),2113.0,201.0,91.3,8.7
Acacia Gardens,1077.0,35.0,96.9,3.1
Adamstown,2339.0,186.0,92.6,7.4
Adamstown Heights,1941.0,102.0,95.0,5.0
Airds,1122.0,47.0,96.0,4.0
Albion Park,4103.0,201.0,95.3,4.7
Albion Park Rail,2461.0,128.0,95.1,4.9
Alexandria,3277.0,282.0,92.1,7.9
Alfords Point,927.0,25.0,97.4,2.6
Allambie Heights,2261.0,147.0,93.9,6.1
Allawah,2065.0,116.0,94.7,5.3
Ambarvale,2178.0,123.0,94.7,5.3
Annandale (NSW),3519.0,410.0,89.6,10.4
Argenton,561.0,33.0,94.4,5.6
Arncliffe,2660.0,162.0,94.3,5.7
Artarmon,3518.0,268.0,92.9,7.1
Ashbury,1037.0,52.0,95.2,4.8
Ashcroft,1056.0,74.0,93.5,6.5
Ashfield (NSW),8215.0,630.0,92.9,7.1
Asquith,1206.0,68.0,94.7,5.3
Auburn (NSW),9345.0,447.0,95.4,4.6
Austinmer,845.0,108.0,88.7,11.3
Avoca Beach,1475.0,629.0,70.1,29.9
Balgowlah,2885.0,243.0,92.2,7.8
Balgowlah Heights,1025.0,64.0,94.1,5.9
Balgownie,2010.0,138.0,93.6,6.4
Balmain,4194.0,416.0,91.0,9.0
Balmain East,827.0,97.0,89.5,10.5
Bangor (NSW),1792.0,65.0,96.5,3.5
Banksia,1028.0,44.0,95.9,4.1
Bankstown,9273.0,452.0,95.4,4.6
Bar Beach,519.0,78.0,86.9,13.1
Barden Ridge,1123.0,23.0,98.0,2.0
Bardwell Park,765.0,49.0,94.0,6.0
Bardwell Valley,754.0,47.0,94.1,5.9
Barnsley,595.0,26.0,95.8,4.2
Barrack Heights,2137.0,125.0,94.5,5.5
Barrack Point,231.0,35.0,86.8,13.2
Bass Hill,2558.0,168.0,93.8,6.2
Bateau Bay,4498.0,488.0,90.2,9.8
Baulkham Hills,11271.0,489.0,95.8,4.2
Bayview (NSW),1185.0,236.0,83.4,16.6
Beacon Hill,2162.0,67.0,97.0,3.0
Beaconsfield (NSW),361.0,27.0,93.0,7.0
Beecroft,2798.0,235.0,92.3,7.7
Belfield,2041.0,95.0,95.6,4.4
Bella Vista,2074.0,77.0,96.4,3.6
Bellambi,1632.0,118.0,93.3,6.7
Bellevue Hill,3673.0,409.0,90.0,10.0
Belmont (NSW),2698.0,226.0,92.3,7.7
Belmont North,2317.0,158.0,93.6,6.4
Belmont South,472.0,33.0,93.5,6.5
Belmore,4197.0,304.0,93.2,6.8
Belrose,2721.0,151.0,94.7,5.3
Bensville,812.0,60.0,93.1,6.9
Berala,2727.0,145.0,95.0,5.0
Berkeley,2745.0,162.0,94.4,5.6
Berkeley Vale,2972.0,196.0,93.8,6.2
Berowra,1449.0,61.0,96.0,4.0
Berowra Heights,1671.0,68.0,96.1,3.9
Beverley Park,724.0,50.0,93.5,6.5
Beverly Hills,3302.0,161.0,95.4,4.6
Bexley,6122.0,395.0,93.9,6.1
Bexley North,1345.0,103.0,92.9,7.1
Bidwill (NSW),1375.0,64.0,95.6,4.4
Birchgrove,1237.0,141.0,89.8,10.2
Birmingham Gardens,783.0,53.0,93.7,6.3
Birrong,882.0,34.0,96.3,3.7
Blackalls Park,1061.0,51.0,95.4,4.6
Blackbutt (NSW),1157.0,50.0,95.9,4.1
Blackett,1050.0,59.0,94.7,5.3
Blacksmiths,774.0,80.0,90.6,9.4
Blacktown,14412.0,794.0,94.8,5.2
Blackwall (NSW),728.0,94.0,88.6,11.4
Blairmount,119.0,5.0,96.0,4.0
Blakehurst,1927.0,163.0,92.2,7.8
Blaxland (NSW),2639.0,121.0,95.6,4.4
