,Pre-school,Primary - Government,Primary - Catholic,Primary - Other Non Government,Secondary - Government,Secondary - Catholic,Secondary - Other Non Government,Technical or further education institution,University or tertiary institution,Other,Not Stated,Total,Pre-school (%),Primary - Government (%),Primary - Catholic (%),Primary - Other Non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - Other Non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not Stated (%),Total (%)
Abbotsbury,57.0,132.0,176.0,37.0,189.0,182.0,35.0,103.0,274.0,18.0,195.0,1398.0,4.1,9.4,12.6,2.6,13.5,13.0,2.5,7.4,19.6,1.3,13.9,--
New South Wales,126605.0,372075.0,115727.0,61544.0,271181.0,109409.0,71341.0,168004.0,303070.0,50619.0,486539.0,2136114.0,5.9,17.4,5.4,2.9,12.7,5.1,3.3,7.9,14.2,2.4,22.8,--
Australia,332844.0,1181787.0,359062.0,214359.0,774074.0,307142.0,254828.0,473606.0,932524.0,161660.0,1511694.0,6503580.0,5.1,18.2,5.5,3.3,11.9,4.7,3.9,7.3,14.3,2.5,23.2,--
Abbotsford (NSW),83.0,178.0,88.0,30.0,96.0,90.0,45.0,83.0,255.0,29.0,289.0,1266.0,6.6,14.1,7.0,2.4,7.6,7.1,3.6,6.6,20.1,2.3,22.8,--
Acacia Gardens,104.0,269.0,80.0,24.0,139.0,110.0,41.0,97.0,161.0,18.0,145.0,1188.0,8.8,22.6,6.7,2.0,11.7,9.3,3.5,8.2,13.6,1.5,12.2,--
Adamstown,113.0,303.0,110.0,22.0,189.0,107.0,28.0,134.0,301.0,16.0,318.0,1641.0,6.9,18.5,6.7,1.3,11.5,6.5,1.7,8.2,18.3,1.0,19.4,--
Adamstown Heights,97.0,317.0,101.0,36.0,210.0,75.0,32.0,86.0,257.0,18.0,200.0,1429.0,6.8,22.2,7.1,2.5,14.7,5.2,2.2,6.0,18.0,1.3,14.0,--
Airds,76.0,365.0,19.0,5.0,338.0,13.0,14.0,97.0,37.0,23.0,375.0,1362.0,5.6,26.8,1.4,0.4,24.8,1.0,1.0,7.1,2.7,1.7,27.5,--
Albion Park,358.0,1041.0,235.0,97.0,743.0,298.0,91.0,364.0,345.0,83.0,547.0,4202.0,8.5,24.8,5.6,2.3,17.7,7.1,2.2,8.7,8.2,2.0,13.0,--
Albion Park Rail,149.0,497.0,89.0,37.0,388.0,74.0,27.0,214.0,132.0,36.0,378.0,2021.0,7.4,24.6,4.4,1.8,19.2,3.7,1.3,10.6,6.5,1.8,18.7,--
