,Worked full-time,Worked part-time,Away from work,Unemployed,Total in labour force,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),Total in labour force (%)
Abbotsbury,1508.0,684.0,129.0,100.0,2421.0,62.3,28.3,5.3,4.1,--
New South Wales,2007924.0,939465.0,190944.0,196525.0,3334858.0,60.2,28.2,5.7,5.9,--
Australia,6367554.0,3062976.0,627797.0,600133.0,10658460.0,59.7,28.7,5.9,5.6,--
Abbotsford (NSW),1815.0,643.0,169.0,102.0,2729.0,66.5,23.6,6.2,3.7,--
Acacia Gardens,1449.0,466.0,112.0,86.0,2113.0,68.6,22.1,5.3,4.1,--
Adamstown,1819.0,939.0,188.0,125.0,3071.0,59.2,30.6,6.1,4.1,--
Adamstown Heights,1458.0,913.0,141.0,82.0,2594.0,56.2,35.2,5.4,3.2,--
Airds,367.0,203.0,60.0,231.0,861.0,42.6,23.6,7.0,26.8,--
Albion Park,3899.0,1850.0,407.0,355.0,6511.0,59.9,28.4,6.3,5.5,--
Albion Park Rail,1804.0,965.0,186.0,258.0,3213.0,56.1,30.0,5.8,8.0,--
Alexandria,3882.0,860.0,194.0,161.0,5097.0,76.2,16.9,3.8,3.2,--
Alfords Point,1210.0,637.0,97.0,56.0,2000.0,60.5,31.9,4.9,2.8,--
Allambie Heights,1942.0,1070.0,169.0,121.0,3302.0,58.8,32.4,5.1,3.7,--
Allawah,1871.0,718.0,140.0,221.0,2950.0,63.4,24.3,4.7,7.5,--
Ambarvale,1947.0,727.0,207.0,274.0,3155.0,61.7,23.0,6.6,8.7,--
Annandale (NSW),3570.0,1315.0,256.0,221.0,5362.0,66.6,24.5,4.8,4.1,--
Argenton,343.0,151.0,40.0,51.0,585.0,58.6,25.8,6.8,8.7,--
Arncliffe,2268.0,1025.0,274.0,230.0,3797.0,59.7,27.0,7.2,6.1,--
Artarmon,3366.0,1171.0,209.0,230.0,4976.0,67.6,23.5,4.2,4.6,--
Ashbury,951.0,495.0,101.0,69.0,1616.0,58.8,30.6,6.2,4.3,--
Ashcroft,529.0,267.0,81.0,157.0,1034.0,51.2,25.8,7.8,15.2,--
