,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Abbotsbury,254.0,206.0,225.0,450.0,1055.0,11.0,8.9,9.7,19.4,45.5
New South Wales,326514.0,304830.0,308122.0,569665.0,1438260.0,10.4,9.7,9.8,18.2,45.8
Australia,1087799.0,947792.0,1027380.0,1808879.0,4558678.0,10.8,9.4,10.2,18.0,45.3
Abbotsford (NSW),206.0,225.0,210.0,375.0,1446.0,7.8,8.6,8.0,14.3,55.1
Acacia Gardens,147.0,172.0,152.0,425.0,1019.0,7.2,8.5,7.5,20.9,50.2
Adamstown,348.0,301.0,287.0,534.0,1292.0,11.8,10.2,9.7,18.1,43.8
Adamstown Heights,356.0,294.0,268.0,375.0,1082.0,14.2,11.7,10.7,14.9,43.1
Airds,79.0,55.0,68.0,171.0,195.0,12.7,8.8,10.9,27.4,31.2
Albion Park,639.0,618.0,596.0,1228.0,2666.0,10.4,10.0,9.7,20.0,43.3
Albion Park Rail,322.0,310.0,335.0,608.0,1194.0,10.9,10.5,11.3,20.6,40.4
Alexandria,245.0,274.0,340.0,849.0,3032.0,5.0,5.6,6.9,17.2,61.5
Alfords Point,265.0,188.0,180.0,318.0,897.0,13.6,9.7,9.3,16.3,46.1
Allambie Heights,399.0,355.0,321.0,424.0,1518.0,12.5,11.2,10.1,13.3,47.7
Allawah,234.0,266.0,219.0,647.0,1219.0,8.6,9.7,8.0,23.7,44.7
Ambarvale,248.0,244.0,232.0,712.0,1239.0,8.6,8.5,8.0,24.7,43.0
Annandale (NSW),404.0,473.0,432.0,640.0,2935.0,7.9,9.2,8.4,12.5,57.1
Argenton,62.0,40.0,51.0,126.0,220.0,11.6,7.5,9.6,23.6,41.2
Arncliffe,303.0,380.0,345.0,764.0,1498.0,8.5,10.7,9.7,21.4,42.0
Artarmon,379.0,425.0,371.0,779.0,2585.0,8.0,8.9,7.8,16.4,54.4
Ashbury,141.0,186.0,165.0,238.0,709.0,9.2,12.1,10.7,15.5,46.0
Ashcroft,80.0,84.0,100.0,245.0,281.0,9.2,9.6,11.5,28.1,32.2
Ashfield (NSW),923.0,1309.0,1031.0,2431.0,4583.0,8.5,12.0,9.5,22.3,42.1
Asquith,205.0,178.0,178.0,317.0,758.0,11.8,10.3,10.3,18.3,43.8
Auburn (NSW),1010.0,1512.0,1137.0,2750.0,3870.0,9.0,13.5,10.1,24.5,34.5
Austinmer,171.0,131.0,134.0,163.0,521.0,14.1,10.8,11.1,13.5,43.1
Avoca Beach,313.0,245.0,224.0,287.0,920.0,14.8,11.6,10.6,13.6,43.5
Balgowlah,407.0,401.0,383.0,451.0,1977.0,10.6,10.5,10.0,11.8,51.7
Balgowlah Heights,210.0,193.0,134.0,110.0,734.0,14.4,13.2,9.2,7.5,50.3
Balgownie,295.0,251.0,268.0,448.0,1061.0,11.9,10.1,10.8,18.1,42.8
Balmain,416.0,416.0,430.0,649.0,3424.0,7.4,7.4,7.6,11.5,60.8
Balmain East,89.0,98.0,72.0,110.0,634.0,8.3,9.2,6.7,10.3,59.4
Bangor (NSW),356.0,358.0,304.0,481.0,1525.0,11.1,11.2,9.5,15.0,47.7
Banksia,128.0,150.0,123.0,343.0,630.0,8.7,10.2,8.4,23.3,42.8
Bankstown,1031.0,999.0,928.0,2662.0,4058.0,9.9,9.6,8.9,25.5,38.9
Bar Beach,65.0,71.0,42.0,61.0,296.0,11.5,12.6,7.4,10.8,52.5
Barden Ridge,293.0,232.0,242.0,355.0,1129.0,12.3,9.8,10.2,14.9,47.5
Bardwell Park,108.0,116.0,105.0,182.0,542.0,9.6,10.3,9.4,16.2,48.3
Bardwell Valley,88.0,103.0,78.0,185.0,449.0,9.1,10.7,8.1,19.1,46.4
Barnsley,82.0,96.0,101.0,177.0,396.0,8.9,10.4,11.0,19.2,43.0
