,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
Abbotsbury,261.0,31.0,266.0,156.0,48.0,117.0,56.0,45.0,26.6,3.2,27.1,15.9,4.9,11.9,5.7,4.6
New South Wales,327626.0,54280.0,306829.0,239315.0,83287.0,308233.0,89812.0,91486.0,21.8,3.6,20.4,15.9,5.5,20.5,6.0,6.1
Australia,1015165.0,174795.0,1001907.0,736322.0,251191.0,899598.0,291196.0,314529.0,21.7,3.7,21.4,15.7,5.4,19.2,6.2,6.7
Abbotsford (NSW),318.0,32.0,224.0,182.0,63.0,232.0,85.0,87.0,26.0,2.6,18.3,14.9,5.2,19.0,7.0,7.1
Acacia Gardens,306.0,20.0,228.0,141.0,26.0,60.0,67.0,41.0,34.4,2.2,25.6,15.9,2.9,6.7,7.5,4.6
Adamstown,261.0,42.0,303.0,148.0,41.0,191.0,80.0,70.0,23.0,3.7,26.7,13.0,3.6,16.8,7.0,6.2
Adamstown Heights,231.0,47.0,328.0,148.0,83.0,349.0,80.0,78.0,17.2,3.5,24.4,11.0,6.2,26.0,6.0,5.8
Airds,27.0,3.0,15.0,62.0,34.0,179.0,11.0,35.0,7.4,0.8,4.1,16.9,9.3,48.9,3.0,9.6
Albion Park,643.0,83.0,829.0,520.0,110.0,451.0,225.0,161.0,21.3,2.7,27.4,17.2,3.6,14.9,7.4,5.3
Albion Park Rail,247.0,46.0,339.0,266.0,78.0,354.0,84.0,84.0,16.5,3.1,22.6,17.8,5.2,23.6,5.6,5.6
Alexandria,740.0,42.0,260.0,184.0,38.0,61.0,88.0,122.0,48.2,2.7,16.9,12.0,2.5,4.0,5.7,7.9
Alfords Point,216.0,23.0,240.0,123.0,37.0,91.0,49.0,48.0,26.1,2.8,29.0,14.9,4.5,11.0,5.9,5.8
Allambie Heights,295.0,56.0,451.0,232.0,81.0,286.0,80.0,90.0,18.8,3.6,28.7,14.8,5.2,18.2,5.1,5.7
Allawah,318.0,49.0,185.0,272.0,84.0,191.0,62.0,62.0,26.0,4.0,15.1,22.2,6.9,15.6,5.1,5.1
Ambarvale,288.0,23.0,233.0,308.0,59.0,218.0,92.0,70.0,22.3,1.8,18.0,23.9,4.6,16.9,7.1,5.4
