,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%)
Abbotsbury,213.0,769.0,129.0,18.0,18.9,68.1,11.4,1.6
New South Wales,669019.0,831850.0,297904.0,30780.0,36.6,45.5,16.3,1.7
Australia,2150301.0,2534399.0,901637.0,97722.0,37.8,44.6,15.9,1.7
Abbotsford (NSW),626.0,595.0,201.0,27.0,43.2,41.1,13.9,1.9
Acacia Gardens,220.0,666.0,120.0,8.0,21.7,65.7,11.8,0.8
Adamstown,521.0,614.0,289.0,26.0,35.9,42.3,19.9,1.8
Adamstown Heights,646.0,696.0,180.0,20.0,41.9,45.1,11.7,1.3
Airds,108.0,258.0,496.0,17.0,12.3,29.4,56.4,1.9
Albion Park,1094.0,1929.0,532.0,25.0,30.6,53.9,14.9,0.7
Albion Park Rail,669.0,831.0,430.0,18.0,34.3,42.7,22.1,0.9
Alexandria,1059.0,472.0,157.0,52.0,60.9,27.1,9.0,3.0
Alfords Point,205.0,617.0,83.0,9.0,22.4,67.5,9.1,1.0
Allambie Heights,550.0,1023.0,210.0,24.0,30.4,56.6,11.6,1.3
Allawah,539.0,681.0,264.0,38.0,35.4,44.7,17.3,2.5
Ambarvale,443.0,851.0,524.0,32.0,23.9,46.0,28.3,1.7
Annandale (NSW),950.0,874.0,262.0,58.0,44.3,40.8,12.2,2.7
Argenton,152.0,123.0,111.0,12.0,38.2,30.9,27.9,3.0
Arncliffe,657.0,1072.0,353.0,48.0,30.8,50.3,16.6,2.3
Artarmon,888.0,1066.0,299.0,63.0,38.3,46.0,12.9,2.7
Ashbury,242.0,510.0,118.0,18.0,27.3,57.4,13.3,2.0
Ashcroft,163.0,370.0,252.0,14.0,20.4,46.3,31.5,1.8
Ashfield (NSW),2233.0,2209.0,856.0,209.0,40.5,40.1,15.5,3.8
Asquith,303.0,531.0,137.0,17.0,30.7,53.7,13.9,1.7
Auburn (NSW),2054.0,4388.0,1238.0,247.0,25.9,55.4,15.6,3.1
Austinmer,223.0,338.0,90.0,10.0,33.7,51.1,13.6,1.5
Avoca Beach,406.0,595.0,168.0,8.0,34.5,50.6,14.3,0.7
Balgowlah,767.0,986.0,297.0,29.0,36.9,47.4,14.3,1.4
Balgowlah Heights,239.0,575.0,70.0,8.0,26.8,64.5,7.8,0.9
Balgownie,601.0,730.0,226.0,15.0,38.2,46.4,14.4,1.0
Balmain,1183.0,979.0,308.0,53.0,46.9,38.8,12.2,2.1
Balmain East,256.0,188.0,46.0,11.0,51.1,37.5,9.2,2.2
Bangor (NSW),483.0,914.0,198.0,10.0,30.1,56.9,12.3,0.6
Banksia,300.0,432.0,149.0,15.0,33.5,48.2,16.6,1.7
Bankstown,1875.0,3911.0,1681.0,179.0,24.5,51.2,22.0,2.3
Bar Beach,91.0,104.0,22.0,8.0,40.4,46.2,9.8,3.6
Barden Ridge,197.0,762.0,118.0,9.0,18.1,70.2,10.9,0.8
Bardwell Park,195.0,358.0,78.0,11.0,30.4,55.8,12.1,1.7
Bardwell Valley,172.0,312.0,95.0,6.0,29.4,53.3,16.2,1.0
Barnsley,170.0,250.0,86.0,5.0,33.3,48.9,16.8,1.0
Barrack Heights,593.0,690.0,388.0,24.0,35.0,40.7,22.9,1.4
Barrack Point,63.0,75.0,18.0,3.0,39.6,47.2,11.3,1.9
Bass Hill,537.0,1091.0,435.0,35.0,25.6,52.0,20.7,1.7
Bateau Bay,1214.0,1297.0,633.0,35.0,38.2,40.8,19.9,1.1
Baulkham Hills,3140.0,5397.0,1153.0,87.0,32.1,55.2,11.8,0.9
Bayview (NSW),386.0,365.0,69.0,9.0,46.6,44.0,8.3,1.1
