,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Abbotsbury,1084.0,82.0,9.0,92.3,7.0,0.8
New South Wales,1777400.0,599149.0,94746.0,71.9,24.2,3.8
Australia,5550614.0,1888698.0,321007.0,71.5,24.3,4.1
Abbotsford (NSW),1416.0,603.0,92.0,67.1,28.6,4.4
Acacia Gardens,977.0,86.0,15.0,90.6,8.0,1.4
Adamstown,1437.0,768.0,134.0,61.4,32.8,5.7
Adamstown Heights,1522.0,380.0,38.0,78.5,19.6,2.0
Airds,849.0,255.0,16.0,75.8,22.8,1.4
Albion Park,3488.0,573.0,43.0,85.0,14.0,1.0
Albion Park Rail,1888.0,524.0,46.0,76.8,21.3,1.9
Alexandria,1728.0,1126.0,422.0,52.7,34.4,12.9
Alfords Point,887.0,34.0,3.0,96.0,3.7,0.3
Allambie Heights,1749.0,469.0,42.0,77.4,20.8,1.9
Allawah,1461.0,511.0,91.0,70.8,24.8,4.4
Ambarvale,1769.0,352.0,56.0,81.3,16.2,2.6
Annandale (NSW),2116.0,1083.0,316.0,60.2,30.8,9.0
Argenton,379.0,168.0,13.0,67.7,30.0,2.3
Arncliffe,1999.0,549.0,111.0,75.2,20.6,4.2
Artarmon,2281.0,966.0,271.0,64.8,27.5,7.7
Ashbury,880.0,135.0,23.0,84.8,13.0,2.2
Ashcroft,756.0,284.0,14.0,71.7,26.9,1.3
Ashfield (NSW),5294.0,2282.0,640.0,64.4,27.8,7.8
Asquith,950.0,228.0,26.0,78.9,18.9,2.2
Auburn (NSW),7356.0,1449.0,538.0,78.7,15.5,5.8
Austinmer,652.0,165.0,29.0,77.1,19.5,3.4
Avoca Beach,1155.0,288.0,33.0,78.3,19.5,2.2
Balgowlah,2066.0,710.0,110.0,71.6,24.6,3.8
Balgowlah Heights,877.0,144.0,5.0,85.5,14.0,0.5
Balgownie,1545.0,431.0,32.0,76.9,21.5,1.6
Balmain,2506.0,1395.0,292.0,59.8,33.3,7.0
Balmain East,501.0,282.0,42.0,60.7,34.2,5.1
Bangor (NSW),1561.0,220.0,13.0,87.0,12.3,0.7
Banksia,844.0,146.0,39.0,82.0,14.2,3.8
Bankstown,7159.0,1837.0,277.0,77.2,19.8,3.0
Bar Beach,224.0,254.0,40.0,43.2,49.0,7.7
Barden Ridge,1059.0,60.0,3.0,94.4,5.3,0.3
Bardwell Park,624.0,124.0,16.0,81.7,16.2,2.1
Bardwell Valley,562.0,173.0,17.0,74.7,23.0,2.3
Barnsley,501.0,81.0,14.0,84.1,13.6,2.3
Barrack Heights,1637.0,457.0,45.0,76.5,21.4,2.1
Barrack Point,154.0,71.0,3.0,67.5,31.1,1.3
Bass Hill,1986.0,532.0,42.0,77.6,20.8,1.6
Bateau Bay,3116.0,1281.0,105.0,69.2,28.5,2.3
Baulkham Hills,9499.0,1550.0,223.0,84.3,13.8,2.0
Bayview (NSW),805.0,364.0,17.0,67.9,30.7,1.4
Beacon Hill,1858.0,276.0,29.0,85.9,12.8,1.3
Beaconsfield (NSW),227.0,103.0,32.0,62.7,28.5,8.8
Beecroft,2424.0,343.0,29.0,86.7,12.3,1.0
Belfield,1564.0,443.0,36.0,76.6,21.7,1.8
Bella Vista,1894.0,130.0,52.0,91.2,6.3,2.5
Bellambi,1035.0,539.0,60.0,63.3,33.0,3.7
Bellevue Hill,2485.0,919.0,269.0,67.7,25.0,7.3
Belmont (NSW),1735.0,896.0,65.0,64.4,33.2,2.4
Belmont North,1800.0,479.0,40.0,77.6,20.7,1.7
Belmont South,325.0,131.0,16.0,68.9,27.8,3.4
Belmore,3129.0,915.0,154.0,74.5,21.8,3.7
Belrose,2201.0,496.0,21.0,81.0,18.2,0.8
Bensville,715.0,90.0,8.0,87.9,11.1,1.0
Berala,2143.0,470.0,111.0,78.7,17.3,4.1
Berkeley,1964.0,723.0,58.0,71.5,26.3,2.1
Berkeley Vale,2235.0,654.0,85.0,75.2,22.0,2.9
Berowra,1261.0,165.0,24.0,87.0,11.4,1.7
Berowra Heights,1449.0,204.0,21.0,86.6,12.2,1.3
Beverley Park,584.0,127.0,12.0,80.8,17.6,1.7
Beverly Hills,2549.0,679.0,71.0,77.3,20.6,2.2
Bexley,4802.0,1162.0,157.0,78.5,19.0,2.6
Bexley North,1039.0,275.0,29.0,77.4,20.5,2.2
Bidwill (NSW),1096.0,258.0,20.0,79.8,18.8,1.5
