,Less than $600 gross weekly income,"More than $3,000 gross weekly income",Less than $600 gross weekly income (%),"More than $3,000 gross weekly income (%)"
Abbotsbury,--,--,9.9,22.6
New South Wales,--,--,24.2,12.3
Australia,--,--,23.7,11.2
Abbotsford (NSW),--,--,21.4,22.9
Acacia Gardens,--,--,6.2,22.4
Adamstown,--,--,26.3,9.7
Adamstown Heights,--,--,18.3,14.7
Airds,--,--,55.3,1.2
Albion Park,--,--,18.4,9.8
Albion Park Rail,--,--,28.4,5.0
Alexandria,--,--,9.2,23.7
Alfords Point,--,--,7.1,33.8
Allambie Heights,--,--,20.9,23.1
Allawah,--,--,21.4,8.4
Ambarvale,--,--,24.1,6.9
Annandale (NSW),--,--,13.5,27.9
Argenton,--,--,36.8,3.5
Arncliffe,--,--,24.1,12.1
Artarmon,--,--,15.9,23.4
Ashbury,--,--,16.8,20.6
Ashcroft,--,--,43.8,3.2
Ashfield (NSW),--,--,21.5,11.2
Asquith,--,--,17.3,17.8
Auburn (NSW),--,--,28.5,5.0
Austinmer,--,--,15.1,21.4
Avoca Beach,--,--,17.7,13.8
Balgowlah,--,--,12.9,22.5
Balgowlah Heights,--,--,9.8,37.6
Balgownie,--,--,25.2,13.3
Balmain,--,--,15.7,30.1
Balmain East,--,--,15.1,29.7
Bangor (NSW),--,--,12.0,26.7
Banksia,--,--,20.5,13.0
Bankstown,--,--,29.2,4.7
Bar Beach,--,--,35.7,17.7
Barden Ridge,--,--,5.9,31.8
Bardwell Park,--,--,16.2,20.1
Bardwell Valley,--,--,25.3,15.1
Barnsley,--,--,16.2,6.3
Barrack Heights,--,--,31.9,5.0
Barrack Point,--,--,26.8,9.4
Bass Hill,--,--,29.3,8.2
Bateau Bay,--,--,33.1,6.5
Baulkham Hills,--,--,13.0,20.9
Bayview (NSW),--,--,21.0,22.8
Beacon Hill,--,--,13.0,23.4
Beaconsfield (NSW),--,--,11.7,23.7
Beecroft,--,--,9.7,35.8
Belfield,--,--,27.9,10.4
Bella Vista,--,--,6.8,38.9
Bellambi,--,--,39.5,3.9
Bellevue Hill,--,--,10.6,33.7
Belmont (NSW),--,--,36.3,8.5
Belmont North,--,--,25.0,8.5
Belmont South,--,--,32.4,4.6
Belmore,--,--,29.4,6.1
Belrose,--,--,16.7,24.1
Bensville,--,--,13.7,14.0
Berala,--,--,27.7,6.9
Berkeley,--,--,37.4,4.9
Berkeley Vale,--,--,25.4,5.6
Berowra,--,--,11.0,25.1
Berowra Heights,--,--,11.7,21.8
Beverley Park,--,--,21.9,17.6
Beverly Hills,--,--,24.4,12.0
Bexley,--,--,21.0,11.5
Bexley North,--,--,25.0,12.1
Bidwill (NSW),--,--,44.0,2.0
Birchgrove,--,--,7.3,37.4
Birmingham Gardens,--,--,31.0,2.9
Birrong,--,--,28.4,9.5
Blackalls Park,--,--,28.8,4.4
Blackbutt (NSW),--,--,26.1,11.2
Blackett,--,--,35.4,2.2
Blacksmiths,--,--,40.7,5.0
Blacktown,--,--,23.0,6.7
Blackwall (NSW),--,--,31.7,4.0
Blairmount,--,--,12.0,11.1
Blakehurst,--,--,14.3,25.3
Blaxland (NSW),--,--,17.5,16.0
Blue Bay,--,--,32.9,6.6
Blue Haven,--,--,24.8,4.8
Bolton Point,--,--,35.8,5.6
Bondi,--,--,17.8,21.9
Bondi Beach,--,--,14.5,22.0
Bondi Junction,--,--,19.2,20.5
Bonnet Bay,--,--,8.6,33.9
Bonnyrigg,--,--,27.3,6.2
Bonnyrigg Heights,--,--,15.3,12.4
Booker Bay,--,--,39.0,3.7
Boolaroo,--,--,30.9,2.3
Booragul,--,--,39.7,6.0
Bossley Park,--,--,19.6,11.3
Botany,--,--,18.8,17.4
Bow Bowing,--,--,11.2,10.7
Bradbury (NSW),--,--,21.8,6.9
Broadmeadow,--,--,27.1,6.2
Bronte,--,--,13.0,29.3
Brookvale,--,--,19.7,13.5
Budgewoi,--,--,35.6,4.1
Buff Point,--,--,35.1,3.7
Bulli,--,--,23.3,16.9
Burwood (NSW),--,--,27.3,11.9
Burwood Heights,--,--,22.5,16.2
Busby,--,--,33.8,2.8
Cabarita (NSW),--,--,11.1,30.4
Cabramatta,--,--,36.8,2.8
Cabramatta West,--,--,31.2,6.2
Cambridge Gardens,--,--,13.7,8.9
Cambridge Park,--,--,21.1,5.7
Camden,--,--,28.0,10.5
Camden South,--,--,15.0,14.6
Cammeray,--,--,10.3,26.6
Campbelltown (NSW),--,--,30.1,5.0
Camperdown (NSW),--,--,15.5,22.1
Campsie,--,--,29.4,4.8
Canada Bay,--,--,17.8,21.3
Canley Heights,--,--,28.2,5.7
Canley Vale,--,--,34.8,4.2
Canterbury (NSW),--,--,22.1,9.2
Canton Beach,--,--,61.8,0.0
Cardiff (NSW),--,--,24.0,6.3
Cardiff Heights,--,--,25.5,13.9
Cardiff South,--,--,22.4,5.5
Caringbah,--,--,23.2,11.7
Carlingford,--,--,16.9,18.1
Carlton (NSW),--,--,19.7,11.7
Carramar (NSW),--,--,38.3,2.8
Carrington (Newcastle - NSW),--,--,27.5,7.6
Carss Park,--,--,28.4,24.0
Cartwright,--,--,49.4,1.7
Castle Cove,--,--,10.4,35.4
Castle Hill (NSW),--,--,12.8,26.7
Castlecrag,--,--,10.2,42.5
Casula,--,--,20.9,10.6
Caves Beach,--,--,22.6,12.3
Cecil Hills,--,--,12.5,20.1
Centennial Park (NSW),--,--,14.0,19.0
Charlestown (NSW),--,--,23.2,10.5
Charmhaven,--,--,28.4,3.5
Chatswood,--,--,19.7,18.7
Chatswood West,--,--,11.4,32.3
Cheltenham (NSW),--,--,6.2,39.5
Cherrybrook,--,--,12.0,29.7
Chester Hill,--,--,32.4,6.3
Chifley (NSW),--,--,27.6,16.6
Chippendale,--,--,24.6,14.3
Chipping Norton,--,--,15.0,16.6
Chiswick,--,--,11.7,24.3
Chittaway Bay,--,--,27.6,6.2
Chittaway Point,--,--,22.1,6.6
Church Point,--,--,10.1,30.7
Claremont Meadows,--,--,10.6,11.8
