,School Education,"Cafes, Restaurants and Takeaway Food Services",Building Installation Services,Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Depository Financial Intermediation,Auxiliary Finance and Investment Services,Hospitals,Public Order and Safety Services,Defence,"Architectural, Engineering and Technical Services",Tertiary Education,"Building Cleaning, Pest Control and Gardening Services",Residential Care Services,Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Clothing, Footwear and Personal Accessory Retailing",Coal Mining,Allied Health Services,Management and Related Consulting Services,State Government Administration,Building Completion Services,Accommodation,Other Machinery and Equipment Wholesaling,Medical Services,Pharmaceutical and Other Store-Based Retailing,Other Social Assistance Services,Child Care Services,Furniture Manufacturing,Specialised Food Retailing,Advertising Services,Air and Space Transport,Meat and Meat Product Manufacturing,Personal Care Services,Converted Paper Product Manufacturing,Real Estate Services,Printing and Printing Support Services,"Newspaper, Periodical, Book and Directory Publishing",Employment Services,"Furniture, Floor Covering and Other Goods Wholesaling",Automotive Repair and Maintenance,Veterinary Services,Road Passenger Transport,Local Government Administration,"Cement, Lime, Plaster and Concrete Product Manufacturing",Telecommunications Services,Specialised Machinery and Equipment Manufacturing,Recreational Goods Retailing,"Adult, Community and Other Education",Property Operators,Building Structure Services,Fruit and Vegetable Processing,Fertiliser and Pesticide Manufacturing,Polymer Product Manufacturing,Other Goods and Equipment Rental and Hiring,Sports and Physical Recreation Activities,Postal and Courier Pick-up and Delivery Services,Horse and Dog Racing Activities,"Pubs, Taverns and Bars",Rail Passenger Transport,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Building Installation Services (%),Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Depository Financial Intermediation (%),Auxiliary Finance and Investment Services (%),Hospitals (%),Public Order and Safety Services (%),Defence (%),"Architectural, Engineering and Technical Services (%)",Tertiary Education (%),"Building Cleaning, Pest Control and Gardening Services (%)",Residential Care Services (%),Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Coal Mining (%),Allied Health Services (%),Management and Related Consulting Services (%),State Government Administration (%),Building Completion Services (%),Accommodation (%),Other Machinery and Equipment Wholesaling (%),Medical Services (%),Pharmaceutical and Other Store-Based Retailing (%),Other Social Assistance Services (%),Child Care Services (%),Furniture Manufacturing (%),Specialised Food Retailing (%),Advertising Services (%),Air and Space Transport (%),Meat and Meat Product Manufacturing (%),Personal Care Services (%),Converted Paper Product Manufacturing (%),Real Estate Services (%),Printing and Printing Support Services (%),"Newspaper, Periodical, Book and Directory Publishing (%)",Employment Services (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Automotive Repair and Maintenance (%),Veterinary Services (%),Road Passenger Transport (%),Local Government Administration (%),"Cement, Lime, Plaster and Concrete Product Manufacturing (%)",Telecommunications Services (%),Specialised Machinery and Equipment Manufacturing (%),Recreational Goods Retailing (%),"Adult, Community and Other Education (%)",Property Operators (%),Building Structure Services (%),Fruit and Vegetable Processing (%),Fertiliser and Pesticide Manufacturing (%),Polymer Product Manufacturing (%),Other Goods and Equipment Rental and Hiring (%),Sports and Physical Recreation Activities (%),Postal and Courier Pick-up and Delivery Services (%),Horse and Dog Racing Activities (%),"Pubs, Taverns and Bars (%)",Rail Passenger Transport (%)
Abbotsbury,129,111,66,65,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.8,2.8,2.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,"138,795","127,711","51,688","51,645","49,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.1,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"467,373","412,804","177,159","171,578","171,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.1,1.8,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbotsford,125,100,,,,121,82,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.8,,,,4.6,3.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Gardens,90,62,,,,,77,,74,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.1,,,,,3.8,,3.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown,164,143,,,,,,,139,,110,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.9,,,,,,,4.7,,3.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamstown Heights,153,109,,,,,,,139,,,78,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,4.3,,,,,,,5.5,,,3.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airds,21,27,,35,,,,,,,,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.3,,5.6,,,,,,,,,,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park,283,246,,,,,,,195,,,,,,,295,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.0,,,,,,,3.2,,,,,,,4.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Park Rail,97,143,,,,,,,,,,,,,135,126,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.8,,,,,,,,,,,,,4.6,4.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
