,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Abbotsbury,50.0,49.0,50.0,71.0,22.0,--,--,--,--,--
New South Wales,50.0,49.0,54.0,78.0,26.0,--,--,--,--,--
Australia,50.0,49.0,54.0,78.0,25.0,--,--,--,--,--
Abbotsford (NSW),51.0,49.0,54.0,78.0,30.0,--,--,--,--,--
Acacia Gardens,41.0,47.0,48.0,73.0,22.0,--,--,--,--,--
Adamstown,46.0,49.0,52.0,79.0,27.0,--,--,--,--,--
Adamstown Heights,54.0,49.0,55.0,78.0,23.0,--,--,--,--,--
Airds,53.0,49.0,57.0,67.0,25.0,--,--,--,--,--
Albion Park,47.0,45.0,50.0,79.0,22.0,--,--,--,--,--
Albion Park Rail,52.0,45.0,53.0,79.0,24.0,--,--,--,--,--
Alexandria,39.0,48.0,49.0,75.0,31.0,--,--,--,--,--
Alfords Point,52.0,40.0,52.0,75.0,21.0,--,--,--,--,--
Allambie Heights,50.0,51.0,59.0,82.0,25.0,--,--,--,--,--
Allawah,44.0,50.0,50.0,74.0,26.0,--,--,--,--,--
Ambarvale,50.0,49.0,52.0,69.0,24.0,--,--,--,--,--
Annandale (NSW),43.0,48.0,56.0,78.0,32.0,--,--,--,--,--
Argenton,58.0,51.0,53.0,78.0,26.0,--,--,--,--,--
Arncliffe,47.0,47.0,52.0,79.0,26.0,--,--,--,--,--
Artarmon,42.0,50.0,54.0,77.0,28.0,--,--,--,--,--
Ashbury,51.0,49.0,53.0,76.0,25.0,--,--,--,--,--
Ashcroft,48.0,47.0,54.0,75.0,25.0,--,--,--,--,--
Ashfield (NSW),42.0,51.0,54.0,82.0,28.0,--,--,--,--,--
Asquith,50.0,51.0,56.0,80.0,24.0,--,--,--,--,--
Auburn (NSW),42.0,44.0,49.0,75.0,23.0,--,--,--,--,--
Austinmer,51.0,53.0,56.0,76.0,25.0,--,--,--,--,--
Avoca Beach,51.0,51.0,55.0,78.0,23.0,--,--,--,--,--
Balgowlah,46.0,50.0,56.0,78.0,29.0,--,--,--,--,--
Balgowlah Heights,50.0,49.0,56.0,80.0,21.0,--,--,--,--,--
Balgownie,54.0,47.0,52.0,76.0,24.0,--,--,--,--,--
Balmain,45.0,49.0,58.0,72.0,33.0,--,--,--,--,--
Balmain East,50.0,51.0,60.0,78.0,33.0,--,--,--,--,--
Bangor (NSW),53.0,55.0,56.0,81.0,23.0,--,--,--,--,--
Banksia,49.0,46.0,57.0,78.0,27.0,--,--,--,--,--
Bankstown,43.0,43.0,49.0,77.0,24.0,--,--,--,--,--
Bar Beach,51.0,57.0,52.0,72.0,28.0,--,--,--,--,--
Barden Ridge,49.0,50.0,50.0,69.0,20.0,--,--,--,--,--
Bardwell Park,50.0,53.0,56.0,80.0,25.0,--,--,--,--,--
Bardwell Valley,49.0,46.0,55.0,76.0,25.0,--,--,--,--,--
Barnsley,50.0,42.0,54.0,75.0,24.0,--,--,--,--,--
Barrack Heights,55.0,47.0,52.0,73.0,25.0,--,--,--,--,--
Barrack Point,54.0,38.0,55.0,78.0,24.0,--,--,--,--,--
Bass Hill,49.0,47.0,53.0,79.0,23.0,--,--,--,--,--
Bateau Bay,54.0,50.0,57.0,82.0,25.0,--,--,--,--,--
Baulkham Hills,49.0,48.0,53.0,75.0,24.0,--,--,--,--,--
Bayview (NSW),59.0,50.0,61.0,84.0,22.0,--,--,--,--,--
Beacon Hill,51.0,57.0,54.0,76.0,23.0,--,--,--,--,--
Beaconsfield (NSW),40.0,42.0,51.0,63.0,31.0,--,--,--,--,--
Beecroft,53.0,55.0,56.0,82.0,21.0,--,--,--,--,--
Belfield,48.0,50.0,52.0,77.0,24.0,--,--,--,--,--
Bella Vista,49.0,46.0,52.0,72.0,21.0,--,--,--,--,--
Bellambi,53.0,49.0,55.0,78.0,27.0,--,--,--,--,--
Bellevue Hill,51.0,49.0,56.0,80.0,27.0,--,--,--,--,--
Belmont (NSW),56.0,49.0,57.0,80.0,24.0,--,--,--,--,--
Belmont North,53.0,48.0,52.0,81.0,24.0,--,--,--,--,--
Belmont South,55.0,49.0,54.0,80.0,24.0,--,--,--,--,--
Belmore,48.0,46.0,51.0,75.0,25.0,--,--,--,--,--
Belrose,53.0,49.0,56.0,83.0,22.0,--,--,--,--,--
Bensville,50.0,57.0,55.0,74.0,22.0,--,--,--,--,--
Berala,47.0,48.0,52.0,78.0,24.0,--,--,--,--,--
Berkeley,52.0,51.0,55.0,77.0,25.0,--,--,--,--,--
Berkeley Vale,50.0,48.0,54.0,82.0,24.0,--,--,--,--,--
Berowra,49.0,44.0,55.0,74.0,22.0,--,--,--,--,--
Berowra Heights,49.0,47.0,50.0,71.0,23.0,--,--,--,--,--
Beverley Park,51.0,56.0,51.0,84.0,25.0,--,--,--,--,--
Beverly Hills,51.0,51.0,53.0,79.0,25.0,--,--,--,--,--
Bexley,47.0,48.0,54.0,81.0,25.0,--,--,--,--,--
Bexley North,49.0,55.0,53.0,80.0,26.0,--,--,--,--,--
Bidwill (NSW),52.0,50.0,55.0,67.0,25.0,--,--,--,--,--
Birchgrove,48.0,55.0,58.0,69.0,32.0,--,--,--,--,--
Birmingham Gardens,50.0,49.0,51.0,80.0,23.0,--,--,--,--,--
Birrong,50.0,45.0,52.0,79.0,24.0,--,--,--,--,--
Blackalls Park,55.0,48.0,55.0,78.0,24.0,--,--,--,--,--
Blackbutt (NSW),50.0,49.0,51.0,73.0,23.0,--,--,--,--,--
Blackett,52.0,49.0,56.0,68.0,25.0,--,--,--,--,--
