,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Abbotsbury,50.0,45.0,23.0,--,--,--
New South Wales,50.0,36.0,34.0,--,--,--
Australia,50.0,35.0,33.0,--,--,--
Abbotsford (NSW),51.0,39.0,42.0,--,--,--
Acacia Gardens,41.0,37.0,25.0,--,--,--
Adamstown,47.0,32.0,37.0,--,--,--
Adamstown Heights,54.0,37.0,35.0,--,--,--
Airds,54.0,39.0,32.0,--,--,--
Albion Park,46.0,34.0,25.0,--,--,--
Albion Park Rail,52.0,35.0,32.0,--,--,--
Alexandria,39.0,33.0,33.0,--,--,--
Alfords Point,51.0,42.0,21.0,--,--,--
Allambie Heights,49.0,43.0,39.0,--,--,--
Allawah,44.0,34.0,34.0,--,--,--
Ambarvale,50.0,35.0,28.0,--,--,--
Annandale (NSW),43.0,36.0,36.0,--,--,--
Argenton,56.0,33.0,43.0,--,--,--
Arncliffe,48.0,37.0,31.0,--,--,--
Artarmon,42.0,33.0,33.0,--,--,--
Ashbury,51.0,44.0,30.0,--,--,--
Ashcroft,49.0,42.0,34.0,--,--,--
Ashfield (NSW),42.0,34.0,33.0,--,--,--
Asquith,50.0,39.0,31.0,--,--,--
Auburn (NSW),42.0,32.0,27.0,--,--,--
Austinmer,51.0,42.0,35.0,--,--,--
Avoca Beach,50.0,43.0,32.0,--,--,--
Balgowlah,46.0,36.0,39.0,--,--,--
Balgowlah Heights,50.0,46.0,25.0,--,--,--
Balgownie,54.0,36.0,33.0,--,--,--
Balmain,44.0,37.0,40.0,--,--,--
Balmain East,50.0,44.0,40.0,--,--,--
Bangor (NSW),53.0,48.0,25.0,--,--,--
Banksia,51.0,41.0,32.0,--,--,--
Bankstown,43.0,35.0,31.0,--,--,--
Bar Beach,51.0,30.0,32.0,--,--,--
Barden Ridge,49.0,45.0,21.0,--,--,--
Bardwell Park,50.0,40.0,30.0,--,--,--
Bardwell Valley,49.0,46.0,34.0,--,--,--
Barnsley,49.0,35.0,27.0,--,--,--
Barrack Heights,55.0,36.0,34.0,--,--,--
Barrack Point,51.0,43.0,41.0,--,--,--
Bass Hill,49.0,39.0,31.0,--,--,--
Bateau Bay,54.0,39.0,42.0,--,--,--
Baulkham Hills,49.0,38.0,28.0,--,--,--
Bayview (NSW),59.0,48.0,49.0,--,--,--
Beacon Hill,51.0,42.0,26.0,--,--,--
Beaconsfield (NSW),39.0,36.0,32.0,--,--,--
Beecroft,53.0,43.0,23.0,--,--,--
Belfield,48.0,40.0,34.0,--,--,--
Bella Vista,49.0,47.0,22.0,--,--,--
Bellambi,54.0,35.0,40.0,--,--,--
Bellevue Hill,51.0,33.0,31.0,--,--,--
Belmont (NSW),56.0,35.0,45.0,--,--,--
Belmont North,53.0,35.0,35.0,--,--,--
Belmont South,54.0,41.0,39.0,--,--,--
Belmore,48.0,36.0,33.0,--,--,--
Belrose,52.0,46.0,30.0,--,--,--
Bensville,50.0,40.0,24.0,--,--,--
Berala,47.0,41.0,29.0,--,--,--
Berkeley,52.0,37.0,38.0,--,--,--
Berkeley Vale,49.0,37.0,35.0,--,--,--
Berowra,49.0,38.0,25.0,--,--,--
Berowra Heights,49.0,41.0,27.0,--,--,--
Beverley Park,51.0,39.0,34.0,--,--,--
Beverly Hills,51.0,35.0,32.0,--,--,--
Bexley,47.0,38.0,32.0,--,--,--
Bexley North,49.0,42.0,37.0,--,--,--
Bidwill (NSW),53.0,39.0,32.0,--,--,--
Birchgrove,49.0,44.0,36.0,--,--,--
Birmingham Gardens,50.0,27.0,24.0,--,--,--
Birrong,50.0,39.0,32.0,--,--,--
Blackalls Park,55.0,31.0,36.0,--,--,--
Blackbutt (NSW),50.0,32.0,30.0,--,--,--
Blackett,52.0,33.0,32.0,--,--,--
Blacksmiths,56.0,43.0,49.0,--,--,--
Blacktown,44.0,35.0,32.0,--,--,--
Blackwall (NSW),57.0,40.0,47.0,--,--,--
Blairmount,47.0,25.0,23.0,--,--,--
Blakehurst,51.0,44.0,26.0,--,--,--
Blaxland (NSW),52.0,38.0,30.0,--,--,--
Blue Bay,60.0,41.0,44.0,--,--,--
Blue Haven,47.0,34.0,33.0,--,--,--
Bolton Point,56.0,40.0,34.0,--,--,--
Bondi,44.0,32.0,33.0,--,--,--
Bondi Beach,42.0,32.0,32.0,--,--,--
Bondi Junction,46.0,32.0,35.0,--,--,--
Bonnet Bay,53.0,49.0,24.0,--,--,--
Bonnyrigg,50.0,40.0,29.0,--,--,--
Bonnyrigg Heights,49.0,41.0,25.0,--,--,--
Booker Bay,64.0,34.0,46.0,--,--,--
Boolaroo,51.0,31.0,43.0,--,--,--
Booragul,54.0,36.0,44.0,--,--,--
Bossley Park,52.0,42.0,26.0,--,--,--
Botany,46.0,38.0,37.0,--,--,--
Bow Bowing,45.0,36.0,27.0,--,--,--
Bradbury (NSW),53.0,34.0,34.0,--,--,--
Broadmeadow,46.0,33.0,38.0,--,--,--
Bronte,48.0,35.0,34.0,--,--,--
Brookvale,43.0,31.0,39.0,--,--,--
Budgewoi,57.0,38.0,46.0,--,--,--
Buff Point,56.0,38.0,42.0,--,--,--
Bulli,49.0,40.0,34.0,--,--,--
Burwood (NSW),48.0,30.0,27.0,--,--,--
Burwood Heights,54.0,31.0,30.0,--,--,--
Busby,49.0,40.0,30.0,--,--,--
Cabarita (NSW),55.0,47.0,30.0,--,--,--
Cabramatta,47.0,39.0,36.0,--,--,--
Cambridge Gardens,50.0,33.0,29.0,--,--,--
Cambridge Park,51.0,34.0,33.0,--,--,--
Camden,50.0,35.0,39.0,--,--,--
Camden South,52.0,33.0,28.0,--,--,--
Cammeray,43.0,34.0,39.0,--,--,--
Campbelltown (NSW),50.0,32.0,36.0,--,--,--
Camperdown (NSW),37.0,32.0,32.0,--,--,--
Campsie,45.0,35.0,31.0,--,--,--
Canada Bay,47.0,41.0,38.0,--,--,--
Canley Heights,49.0,40.0,31.0,--,--,--
Canley Vale,47.0,39.0,33.0,--,--,--
Canton Beach,68.0,37.0,64.0,--,--,--
Cardiff (NSW),51.0,32.0,38.0,--,--,--
Cardiff Heights,53.0,36.0,37.0,--,--,--
Cardiff South,50.0,34.0,37.0,--,--,--
Caringbah,46.0,31.0,43.0,--,--,--
Carlingford,51.0,41.0,27.0,--,--,--
Carlton (NSW),47.0,38.0,33.0,--,--,--
Carramar (NSW),45.0,36.0,40.0,--,--,--
Cartwright,49.0,40.0,42.0,--,--,--
Castle Cove,54.0,49.0,28.0,--,--,--
Castle Hill (NSW),50.0,38.0,25.0,--,--,--
Castlecrag,52.0,51.0,27.0,--,--,--
Casula,47.0,37.0,28.0,--,--,--
Caves Beach,55.0,39.0,31.0,--,--,--
Cecil Hills,48.0,41.0,23.0,--,--,--
Centennial Park (NSW),49.0,30.0,36.0,--,--,--
Charlestown (NSW),52.0,32.0,36.0,--,--,--
Charmhaven,53.0,34.0,37.0,--,--,--
Chatswood,45.0,33.0,29.0,--,--,--
Chatswood West,50.0,47.0,29.0,--,--,--
Cheltenham (NSW),53.0,51.0,23.0,--,--,--
Cherrybrook,51.0,42.0,23.0,--,--,--
Chester Hill,49.0,40.0,33.0,--,--,--
Chifley (NSW),52.0,47.0,33.0,--,--,--
Chippendale,34.0,30.0,27.0,--,--,--
Chipping Norton,51.0,37.0,27.0,--,--,--
Chiswick,42.0,32.0,38.0,--,--,--
Chittaway Bay,51.0,36.0,38.0,--,--,--
Chittaway Point,52.0,39.0,32.0,--,--,--
Church Point,57.0,46.0,29.0,--,--,--
Claremont Meadows,42.0,31.0,24.0,--,--,--
Claymore,49.0,35.0,29.0,--,--,--
Clontarf (NSW),52.0,49.0,22.0,--,--,--
Clovelly,46.0,37.0,36.0,--,--,--
Coal Point,57.0,46.0,28.0,--,--,--
Coledale,48.0,45.0,43.0,--,--,--
Collaroy (NSW),49.0,35.0,32.0,--,--,--
Colyton,50.0,37.0,31.0,--,--,--
Como (NSW),48.0,41.0,25.0,--,--,--
Concord,50.0,38.0,31.0,--,--,--
Concord West,50.0,39.0,30.0,--,--,--
Condell Park,49.0,43.0,28.0,--,--,--
Coniston,53.0,31.0,35.0,--,--,--
Connells Point,53.0,44.0,26.0,--,--,--
Cooks Hill,49.0,30.0,30.0,--,--,--
Copacabana,48.0,38.0,33.0,--,--,--
Cordeaux Heights,49.0,40.0,21.0,--,--,--
Corrimal,52.0,35.0,40.0,--,--,--
Cranebrook,46.0,33.0,26.0,--,--,--
Cremorne (NSW),45.0,33.0,38.0,--,--,--
Cremorne Point,52.0,37.0,43.0,--,--,--
Cringila,52.0,37.0,36.0,--,--,--
Cromer (NSW),49.0,41.0,36.0,--,--,--
Cronulla,52.0,30.0,36.0,--,--,--
Croudace Bay,51.0,38.0,41.0,--,--,--
Crows Nest (NSW),40.0,33.0,35.0,--,--,--
Croydon (NSW),49.0,37.0,32.0,--,--,--
Croydon Park (NSW),48.0,38.0,36.0,--,--,--
Curl Curl,47.0,35.0,29.0,--,--,--
Currans Hill,40.0,33.0,29.0,--,--,--
Daceyville,60.0,40.0,57.0,--,--,--
Daleys Point,63.0,58.0,50.0,--,--,--
Dapto,53.0,38.0,37.0,--,--,--
Darling Point,57.0,36.0,49.0,--,--,--
Darlinghurst,40.0,32.0,34.0,--,--,--
Darlington (Sydney - NSW),40.0,35.0,27.0,--,--,--
Davidson,53.0,46.0,24.0,--,--,--
Davistown,56.0,40.0,48.0,--,--,--
Dawes Point,56.0,36.0,48.0,--,--,--
Dean Park,46.0,31.0,27.0,--,--,--
Denistone,51.0,45.0,25.0,--,--,--
Denistone East,50.0,50.0,31.0,--,--,--
Denistone West,49.0,44.0,27.0,--,--,--
Dharruk,51.0,39.0,30.0,--,--,--
Dolans Bay,55.0,46.0,23.0,--,--,--
