,Families without children,Families with children,Families without children (%),Families with children (%)
Abbotsbury,2095.0,2477.0,--,--
New South Wales,2120.0,2370.0,--,--
Australia,2081.0,2310.0,--,--
Abbotsford (NSW),2985.0,3178.0,--,--
Acacia Gardens,2374.0,2544.0,--,--
Adamstown,2116.0,2430.0,--,--
Adamstown Heights,2447.0,2611.0,--,--
Airds,2107.0,1928.0,--,--
Albion Park,1979.0,2157.0,--,--
Albion Park Rail,1696.0,2044.0,--,--
Alexandria,2821.0,3154.0,--,--
Alfords Point,2115.0,3058.0,--,--
Allambie Heights,2484.0,2897.0,--,--
Allawah,1894.0,2156.0,--,--
Ambarvale,1854.0,2192.0,--,--
Annandale (NSW),3095.0,3422.0,--,--
Argenton,1522.0,1765.0,--,--
Arncliffe,2209.0,2250.0,--,--
Artarmon,2846.0,3123.0,--,--
Ashbury,2650.0,2745.0,--,--
Ashcroft,1533.0,1896.0,--,--
Ashfield (NSW),2077.0,2446.0,--,--
Asquith,2206.0,2726.0,--,--
Auburn (NSW),1463.0,1808.0,--,--
Austinmer,2607.0,2775.0,--,--
Avoca Beach,2214.0,2456.0,--,--
Balgowlah,2686.0,3122.0,--,--
Balgowlah Heights,3196.0,3526.0,--,--
Balgownie,2448.0,2482.0,--,--
Balmain,3440.0,3603.0,--,--
Balmain East,3216.0,3562.0,--,--
Bangor (NSW),2486.0,2904.0,--,--
Banksia,2135.0,2230.0,--,--
Bankstown,1721.0,1895.0,--,--
Bar Beach,1949.0,4423.0,--,--
Barden Ridge,2440.0,2853.0,--,--
Bardwell Park,2380.0,2446.0,--,--
Bardwell Valley,2416.0,2306.0,--,--
Barnsley,1625.0,1926.0,--,--
Barrack Heights,1912.0,2141.0,--,--
Barrack Point,1583.0,2536.0,--,--
Bass Hill,1855.0,2184.0,--,--
Bateau Bay,1947.0,2099.0,--,--
Baulkham Hills,2467.0,2730.0,--,--
Bayview (NSW),2456.0,3261.0,--,--
Beacon Hill,2328.0,2740.0,--,--
Beaconsfield (NSW),2863.0,2805.0,--,--
Beecroft,3077.0,3360.0,--,--
Belfield,1947.0,2266.0,--,--
Bella Vista,2664.0,3238.0,--,--
Bellambi,1826.0,2054.0,--,--
Bellevue Hill,3203.0,3413.0,--,--
Belmont (NSW),2099.0,2452.0,--,--
Belmont North,1848.0,2206.0,--,--
Belmont South,1791.0,1980.0,--,--
Belmore,1634.0,2004.0,--,--
Belrose,2619.0,3047.0,--,--
Bensville,1922.0,2299.0,--,--
Berala,1651.0,2038.0,--,--
Berkeley,1937.0,2014.0,--,--
Berkeley Vale,1837.0,2005.0,--,--
Berowra,2518.0,2840.0,--,--
Berowra Heights,2358.0,2597.0,--,--
Beverley Park,2175.0,2509.0,--,--
Beverly Hills,2208.0,2284.0,--,--
Bexley,2110.0,2322.0,--,--
Bexley North,2107.0,2391.0,--,--
Bidwill (NSW),1525.0,1939.0,--,--
Birchgrove,3424.0,3689.0,--,--
Birmingham Gardens,1611.0,2125.0,--,--
Birrong,1874.0,2441.0,--,--
Blackalls Park,1711.0,2116.0,--,--
Blackbutt (NSW),2116.0,2425.0,--,--
Blackett,1558.0,1801.0,--,--
Blacksmiths,2208.0,2111.0,--,--
Blacktown,1816.0,2064.0,--,--
Blackwall (NSW),1535.0,2047.0,--,--
Blairmount,2062.0,2036.0,--,--
Blakehurst,2462.0,2953.0,--,--
Blaxland (NSW),2300.0,2601.0,--,--
Blue Bay,1949.0,1625.0,--,--
Blue Haven,1842.0,1882.0,--,--
Bolton Point,1905.0,2323.0,--,--
Bondi,2665.0,2933.0,--,--
Bondi Beach,2874.0,3066.0,--,--
Bondi Junction,2810.0,3146.0,--,--
Bonnet Bay,2750.0,3187.0,--,--
Bonnyrigg,1803.0,1945.0,--,--
Bonnyrigg Heights,1700.0,2184.0,--,--
Booker Bay,1625.0,2392.0,--,--
Boolaroo,1824.0,2027.0,--,--
Booragul,2027.0,2104.0,--,--
Bossley Park,1895.0,2223.0,--,--
Botany,2367.0,2556.0,--,--
Bow Bowing,1845.0,2268.0,--,--
Bradbury (NSW),1973.0,2146.0,--,--
Broadmeadow,2114.0,2012.0,--,--
Bronte,2895.0,3353.0,--,--
Brookvale,2238.0,2418.0,--,--
Budgewoi,1515.0,2110.0,--,--
Buff Point,1947.0,2014.0,--,--
Bulli,2380.0,2644.0,--,--
Burwood (NSW),1862.0,2396.0,--,--
Burwood Heights,2333.0,2874.0,--,--
Busby,1650.0,1860.0,--,--
Cabarita (NSW),3237.0,3102.0,--,--
Cabramatta,1354.0,1571.0,--,--
Cabramatta West,1625.0,1827.0,--,--
Cambridge Gardens,2008.0,2128.0,--,--
