,Personal,Family,Household,Personal (%),Family (%),Household (%)
Abbotsbury,616.0,1965.0,1971.0,--,--,--
New South Wales,561.0,1477.0,1237.0,--,--,--
Australia,577.0,1481.0,1234.0,--,--,--
Abbotsford (NSW),826.0,2248.0,1727.0,--,--,--
Acacia Gardens,837.0,2204.0,2217.0,--,--,--
Adamstown,626.0,1641.0,1214.0,--,--,--
Adamstown Heights,626.0,1741.0,1448.0,--,--,--
Airds,310.0,641.0,544.0,--,--,--
Albion Park,556.0,1607.0,1483.0,--,--,--
Albion Park Rail,466.0,1208.0,1028.0,--,--,--
Alexandria,1168.0,2501.0,2075.0,--,--,--
Alfords Point,707.0,2483.0,2496.0,--,--,--
Allambie Heights,631.0,2171.0,1689.0,--,--,--
Allawah,568.0,1300.0,1204.0,--,--,--
Ambarvale,497.0,1237.0,1160.0,--,--,--
Annandale (NSW),1069.0,2739.0,2086.0,--,--,--
Argenton,395.0,970.0,810.0,--,--,--
Arncliffe,470.0,1385.0,1251.0,--,--,--
Artarmon,936.0,2402.0,1910.0,--,--,--
Ashbury,621.0,1921.0,1693.0,--,--,--
Ashcroft,343.0,869.0,694.0,--,--,--
Ashfield (NSW),574.0,1458.0,1314.0,--,--,--
Asquith,639.0,1910.0,1643.0,--,--,--
Auburn (NSW),352.0,957.0,968.0,--,--,--
Austinmer,756.0,2145.0,1786.0,--,--,--
Avoca Beach,646.0,1704.0,1458.0,--,--,--
Balgowlah,903.0,2439.0,1912.0,--,--,--
Balgowlah Heights,915.0,2841.0,2695.0,--,--,--
Balgownie,541.0,1642.0,1308.0,--,--,--
Balmain,1208.0,2868.0,2456.0,--,--,--
Balmain East,1221.0,2833.0,2511.0,--,--,--
Bangor (NSW),765.0,2308.0,2171.0,--,--,--
Banksia,531.0,1434.0,1371.0,--,--,--
Bankstown,377.0,989.0,950.0,--,--,--
Bar Beach,763.0,2568.0,1129.0,--,--,--
Barden Ridge,718.0,2501.0,2495.0,--,--,--
Bardwell Park,650.0,1803.0,1606.0,--,--,--
Bardwell Valley,568.0,1650.0,1415.0,--,--,--
Barnsley,579.0,1371.0,1330.0,--,--,--
Barrack Heights,408.0,1092.0,943.0,--,--,--
Barrack Point,530.0,1461.0,1103.0,--,--,--
Bass Hill,395.0,1218.0,1051.0,--,--,--
Bateau Bay,471.0,1273.0,938.0,--,--,--
Baulkham Hills,710.0,2041.0,1872.0,--,--,--
Bayview (NSW),721.0,2246.0,1606.0,--,--,--
Beacon Hill,671.0,2048.0,1950.0,--,--,--
Beaconsfield (NSW),1062.0,2402.0,2178.0,--,--,--
Beecroft,796.0,2663.0,2523.0,--,--,--
Belfield,474.0,1311.0,1135.0,--,--,--
Bella Vista,754.0,2675.0,2634.0,--,--,--
Bellambi,392.0,971.0,763.0,--,--,--
Bellevue Hill,1102.0,2857.0,2566.0,--,--,--
Belmont (NSW),479.0,1287.0,860.0,--,--,--
Belmont North,515.0,1419.0,1194.0,--,--,--
Belmont South,443.0,986.0,827.0,--,--,--
Belmore,413.0,1088.0,987.0,--,--,--
Belrose,664.0,2156.0,1782.0,--,--,--
Bensville,617.0,1718.0,1606.0,--,--,--
Berala,391.0,1069.0,1012.0,--,--,--
Berkeley,386.0,1112.0,885.0,--,--,--
Berkeley Vale,519.0,1330.0,1135.0,--,--,--
Berowra,742.0,2272.0,2091.0,--,--,--
Berowra Heights,735.0,2045.0,1885.0,--,--,--
Beverley Park,594.0,1731.0,1522.0,--,--,--
Beverly Hills,516.0,1476.0,1260.0,--,--,--
Bexley,528.0,1469.0,1358.0,--,--,--
Bexley North,508.0,1423.0,1251.0,--,--,--
Bidwill (NSW),340.0,714.0,686.0,--,--,--
Birchgrove,1356.0,3061.0,2726.0,--,--,--
Birmingham Gardens,380.0,1149.0,914.0,--,--,--
Birrong,420.0,1189.0,1095.0,--,--,--
Blackalls Park,472.0,1159.0,986.0,--,--,--
Blackbutt (NSW),511.0,1476.0,1230.0,--,--,--
Blackett,380.0,912.0,847.0,--,--,--
Blacksmiths,432.0,1069.0,742.0,--,--,--
Blacktown,507.0,1273.0,1174.0,--,--,--
Blackwall (NSW),468.0,1145.0,898.0,--,--,--
Blairmount,609.0,1571.0,1489.0,--,--,--
Blakehurst,691.0,2111.0,1903.0,--,--,--
Blaxland (NSW),655.0,1834.0,1540.0,--,--,--
Blue Bay,512.0,989.0,837.0,--,--,--
Blue Haven,491.0,1191.0,1072.0,--,--,--
Bolton Point,388.0,952.0,794.0,--,--,--
Bondi,948.0,2237.0,1782.0,--,--,--
Bondi Beach,1050.0,2354.0,1856.0,--,--,--
Bondi Junction,911.0,2250.0,1634.0,--,--,--
Bonnet Bay,840.0,2516.0,2396.0,--,--,--
Bonnyrigg,340.0,1044.0,1051.0,--,--,--
Bonnyrigg Heights,436.0,1395.0,1470.0,--,--,--
Booker Bay,473.0,984.0,788.0,--,--,--
Boolaroo,465.0,1147.0,919.0,--,--,--
Booragul,419.0,1141.0,808.0,--,--,--
Bossley Park,438.0,1369.0,1381.0,--,--,--
Botany,698.0,1907.0,1628.0,--,--,--
Bow Bowing,668.0,1596.0,1549.0,--,--,--
Bradbury (NSW),546.0,1325.0,1210.0,--,--,--
Broadmeadow,602.0,1232.0,1054.0,--,--,--
Bronte,1069.0,2703.0,2318.0,--,--,--
Brookvale,727.0,1864.0,1451.0,--,--,--
Budgewoi,439.0,971.0,792.0,--,--,--
Buff Point,417.0,1019.0,838.0,--,--,--
Bulli,600.0,1797.0,1463.0,--,--,--
Burwood (NSW),437.0,1301.0,1185.0,--,--,--
Burwood Heights,544.0,1655.0,1399.0,--,--,--
Busby,342.0,905.0,820.0,--,--,--
Cabarita (NSW),933.0,2462.0,2435.0,--,--,--
Cabramatta,325.0,799.0,780.0,--,--,--
Cabramatta West,334.0,912.0,916.0,--,--,--
Cambridge Gardens,678.0,1682.0,1647.0,--,--,--
Cambridge Park,574.0,1388.0,1239.0,--,--,--
Camden,578.0,1659.0,1188.0,--,--,--
Camden South,678.0,1802.0,1620.0,--,--,--
Cammeray,1187.0,2749.0,2239.0,--,--,--
Campbelltown (NSW),484.0,1230.0,993.0,--,--,--
Camperdown (NSW),944.0,2581.0,1953.0,--,--,--
Campsie,389.0,974.0,945.0,--,--,--
Canada Bay,745.0,1954.0,1738.0,--,--,--
Canley Heights,342.0,960.0,1018.0,--,--,--
Canley Vale,337.0,899.0,824.0,--,--,--
Canterbury (NSW),527.0,1329.0,1229.0,--,--,--
Canton Beach,362.0,718.0,519.0,--,--,--
Cardiff (NSW),544.0,1348.0,1098.0,--,--,--
Cardiff Heights,489.0,1905.0,1389.0,--,--,--
Cardiff South,553.0,1373.0,1146.0,--,--,--
Caringbah,728.0,1800.0,1317.0,--,--,--
Carlingford,586.0,1710.0,1572.0,--,--,--
Carlton (NSW),559.0,1419.0,1320.0,--,--,--
Carramar (NSW),360.0,881.0,764.0,--,--,--
Carrington (Newcastle - NSW),596.0,1334.0,1059.0,--,--,--
Carss Park,586.0,2304.0,1352.0,--,--,--
Cartwright,335.0,849.0,609.0,--,--,--
Castle Cove,875.0,2678.0,2586.0,--,--,--
Castle Hill (NSW),721.0,2287.0,2059.0,--,--,--
Castlecrag,1102.0,2991.0,2793.0,--,--,--
Casula,527.0,1459.0,1366.0,--,--,--
Caves Beach,511.0,1427.0,1187.0,--,--,--
Cecil Hills,600.0,1800.0,1832.0,--,--,--
Centennial Park (NSW),1125.0,2635.0,1713.0,--,--,--
Charlestown (NSW),585.0,1557.0,1244.0,--,--,--
Charmhaven,455.0,1123.0,972.0,--,--,--
Chatswood,674.0,1886.0,1616.0,--,--,--
Chatswood West,838.0,2563.0,2503.0,--,--,--
Cheltenham (NSW),819.0,2720.0,2568.0,--,--,--
Cherrybrook,682.0,2423.0,2267.0,--,--,--
Chester Hill,383.0,1106.0,935.0,--,--,--
