,Median mortgage repayments,Households where mortgage payments are less than 30% of household income,"Households where mortgage payments are 30%, or greater, of household income",Median mortgage repayments (%),Households where mortgage payments are less than 30% of household income (%),"Households where mortgage payments are 30%, or greater, of household income (%)"
Abbotsbury,2200.0,--,--,--,85.2,14.8
New South Wales,1993.0,--,--,--,89.5,10.5
Australia,1800.0,--,--,--,90.1,9.9
Abbotsford (NSW),3000.0,--,--,--,92.6,7.4
Acacia Gardens,2500.0,--,--,--,79.0,21.0
Adamstown,1950.0,--,--,--,91.5,8.5
Adamstown Heights,1950.0,--,--,--,93.6,6.4
Airds,1213.0,--,--,--,99.3,0.7
Albion Park,1993.0,--,--,--,84.2,15.8
Albion Park Rail,1733.0,--,--,--,89.1,10.9
Alexandria,2500.0,--,--,--,86.7,13.3
Alfords Point,2500.0,--,--,--,87.8,12.2
Allambie Heights,3000.0,--,--,--,85.0,15.0
Allawah,2000.0,--,--,--,86.4,13.6
Ambarvale,1733.0,--,--,--,88.8,11.2
Annandale (NSW),2947.0,--,--,--,90.2,9.8
Argenton,1603.0,--,--,--,88.7,11.3
Arncliffe,2277.0,--,--,--,88.3,11.7
Artarmon,2500.0,--,--,--,91.7,8.3
Ashbury,2500.0,--,--,--,88.5,11.5
Ashcroft,1647.0,--,--,--,88.8,11.2
Ashfield (NSW),2100.0,--,--,--,90.8,9.2
Asquith,2200.0,--,--,--,89.7,10.3
Auburn (NSW),1800.0,--,--,--,85.9,14.1
Austinmer,2167.0,--,--,--,90.6,9.4
Avoca Beach,2167.0,--,--,--,87.7,12.3
Balgowlah,2836.0,--,--,--,87.8,12.2
Balgowlah Heights,3987.0,--,--,--,85.3,14.7
Balgownie,2167.0,--,--,--,91.3,8.7
Balmain,3033.0,--,--,--,90.6,9.4
Balmain East,3250.0,--,--,--,92.2,7.8
Bangor (NSW),2498.0,--,--,--,87.9,12.1
Banksia,2500.0,--,--,--,85.3,14.7
Bankstown,1733.0,--,--,--,86.7,13.3
Bar Beach,2500.0,--,--,--,96.9,3.1
Barden Ridge,2271.0,--,--,--,85.9,14.1
Bardwell Park,2700.0,--,--,--,87.7,12.3
Bardwell Valley,2275.0,--,--,--,85.4,14.6
Barnsley,1517.0,--,--,--,86.4,13.6
Barrack Heights,1733.0,--,--,--,91.4,8.6
Barrack Point,2167.0,--,--,--,88.8,11.2
Bass Hill,2004.0,--,--,--,85.3,14.7
Bateau Bay,1800.0,--,--,--,90.4,9.6
Baulkham Hills,2400.0,--,--,--,87.0,13.0
Bayview (NSW),2800.0,--,--,--,89.7,10.3
Beacon Hill,2817.0,--,--,--,84.4,15.6
Beaconsfield (NSW),3000.0,--,--,--,81.5,18.5
Beecroft,2650.0,--,--,--,89.8,10.2
Bella Vista,2704.0,--,--,--,83.2,16.8
Bellambi,1950.0,--,--,--,93.3,6.7
Bellevue Hill,3250.0,--,--,--,89.1,10.9
Belmont (NSW),2000.0,--,--,--,93.6,6.4
Belmont North,1863.0,--,--,--,89.1,10.9
Belmont South,1777.0,--,--,--,94.9,5.1
Belmore,1950.0,--,--,--,89.1,10.9
Belrose,2817.0,--,--,--,86.8,13.2
Bensville,2058.0,--,--,--,82.2,17.8
Berala,1755.0,--,--,--,88.1,11.9
Berkeley,1621.0,--,--,--,91.9,8.1
Berkeley Vale,1800.0,--,--,--,86.5,13.5
Berowra,2500.0,--,--,--,85.9,14.1
Berowra Heights,2232.0,--,--,--,85.6,14.4
Beverley Park,2500.0,--,--,--,87.6,12.4
Beverly Hills,2100.0,--,--,--,87.9,12.1
Bexley,2167.0,--,--,--,85.3,14.7
Bexley North,2427.0,--,--,--,89.1,10.9
Bidwill (NSW),1625.0,--,--,--,95.1,4.9
Birchgrove,3300.0,--,--,--,88.8,11.2
Birmingham Gardens,1517.0,--,--,--,94.2,5.8
Birrong,2000.0,--,--,--,88.1,11.9
Blackalls Park,1517.0,--,--,--,91.5,8.5
Blackbutt (NSW),2000.0,--,--,--,90.8,9.2
Blackett,1509.0,--,--,--,92.7,7.3
Blacksmiths,1647.0,--,--,--,94.3,5.7
Blacktown,1907.0,--,--,--,87.4,12.6
Blackwall (NSW),1820.0,--,--,--,91.8,8.2
Blairmount,1984.0,--,--,--,85.8,14.2
Blakehurst,2500.0,--,--,--,86.5,13.5
Blaxland (NSW),2000.0,--,--,--,90.2,9.8
Blue Bay,1473.0,--,--,--,95.7,4.3
Blue Haven,1733.0,--,--,--,85.4,14.6
Bolton Point,1600.0,--,--,--,96.3,3.7
Bondi,2708.0,--,--,--,92.8,7.2
Bondi Beach,2687.0,--,--,--,92.8,7.2
Bondi Junction,2800.0,--,--,--,93.2,6.8
Bonnet Bay,2600.0,--,--,--,88.9,11.1
Bonnyrigg,1857.0,--,--,--,86.7,13.3
Bonnyrigg Heights,2000.0,--,--,--,84.0,16.0
Booker Bay,1679.0,--,--,--,96.0,4.0
Boolaroo,1517.0,--,--,--,89.9,10.1
Booragul,1590.0,--,--,--,94.6,5.4
Bossley Park,2000.0,--,--,--,86.2,13.8
Botany,2513.0,--,--,--,85.6,14.4
Bow Bowing,2100.0,--,--,--,78.0,22.0
Bradbury (NSW),1733.0,--,--,--,88.1,11.9
Broadmeadow,1800.0,--,--,--,92.4,7.6
Bronte,3467.0,--,--,--,89.5,10.5
Brookvale,2600.0,--,--,--,84.6,15.4
Budgewoi,1649.0,--,--,--,91.2,8.8
Bulli,2295.0,--,--,--,89.5,10.5
Burwood (NSW),2167.0,--,--,--,92.0,8.0
Burwood Heights,3250.0,--,--,--,89.0,11.0
Busby,1733.0,--,--,--,87.4,12.6
Cabarita (NSW),2900.0,--,--,--,88.9,11.1
Cabramatta,1300.0,--,--,--,87.9,12.1
Cabramatta West,1733.0,--,--,--,87.6,12.4
Cambridge Gardens,1930.0,--,--,--,87.5,12.5
Cambridge Park,1831.0,--,--,--,86.7,13.3
Camden,2032.0,--,--,--,90.0,10.0
Camden South,2000.0,--,--,--,87.9,12.1
Cammeray,2754.0,--,--,--,90.8,9.2
Campbelltown (NSW),1733.0,--,--,--,89.5,10.5
Camperdown (NSW),2604.0,--,--,--,89.5,10.5
Campsie,1733.0,--,--,--,88.3,11.7
Canada Bay,3200.0,--,--,--,88.1,11.9
Canley Heights,1733.0,--,--,--,85.6,14.4
Canley Vale,1430.0,--,--,--,86.1,13.9
Canterbury (NSW),2150.0,--,--,--,88.7,11.3
Canton Beach,1300.0,--,--,--,97.4,2.6
Cardiff (NSW),1733.0,--,--,--,89.9,10.1
Cardiff Heights,1700.0,--,--,--,92.9,7.1
Cardiff South,1650.0,--,--,--,87.7,12.3
Caringbah,2253.0,--,--,--,88.8,11.2
Carlingford,2200.0,--,--,--,88.1,11.9
Carlton (NSW),2167.0,--,--,--,87.3,12.7
