,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
Abbotsbury,0.0,0.0,6.0,232.0,918.0,19.0,3.9,3.5,0.0,0.0,0.5,19.7,78.1,1.6,--,--
New South Wales,18042.0,137467.0,555253.0,986995.0,726049.0,47491.0,3.0,2.6,0.7,5.6,22.5,39.9,29.4,1.9,--,--
Australia,42160.0,363129.0,1481577.0,3379930.0,2350132.0,143394.0,3.1,2.6,0.5,4.7,19.1,43.6,30.3,1.8,--,--
Abbotsford (NSW),5.0,109.0,926.0,766.0,276.0,31.0,2.6,2.3,0.2,5.2,43.8,36.3,13.1,1.5,--,--
Acacia Gardens,3.0,3.0,4.0,347.0,715.0,7.0,3.7,3.4,0.3,0.3,0.4,32.2,66.3,0.6,--,--
Adamstown,6.0,132.0,835.0,895.0,425.0,45.0,2.7,2.3,0.3,5.6,35.7,38.3,18.2,1.9,--,--
Adamstown Heights,0.0,24.0,181.0,1052.0,661.0,23.0,3.3,2.6,0.0,1.2,9.3,54.2,34.1,1.2,--,--
Airds,3.0,34.0,25.0,864.0,160.0,33.0,3.1,2.9,0.3,3.0,2.2,77.2,14.3,2.9,--,--
Albion Park,3.0,16.0,252.0,1798.0,2003.0,33.0,3.5,3.0,0.1,0.4,6.1,43.8,48.8,0.8,--,--
Albion Park Rail,4.0,36.0,352.0,1443.0,586.0,38.0,3.1,2.7,0.2,1.5,14.3,58.7,23.8,1.5,--,--
Alexandria,43.0,872.0,1511.0,641.0,166.0,42.0,2.0,2.0,1.3,26.6,46.1,19.6,5.1,1.3,--,--
Alfords Point,0.0,3.0,7.0,157.0,751.0,7.0,4.0,3.6,0.0,0.3,0.8,17.0,81.2,0.8,--,--
Allambie Heights,75.0,169.0,185.0,877.0,911.0,44.0,3.2,2.8,3.3,7.5,8.2,38.8,40.3,1.9,--,--
Allawah,13.0,66.0,1149.0,629.0,163.0,44.0,2.5,2.5,0.6,3.2,55.7,30.5,7.9,2.1,--,--
Ambarvale,10.0,8.0,128.0,1302.0,681.0,47.0,3.3,3.0,0.5,0.4,5.9,59.8,31.3,2.2,--,--
Annandale (NSW),145.0,536.0,1309.0,1090.0,392.0,45.0,2.3,2.2,4.1,15.2,37.2,31.0,11.1,1.3,--,--
Argenton,3.0,26.0,200.0,258.0,60.0,13.0,2.7,2.4,0.5,4.6,35.7,46.1,10.7,2.3,--,--
Arncliffe,20.0,149.0,772.0,1071.0,559.0,87.0,2.9,2.9,0.8,5.6,29.0,40.3,21.0,3.3,--,--
Artarmon,8.0,231.0,2081.0,705.0,454.0,39.0,2.5,2.4,0.2,6.6,59.2,20.0,12.9,1.1,--,--
Ashbury,0.0,11.0,190.0,549.0,275.0,13.0,3.1,3.0,0.0,1.1,18.3,52.9,26.5,1.3,--,--
Ashcroft,31.0,27.0,123.0,629.0,205.0,41.0,3.1,3.0,2.9,2.6,11.6,59.6,19.4,3.9,--,--
Ashfield (NSW),114.0,980.0,4293.0,1815.0,857.0,157.0,2.3,2.4,1.4,11.9,52.3,22.1,10.4,1.9,--,--
Asquith,6.0,35.0,183.0,546.0,418.0,17.0,3.2,2.8,0.5,2.9,15.2,45.3,34.7,1.4,--,--
Auburn (NSW),114.0,379.0,3523.0,3423.0,1579.0,327.0,2.7,3.3,1.2,4.1,37.7,36.6,16.9,3.5,--,--
Austinmer,3.0,15.0,147.0,369.0,302.0,10.0,3.2,2.7,0.4,1.8,17.4,43.6,35.7,1.2,--,--
Avoca Beach,3.0,47.0,184.0,553.0,675.0,15.0,3.4,2.8,0.2,3.2,12.5,37.4,45.7,1.0,--,--
