,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
Abbotsbury,21.0,198.0,487.0,444.0,25.0,1.8,16.9,41.4,37.8,2.1
New South Wales,258153.0,933953.0,840655.0,360074.0,78462.0,10.4,37.8,34.0,14.6,3.2
Australia,665852.0,2778576.0,2802468.0,1279134.0,234292.0,8.6,35.8,36.1,16.5,3.0
Abbotsford (NSW),225.0,910.0,719.0,206.0,53.0,10.6,43.1,34.0,9.7,2.5
Acacia Gardens,15.0,279.0,537.0,231.0,16.0,1.4,25.9,49.8,21.4,1.5
Adamstown,279.0,930.0,812.0,239.0,78.0,11.9,39.8,34.7,10.2,3.3
Adamstown Heights,85.0,670.0,860.0,285.0,43.0,4.4,34.5,44.3,14.7,2.2
Airds,318.0,485.0,180.0,67.0,70.0,28.4,43.3,16.1,6.0,6.2
Albion Park,138.0,1086.0,1826.0,973.0,81.0,3.4,26.5,44.5,23.7,2.0
Albion Park Rail,160.0,902.0,830.0,486.0,80.0,6.5,36.7,33.8,19.8,3.3
Alexandria,593.0,1864.0,665.0,99.0,54.0,18.1,56.9,20.3,3.0,1.6
Alfords Point,10.0,103.0,407.0,392.0,10.0,1.1,11.2,44.1,42.5,1.1
Allambie Heights,189.0,741.0,873.0,386.0,69.0,8.4,32.8,38.7,17.1,3.1
Allawah,305.0,1082.0,489.0,128.0,59.0,14.8,52.4,23.7,6.2,2.9
Ambarvale,221.0,802.0,719.0,343.0,90.0,10.2,36.9,33.1,15.8,4.1
Annandale (NSW),531.0,1789.0,945.0,176.0,75.0,15.1,50.9,26.9,5.0,2.1
Argenton,74.0,218.0,174.0,74.0,20.0,13.2,38.9,31.1,13.2,3.6
Arncliffe,407.0,1094.0,743.0,297.0,117.0,15.3,41.2,28.0,11.2,4.4
Artarmon,546.0,1934.0,816.0,154.0,68.0,15.5,55.0,23.2,4.4,1.9
Ashbury,87.0,356.0,392.0,174.0,30.0,8.4,34.3,37.7,16.7,2.9
Ashcroft,244.0,361.0,245.0,129.0,77.0,23.1,34.2,23.2,12.2,7.3
Ashfield (NSW),2008.0,4140.0,1496.0,330.0,241.0,24.4,50.4,18.2,4.0,2.9
Asquith,104.0,520.0,412.0,146.0,23.0,8.6,43.2,34.2,12.1,1.9
Auburn (NSW),1680.0,3978.0,2322.0,883.0,482.0,18.0,42.6,24.8,9.4,5.2
Austinmer,41.0,283.0,386.0,116.0,22.0,4.8,33.4,45.5,13.7,2.6
Avoca Beach,49.0,489.0,650.0,253.0,36.0,3.3,33.1,44.0,17.1,2.4
Balgowlah,240.0,1390.0,1007.0,185.0,63.0,8.3,48.2,34.9,6.4,2.2
Balgowlah Heights,32.0,288.0,498.0,190.0,17.0,3.1,28.1,48.6,18.5,1.7
Balgownie,135.0,675.0,792.0,358.0,50.0,6.7,33.6,39.4,17.8,2.5
Balmain,665.0,2246.0,996.0,188.0,98.0,15.9,53.6,23.8,4.5,2.3
Balmain East,123.0,407.0,225.0,48.0,22.0,14.9,49.3,27.3,5.8,2.7
Bangor (NSW),49.0,364.0,802.0,546.0,35.0,2.7,20.3,44.7,30.4,1.9
Banksia,115.0,382.0,343.0,156.0,31.0,11.2,37.2,33.4,15.2,3.0
Bankstown,1369.0,4148.0,2483.0,875.0,400.0,14.8,44.7,26.8,9.4,4.3
Bar Beach,111.0,174.0,154.0,52.0,30.0,21.3,33.4,29.6,10.0,5.8
Barden Ridge,4.0,143.0,519.0,439.0,17.0,0.4,12.7,46.3,39.1,1.5
Bardwell Park,60.0,267.0,295.0,122.0,19.0,7.9,35.0,38.7,16.0,2.5
Bardwell Valley,71.0,277.0,256.0,116.0,32.0,9.4,36.8,34.0,15.4,4.3
Barnsley,9.0,161.0,239.0,173.0,12.0,1.5,27.1,40.2,29.1,2.0
Barrack Heights,191.0,791.0,720.0,347.0,90.0,8.9,37.0,33.7,16.2,4.2
Barrack Point,15.0,85.0,83.0,42.0,6.0,6.5,36.8,35.9,18.2,2.6
Bass Hill,266.0,818.0,907.0,447.0,122.0,10.4,32.0,35.4,17.5,4.8
Bateau Bay,472.0,1669.0,1509.0,656.0,193.0,10.5,37.1,33.5,14.6,4.3
Baulkham Hills,314.0,3409.0,5263.0,2115.0,170.0,2.8,30.2,46.7,18.8,1.5
Bayview (NSW),106.0,385.0,418.0,235.0,42.0,8.9,32.5,35.2,19.8,3.5
Beacon Hill,75.0,620.0,989.0,441.0,38.0,3.5,28.7,45.7,20.4,1.8
Beaconsfield (NSW),44.0,187.0,95.0,30.0,6.0,12.2,51.7,26.2,8.3,1.7
Beecroft,95.0,784.0,1294.0,581.0,43.0,3.4,28.0,46.3,20.8,1.5
Belfield,250.0,706.0,733.0,274.0,77.0,12.3,34.6,35.9,13.4,3.8
