,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Abbotsbury,447,384,375,303,290,184,171,121,19.3,16.6,16.2,13.1,12.5,7.9,7.4,5.2
New South Wales,"473,141","414,668","713,548","418,333","290,496","297,667","273,129","199,438",15.1,13.2,22.7,13.3,9.3,9.5,8.7,6.4
Australia,"1,483,558","1,425,146","2,145,442","1,293,970","942,140","971,897","947,608","659,551",14.7,14.2,21.3,12.9,9.4,9.7,9.4,6.6
Abbotsford,422,227,854,532,217,185,92,53,16.1,8.7,32.6,20.3,8.3,7.1,3.5,2.0
Acacia Gardens,404,246,497,246,204,173,113,118,19.9,12.1,24.5,12.1,10.0,8.5,5.6,5.8
Adamstown,473,414,726,300,292,324,244,139,16.0,14.0,24.6,10.2,9.9,11.0,8.3,4.7
Adamstown Heights,380,305,788,273,252,202,158,122,15.1,12.2,31.4,10.9,10.0,8.0,6.3,4.9
Airds,70,71,36,27,58,86,147,104,11.2,11.3,5.8,4.3,9.3,13.7,23.5,16.6
Albion Park,967,"1,076",847,573,657,727,593,635,15.7,17.5,13.8,9.3,10.7,11.8,9.6,10.3
Albion Park Rail,406,549,296,223,335,361,382,364,13.7,18.6,10.0,7.5,11.3,12.2,12.9,12.3
Alexandria,708,404,"1,903",919,337,399,109,96,14.4,8.2,38.6,18.6,6.8,8.1,2.2,1.9
Alfords Point,388,234,415,317,235,140,102,74,19.9,12.0,21.3,16.3,12.1,7.2,5.2,3.8
Allambie Heights,521,390,806,534,317,272,198,89,16.4,12.3,25.3,16.8,10.0,8.5,6.2,2.8
Allawah,477,357,665,222,278,258,233,178,17.5,13.1,24.4,8.1,10.2,9.5,8.5,6.5
Ambarvale,482,427,346,250,294,309,342,350,16.7,14.8,12.0,8.7,10.2,10.7,11.9,12.1
Annandale,662,348,"2,168",985,353,369,113,73,12.9,6.8,42.2,19.2,6.9,7.2,2.2,1.4
Argenton,71,95,43,29,62,56,92,81,13.2,17.7,8.0,5.4,11.6,10.4,17.2,15.1
Arncliffe,570,442,716,382,341,323,411,307,16.0,12.4,20.1,10.7,9.6,9.1,11.5,8.6
Artarmon,700,351,"2,049",716,290,324,162,85,14.7,7.4,43.1,15.1,6.1,6.8,3.4,1.8
Ashbury,269,198,447,211,129,107,96,50,17.5,12.8,29.0,13.7,8.4,6.9,6.2,3.2
Ashcroft,109,132,71,43,76,96,156,161,12.5,15.1,8.1,4.9,8.7,11.0,17.9,18.5
Ashfield,"1,691","1,137","3,336","1,115",997,"1,086",863,451,15.5,10.5,30.7,10.2,9.2,10.0,7.9,4.1
Asquith,276,217,529,195,151,165,118,50,15.9,12.5,30.6,11.3,8.7,9.5,6.8,2.9
Auburn,"1,405","1,832","1,699",713,"1,092","1,036","1,793","1,207",12.5,16.3,15.2,6.4,9.7,9.2,16.0,10.8
Austinmer,150,137,480,173,67,115,51,26,12.4,11.3,39.6,14.3,5.5,9.5,4.2,2.1
Avoca Beach,284,313,613,266,177,230,127,74,13.4,14.8,29.0,12.6,8.4,10.9,6.0,3.5
Balgowlah,549,306,"1,275",745,353,328,136,66,14.4,8.0,33.4,19.5,9.2,8.6,3.6,1.7
Balgowlah Heights,190,71,574,347,93,106,26,14,13.0,4.9,39.3,23.8,6.4,7.3,1.8,1.0
Balgownie,355,392,667,318,184,240,167,116,14.3,15.8,26.9,12.8,7.4,9.7,6.7,4.7
Balmain,675,321,"2,420","1,291",338,336,117,68,12.0,5.7,43.0,22.9,6.0,6.0,2.1,1.2
Balmain East,133,48,471,239,75,48,14,13,12.5,4.5,44.2,22.4,7.0,4.5,1.3,1.2
Bangor,634,418,746,473,331,277,154,116,19.8,13.1,23.3,14.8,10.4,8.7,4.8,3.6
Banksia,252,195,258,152,151,136,176,121,17.1,13.2,17.5,10.3,10.3,9.2,11.9,8.2
Bankstown,"1,540","1,457","1,847",797,985,"1,005","1,319","1,170",14.8,14.0,17.7,7.6,9.4,9.6,12.6,11.2
Bar Beach,68,56,213,77,40,53,22,23,12.0,9.9,37.7,13.6,7.1,9.4,3.9,4.1
Barden Ridge,473,336,495,347,274,204,121,100,19.9,14.1,20.8,14.6,11.5,8.6,5.1,4.2
Bardwell Park,181,143,326,139,99,95,61,52,16.2,12.8,29.1,12.4,8.8,8.5,5.5,4.6
Bardwell Valley,173,129,241,118,84,58,75,67,17.9,13.3,24.9,12.2,8.7,6.0,7.8,6.9
Barnsley,129,208,61,63,92,97,149,101,14.0,22.6,6.6,6.8,10.0,10.5,16.2,11.0
Barrack Heights,294,425,263,147,301,294,275,237,12.9,18.7,11.6,6.5,13.2,12.9,12.1,10.4
Barrack Point,37,45,55,36,34,23,20,14,13.8,16.7,20.4,13.4,12.6,8.6,7.4,5.2
Bass Hill,543,513,478,294,294,239,291,278,18.0,17.0,15.8,9.7,9.7,7.9,9.6,9.2
Bateau Bay,665,826,861,489,635,635,475,296,13.4,16.7,17.4,9.9,12.8,12.8,9.6,6.0
Baulkham Hills,"3,116","2,060","5,025","2,583","1,624","1,378",806,583,17.9,11.8,28.8,14.8,9.3,7.9,4.6,3.3
Bayview,198,113,379,273,125,108,49,21,15.4,8.8,29.5,21.3,9.7,8.4,3.8,1.6
Beacon Hill,648,434,832,548,374,279,219,121,18.4,12.4,23.7,15.6,10.6,7.9,6.2,3.4
Beaconsfield,76,54,174,99,42,49,15,18,14.2,10.1,32.5,18.5,7.9,9.2,2.8,3.4
Beecroft,674,289,"1,766",739,353,291,144,53,15.4,6.6,40.3,16.9,8.1,6.6,3.3,1.2
Belfield,458,405,468,282,242,221,214,153,18.3,16.2,18.7,11.3,9.7,8.8,8.6,6.1
Bella Vista,756,348,"1,196",757,427,301,163,94,18.4,8.5,29.1,18.4,10.4,7.3,4.0,2.3
Bellambi,230,240,223,81,140,194,188,129,16.0,16.7,15.5,5.6,9.7,13.5,13.0,9.0
Bellevue Hill,662,261,"2,167","1,073",401,344,99,36,12.8,5.0,41.9,20.7,7.8,6.7,1.9,0.7
Belmont,423,425,472,297,284,276,258,161,16.1,16.1,17.9,11.3,10.8,10.5,9.8,6.1
Belmont North,439,581,452,225,319,311,289,242,15.1,20.0,15.6,7.7,11.0,10.7,10.0,8.3
Belmont South,69,92,55,43,59,60,60,38,14.2,18.9,11.3,8.8,12.1,12.3,12.3,7.8
Belmore,796,708,778,393,471,489,701,450,16.2,14.4,15.9,8.0,9.6,10.0,14.3,9.2
Belrose,625,403,990,685,358,316,148,84,17.1,11.0,27.1,18.7,9.8,8.6,4.0,2.3
Bensville,180,231,264,149,138,137,96,42,14.2,18.2,20.8,11.7,10.9,10.8,7.6,3.3
Berala,515,562,604,216,252,281,515,321,15.3,16.7,17.9,6.4,7.5,8.3,15.3,9.5
Berkeley,366,484,311,176,308,355,443,342,12.9,17.1,11.0,6.2,10.9,12.5,15.6,12.1
Berkeley Vale,557,715,535,342,467,474,453,285,14.4,18.4,13.8,8.8,12.0,12.2,11.7,7.3
Berowra,429,289,684,353,211,230,125,58,17.7,12.0,28.3,14.6,8.7,9.5,5.2,2.4
Berowra Heights,494,411,724,361,208,228,171,93,18.2,15.1,26.6,13.3,7.7,8.4,6.3,3.4
Beverley Park,166,154,226,130,104,78,38,47,17.3,16.1,23.6,13.6,10.9,8.1,4.0,4.9
Beverly Hills,799,547,"1,005",426,390,385,307,300,18.8,12.9,23.7,10.0,9.2,9.1,7.2,7.1
Bexley,"1,495","1,081","1,800",915,772,693,819,663,17.7,12.8,21.3,10.8,9.2,8.2,9.7,7.9
Bexley North,311,219,388,205,131,131,117,113,18.9,13.3,23.5,12.4,7.9,7.9,7.1,6.9
Bidwill,125,115,60,42,95,124,216,194,12.5,11.5,6.0,4.2,9.5,12.4,21.6,19.4
