,Aboriginal and Torres Strait Islander,Male,Female,Median age,Aboriginal and Torres Strait Islander (%),Male (%),Female (%),Median age (%)
Abbotsbury,13.0,8.0,5.0,26.0,--,61.5,38.5,--
New South Wales,172620.0,85080.0,87540.0,21.0,--,49.3,50.7,--
Australia,548368.0,270331.0,278037.0,21.0,--,49.3,50.7,--
Abbotsford (NSW),33.0,16.0,17.0,29.0,--,48.5,51.5,--
Acacia Gardens,27.0,17.0,10.0,21.0,--,63.0,37.0,--
Adamstown,109.0,53.0,56.0,27.0,--,48.6,51.4,--
Adamstown Heights,81.0,43.0,38.0,28.0,--,53.1,46.9,--
Airds,525.0,239.0,286.0,17.0,--,45.5,54.5,--
Albion Park,272.0,134.0,138.0,17.0,--,49.3,50.7,--
Albion Park Rail,288.0,140.0,148.0,17.0,--,48.6,51.4,--
Alexandria,124.0,63.0,61.0,29.0,--,50.8,49.2,--
Alfords Point,15.0,10.0,5.0,38.0,--,66.7,33.3,--
Allambie Heights,50.0,17.0,33.0,25.0,--,34.0,66.0,--
Allawah,26.0,9.0,17.0,15.0,--,34.6,65.4,--
Ambarvale,302.0,152.0,150.0,16.0,--,50.3,49.7,--
Annandale (NSW),58.0,25.0,33.0,26.0,--,43.1,56.9,--
Argenton,52.0,34.0,18.0,24.0,--,65.4,34.6,--
Arncliffe,72.0,37.0,35.0,37.0,--,51.4,48.6,--
Artarmon,24.0,13.0,11.0,34.0,--,54.2,45.8,--
Ashbury,24.0,15.0,9.0,14.0,--,62.5,37.5,--
Ashcroft,136.0,58.0,78.0,20.0,--,42.6,57.4,--
Ashfield (NSW),132.0,69.0,63.0,24.0,--,52.3,47.7,--
Asquith,16.0,9.0,7.0,24.0,--,56.2,43.8,--
Auburn (NSW),77.0,30.0,47.0,21.0,--,39.0,61.0,--
Austinmer,22.0,9.0,13.0,16.0,--,40.9,59.1,--
Avoca Beach,78.0,48.0,30.0,20.0,--,61.5,38.5,--
Balgowlah,28.0,18.0,10.0,31.0,--,64.3,35.7,--
Balgowlah Heights,11.0,8.0,3.0,23.0,--,72.7,27.3,--
Balgownie,69.0,36.0,33.0,26.0,--,52.2,47.8,--
Balmain,97.0,39.0,58.0,37.0,--,40.2,59.8,--
Balmain East,12.0,5.0,7.0,44.0,--,41.7,58.3,--
Bangor (NSW),26.0,8.0,18.0,14.0,--,30.8,69.2,--
Banksia,47.0,22.0,25.0,20.0,--,46.8,53.2,--
Bankstown,102.0,55.0,47.0,28.0,--,53.9,46.1,--
Bar Beach,30.0,24.0,6.0,37.0,--,80.0,20.0,--
Barden Ridge,27.0,15.0,12.0,21.0,--,55.6,44.4,--
Bardwell Park,14.0,6.0,8.0,14.0,--,42.9,57.1,--
Bardwell Valley,9.0,9.0,0.0,42.0,--,100.0,0.0,--
Barnsley,80.0,39.0,41.0,15.0,--,48.8,51.2,--
Barrack Heights,262.0,140.0,122.0,20.0,--,53.4,46.6,--
Barrack Point,14.0,0.0,14.0,16.0,--,0.0,100.0,--
Bass Hill,60.0,26.0,34.0,29.0,--,43.3,56.7,--
Bateau Bay,329.0,142.0,187.0,20.0,--,43.2,56.8,--
Baulkham Hills,142.0,66.0,76.0,27.0,--,46.5,53.5,--
Bayview (NSW),13.0,10.0,3.0,12.0,--,76.9,23.1,--
Beacon Hill,18.0,13.0,5.0,59.0,--,72.2,27.8,--
Beaconsfield (NSW),16.0,9.0,7.0,22.0,--,56.2,43.8,--
Beecroft,27.0,9.0,18.0,37.0,--,33.3,66.7,--
Belfield,35.0,14.0,21.0,25.0,--,40.0,60.0,--
Bella Vista,14.0,9.0,5.0,23.0,--,64.3,35.7,--
Bellambi,275.0,122.0,153.0,20.0,--,44.4,55.6,--
Bellevue Hill,41.0,31.0,10.0,17.0,--,75.6,24.4,--
Belmont (NSW),118.0,50.0,68.0,23.0,--,42.4,57.6,--
Belmont North,206.0,92.0,114.0,19.0,--,44.7,55.3,--
Belmont South,50.0,20.0,30.0,21.0,--,40.0,60.0,--
Belmore,82.0,41.0,41.0,24.0,--,50.0,50.0,--
Belrose,31.0,17.0,14.0,19.0,--,54.8,45.2,--
Bensville,27.0,15.0,12.0,15.0,--,55.6,44.4,--
Berala,23.0,13.0,10.0,25.0,--,56.5,43.5,--
Berkeley,347.0,164.0,183.0,19.0,--,47.3,52.7,--
Berkeley Vale,263.0,124.0,139.0,19.0,--,47.1,52.9,--
Berowra,13.0,6.0,7.0,9.0,--,46.2,53.8,--
Berowra Heights,32.0,16.0,16.0,30.0,--,50.0,50.0,--
Beverley Park,0.0,0.0,0.0,0.0,--,0.0,0.0,--
Beverly Hills,69.0,34.0,35.0,31.0,--,49.3,50.7,--
Bexley,71.0,35.0,36.0,31.0,--,49.3,50.7,--
Bexley North,27.0,14.0,13.0,27.0,--,51.9,48.1,--
Bidwill (NSW),659.0,320.0,339.0,15.0,--,48.6,51.4,--
Birchgrove,8.0,4.0,4.0,23.0,--,50.0,50.0,--
Birmingham Gardens,63.0,31.0,32.0,19.0,--,49.2,50.8,--
Birrong,25.0,14.0,11.0,21.0,--,56.0,44.0,--
Blackalls Park,135.0,70.0,65.0,19.0,--,51.9,48.1,--
Blackbutt (NSW),68.0,31.0,37.0,20.0,--,45.6,54.4,--
Blackett,300.0,146.0,154.0,19.0,--,48.7,51.3,--
Blacksmiths,79.0,36.0,43.0,20.0,--,45.6,54.4,--
Blacktown,671.0,320.0,351.0,20.0,--,47.7,52.3,--
Blackwall (NSW),64.0,28.0,36.0,20.0,--,43.8,56.2,--
Blairmount,15.0,12.0,3.0,14.0,--,80.0,20.0,--
Blakehurst,27.0,17.0,10.0,10.0,--,63.0,37.0,--
Blaxland (NSW),107.0,46.0,61.0,23.0,--,43.0,57.0,--
Blue Bay,24.0,9.0,15.0,14.0,--,37.5,62.5,--
Blue Haven,305.0,159.0,146.0,15.0,--,52.1,47.9,--
Bolton Point,204.0,95.0,109.0,14.0,--,46.6,53.4,--
Bondi,36.0,21.0,15.0,33.0,--,58.3,41.7,--
Bondi Beach,46.0,26.0,20.0,33.0,--,56.5,43.5,--
Bondi Junction,27.0,13.0,14.0,25.0,--,48.1,51.9,--
Bonnet Bay,3.0,3.0,0.0,0.0,--,100.0,0.0,--
Bonnyrigg,111.0,55.0,56.0,22.0,--,49.5,50.5,--
Bonnyrigg Heights,35.0,18.0,17.0,15.0,--,51.4,48.6,--
Booker Bay,59.0,33.0,26.0,22.0,--,55.9,44.1,--
Boolaroo,34.0,13.0,21.0,25.0,--,38.2,61.8,--
Booragul,55.0,23.0,32.0,33.0,--,41.8,58.2,--
Bossley Park,73.0,40.0,33.0,25.0,--,54.8,45.2,--
Botany,216.0,106.0,110.0,23.0,--,49.1,50.9,--
Bow Bowing,29.0,12.0,17.0,34.0,--,41.4,58.6,--
Bradbury (NSW),251.0,118.0,133.0,21.0,--,47.0,53.0,--
Broadmeadow,41.0,26.0,15.0,29.0,--,63.4,36.6,--
Bronte,31.0,15.0,16.0,25.0,--,48.4,51.6,--
Brookvale,16.0,12.0,4.0,43.0,--,75.0,25.0,--
Budgewoi,147.0,69.0,78.0,17.0,--,46.9,53.1,--
Buff Point,118.0,56.0,62.0,21.0,--,47.5,52.5,--
Bulli,127.0,59.0,68.0,19.0,--,46.5,53.5,--
