,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Abbotsbury,1926.0,81.0,112.0,87.0,1219.0,56.2,2.4,3.3,2.5,35.6
New South Wales,2758854.0,170428.0,461145.0,324518.0,1870203.0,49.4,3.1,8.3,5.8,33.5
Australia,8461114.0,529280.0,1460899.0,949634.0,5962769.0,48.7,3.0,8.4,5.5,34.3
Abbotsford (NSW),2132.0,108.0,431.0,243.0,1419.0,49.2,2.5,9.9,5.6,32.7
Acacia Gardens,1702.0,56.0,140.0,55.0,780.0,62.3,2.0,5.1,2.0,28.5
Adamstown,1863.0,157.0,470.0,253.0,1840.0,40.7,3.4,10.3,5.5,40.1
Adamstown Heights,2518.0,80.0,281.0,235.0,1073.0,60.1,1.9,6.7,5.6,25.6
Airds,576.0,150.0,277.0,140.0,1340.0,23.2,6.0,11.2,5.6,54.0
Albion Park,5351.0,277.0,678.0,442.0,3003.0,54.9,2.8,7.0,4.5,30.8
Albion Park Rail,2641.0,196.0,505.0,379.0,1812.0,47.7,3.5,9.1,6.8,32.7
Alexandria,1787.0,133.0,487.0,113.0,3798.0,28.3,2.1,7.7,1.8,60.1
Alfords Point,1599.0,36.0,98.0,56.0,945.0,58.5,1.3,3.6,2.0,34.6
Allambie Heights,2999.0,106.0,393.0,410.0,1383.0,56.7,2.0,7.4,7.7,26.1
Allawah,2313.0,136.0,406.0,166.0,1533.0,50.8,3.0,8.9,3.6,33.7
Ambarvale,2429.0,221.0,480.0,193.0,2215.0,43.9,4.0,8.7,3.5,40.0
Annandale (NSW),2706.0,178.0,719.0,234.0,3425.0,37.3,2.5,9.9,3.2,47.2
Argenton,447.0,41.0,115.0,91.0,454.0,38.9,3.6,10.0,7.9,39.5
Arncliffe,3300.0,290.0,518.0,397.0,2333.0,48.3,4.2,7.6,5.8,34.1
Artarmon,3506.0,155.0,505.0,247.0,2666.0,49.5,2.2,7.1,3.5,37.7
Ashbury,1402.0,45.0,130.0,139.0,772.0,56.4,1.8,5.2,5.6,31.0
Ashcroft,1012.0,127.0,226.0,156.0,974.0,40.6,5.1,9.1,6.3,39.0
Ashfield (NSW),8506.0,490.0,1530.0,1130.0,7482.0,44.4,2.6,8.0,5.9,39.1
Asquith,1588.0,64.0,172.0,146.0,814.0,57.0,2.3,6.2,5.2,29.2
Auburn (NSW),14117.0,738.0,1512.0,1026.0,8599.0,54.3,2.8,5.8,3.9,33.1
Austinmer,1015.0,58.0,174.0,83.0,605.0,52.5,3.0,9.0,4.3,31.3
Avoca Beach,1855.0,105.0,323.0,138.0,955.0,54.9,3.1,9.6,4.1,28.3
Balgowlah,3001.0,147.0,552.0,267.0,1898.0,51.2,2.5,9.4,4.6,32.4
Balgowlah Heights,1575.0,35.0,92.0,112.0,574.0,66.0,1.5,3.9,4.7,24.0
Balgownie,2493.0,116.0,350.0,244.0,1240.0,56.1,2.6,7.9,5.5,27.9
Balmain,3352.0,209.0,928.0,272.0,3454.0,40.8,2.5,11.3,3.3,42.0
Balmain East,708.0,57.0,171.0,45.0,621.0,44.2,3.6,10.7,2.8,38.8
Bangor (NSW),2692.0,94.0,268.0,242.0,1284.0,58.8,2.1,5.9,5.3,28.0
Banksia,1448.0,73.0,164.0,144.0,800.0,55.1,2.8,6.2,5.5,30.4
Bankstown,12326.0,953.0,2176.0,1081.0,6864.0,52.7,4.1,9.3,4.6,29.3
Bar Beach,345.0,24.0,98.0,35.0,481.0,35.1,2.4,10.0,3.6,48.9
Barden Ridge,1817.0,64.0,149.0,69.0,1064.0,57.4,2.0,4.7,2.2,33.6
Bardwell Park,1050.0,36.0,94.0,89.0,538.0,58.1,2.0,5.2,4.9,29.8
Bardwell Valley,905.0,60.0,152.0,102.0,530.0,51.7,3.4,8.7,5.8,30.3
Barnsley,722.0,42.0,122.0,42.0,471.0,51.6,3.0,8.7,3.0,33.7
Barrack Heights,2316.0,172.0,431.0,282.0,1608.0,48.2,3.6,9.0,5.9,33.4
