,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Abbotsbury,"2,450",329,283,210,163,,,,,,,,,,,,,,,58.4,7.8,6.7,5.0,3.9,,,,,,,,,,,,,,
New South Wales,"1,902,393","211,686","1,378,386","1,240,531","8,707",,,,,,,,,,,,,,,27.5,3.1,19.9,17.9,0.1,,,,,,,,,,,,,,
Australia,"5,439,268","563,072","3,679,907","4,796,787","10,590",,,,,,,,,,,,,,,25.3,2.6,17.1,22.3,0.0,,,,,,,,,,,,,,
Abbotsford,"2,149",218,709,984,,148,,,,,,,,,,,,,,42.0,4.3,13.9,19.2,,2.9,,,,,,,,,,,,,
Acacia Gardens,"1,210",,488,469,,,293,161,,,,,,,,,,,,32.9,,13.3,12.7,,,8.0,4.4,,,,,,,,,,,
Adamstown,"1,608",189,"1,209","1,275",,,,,341,,,,,,,,,,,28.5,3.3,21.4,22.6,,,,,6.0,,,,,,,,,,
Adamstown Heights,"1,433",237,"1,147","1,006",,,,,386,,,,,,,,,,,27.7,4.6,22.2,19.5,,,,,7.5,,,,,,,,,,
Airds,917,,880,595,,,,,,121,101,,,,,,,,,26.2,,25.1,17.0,,,,,,3.5,2.9,,,,,,,,
Albion Park,"3,900",,"3,558","2,349",,453,,,792,,,,,,,,,,,30.3,,27.6,18.3,,3.5,,,6.2,,,,,,,,,,
Albion Park Rail,"2,008",,"2,001","1,335",,229,,,319,,,,,,,,,,,28.7,,28.6,19.1,,3.3,,,4.6,,,,,,,,,,
Alexandria,"1,595",180,726,"2,756",,,,,,,,237,,,,,,,,22.6,2.6,10.3,39.1,,,,,,,,3.4,,,,,,,
Alfords Point,"1,148",540,581,287,,,,,131,,,,,,,,,,,34.8,16.4,17.6,8.7,,,,,4.0,,,,,,,,,,
Allambie Heights,"1,990",,"1,529","1,565",,201,,,244,,,,,,,,,,,29.5,,22.7,23.2,,3.0,,,3.6,,,,,,,,,,
Allawah,"1,044",523,442,"1,473",,,,,,,,399,,,,,,,,19.5,9.7,8.2,27.5,,,,,,,,7.4,,,,,,,
Ambarvale,"2,115",190,"1,488","1,020",,,,,,236,,,,,,,,,,29.3,2.6,20.6,14.1,,,,,,3.3,,,,,,,,,
Annandale,"2,183",231,"1,042","3,310",,,,,,,,237,,,,,,,,25.2,2.7,12.0,38.2,,,,,,,,2.7,,,,,,,
Argenton,299,59,372,305,,,,,104,,,,,,,,,,,21.8,4.3,27.2,22.3,,,,,7.6,,,,,,,,,,
Arncliffe,"1,687","1,313",489,"1,005",,,,,,"2,208",,,,,,,,,,20.0,15.6,5.8,11.9,,,,,,26.2,,,,,,,,,
Artarmon,"1,801",,"1,228","2,612",,,440,,,,,407,,,,,,,,20.8,,14.2,30.2,,,5.1,,,,,4.7,,,,,,,
Ashbury,"1,451",395,274,483,,,,,,,,67,,,,,,,,46.3,12.6,8.7,15.4,,,,,,,,2.1,,,,,,,
