,Median rent,Households where rent payments are less than 30% of household income,"Households where rent payments are 30%, or greater, of household income",Median rent (%),Households where rent payments are less than 30% of household income (%),"Households where rent payments are 30%, or greater, of household income (%)"
Abbotsbury,433.0,--,--,--,96.6,3.4
New South Wales,300.0,--,--,--,88.4,11.6
Australia,285.0,--,--,--,89.6,10.4
Abbotsford (NSW),430.0,--,--,--,87.6,12.4
Acacia Gardens,450.0,--,--,--,95.4,4.6
Adamstown,270.0,--,--,--,87.5,12.5
Adamstown Heights,315.0,--,--,--,95.3,4.7
Airds,144.0,--,--,--,74.4,25.6
Albion Park,310.0,--,--,--,93.8,6.2
Albion Park Rail,255.0,--,--,--,89.8,10.2
Alexandria,480.0,--,--,--,85.1,14.9
Alfords Point,530.0,--,--,--,98.7,1.3
Allambie Heights,325.0,--,--,--,93.1,6.9
Allawah,360.0,--,--,--,81.3,18.7
Ambarvale,250.0,--,--,--,85.9,14.1
Annandale (NSW),450.0,--,--,--,84.7,15.3
Argenton,208.0,--,--,--,87.3,12.7
Arncliffe,340.0,--,--,--,87.9,12.1
Artarmon,460.0,--,--,--,83.6,16.4
Ashbury,443.0,--,--,--,94.8,5.2
Ashcroft,150.0,--,--,--,81.5,18.5
Ashfield (NSW),365.0,--,--,--,80.0,20.0
Asquith,400.0,--,--,--,92.6,7.4
Auburn (NSW),320.0,--,--,--,78.2,21.8
Austinmer,400.0,--,--,--,94.2,5.8
Avoca Beach,330.0,--,--,--,92.2,7.8
Balgowlah,490.0,--,--,--,87.1,12.9
Balgowlah Heights,818.0,--,--,--,93.4,6.6
Balgownie,290.0,--,--,--,93.3,6.7
Balmain,485.0,--,--,--,86.5,13.5
Balmain East,465.0,--,--,--,87.7,12.3
Bangor (NSW),425.0,--,--,--,97.3,2.7
Banksia,430.0,--,--,--,91.7,8.3
Bankstown,330.0,--,--,--,77.5,22.5
Bar Beach,200.0,--,--,--,81.6,18.4
Barden Ridge,560.0,--,--,--,97.6,2.4
Bardwell Park,420.0,--,--,--,92.9,7.1
Bardwell Valley,410.0,--,--,--,93.1,6.9
Barnsley,278.0,--,--,--,93.7,6.3
Barrack Heights,230.0,--,--,--,87.3,12.7
Barrack Point,320.0,--,--,--,90.2,9.8
Bass Hill,250.0,--,--,--,88.6,11.4
Bateau Bay,270.0,--,--,--,90.6,9.4
