,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Abbotsbury,1864.0,67.0,1372.0,56.4,2.0,41.5
New South Wales,2514378.0,418721.0,2096245.0,50.0,8.3,41.7
Australia,7647042.0,1476369.0,6413399.0,49.2,9.5,41.3
Abbotsford (NSW),1988.0,382.0,1637.0,49.6,9.5,40.9
Acacia Gardens,1608.0,131.0,898.0,61.0,5.0,34.1
Adamstown,1722.0,494.0,1987.0,41.0,11.8,47.3
Adamstown Heights,2378.0,246.0,1319.0,60.3,6.2,33.5
Airds,528.0,190.0,1581.0,23.0,8.3,68.8
Albion Park,5082.0,836.0,3125.0,56.2,9.2,34.6
Albion Park Rail,2485.0,462.0,2114.0,49.1,9.1,41.8
Alexandria,1551.0,1406.0,2689.0,27.5,24.9,47.6
Alfords Point,1540.0,71.0,1017.0,58.6,2.7,38.7
Allambie Heights,2812.0,256.0,1752.0,58.3,5.3,36.3
Allawah,2125.0,268.0,1915.0,49.3,6.2,44.5
Ambarvale,2159.0,383.0,2367.0,44.0,7.8,48.2
Annandale (NSW),2441.0,1106.0,2753.0,38.7,17.6,43.7
Argenton,422.0,120.0,538.0,39.1,11.1,49.8
Arncliffe,3004.0,379.0,2755.0,48.9,6.2,44.9
Artarmon,3224.0,594.0,2813.0,48.6,9.0,42.4
Ashbury,1342.0,137.0,916.0,56.0,5.7,38.2
Ashcroft,926.0,121.0,1260.0,40.1,5.2,54.6
Ashfield (NSW),7331.0,1356.0,7965.0,44.0,8.1,47.8
Asquith,1511.0,124.0,1008.0,57.2,4.7,38.1
Auburn (NSW),12154.0,510.0,10997.0,51.4,2.2,46.5
Austinmer,920.0,169.0,641.0,53.2,9.8,37.1
Avoca Beach,1675.0,251.0,1120.0,55.0,8.2,36.8
Balgowlah,2772.0,655.0,1962.0,51.4,12.2,36.4
Balgowlah Heights,1489.0,88.0,673.0,66.2,3.9,29.9
Balgownie,2368.0,243.0,1527.0,57.2,5.9,36.9
Balmain,3017.0,1177.0,3089.0,41.4,16.2,42.4
Balmain East,638.0,218.0,598.0,43.9,15.0,41.1
Bangor (NSW),2568.0,174.0,1544.0,59.9,4.1,36.0
Banksia,1307.0,133.0,996.0,53.7,5.5,40.9
Bankstown,10747.0,642.0,9725.0,50.9,3.0,46.1
Bar Beach,294.0,77.0,485.0,34.3,9.0,56.7
Barden Ridge,1765.0,120.0,1171.0,57.8,3.9,38.3
Bardwell Park,1003.0,92.0,646.0,57.6,5.3,37.1
Bardwell Valley,850.0,96.0,710.0,51.3,5.8,42.9
Barnsley,685.0,141.0,484.0,52.3,10.8,36.9
Barrack Heights,2142.0,371.0,1908.0,48.5,8.4,43.2
Barrack Point,238.0,31.0,167.0,54.6,7.1,38.3
Bass Hill,3018.0,191.0,2707.0,51.0,3.2,45.8
Bateau Bay,4211.0,690.0,3859.0,48.1,7.9,44.1
Baulkham Hills,15467.0,1280.0,8545.0,61.2,5.1,33.8
Bayview (NSW),1349.0,117.0,890.0,57.3,5.0,37.8
Beacon Hill,3015.0,270.0,1786.0,59.5,5.3,35.2
Beaconsfield (NSW),269.0,135.0,271.0,39.9,20.0,40.1
Beecroft,4161.0,211.0,2283.0,62.5,3.2,34.3
Belfield,2416.0,158.0,1961.0,53.3,3.5,43.2
Bella Vista,3404.0,116.0,2129.0,60.3,2.1,37.7
Bellambi,1027.0,290.0,1660.0,34.5,9.7,55.8
Bellevue Hill,3431.0,819.0,3020.0,47.2,11.3,41.5
Belmont (NSW),2483.0,293.0,2137.0,50.5,6.0,43.5
Belmont North,2386.0,478.0,1882.0,50.3,10.1,39.7
Belmont South,368.0,82.0,456.0,40.6,9.1,50.3
Belmore,4629.0,374.0,4362.0,49.4,4.0,46.6
Belrose,3764.0,234.0,1953.0,63.2,3.9,32.8
Bensville,1150.0,125.0,551.0,63.0,6.8,30.2
Berala,3370.0,227.0,3016.0,51.0,3.4,45.6
Berkeley,2547.0,429.0,2649.0,45.3,7.6,47.1
Berkeley Vale,2848.0,615.0,2584.0,47.1,10.2,42.7
Berowra,2050.0,191.0,1030.0,62.7,5.8,31.5
Berowra Heights,2281.0,277.0,1138.0,61.7,7.5,30.8
Beverley Park,940.0,85.0,576.0,58.7,5.3,36.0
Beverly Hills,3951.0,352.0,3139.0,53.1,4.7,42.2
Bexley,7424.0,668.0,5773.0,53.5,4.8,41.6
Bexley North,1649.0,134.0,1169.0,55.9,4.5,39.6
Bidwill (NSW),781.0,279.0,1815.0,27.2,9.7,63.1
Birchgrove,1080.0,397.0,844.0,46.5,17.1,36.4
Birmingham Gardens,567.0,107.0,995.0,34.0,6.4,59.6
Birrong,1001.0,79.0,1038.0,47.3,3.7,49.0
Blackalls Park,1019.0,174.0,928.0,48.0,8.2,43.8
Blackbutt (NSW),1299.0,182.0,946.0,53.5,7.5,39.0
Blackett,834.0,173.0,1272.0,36.6,7.6,55.8
Blacksmiths,641.0,126.0,632.0,45.8,9.0,45.2
Blacktown,16337.0,1861.0,13727.0,51.2,5.8,43.0
Blackwall (NSW),551.0,126.0,648.0,41.6,9.5,48.9
Blairmount,137.0,23.0,124.0,48.2,8.1,43.7
Blakehurst,2647.0,137.0,1791.0,57.9,3.0,39.1
Blaxland (NSW),3112.0,428.0,1990.0,56.3,7.7,36.0
Blue Bay,336.0,62.0,355.0,44.6,8.2,47.1
Blue Haven,2113.0,450.0,1674.0,49.9,10.6,39.5
Bolton Point,712.0,147.0,748.0,44.3,9.1,46.5
Bondi,2269.0,1206.0,3496.0,32.5,17.3,50.2
Bondi Beach,2069.0,1677.0,4226.0,26.0,21.0,53.0
Bondi Junction,2199.0,884.0,3188.0,35.1,14.1,50.8
Bonnet Bay,1096.0,68.0,488.0,66.3,4.1,29.5
Bonnyrigg,2687.0,206.0,3022.0,45.4,3.5,51.1
Bonnyrigg Heights,2898.0,168.0,2499.0,52.1,3.0,44.9
Booker Bay,380.0,86.0,437.0,42.1,9.5,48.4
