,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Abbotsbury,487.0,573.0,80.0,3.0,34.0,41.4,48.7,6.8,0.3,2.9
New South Wales,820006.0,824292.0,743050.0,20418.0,63530.0,33.2,33.4,30.1,0.8,2.6
Australia,2488149.0,2709433.0,2297458.0,70069.0,195213.0,32.1,34.9,29.6,0.9,2.5
Abbotsford (NSW),721.0,540.0,796.0,11.0,43.0,34.2,25.6,37.7,0.5,2.0
Acacia Gardens,177.0,728.0,158.0,3.0,11.0,16.4,67.6,14.7,0.3,1.0
Adamstown,621.0,754.0,896.0,13.0,55.0,26.5,32.2,38.3,0.6,2.4
Adamstown Heights,935.0,695.0,266.0,4.0,42.0,48.1,35.8,13.7,0.2,2.2
Airds,28.0,29.0,1007.0,22.0,34.0,2.5,2.6,89.9,2.0,3.0
Albion Park,1147.0,2214.0,663.0,23.0,57.0,27.9,53.9,16.2,0.6,1.4
Albion Park Rail,781.0,929.0,650.0,37.0,63.0,31.7,37.8,26.4,1.5,2.6
Alexandria,400.0,1303.0,1505.0,13.0,54.0,12.2,39.8,46.0,0.4,1.6
Alfords Point,456.0,413.0,47.0,3.0,6.0,49.3,44.6,5.1,0.3,0.6
Allambie Heights,826.0,918.0,415.0,33.0,69.0,36.5,40.6,18.4,1.5,3.1
Allawah,528.0,667.0,804.0,13.0,51.0,25.6,32.3,39.0,0.6,2.5
Ambarvale,416.0,859.0,828.0,14.0,61.0,19.1,39.4,38.0,0.6,2.8
Annandale (NSW),791.0,1137.0,1527.0,9.0,52.0,22.5,32.3,43.4,0.3,1.5
Argenton,192.0,164.0,187.0,3.0,14.0,34.3,29.3,33.4,0.5,2.5
Arncliffe,899.0,827.0,806.0,17.0,110.0,33.8,31.1,30.3,0.6,4.1
Artarmon,874.0,927.0,1645.0,32.0,40.0,24.8,26.4,46.8,0.9,1.1
Ashbury,519.0,364.0,126.0,12.0,19.0,49.9,35.0,12.1,1.2,1.8
Ashcroft,224.0,250.0,516.0,7.0,59.0,21.2,23.7,48.9,0.7,5.6
Ashfield (NSW),1985.0,2156.0,3767.0,101.0,208.0,24.2,26.2,45.8,1.2,2.5
Asquith,495.0,450.0,226.0,5.0,29.0,41.1,37.3,18.8,0.4,2.4
Auburn (NSW),2328.0,2709.0,3852.0,66.0,390.0,24.9,29.0,41.2,0.7,4.2
Austinmer,335.0,310.0,186.0,7.0,8.0,39.6,36.6,22.0,0.8,0.9
Avoca Beach,534.0,624.0,288.0,3.0,28.0,36.2,42.2,19.5,0.2,1.9
Balgowlah,946.0,978.0,894.0,10.0,57.0,32.8,33.9,31.0,0.3,2.0
Balgowlah Heights,496.0,384.0,118.0,3.0,22.0,48.5,37.5,11.5,0.3,2.2
Balgownie,919.0,623.0,410.0,7.0,50.0,45.7,31.0,20.4,0.3,2.5
Balmain,1020.0,1253.0,1828.0,23.0,70.0,24.3,29.9,43.6,0.5,1.7
Balmain East,264.0,200.0,349.0,3.0,11.0,31.9,24.2,42.2,0.4,1.3
Bangor (NSW),796.0,832.0,134.0,5.0,27.0,44.4,46.4,7.5,0.3,1.5
Banksia,442.0,362.0,192.0,6.0,26.0,43.0,35.2,18.7,0.6,2.5
Bankstown,2172.0,2687.0,3997.0,64.0,355.0,23.4,29.0,43.1,0.7,3.8
Bar Beach,119.0,92.0,288.0,4.0,16.0,22.9,17.7,55.5,0.8,3.1
Barden Ridge,412.0,630.0,71.0,0.0,12.0,36.6,56.0,6.3,0.0,1.1
Bardwell Park,352.0,267.0,129.0,4.0,14.0,46.0,34.9,16.8,0.5,1.8
Bardwell Valley,333.0,266.0,122.0,4.0,27.0,44.3,35.4,16.2,0.5,3.6
Barnsley,173.0,316.0,93.0,3.0,11.0,29.0,53.0,15.6,0.5,1.8
Barrack Heights,792.0,618.0,652.0,9.0,67.0,37.0,28.9,30.5,0.4,3.1
Barrack Point,103.0,68.0,45.0,0.0,13.0,45.0,29.7,19.7,0.0,5.7
Bass Hill,874.0,851.0,718.0,27.0,88.0,34.2,33.3,28.1,1.1,3.4
Bateau Bay,1600.0,1524.0,1106.0,123.0,146.0,35.6,33.9,24.6,2.7,3.2
Baulkham Hills,4111.0,5129.0,1798.0,74.0,159.0,36.5,45.5,16.0,0.7,1.4
Bayview (NSW),613.0,311.0,107.0,113.0,42.0,51.7,26.2,9.0,9.5,3.5
Beacon Hill,872.0,963.0,275.0,12.0,39.0,40.4,44.6,12.7,0.6,1.8
Beaconsfield (NSW),55.0,158.0,140.0,0.0,6.0,15.3,44.0,39.0,0.0,1.7
Beecroft,1341.0,1079.0,330.0,24.0,23.0,47.9,38.6,11.8,0.9,0.8
Belfield,722.0,692.0,545.0,15.0,67.0,35.4,33.9,26.7,0.7,3.3
Bella Vista,665.0,1145.0,229.0,10.0,28.0,32.0,55.1,11.0,0.5,1.3
Bellambi,339.0,364.0,868.0,7.0,55.0,20.8,22.3,53.2,0.4,3.4
Bellevue Hill,1325.0,999.0,1245.0,16.0,89.0,36.1,27.2,33.9,0.4,2.4
Belmont (NSW),1097.0,661.0,816.0,33.0,88.0,40.7,24.5,30.3,1.2,3.3
Belmont North,804.0,941.0,486.0,28.0,59.0,34.7,40.6,21.0,1.2,2.5
Belmont South,147.0,106.0,198.0,0.0,21.0,31.1,22.5,41.9,0.0,4.4
Belmore,1285.0,1090.0,1630.0,31.0,161.0,30.6,26.0,38.8,0.7,3.8
Belrose,1294.0,1088.0,230.0,39.0,69.0,47.6,40.0,8.5,1.4,2.5
Bensville,245.0,487.0,64.0,4.0,13.0,30.1,59.9,7.9,0.5,1.6
Berala,913.0,715.0,985.0,14.0,98.0,33.5,26.2,36.1,0.5,3.6
Berkeley,894.0,774.0,954.0,25.0,99.0,32.6,28.2,34.7,0.9,3.6
Berkeley Vale,937.0,1314.0,651.0,9.0,62.0,31.5,44.2,21.9,0.3,2.1
Berowra,501.0,767.0,164.0,3.0,13.0,34.6,53.0,11.3,0.2,0.9
Berowra Heights,667.0,839.0,141.0,4.0,20.0,39.9,50.2,8.4,0.2,1.2
Beverley Park,349.0,234.0,124.0,4.0,13.0,48.2,32.3,17.1,0.6,1.8
Beverly Hills,1381.0,1035.0,789.0,12.0,85.0,41.8,31.3,23.9,0.4,2.6
Bexley,2248.0,2267.0,1418.0,31.0,157.0,36.7,37.0,23.2,0.5,2.6
Bexley North,553.0,381.0,364.0,15.0,32.0,41.1,28.3,27.1,1.1,2.4
Bidwill (NSW),119.0,176.0,1027.0,12.0,39.0,8.7,12.8,74.8,0.9,2.8
Birchgrove,409.0,407.0,401.0,3.0,15.0,33.1,33.0,32.5,0.2,1.2
