,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Abbotsbury,"1,621",145,59,55,55,&nbsp;,191,"1,768",,,,,,,,,,,,,,,,,,,70.0,6.3,2.5,2.4,2.4,&nbsp;,8.2,76.3,,,,,,,,,,,,,,,,,,
New South Wales,"1,807,358","157,359","28,479","193,099","38,584",&nbsp;,"433,016","1,971,702",,,,,,,,,,,,,,,,,,,57.6,5.0,0.9,6.2,1.2,&nbsp;,13.8,62.8,,,,,,,,,,,,,,,,,,
Australia,"6,059,972","537,638","77,819","388,012","104,746",&nbsp;,"1,046,721","6,620,840",,,,,,,,,,,,,,,,,,,60.2,5.3,0.8,3.9,1.0,&nbsp;,10.4,65.8,,,,,,,,,,,,,,,,,,
Abbotsford,"1,482",107,,,,&nbsp;,539,"1,593",279,118,36,,,,,,,,,,,,,,,,56.5,4.1,,,,&nbsp;,20.5,60.7,10.6,4.5,1.4,,,,,,,,,,,,,,,
Acacia Gardens,"1,292",89,53,132,,&nbsp;,333,"1,390",70,,,,,,,,,,,,,,,,,,63.6,4.4,2.6,6.5,,&nbsp;,16.4,68.4,3.4,,,,,,,,,,,,,,,,,
Adamstown,"1,978",164,,,,&nbsp;,107,"2,161",66,,84,47,,,,,,,,,,,,,,,67.1,5.6,,,,&nbsp;,3.6,73.3,2.2,,2.8,1.6,,,,,,,,,,,,,,
Adamstown Heights,"1,674",145,,,,&nbsp;,64,"1,823",41,,40,47,,,,,,,,,,,,,,,66.7,5.8,,,,&nbsp;,2.5,72.6,1.6,,1.6,1.9,,,,,,,,,,,,,,
Airds,330,73,,25,,&nbsp;,101,402,,,14,,28,,,,,,,,,,,,,,52.9,11.7,,4.0,,&nbsp;,16.1,64.1,,,2.2,,4.5,,,,,,,,,,,,,
Albion Park,"4,485",324,,30,80,&nbsp;,113,"4,835",,,79,,,,,,,,,,,,,,,,72.9,5.3,,0.5,1.3,&nbsp;,1.8,78.6,,,1.3,,,,,,,,,,,,,,,
Albion Park Rail,"2,072",181,,61,53,&nbsp;,102,"2,255",,,49,,,,,,,,,,,,,,,,70.1,6.1,,2.1,1.8,&nbsp;,3.5,76.3,,,1.7,,,,,,,,,,,,,,,
