,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%)
Abbotsbury,879.0,732.0,356.0,301.0,25.7,21.4,10.4,8.8
New South Wales,1226912.0,1391598.0,660872.0,559753.0,22.0,24.9,11.8,10.0
Australia,3883357.0,4444640.0,2075154.0,1746196.0,22.4,25.6,12.0,10.1
Abbotsford (NSW),1154.0,1216.0,528.0,334.0,26.6,28.1,12.2,7.7
Acacia Gardens,656.0,789.0,337.0,246.0,24.0,28.9,12.3,9.0
Adamstown,1120.0,1320.0,576.0,411.0,24.4,28.8,12.6,9.0
Adamstown Heights,913.0,1177.0,646.0,525.0,21.8,28.1,15.4,12.5
Airds,327.0,398.0,229.0,336.0,13.2,16.0,9.2,13.5
Albion Park,2092.0,2605.0,1372.0,1129.0,21.5,26.7,14.1,11.6
Albion Park Rail,1009.0,1375.0,714.0,650.0,18.2,24.9,12.9,11.7
Alexandria,2257.0,2016.0,443.0,207.0,35.7,31.9,7.0,3.3
Alfords Point,753.0,660.0,342.0,246.0,27.6,24.2,12.5,9.0
Allambie Heights,1244.0,1466.0,689.0,540.0,23.5,27.7,13.0,10.2
Allawah,1107.0,1045.0,424.0,312.0,24.3,23.0,9.3,6.9
Ambarvale,1072.0,1209.0,624.0,548.0,19.4,21.8,11.3,9.9
Annandale (NSW),2284.0,2288.0,754.0,440.0,31.5,31.5,10.4,6.1
Argenton,212.0,295.0,109.0,116.0,18.5,25.8,9.5,10.1
Arncliffe,1385.0,1395.0,597.0,498.0,20.2,20.4,8.7,7.3
Artarmon,2045.0,2007.0,724.0,511.0,28.9,28.4,10.2,7.2
Ashbury,579.0,650.0,342.0,221.0,23.3,26.1,13.7,8.9
Ashcroft,401.0,382.0,178.0,271.0,16.1,15.3,7.1,10.9
Ashfield (NSW),4454.0,4506.0,1643.0,1143.0,23.3,23.5,8.6,6.0
Asquith,629.0,798.0,412.0,325.0,22.6,28.7,14.8,11.7
Auburn (NSW),4442.0,4095.0,1878.0,1976.0,17.1,15.8,7.2,7.6
Austinmer,496.0,574.0,299.0,199.0,25.6,29.6,15.4,10.3
Avoca Beach,803.0,977.0,495.0,334.0,23.8,28.9,14.7,9.9
Balgowlah,1627.0,1759.0,712.0,507.0,27.7,30.0,12.1,8.6
Balgowlah Heights,623.0,635.0,382.0,276.0,26.1,26.6,16.0,11.6
Balgownie,938.0,1172.0,623.0,542.0,21.1,26.4,14.0,12.2
Balmain,2571.0,2587.0,821.0,444.0,31.3,31.5,10.0,5.4
Balmain East,508.0,481.0,194.0,102.0,31.7,30.0,12.1,6.4
Bangor (NSW),1108.0,1271.0,654.0,454.0,24.2,27.8,14.3,9.9
Banksia,555.0,621.0,279.0,198.0,21.1,23.6,10.6,7.5
Bankstown,4188.0,4067.0,1838.0,1881.0,17.9,17.4,7.9,8.0
Bar Beach,306.0,230.0,87.0,72.0,31.2,23.4,8.9,7.3
Barden Ridge,843.0,791.0,430.0,316.0,26.6,25.0,13.6,10.0
Bardwell Park,424.0,430.0,221.0,203.0,23.5,23.8,12.2,11.2
Bardwell Valley,356.0,434.0,197.0,160.0,20.4,24.8,11.3,9.2
Barnsley,325.0,378.0,179.0,159.0,23.2,27.0,12.8,11.4
Barrack Heights,883.0,1068.0,614.0,624.0,18.3,22.2,12.8,13.0
Barrack Point,110.0,122.0,62.0,60.0,22.2,24.6,12.5,12.1
Bass Hill,1133.0,1242.0,572.0,643.0,17.6,19.3,8.9,10.0
Bateau Bay,1934.0,2433.0,1304.0,1030.0,19.8,25.0,13.4,10.6
Baulkham Hills,6411.0,7484.0,3780.0,2929.0,24.1,28.1,14.2,11.0
Bayview (NSW),545.0,717.0,389.0,261.0,20.4,26.9,14.6,9.8
Beacon Hill,1289.0,1545.0,752.0,541.0,23.8,28.6,13.9,10.0
Beaconsfield (NSW),231.0,228.0,65.0,32.0,29.6,29.2,8.3,4.1
Beecroft,1728.0,2017.0,1115.0,789.0,24.0,28.0,15.5,11.0
Belfield,1014.0,1000.0,476.0,458.0,21.1,20.8,9.9,9.5
Bella Vista,1642.0,1481.0,709.0,508.0,27.9,25.2,12.1,8.6
Bellambi,640.0,740.0,378.0,353.0,20.0,23.1,11.8,11.0
Bellevue Hill,2624.0,2029.0,779.0,573.0,29.6,22.9,8.8,6.5
Belmont (NSW),1016.0,1398.0,729.0,578.0,19.0,26.1,13.6,10.8
Belmont North,1060.0,1270.0,697.0,583.0,20.5,24.5,13.5,11.3
Belmont South,149.0,251.0,117.0,122.0,15.2,25.6,11.9,12.4
Belmore,2027.0,2024.0,878.0,819.0,20.0,19.9,8.6,8.1
Belrose,1494.0,1713.0,937.0,689.0,22.7,26.1,14.3,10.5
Bensville,428.0,583.0,306.0,242.0,21.9,29.9,15.7,12.4
Berala,1400.0,1376.0,613.0,574.0,20.0,19.6,8.7,8.2
Berkeley,1104.0,1299.0,685.0,686.0,18.3,21.5,11.3,11.3
Berkeley Vale,1432.0,1793.0,828.0,751.0,21.8,27.3,12.6,11.4
Berowra,859.0,1036.0,510.0,436.0,24.5,29.6,14.6,12.4
Berowra Heights,934.0,1220.0,651.0,459.0,23.9,31.2,16.6,11.7
Beverley Park,356.0,421.0,194.0,181.0,21.3,25.2,11.6,10.8
Beverly Hills,1813.0,1768.0,856.0,775.0,22.8,22.2,10.7,9.7
Bexley,3128.0,3435.0,1549.0,1293.0,20.4,22.4,10.1,8.4
Bexley North,671.0,747.0,382.0,303.0,21.1,23.5,12.0,9.5
Bidwill (NSW),482.0,521.0,274.0,387.0,15.5,16.7,8.8,12.4
Birchgrove,814.0,831.0,289.0,150.0,31.6,32.2,11.2,5.8
Birmingham Gardens,465.0,422.0,159.0,158.0,25.9,23.5,8.8,8.8
Birrong,437.0,459.0,238.0,224.0,18.8,19.8,10.3,9.7
Blackalls Park,467.0,563.0,305.0,274.0,20.7,25.0,13.5,12.1
Blackbutt (NSW),534.0,651.0,326.0,276.0,21.1,25.7,12.9,10.9
Blackett,390.0,444.0,183.0,274.0,15.7,17.9,7.4,11.0
Blacksmiths,272.0,347.0,196.0,180.0,17.8,22.7,12.8,11.8
Blacktown,6859.0,7627.0,3492.0,3368.0,20.1,22.4,10.2,9.9
Blackwall (NSW),307.0,372.0,169.0,166.0,21.1,25.6,11.6,11.4
Blairmount,66.0,73.0,30.0,33.0,19.2,21.2,8.7,9.6
Blakehurst,1144.0,1084.0,633.0,486.0,23.1,21.9,12.8,9.8
Blaxland (NSW),1396.0,1775.0,934.0,683.0,23.9,30.4,16.0,11.7
Blue Bay,173.0,229.0,106.0,75.0,20.2,26.7,12.4,8.8
Blue Haven,895.0,1120.0,556.0,564.0,19.9,24.9,12.4,12.5
Bolton Point,304.0,409.0,248.0,236.0,16.5,22.2,13.5,12.8
Bondi,2800.0,1892.0,529.0,327.0,33.1,22.4,6.3,3.9
Bondi Beach,3446.0,2118.0,519.0,361.0,35.9,22.1,5.4,3.8
Bondi Junction,2208.0,1748.0,576.0,350.0,29.2,23.1,7.6,4.6
Bonnet Bay,407.0,515.0,299.0,173.0,23.0,29.1,16.9,9.8
Bonnyrigg,1193.0,1144.0,485.0,548.0,18.8,18.0,7.6,8.6
Bonnyrigg Heights,1255.0,1116.0,507.0,482.0,21.8,19.4,8.8,8.4
Booker Bay,176.0,243.0,127.0,120.0,17.7,24.4,12.7,12.0
Boolaroo,146.0,206.0,93.0,100.0,18.6,26.3,11.9,12.8
Booragul,188.0,226.0,146.0,137.0,15.7,18.9,12.2,11.5
Bossley Park,2440.0,2186.0,1062.0,1022.0,21.3,19.1,9.3,8.9
Botany,1606.0,1839.0,696.0,548.0,23.1,26.4,10.0,7.9
Bow Bowing,284.0,338.0,141.0,102.0,23.2,27.6,11.5,8.3
Bradbury (NSW),1368.0,1726.0,808.0,743.0,20.0,25.2,11.8,10.8
Broadmeadow,323.0,388.0,173.0,90.0,24.9,29.9,13.3,6.9
Bronte,1674.0,1459.0,568.0,378.0,30.1,26.3,10.2,6.8
Brookvale,588.0,553.0,202.0,133.0,27.0,25.4,9.3,6.1
Budgewoi,539.0,622.0,367.0,311.0,20.1,23.2,13.7,11.6
Buff Point,502.0,680.0,349.0,336.0,18.9,25.6,13.1,12.7
Bulli,1020.0,1259.0,623.0,510.0,23.1,28.6,14.1,11.6
Burwood (NSW),2512.0,2186.0,916.0,717.0,22.9,19.9,8.3,6.5
Burwood Heights,158.0,155.0,68.0,58.0,23.1,22.7,9.9,8.5
Busby,471.0,518.0,255.0,320.0,14.9,16.4,8.0,10.1
Cabarita (NSW),394.0,448.0,211.0,134.0,24.5,27.8,13.1,8.3
Cabramatta,2731.0,2521.0,1209.0,1135.0,16.6,15.3,7.3,6.9
Cabramatta West,1021.0,890.0,432.0,440.0,19.2,16.7,8.1,8.3
Cambridge Gardens,371.0,425.0,210.0,196.0,23.5,26.9,13.3,12.4
Cambridge Park,1065.0,1294.0,581.0,567.0,21.9,26.6,11.9,11.7
Camden,587.0,719.0,296.0,262.0,21.9,26.9,11.1,9.8
Camden South,755.0,1076.0,513.0,378.0,21.7,31.0,14.8,10.9
Cammeray,1860.0,1703.0,571.0,364.0,32.4,29.6,9.9,6.3
Campbelltown (NSW),1805.0,2035.0,850.0,840.0,21.3,24.1,10.1,9.9
Camperdown (NSW),2537.0,1937.0,416.0,228.0,34.9,26.6,5.7,3.1
Campsie,3347.0,3283.0,1399.0,1275.0,19.0,18.6,7.9,7.2
Canada Bay,282.0,268.0,110.0,84.0,26.8,25.5,10.5,8.0
Canley Heights,1678.0,1431.0,594.0,686.0,20.4,17.4,7.2,8.3
Canley Vale,1368.0,1188.0,546.0,567.0,18.6,16.1,7.4,7.7
Canterbury (NSW),1136.0,1144.0,522.0,380.0,22.1,22.2,10.1,7.4
Canton Beach,127.0,167.0,121.0,120.0,13.3,17.5,12.7,12.6
Cardiff (NSW),1003.0,1198.0,657.0,489.0,21.5,25.7,14.1,10.5
Cardiff Heights,227.0,268.0,128.0,108.0,21.1,24.9,11.9,10.0
Cardiff South,535.0,657.0,309.0,249.0,22.6,27.8,13.1,10.5
Caringbah,2362.0,2410.0,948.0,746.0,26.3,26.8,10.5,8.3
Carlingford,3950.0,4428.0,2273.0,1854.0,22.4,25.1,12.9,10.5
Carlton (NSW),1776.0,1857.0,790.0,649.0,22.2,23.2,9.9,8.1
Carramar (NSW),440.0,475.0,203.0,197.0,16.2,17.5,7.5,7.2
Carrington (Newcastle - NSW),399.0,460.0,152.0,102.0,25.3,29.2,9.6,6.5
Carss Park,200.0,246.0,135.0,101.0,20.7,25.4,14.0,10.4
Cartwright,283.0,288.0,154.0,159.0,16.0,16.3,8.7,9.0
Castle Cove,465.0,540.0,294.0,236.0,23.0,26.7,14.6,11.7
Castle Hill (NSW),7557.0,8014.0,3984.0,3100.0,24.7,26.2,13.0,10.1
Castlecrag,552.0,659.0,335.0,258.0,24.5,29.2,14.8,11.4
Casula,2333.0,2473.0,1088.0,1093.0,20.5,21.8,9.6,9.6
Caves Beach,708.0,784.0,475.0,403.0,21.8,24.2,14.6,12.4
Cecil Hills,1234.0,1132.0,510.0,435.0,23.5,21.6,9.7,8.3
Centennial Park (NSW),711.0,515.0,134.0,88.0,37.2,26.9,7.0,4.6
Charlestown (NSW),2331.0,2844.0,1350.0,1108.0,22.8,27.8,13.2,10.8
Charmhaven,360.0,462.0,247.0,226.0,19.6,25.2,13.5,12.3
Chatswood,4232.0,4199.0,1839.0,1306.0,23.7,23.5,10.3,7.3
Chatswood West,260.0,344.0,170.0,113.0,23.1,30.6,15.1,10.1
Cheltenham (NSW),412.0,498.0,281.0,187.0,24.4,29.5,16.7,11.1
Cherrybrook,3919.0,4052.0,2075.0,1563.0,25.7,26.6,13.6,10.3
Chester Hill,1825.0,1738.0,905.0,830.0,19.7,18.8,9.8,9.0
Chifley (NSW),568.0,661.0,305.0,201.0,22.4,26.1,12.0,7.9
Chippendale,1185.0,937.0,168.0,89.0,30.5,24.1,4.3,2.3
Chipping Norton,1557.0,1760.0,753.0,719.0,21.7,24.5,10.5,10.0
Chiswick,662.0,637.0,175.0,132.0,30.9,29.7,8.2,6.2
Chittaway Bay,348.0,405.0,201.0,178.0,22.7,26.4,13.1,11.6
Chittaway Point,172.0,177.0,92.0,104.0,23.8,24.4,12.7,14.4
Church Point,243.0,261.0,139.0,100.0,25.7,27.6,14.7,10.6
Claremont Meadows,668.0,850.0,374.0,304.0,22.2,28.2,12.4,10.1
Claymore,249.0,247.0,159.0,247.0,12.4,12.3,7.9,12.3
Clontarf (NSW),339.0,323.0,195.0,160.0,25.7,24.5,14.8,12.1
Clovelly,1101.0,1068.0,405.0,252.0,30.4,29.5,11.2,7.0
Coal Point,329.0,400.0,255.0,173.0,22.4,27.2,17.3,11.8
Coledale,218.0,315.0,114.0,95.0,24.1,34.8,12.6,10.5
Collaroy (NSW),2973.0,3238.0,1442.0,1077.0,26.2,28.5,12.7,9.5
Colyton,1261.0,1448.0,658.0,708.0,20.2,23.2,10.5,11.3
Como (NSW),727.0,855.0,439.0,345.0,25.1,29.5,15.1,11.9
Concord,2599.0,2916.0,1371.0,1029.0,22.8,25.6,12.0,9.0
Concord West,1129.0,1167.0,581.0,468.0,23.9,24.7,12.3,9.9
Condell Park,1541.0,1488.0,687.0,851.0,19.2,18.6,8.6,10.6
Coniston,365.0,425.0,229.0,189.0,20.2,23.5,12.7,10.5
Connells Point,501.0,548.0,292.0,220.0,22.8,24.9,13.3,10.0
Coogee (NSW),4266.0,3284.0,953.0,588.0,35.1,27.0,7.8,4.8
Cooks Hill,1040.0,951.0,279.0,182.0,32.8,30.0,8.8,5.7
