,England,Germany,Switzerland,Norfolk Island,"Australian External Territories, nec",New Zealand,Chile,Philippines,India,South Africa,Scotland,France,Canada,New Caledonia,Netherlands,The former Yugoslav Republic of Macedonia,Italy,Bangladesh,United States of America,Ireland,Poland,Croatia,Hong Kong (SAR of China,Austria,Gaza Strip and West Bank,Portugal,Greece,Papua New Guinea,"Korea, Republic of (South",Taiwan,Malta,Lebanon,Northern Ireland,Denmark,China (excludes SARs and Taiwan,Wales,Thailand,Norway,Spain,Malaysia,Cook Islands,Serbia,Indonesia,Iran,Turkey,Egypt,Finland,Bosnia and Herzegovina,Russian Federation,Ukraine,Zimbabwe,Czech Republic,Cyprus,Singapore,Uruguay,Sri Lanka,Vanuatu,Nepal,Vietnam,Namibia,Hungary,Guyana,Iraq,Japan,Argentina,Gibraltar,Tanzania,Laos,Sweden,Myanmar,Fiji,Tonga,Nigeria,Pakistan,Sudan,Mauritius,Syria,Israel,Romania,Mexico,Belgium,Bhutan,Brazil,Saudi Arabia,"Congo, Democratic Republic of",Uganda,Paraguay,Samoa,Cambodia,Kuwait,Afghanistan,Ethiopia,Venezuela,Solomon Islands,Estonia,Slovenia,United Arab Emirates,Liberia,Colombia,Montenegro,Mongolia,England (%),Germany (%),Switzerland (%),Norfolk Island (%),"Australian External Territories, nec (%)",New Zealand (%),Chile (%),Philippines (%),India (%),South Africa (%),Scotland (%),France (%),Canada (%),New Caledonia (%),Netherlands (%),The former Yugoslav Republic of Macedonia (%),Italy (%),Bangladesh (%),United States of America (%),Ireland (%),Poland (%),Croatia (%),Hong Kong (SAR of China (%),Austria (%),Gaza Strip and West Bank (%),Portugal (%),Greece (%),Papua New Guinea (%),"Korea, Republic of (South (%)",Taiwan (%),Malta (%),Lebanon (%),Northern Ireland (%),Denmark (%),China (excludes SARs and Taiwan (%),Wales (%),Thailand (%),Norway (%),Spain (%),Malaysia (%),Cook Islands (%),Serbia (%),Indonesia (%),Iran (%),Turkey (%),Egypt (%),Finland (%),Bosnia and Herzegovina (%),Russian Federation (%),Ukraine (%),Zimbabwe (%),Czech Republic (%),Cyprus (%),Singapore (%),Uruguay (%),Sri Lanka (%),Vanuatu (%),Nepal (%),Vietnam (%),Namibia (%),Hungary (%),Guyana (%),Iraq (%),Japan (%),Argentina (%),Gibraltar (%),Tanzania (%),Laos (%),Sweden (%),Myanmar (%),Fiji (%),Tonga (%),Nigeria (%),Pakistan (%),Sudan (%),Mauritius (%),Syria (%),Israel (%),Romania (%),Mexico (%),Belgium (%),Bhutan (%),Brazil (%),Saudi Arabia (%),"Congo, Democratic Republic of (%)",Uganda (%),Paraguay (%),Samoa (%),Cambodia (%),Kuwait (%),Afghanistan (%),Ethiopia (%),Venezuela (%),Solomon Islands (%),Estonia (%),Slovenia (%),United Arab Emirates (%),Liberia (%),Colombia (%),Montenegro (%),Mongolia (%),SSC_CODE
Lower Boro,11,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.5,2.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12402
New South Wales,"226,564","29,541","3,855",110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.4,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"907,570","102,595","12,128",696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.4,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oallen,9,,,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,0.0,0.0,5.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13062
Braidwood,65,,,,,20,,13,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.2,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10547
Majors Creek (NSW),7,,,,,5,,5,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,2.0,,2.0,,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12452
Araluen (NSW),7,,,0,,6,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,0.0,,3.7,,1.8,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070
Reidsdale,4,,,0,0,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,0.0,0.0,3.5,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13348
Bombay,4,,,0,0,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,0.0,0.0,2.6,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10456
Warri,7,,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14172
Manar,6,,,0,0,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,0.0,0.0,0.0,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12462
Mongarlowe,13,4,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,3.3,,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12678
Karabar,149,,,,,114,,59,,,,,,,,177,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,1.4,,0.7,,,,,,,,2.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12071
