,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Lower Boro,37.0,10.0,3.0,98.0,22.8,6.2,1.9,60.5,12402
New South Wales,2764170.0,458394.0,325182.0,3399725.0,37.0,6.1,4.3,45.4,
Australia,8051196.0,1488092.0,1094591.0,11070538.0,34.4,6.4,4.7,47.3,
Oallen,24.0,6.0,4.0,74.0,16.8,4.2,2.8,51.7,13062
Braidwood,235.0,106.0,81.0,1061.0,14.2,6.4,4.9,64.3,10547
Majors Creek (NSW),47.0,10.0,14.0,160.0,18.4,3.9,5.5,62.7,12452
Araluen (NSW),24.0,18.0,8.0,96.0,13.6,10.2,4.5,54.5,10070
Reidsdale,11.0,6.0,3.0,82.0,9.3,5.1,2.5,69.5,13348
Bombay,15.0,10.0,12.0,71.0,11.9,7.9,9.5,56.3,10456
Warri,9.0,12.0,6.0,77.0,8.1,10.8,5.4,69.4,14172
Manar,23.0,3.0,5.0,71.0,20.0,2.6,4.3,61.7,12462
Mongarlowe,22.0,6.0,7.0,65.0,18.3,5.0,5.8,54.2,12678
Karabar,1874.0,542.0,385.0,4888.0,22.7,6.6,4.7,59.3,12071
Queanbeyan,1873.0,375.0,294.0,3135.0,30.0,6.0,4.7,50.2,13291
Crestwood,1538.0,282.0,180.0,2261.0,33.4,6.1,3.9,49.1,11115
Queanbeyan East,1333.0,246.0,175.0,1906.0,33.9,6.2,4.4,48.4,13292
Greenleigh,131.0,55.0,40.0,433.0,18.9,7.9,5.8,62.5,11767
The Ridgeway,34.0,12.0,11.0,102.0,20.9,7.4,6.7,62.6,13836
Bungendore,675.0,293.0,247.0,2634.0,16.1,7.0,5.9,62.9,10684
Sutton (NSW),296.0,99.0,68.0,892.0,17.9,6.0,4.1,53.8,13702
Carwoola,284.0,100.0,70.0,840.0,20.0,7.1,4.9,59.2,10841
Hoskinstown,24.0,10.0,3.0,126.0,12.4,5.2,1.6,65.3,11944
Captains Flat,104.0,36.0,42.0,374.0,16.9,5.8,6.8,60.7,10804
Burra (Queanbeyan-Palerang Regional - NSW),141.0,48.0,36.0,485.0,17.7,6.0,4.5,60.9,10697
Mount Fairy,31.0,23.0,10.0,127.0,15.3,11.4,5.0,62.9,12758
Mulloon,7.0,11.0,9.0,91.0,4.9,7.7,6.3,63.6,12827
Royalla,164.0,52.0,60.0,642.0,16.6,5.3,6.1,65.0,13434
Primrose Valley,9.0,13.0,5.0,104.0,6.4,9.3,3.6,74.3,13265
Urila,25.0,11.0,7.0,60.0,17.4,7.6,4.9,41.7,14059
Tarago,51.0,18.0,31.0,275.0,12.0,4.2,7.3,64.7,13758
Currawang,4.0,12.0,6.0,116.0,2.3,6.8,3.4,65.5,11177
Googong,648.0,211.0,147.0,1449.0,24.1,7.9,5.5,54.0,11704
Wamboin,315.0,135.0,99.0,1000.0,18.4,7.9,5.8,58.5,14123
Bywong,220.0,90.0,87.0,832.0,16.6,6.8,6.6,62.9,10735
Michelago,97.0,57.0,27.0,341.0,17.3,10.2,4.8,60.8,12598
Jerrabomberra,2213.0,805.0,555.0,5620.0,23.3,8.5,5.8,59.1,12016
Queanbeyan West,650.0,201.0,140.0,1915.0,20.7,6.4,4.5,61.0,13293
Delegate,23.0,13.0,11.0,263.0,6.5,3.7,3.1,74.5,11233
Bombala,124.0,40.0,51.0,1051.0,9.0,2.9,3.7,76.1,10455
Cathcart (NSW),11.0,3.0,3.0,81.0,10.1,2.8,2.8,74.3,10855
Cooma (NSW),1167.0,364.0,280.0,4088.0,17.5,5.4,4.2,61.2,11036
Kosciuszko National Park,103.0,27.0,32.0,260.0,18.1,4.7,5.6,45.7,12199
Adaminaby,60.0,15.0,10.0,194.0,20.2,5.1,3.4,65.3,10015
