,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
Lower Boro,2.0,0.0,0.0,--,--,--,12402
New South Wales,3.1,1.0,1214.0,--,--,--,
Australia,3.2,1.0,1203.0,--,--,--,
Oallen,0.0,0.0,0.0,--,--,--,13062
Braidwood,3.5,1.2,1375.0,--,--,--,10547
Araluen (NSW),3.0,0.0,0.0,--,--,--,10070
Karabar,3.1,1.0,1226.0,--,--,--,12071
Queanbeyan,2.5,0.9,1180.0,--,--,--,13291
Crestwood,3.0,1.1,1357.0,--,--,--,11115
Queanbeyan East,2.4,1.1,1350.0,--,--,--,13292
Bungendore,3.0,0.8,2062.0,--,--,--,10684
Sutton (NSW),2.0,1.0,3125.0,--,--,--,13702
Carwoola,2.4,0.8,3166.0,--,--,--,10841
Captains Flat,3.0,1.0,1499.0,--,--,--,10804
Burra (Queanbeyan-Palerang Regional - NSW),0.0,0.0,2249.0,--,--,--,10697
Mount Fairy,1.0,0.0,0.0,--,--,--,12758
Royalla,4.0,1.0,3750.0,--,--,--,13434
Tarago,0.0,0.0,1624.0,--,--,--,13758
Googong,3.3,0.9,2833.0,--,--,--,11704
Wamboin,3.5,0.8,3374.0,--,--,--,14123
Bywong,3.0,1.0,3125.0,--,--,--,10735
Michelago,3.0,0.6,2562.0,--,--,--,12598
Jerrabomberra,3.5,0.8,2349.0,--,--,--,12016
Queanbeyan West,3.3,1.0,1478.0,--,--,--,13293
Delegate,3.1,0.0,1024.0,--,--,--,11233
Bombala,3.0,1.0,2125.0,--,--,--,10455
Cathcart (NSW),0.0,1.0,0.0,--,--,--,10855
Cooma (NSW),2.5,0.8,1221.0,--,--,--,11036
Kosciuszko National Park,1.0,1.0,0.0,--,--,--,12199
Nimmitabel,2.0,1.0,1125.0,--,--,--,12966
Numeralla,2.4,0.8,949.0,--,--,--,13039
Berridale,2.3,1.0,1125.0,--,--,--,10316
Jindabyne,2.7,1.1,1625.0,--,--,--,12030
East Jindabyne,5.0,1.2,0.0,--,--,--,11352
Catalina,3.6,1.0,990.0,--,--,--,10853
Batemans Bay,2.8,1.0,754.0,--,--,--,10229
Nelligen,0.0,1.0,1124.0,--,--,--,12920
Long Beach,3.8,0.9,1800.0,--,--,--,12376
