,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Lower Boro,10.0,58.0,0.0,14.7,85.3,0.0,12402
New South Wales,381709.0,2149040.0,73565.0,14.7,82.5,2.8,
Australia,1172415.0,6892165.0,221494.0,14.1,83.2,2.7,
Oallen,7.0,39.0,0.0,15.2,84.8,0.0,13062
Braidwood,123.0,458.0,38.0,19.9,74.0,6.1,10547
Majors Creek (NSW),17.0,75.0,7.0,17.2,75.8,7.1,12452
Araluen (NSW),18.0,53.0,4.0,24.0,70.7,5.3,10070
Reidsdale,5.0,32.0,0.0,13.5,86.5,0.0,13348
Bombay,11.0,33.0,0.0,25.0,75.0,0.0,10456
Warri,9.0,34.0,0.0,20.9,79.1,0.0,14172
Manar,0.0,32.0,0.0,0.0,100.0,0.0,12462
Mongarlowe,8.0,41.0,0.0,16.3,83.7,0.0,12678
Karabar,509.0,2360.0,95.0,17.2,79.6,3.2,12071
Queanbeyan,507.0,2032.0,92.0,19.3,77.2,3.5,13291
Crestwood,390.0,1545.0,58.0,19.6,77.5,2.9,11115
Queanbeyan East,306.0,1387.0,58.0,17.5,79.2,3.3,13292
Greenleigh,9.0,212.0,6.0,4.0,93.4,2.6,11767
The Ridgeway,3.0,56.0,0.0,5.1,94.9,0.0,13836
Bungendore,81.0,1214.0,16.0,6.2,92.6,1.2,10684
Sutton (NSW),39.0,405.0,16.0,8.5,88.0,3.5,13702
Carwoola,29.0,414.0,13.0,6.4,90.8,2.9,10841
Hoskinstown,7.0,51.0,0.0,12.1,87.9,0.0,11944
Captains Flat,37.0,193.0,7.0,15.6,81.4,3.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),15.0,225.0,4.0,6.1,92.2,1.6,10697
Mount Fairy,8.0,64.0,0.0,11.1,88.9,0.0,12758
Mulloon,6.0,38.0,0.0,13.6,86.4,0.0,12827
Royalla,15.0,256.0,6.0,5.4,92.4,2.2,13434
Primrose Valley,3.0,46.0,0.0,6.1,93.9,0.0,13265
Urila,3.0,35.0,0.0,7.9,92.1,0.0,14059
Tarago,26.0,108.0,3.0,19.0,78.8,2.2,13758
Currawang,5.0,48.0,4.0,8.8,84.2,7.0,11177
Googong,34.0,733.0,12.0,4.4,94.1,1.5,11704
Wamboin,23.0,488.0,6.0,4.4,94.4,1.2,14123
