,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Lower Boro,67.0,60.0,52.8,47.2,12402
New South Wales,2604320.0,284741.0,90.1,9.9,
Australia,8286073.0,1039874.0,88.8,11.2,
Oallen,51.0,85.0,37.5,62.5,13062
Braidwood,609.0,105.0,85.3,14.7,10547
Majors Creek (NSW),98.0,29.0,77.2,22.8,12452
Araluen (NSW),71.0,29.0,71.0,29.0,10070
Reidsdale,43.0,24.0,64.2,35.8,13348
Bombay,39.0,17.0,69.6,30.4,10456
Warri,35.0,5.0,87.5,12.5,14172
Manar,35.0,0.0,100.0,0.0,12462
Mongarlowe,50.0,23.0,68.5,31.5,12678
Karabar,2957.0,284.0,91.2,8.8,12071
Queanbeyan,2639.0,356.0,88.1,11.9,13291
Crestwood,1981.0,232.0,89.5,10.5,11115
Queanbeyan East,1738.0,264.0,86.8,13.2,13292
Greenleigh,223.0,21.0,91.4,8.6,11767
The Ridgeway,61.0,3.0,95.3,4.7,13836
Bungendore,1315.0,103.0,92.7,7.3,10684
Sutton (NSW),457.0,19.0,96.0,4.0,13702
Carwoola,451.0,40.0,91.9,8.1,10841
Hoskinstown,57.0,12.0,82.6,17.4,11944
Captains Flat,233.0,40.0,85.3,14.7,10804
Burra (Queanbeyan-Palerang Regional - NSW),244.0,22.0,91.7,8.3,10697
Mount Fairy,74.0,13.0,85.1,14.9,12758
Mulloon,44.0,12.0,78.6,21.4,12827
Royalla,266.0,18.0,93.7,6.3,13434
Primrose Valley,50.0,17.0,74.6,25.4,13265
Urila,40.0,8.0,83.3,16.7,14059
Tarago,138.0,33.0,80.7,19.3,13758
Currawang,58.0,12.0,82.9,17.1,11177
Googong,782.0,59.0,93.0,7.0,11704
Wamboin,520.0,38.0,93.2,6.8,14123
Bywong,450.0,28.0,94.1,5.9,10735
Michelago,174.0,27.0,86.6,13.4,12598
Jerrabomberra,3011.0,213.0,93.4,6.6,12016
Queanbeyan West,1117.0,125.0,89.9,10.1,13293
Delegate,157.0,56.0,73.7,26.3,11233
Bombala,552.0,114.0,82.9,17.1,10455
Cathcart (NSW),43.0,17.0,71.7,28.3,10855
Cooma (NSW),2688.0,408.0,86.8,13.2,11036
Kosciuszko National Park,126.0,0.0,100.0,0.0,12199
Adaminaby,132.0,78.0,62.9,37.1,10015
Nimmitabel,129.0,36.0,78.2,21.8,12966
Numeralla,86.0,35.0,71.1,28.9,13039
Colinton (NSW),37.0,3.0,92.5,7.5,10968
Dairymans Plains,55.0,7.0,88.7,11.3,11188
Binjura,107.0,17.0,86.3,13.7,10370
Bunyan,62.0,13.0,82.7,17.3,10691
