,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Lower Boro,4.0,9.0,0.0,3.0,7.0,0.0,0.0,3.0,7.0,3.0,18.0,7.4,16.7,0.0,5.6,13.0,0.0,0.0,5.6,13.0,5.6,33.3,12402
New South Wales,132047.0,417465.0,122099.0,67611.0,269249.0,117689.0,79915.0,144103.0,376133.0,63673.0,535266.0,5.7,18.0,5.3,2.9,11.6,5.1,3.4,6.2,16.2,2.7,23.0,
Australia,347621.0,1314787.0,380604.0,231490.0,827505.0,338384.0,280618.0,424869.0,1160626.0,198383.0,1707023.0,4.8,18.2,5.3,3.2,11.5,4.7,3.9,5.9,16.1,2.8,23.7,
Oallen,3.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,34.0,5.9,13.7,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,66.7,13062
Braidwood,28.0,82.0,61.0,4.0,54.0,15.0,5.0,23.0,32.0,11.0,174.0,5.7,16.8,12.5,0.8,11.0,3.1,1.0,4.7,6.5,2.2,35.6,10547
Majors Creek (NSW),10.0,13.0,4.0,0.0,3.0,3.0,0.0,8.0,4.0,3.0,24.0,13.9,18.1,5.6,0.0,4.2,4.2,0.0,11.1,5.6,4.2,33.3,12452
Araluen (NSW),0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,5.9,5.9,0.0,64.7,10070
Reidsdale,3.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,9.0,11.1,0.0,29.6,0.0,14.8,0.0,0.0,0.0,0.0,11.1,33.3,13348
Bombay,3.0,7.0,9.0,0.0,7.0,3.0,0.0,0.0,0.0,3.0,13.0,6.7,15.6,20.0,0.0,15.6,6.7,0.0,0.0,0.0,6.7,28.9,10456
Warri,3.0,7.0,12.0,0.0,7.0,0.0,0.0,3.0,3.0,0.0,8.0,7.0,16.3,27.9,0.0,16.3,0.0,0.0,7.0,7.0,0.0,18.6,14172
Manar,0.0,10.0,0.0,0.0,10.0,0.0,4.0,3.0,5.0,0.0,16.0,0.0,20.8,0.0,0.0,20.8,0.0,8.3,6.2,10.4,0.0,33.3,12462
