,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Lower Boro,39.0,27.0,4.0,3.0,53.4,37.0,5.5,4.1,12402
New South Wales,2134521.0,1071151.0,174654.0,225546.0,59.2,29.7,4.8,6.3,
Australia,6623065.0,3491503.0,569276.0,787452.0,57.7,30.4,5.0,6.9,
Oallen,27.0,9.0,3.0,3.0,64.3,21.4,7.1,7.1,13062
Braidwood,399.0,236.0,46.0,36.0,55.6,32.9,6.4,5.0,10547
Majors Creek (NSW),52.0,42.0,6.0,5.0,49.5,40.0,5.7,4.8,12452
Araluen (NSW),33.0,19.0,9.0,3.0,51.6,29.7,14.1,4.7,10070
Reidsdale,36.0,21.0,10.0,0.0,53.7,31.3,14.9,0.0,13348
Bombay,31.0,12.0,7.0,0.0,62.0,24.0,14.0,0.0,10456
Warri,35.0,20.0,3.0,4.0,56.5,32.3,4.8,6.5,14172
Manar,40.0,24.0,0.0,3.0,59.7,35.8,0.0,4.5,12462
Mongarlowe,24.0,13.0,6.0,3.0,52.2,28.3,13.0,6.5,12678
Karabar,2855.0,1092.0,241.0,208.0,64.9,24.8,5.5,4.7,12071
Queanbeyan,2201.0,798.0,200.0,175.0,65.2,23.7,5.9,5.2,13291
Crestwood,1687.0,590.0,138.0,135.0,66.2,23.1,5.4,5.3,11115
Queanbeyan East,1562.0,502.0,114.0,126.0,67.8,21.8,4.9,5.5,13292
Greenleigh,261.0,108.0,12.0,14.0,66.1,27.3,3.0,3.5,11767
The Ridgeway,53.0,33.0,9.0,5.0,53.0,33.0,9.0,5.0,13836
Bungendore,1535.0,562.0,156.0,68.0,66.1,24.2,6.7,2.9,10684
Sutton (NSW),489.0,226.0,45.0,30.0,61.9,28.6,5.7,3.8,13702
Carwoola,514.0,196.0,33.0,22.0,67.2,25.6,4.3,2.9,10841
Hoskinstown,70.0,27.0,3.0,3.0,68.0,26.2,2.9,2.9,11944
Captains Flat,211.0,55.0,21.0,20.0,68.7,17.9,6.8,6.5,10804
Burra (Queanbeyan-Palerang Regional - NSW),275.0,93.0,24.0,7.0,68.9,23.3,6.0,1.8,10697
Mount Fairy,63.0,36.0,3.0,3.0,60.0,34.3,2.9,2.9,12758
Mulloon,41.0,24.0,3.0,3.0,57.7,33.8,4.2,4.2,12827
Royalla,356.0,148.0,29.0,13.0,65.2,27.1,5.3,2.4,13434
Primrose Valley,50.0,15.0,6.0,4.0,66.7,20.0,8.0,5.3,13265
Urila,35.0,16.0,10.0,3.0,54.7,25.0,15.6,4.7,14059
Tarago,145.0,55.0,17.0,5.0,65.3,24.8,7.7,2.3,13758
Currawang,52.0,24.0,10.0,4.0,57.8,26.7,11.1,4.4,11177
Googong,1050.0,332.0,103.0,32.0,69.2,21.9,6.8,2.1,11704
Wamboin,581.0,252.0,51.0,26.0,63.8,27.7,5.6,2.9,14123
Bywong,438.0,218.0,49.0,17.0,60.7,30.2,6.8,2.4,10735
Michelago,208.0,70.0,24.0,7.0,67.3,22.7,7.8,2.3,12598
Jerrabomberra,3781.0,1441.0,253.0,186.0,66.8,25.5,4.5,3.3,12016
Queanbeyan West,1192.0,372.0,99.0,67.0,68.9,21.5,5.7,3.9,13293
Delegate,92.0,56.0,14.0,14.0,52.3,31.8,8.0,8.0,11233
Bombala,395.0,191.0,33.0,22.0,61.6,29.8,5.1,3.4,10455
Cathcart (NSW),27.0,12.0,4.0,0.0,62.8,27.9,9.3,0.0,10855
Cooma (NSW),1693.0,1007.0,163.0,144.0,56.3,33.5,5.4,4.8,11036
Kosciuszko National Park,254.0,55.0,11.0,4.0,78.4,17.0,3.4,1.2,12199
Adaminaby,87.0,44.0,8.0,6.0,60.0,30.3,5.5,4.1,10015
Nimmitabel,65.0,47.0,8.0,6.0,51.6,37.3,6.3,4.8,12966
Numeralla,65.0,37.0,4.0,5.0,58.6,33.3,3.6,4.5,13039
Colinton (NSW),38.0,26.0,10.0,0.0,51.4,35.1,13.5,0.0,10968
Dairymans Plains,55.0,27.0,3.0,0.0,64.7,31.8,3.5,0.0,11188
Binjura,83.0,50.0,10.0,9.0,54.6,32.9,6.6,5.9,10370
Bunyan,47.0,29.0,10.0,3.0,52.8,32.6,11.2,3.4,10691
Bredbo,118.0,49.0,9.0,14.0,62.1,25.8,4.7,7.4,10559
Berridale,333.0,192.0,58.0,13.0,55.9,32.2,9.7,2.2,10316
Kalkite,78.0,30.0,4.0,0.0,69.6,26.8,3.6,0.0,12052
Crackenback,79.0,29.0,3.0,3.0,69.3,25.4,2.6,2.6,11103
Jindabyne,1078.0,468.0,79.0,31.0,65.1,28.3,4.8,1.9,12030
East Jindabyne,256.0,120.0,19.0,10.0,63.2,29.6,4.7,2.5,11352
Dalgety,56.0,41.0,7.0,0.0,53.8,39.4,6.7,0.0,11190
Moonbah,206.0,85.0,13.0,4.0,66.9,27.6,4.2,1.3,12698
Catalina,363.0,334.0,44.0,72.0,44.6,41.1,5.4,8.9,10853
Batemans Bay,192.0,190.0,32.0,64.0,40.2,39.7,6.7,13.4,10229
Nelligen,78.0,72.0,4.0,12.0,47.0,43.4,2.4,7.2,12920
Long Beach,290.0,240.0,32.0,22.0,49.7,41.1,5.5,3.8,12376
Benandarah,23.0,17.0,0.0,3.0,53.5,39.5,0.0,7.0,10287
North Batemans Bay,115.0,87.0,14.0,20.0,48.7,36.9,5.9,8.5,12982
Surfside,242.0,182.0,30.0,40.0,49.0,36.8,6.1,8.1,13698
Maloneys Beach,69.0,54.0,10.0,6.0,49.6,38.8,7.2,4.3,12460
Lilli Pilli (Eurobodalla - NSW),113.0,111.0,12.0,13.0,45.4,44.6,4.8,5.2,12321
Malua Bay,406.0,288.0,44.0,49.0,51.6,36.6,5.6,6.2,12461
Surf Beach (NSW),308.0,278.0,41.0,62.0,44.7,40.3,6.0,9.0,13697
Denhams Beach,67.0,90.0,15.0,21.0,34.7,46.6,7.8,10.9,11236
Sunshine Bay,206.0,159.0,31.0,50.0,46.2,35.7,7.0,11.2,13695
Rosedale (NSW),49.0,31.0,4.0,4.0,55.7,35.2,4.5,4.5,13407
Batehaven,284.0,267.0,36.0,73.0,43.0,40.5,5.5,11.1,10228
Bega,1026.0,710.0,117.0,121.0,52.0,36.0,5.9,6.1,10253
Tathra,393.0,254.0,55.0,22.0,54.3,35.1,7.6,3.0,13774
Kalaru,157.0,121.0,18.0,14.0,50.6,39.0,5.8,4.5,12051
Wallagoot,136.0,85.0,14.0,8.0,56.0,35.0,5.8,3.3,14103
Bournda,31.0,33.0,0.0,0.0,48.4,51.6,0.0,0.0,10524
Black Range (NSW),36.0,46.0,4.0,0.0,41.9,53.5,4.7,0.0,10388
Tarraganda,100.0,60.0,11.0,7.0,56.2,33.7,6.2,3.9,13768
Kanoona,40.0,24.0,7.0,0.0,56.3,33.8,9.9,0.0,12066
Toothdale,35.0,33.0,4.0,0.0,48.6,45.8,5.6,0.0,13914
Wolumla,166.0,116.0,26.0,13.0,51.7,36.1,8.1,4.0,14362
South Wolumla,36.0,31.0,4.0,7.0,46.2,39.7,5.1,9.0,13602
Wyndham (NSW),75.0,62.0,8.0,15.0,46.9,38.8,5.0,9.4,14443
Kiah,31.0,22.0,5.0,6.0,48.4,34.4,7.8,9.4,12115
Towamba,27.0,22.0,6.0,10.0,41.5,33.8,9.2,15.4,13927
Lochiel (NSW),86.0,68.0,6.0,8.0,51.2,40.5,3.6,4.8,12367
Nethercote,87.0,65.0,10.0,12.0,50.0,37.4,5.7,6.9,12932
Candelo,162.0,125.0,11.0,19.0,51.1,39.4,3.5,6.0,10788
Tantawangalo,34.0,24.0,7.0,0.0,52.3,36.9,10.8,0.0,13753
Bemboka,118.0,92.0,16.0,15.0,49.0,38.2,6.6,6.2,10284
Quaama,58.0,45.0,4.0,6.0,51.3,39.8,3.5,5.3,13285
Cobargo,127.0,128.0,17.0,24.0,42.9,43.2,5.7,8.1,10951
Yowrie,18.0,17.0,6.0,3.0,40.9,38.6,13.6,6.8,14520
