,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Lower Boro,8.0,13.0,5.0,11.0,26.0,12.1,19.7,7.6,16.7,39.4,12402
New South Wales,364637.0,352817.0,353702.0,645428.0,1489099.0,10.8,10.4,10.5,19.1,44.1,
Australia,1218823.0,1079236.0,1193445.0,2031263.0,4591801.0,11.4,10.1,11.2,19.0,43.0,
Oallen,8.0,3.0,0.0,6.0,24.0,18.2,6.8,0.0,13.6,54.5,13062
Braidwood,85.0,68.0,84.0,81.0,323.0,12.3,9.9,12.2,11.7,46.8,10547
Majors Creek (NSW),15.0,16.0,16.0,17.0,35.0,14.0,15.0,15.0,15.9,32.7,12452
Araluen (NSW),5.0,4.0,10.0,3.0,28.0,8.6,6.9,17.2,5.2,48.3,10070
Reidsdale,4.0,10.0,10.0,7.0,25.0,6.0,14.9,14.9,10.4,37.3,13348
Bombay,9.0,3.0,3.0,0.0,30.0,17.3,5.8,5.8,0.0,57.7,10456
Warri,7.0,10.0,6.0,3.0,32.0,11.5,16.4,9.8,4.9,52.5,14172
Manar,13.0,4.0,7.0,13.0,28.0,20.0,6.2,10.8,20.0,43.1,12462
Mongarlowe,6.0,6.0,5.0,7.0,16.0,12.8,12.8,10.6,14.9,34.0,12678
Karabar,366.0,298.0,425.0,1021.0,1835.0,8.7,7.1,10.2,24.4,43.8,12071
Queanbeyan,228.0,230.0,337.0,839.0,1358.0,7.1,7.2,10.6,26.3,42.6,13291
Crestwood,192.0,148.0,246.0,658.0,1030.0,8.0,6.1,10.2,27.2,42.7,11115
Queanbeyan East,135.0,160.0,205.0,591.0,975.0,6.2,7.3,9.4,27.1,44.7,13292
Greenleigh,50.0,23.0,33.0,56.0,209.0,13.0,6.0,8.5,14.5,54.1,11767
The Ridgeway,14.0,10.0,10.0,13.0,39.0,14.6,10.4,10.4,13.5,40.6,13836
Bungendore,205.0,132.0,228.0,421.0,1111.0,9.1,5.8,10.1,18.6,49.1,10684
Sutton (NSW),104.0,60.0,61.0,127.0,360.0,13.6,7.9,8.0,16.6,47.2,13702
Carwoola,66.0,48.0,79.0,137.0,373.0,9.0,6.6,10.8,18.7,51.0,10841
Hoskinstown,10.0,0.0,11.0,18.0,48.0,11.1,0.0,12.2,20.0,53.3,11944
