,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other (includes away from work),Labour force status not stated (by one or both parents in a couple family),"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (includes away from work) (%),Labour force status not stated (by one or both parents in a couple family) (%),SSC_CODE
Lower Boro,8.0,0.0,5.0,6.0,3.0,12.0,4.0,7.0,17.8,0.0,11.1,13.3,6.7,26.7,8.9,15.6,12402
New South Wales,360916.0,63106.0,329567.0,240084.0,96933.0,334742.0,80905.0,90630.0,22.6,4.0,20.6,15.0,6.1,21.0,5.1,5.7,
Australia,1084006.0,203596.0,1086460.0,749886.0,302037.0,1006697.0,264145.0,311381.0,21.6,4.1,21.7,15.0,6.0,20.1,5.3,6.2,
Oallen,0.0,0.0,3.0,7.0,6.0,6.0,0.0,4.0,0.0,0.0,11.5,26.9,23.1,23.1,0.0,15.4,13062
Braidwood,76.0,19.0,58.0,43.0,30.0,72.0,15.0,28.0,22.3,5.6,17.0,12.6,8.8,21.1,4.4,8.2,10547
Majors Creek (NSW),5.0,4.0,8.0,6.0,8.0,20.0,5.0,6.0,8.1,6.5,12.9,9.7,12.9,32.3,8.1,9.7,12452
Araluen (NSW),4.0,0.0,8.0,3.0,3.0,12.0,7.0,4.0,9.8,0.0,19.5,7.3,7.3,29.3,17.1,9.8,10070
Reidsdale,11.0,4.0,6.0,3.0,0.0,9.0,4.0,0.0,29.7,10.8,16.2,8.1,0.0,24.3,10.8,0.0,13348
Bombay,10.0,0.0,4.0,0.0,0.0,9.0,3.0,0.0,38.5,0.0,15.4,0.0,0.0,34.6,11.5,0.0,10456
Warri,4.0,0.0,15.0,3.0,0.0,3.0,0.0,3.0,14.3,0.0,53.6,10.7,0.0,10.7,0.0,10.7,14172
Manar,9.0,3.0,11.0,3.0,0.0,0.0,0.0,3.0,31.0,10.3,37.9,10.3,0.0,0.0,0.0,10.3,12462
Mongarlowe,5.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,22.7,0.0,0.0,0.0,0.0,50.0,13.6,13.6,12678
Karabar,567.0,44.0,356.0,219.0,76.0,255.0,102.0,97.0,33.0,2.6,20.7,12.8,4.4,14.9,5.9,5.7,12071
Queanbeyan,306.0,42.0,234.0,150.0,46.0,176.0,93.0,69.0,27.4,3.8,21.0,13.4,4.1,15.8,8.3,6.2,13291
Crestwood,252.0,25.0,179.0,136.0,42.0,161.0,66.0,52.0,27.6,2.7,19.6,14.9,4.6,17.6,7.2,5.7,11115
Queanbeyan East,257.0,23.0,146.0,125.0,50.0,82.0,51.0,40.0,33.2,3.0,18.9,16.1,6.5,10.6,6.6,5.2,13292
Greenleigh,65.0,3.0,34.0,12.0,10.0,31.0,6.0,21.0,35.7,1.6,18.7,6.6,5.5,17.0,3.3,11.5,11767
The Ridgeway,9.0,3.0,9.0,6.0,0.0,7.0,0.0,3.0,24.3,8.1,24.3,16.2,0.0,18.9,0.0,8.1,13836
Bungendore,377.0,30.0,230.0,112.0,37.0,101.0,87.0,68.0,36.2,2.9,22.1,10.7,3.6,9.7,8.3,6.5,10684
Sutton (NSW),100.0,14.0,80.0,47.0,21.0,51.0,21.0,19.0,28.3,4.0,22.7,13.3,5.9,14.4,5.9,5.4,13702
Carwoola,120.0,13.0,75.0,48.0,25.0,67.0,13.0,19.0,31.6,3.4,19.7,12.6,6.6,17.6,3.4,5.0,10841
Hoskinstown,18.0,4.0,10.0,5.0,0.0,4.0,3.0,3.0,38.3,8.5,21.3,10.6,0.0,8.5,6.4,6.4,11944
Captains Flat,40.0,0.0,24.0,25.0,3.0,18.0,9.0,8.0,31.5,0.0,18.9,19.7,2.4,14.2,7.1,6.3,10804
Burra (Queanbeyan-Palerang Regional - NSW),70.0,5.0,34.0,27.0,12.0,40.0,13.0,10.0,33.2,2.4,16.1,12.8,5.7,19.0,6.2,4.7,10697
Mount Fairy,20.0,8.0,5.0,3.0,4.0,10.0,3.0,0.0,37.7,15.1,9.4,5.7,7.5,18.9,5.7,0.0,12758
Mulloon,9.0,3.0,7.0,0.0,0.0,3.0,3.0,3.0,32.1,10.7,25.0,0.0,0.0,10.7,10.7,10.7,12827
Royalla,78.0,12.0,54.0,40.0,15.0,34.0,16.0,10.0,30.1,4.6,20.8,15.4,5.8,13.1,6.2,3.9,13434
Primrose Valley,11.0,3.0,3.0,6.0,0.0,4.0,4.0,4.0,31.4,8.6,8.6,17.1,0.0,11.4,11.4,11.4,13265
Urila,7.0,0.0,8.0,3.0,0.0,5.0,6.0,3.0,21.9,0.0,25.0,9.4,0.0,15.6,18.8,9.4,14059
Tarago,29.0,3.0,27.0,13.0,5.0,16.0,10.0,7.0,26.4,2.7,24.5,11.8,4.5,14.5,9.1,6.4,13758
Currawang,15.0,0.0,5.0,6.0,0.0,3.0,7.0,6.0,35.7,0.0,11.9,14.3,0.0,7.1,16.7,14.3,11177
Googong,257.0,13.0,157.0,80.0,17.0,56.0,70.0,28.0,37.9,1.9,23.2,11.8,2.5,8.3,10.3,4.1,11704
Wamboin,134.0,9.0,100.0,46.0,22.0,65.0,31.0,32.0,30.5,2.1,22.8,10.5,5.0,14.8,7.1,7.3,14123
Bywong,90.0,16.0,80.0,49.0,18.0,50.0,31.0,20.0,25.4,4.5,22.6,13.8,5.1,14.1,8.8,5.6,10735
Michelago,48.0,3.0,21.0,19.0,3.0,18.0,11.0,7.0,36.9,2.3,16.2,14.6,2.3,13.8,8.5,5.4,12598
Jerrabomberra,884.0,41.0,579.0,285.0,61.0,192.0,139.0,166.0,37.7,1.7,24.7,12.1,2.6,8.2,5.9,7.1,12016
Queanbeyan West,246.0,15.0,121.0,95.0,20.0,74.0,39.0,29.0,38.5,2.3,18.9,14.9,3.1,11.6,6.1,4.5,13293
Delegate,15.0,7.0,16.0,3.0,3.0,14.0,4.0,5.0,22.4,10.4,23.9,4.5,4.5,20.9,6.0,7.5,11233
Bombala,71.0,7.0,74.0,32.0,13.0,67.0,18.0,9.0,24.4,2.4,25.4,11.0,4.5,23.0,6.2,3.1,10455
Cathcart (NSW),3.0,0.0,6.0,4.0,0.0,6.0,3.0,0.0,13.6,0.0,27.3,18.2,0.0,27.3,13.6,0.0,10855
Cooma (NSW),297.0,67.0,258.0,143.0,75.0,311.0,77.0,95.0,22.4,5.1,19.5,10.8,5.7,23.5,5.8,7.2,11036
Kosciuszko National Park,29.0,0.0,12.0,3.0,0.0,5.0,3.0,6.0,50.0,0.0,20.7,5.2,0.0,8.6,5.2,10.3,12199
Adaminaby,17.0,4.0,12.0,12.0,3.0,21.0,0.0,9.0,21.8,5.1,15.4,15.4,3.8,26.9,0.0,11.5,10015
Nimmitabel,8.0,6.0,15.0,6.0,6.0,28.0,0.0,3.0,11.1,8.3,20.8,8.3,8.3,38.9,0.0,4.2,12966
Numeralla,12.0,0.0,17.0,9.0,3.0,11.0,3.0,5.0,20.0,0.0,28.3,15.0,5.0,18.3,5.0,8.3,13039
Colinton (NSW),9.0,3.0,6.0,0.0,3.0,9.0,4.0,3.0,24.3,8.1,16.2,0.0,8.1,24.3,10.8,8.1,10968
Dairymans Plains,16.0,0.0,11.0,3.0,3.0,12.0,3.0,9.0,28.1,0.0,19.3,5.3,5.3,21.1,5.3,15.8,11188
Binjura,19.0,5.0,18.0,7.0,0.0,21.0,4.0,3.0,24.7,6.5,23.4,9.1,0.0,27.3,5.2,3.9,10370
Bunyan,10.0,0.0,9.0,7.0,0.0,12.0,4.0,3.0,22.2,0.0,20.0,15.6,0.0,26.7,8.9,6.7,10691
Bredbo,31.0,4.0,21.0,9.0,0.0,9.0,3.0,4.0,38.3,4.9,25.9,11.1,0.0,11.1,3.7,4.9,10559
Berridale,55.0,16.0,70.0,28.0,15.0,48.0,31.0,10.0,20.1,5.9,25.6,10.3,5.5,17.6,11.4,3.7,10316
Kalkite,23.0,3.0,10.0,3.0,0.0,12.0,4.0,3.0,39.7,5.2,17.2,5.2,0.0,20.7,6.9,5.2,12052
Crackenback,18.0,3.0,5.0,3.0,0.0,3.0,0.0,3.0,51.4,8.6,14.3,8.6,0.0,8.6,0.0,8.6,11103
Jindabyne,186.0,37.0,110.0,24.0,11.0,47.0,19.0,40.0,39.2,7.8,23.2,5.1,2.3,9.9,4.0,8.4,12030
East Jindabyne,46.0,7.0,42.0,10.0,11.0,21.0,6.0,12.0,29.7,4.5,27.1,6.5,7.1,13.5,3.9,7.7,11352
Dalgety,12.0,3.0,8.0,0.0,3.0,8.0,3.0,8.0,26.7,6.7,17.8,0.0,6.7,17.8,6.7,17.8,11190
Moonbah,48.0,6.0,32.0,3.0,8.0,13.0,6.0,12.0,37.5,4.7,25.0,2.3,6.2,10.2,4.7,9.4,12698
Catalina,55.0,28.0,68.0,42.0,41.0,195.0,20.0,28.0,11.5,5.9,14.3,8.8,8.6,40.9,4.2,5.9,10853
Batemans Bay,20.0,7.0,27.0,19.0,18.0,109.0,12.0,20.0,8.6,3.0,11.6,8.2,7.8,47.0,5.2,8.6,10229
Nelligen,9.0,7.0,20.0,14.0,12.0,26.0,3.0,3.0,9.6,7.4,21.3,14.9,12.8,27.7,3.2,3.2,12920
Long Beach,40.0,18.0,70.0,32.0,36.0,145.0,22.0,29.0,10.2,4.6,17.9,8.2,9.2,37.0,5.6,7.4,12376
Benandarah,5.0,0.0,3.0,3.0,3.0,9.0,0.0,0.0,21.7,0.0,13.0,13.0,13.0,39.1,0.0,0.0,10287
North Batemans Bay,22.0,8.0,17.0,12.0,6.0,52.0,10.0,6.0,16.5,6.0,12.8,9.0,4.5,39.1,7.5,4.5,12982
Surfside,36.0,7.0,48.0,25.0,31.0,112.0,8.0,28.0,12.2,2.4,16.3,8.5,10.5,38.0,2.7,9.5,13698
Maloneys Beach,11.0,0.0,18.0,6.0,8.0,43.0,4.0,5.0,11.6,0.0,18.9,6.3,8.4,45.3,4.2,5.3,12460
Lilli Pilli (Eurobodalla - NSW),16.0,7.0,26.0,14.0,19.0,75.0,0.0,6.0,9.8,4.3,16.0,8.6,11.7,46.0,0.0,3.7,12321
Malua Bay,68.0,29.0,64.0,42.0,31.0,178.0,18.0,42.0,14.4,6.1,13.6,8.9,6.6,37.7,3.8,8.9,12461
Surf Beach (NSW),50.0,20.0,58.0,38.0,52.0,156.0,17.0,14.0,12.3,4.9,14.3,9.4,12.8,38.5,4.2,3.5,13697
Denhams Beach,3.0,7.0,18.0,10.0,10.0,55.0,8.0,6.0,2.6,6.0,15.4,8.5,8.5,47.0,6.8,5.1,11236
Sunshine Bay,40.0,16.0,24.0,24.0,11.0,158.0,13.0,12.0,13.4,5.4,8.1,8.1,3.7,53.0,4.4,4.0,13695
Rosedale (NSW),9.0,3.0,8.0,3.0,3.0,24.0,6.0,8.0,14.1,4.7,12.5,4.7,4.7,37.5,9.4,12.5,13407
Batehaven,38.0,25.0,52.0,25.0,29.0,139.0,10.0,21.0,11.2,7.4,15.3,7.4,8.6,41.0,2.9,6.2,10228
Bega,150.0,51.0,190.0,117.0,59.0,244.0,47.0,58.0,16.4,5.6,20.7,12.8,6.4,26.6,5.1,6.3,10253
Tathra,60.0,21.0,71.0,30.0,28.0,129.0,16.0,27.0,15.7,5.5,18.6,7.9,7.3,33.8,4.2,7.1,13774
Kalaru,19.0,7.0,42.0,23.0,16.0,32.0,10.0,16.0,11.5,4.2,25.5,13.9,9.7,19.4,6.1,9.7,12051
Wallagoot,23.0,5.0,32.0,15.0,6.0,22.0,9.0,10.0,18.9,4.1,26.2,12.3,4.9,18.0,7.4,8.2,14103
Bournda,7.0,3.0,11.0,0.0,0.0,3.0,0.0,4.0,25.0,10.7,39.3,0.0,0.0,10.7,0.0,14.3,10524
Black Range (NSW),6.0,8.0,19.0,0.0,0.0,7.0,3.0,4.0,12.8,17.0,40.4,0.0,0.0,14.9,6.4,8.5,10388
Tarraganda,16.0,3.0,22.0,5.0,14.0,19.0,10.0,3.0,17.4,3.3,23.9,5.4,15.2,20.7,10.9,3.3,13768
Kanoona,12.0,3.0,10.0,3.0,3.0,6.0,0.0,6.0,27.9,7.0,23.3,7.0,7.0,14.0,0.0,14.0,12066
Toothdale,10.0,3.0,16.0,3.0,4.0,11.0,3.0,0.0,20.0,6.0,32.0,6.0,8.0,22.0,6.0,0.0,13914
Wolumla,26.0,9.0,29.0,20.0,10.0,37.0,21.0,13.0,15.8,5.5,17.6,12.1,6.1,22.4,12.7,7.9,14362
South Wolumla,6.0,3.0,15.0,8.0,0.0,9.0,7.0,4.0,11.5,5.8,28.8,15.4,0.0,17.3,13.5,7.7,13602
Wyndham (NSW),13.0,11.0,10.0,13.0,12.0,15.0,4.0,3.0,16.0,13.6,12.3,16.0,14.8,18.5,4.9,3.7,14443
Kiah,6.0,0.0,3.0,7.0,6.0,4.0,3.0,0.0,20.7,0.0,10.3,24.1,20.7,13.8,10.3,0.0,12115
Towamba,3.0,3.0,3.0,3.0,7.0,27.0,3.0,3.0,5.8,5.8,5.8,5.8,13.5,51.9,5.8,5.8,13927
Lochiel (NSW),9.0,3.0,29.0,12.0,11.0,29.0,3.0,4.0,9.0,3.0,29.0,12.0,11.0,29.0,3.0,4.0,12367
Nethercote,11.0,10.0,17.0,15.0,3.0,20.0,4.0,6.0,12.8,11.6,19.8,17.4,3.5,23.3,4.7,7.0,12932
Candelo,26.0,15.0,29.0,15.0,18.0,38.0,5.0,11.0,16.6,9.6,18.5,9.6,11.5,24.2,3.2,7.0,10788
Tantawangalo,10.0,6.0,9.0,3.0,3.0,9.0,3.0,3.0,21.7,13.0,19.6,6.5,6.5,19.6,6.5,6.5,13753
Bemboka,17.0,5.0,27.0,17.0,18.0,33.0,6.0,8.0,13.0,3.8,20.6,13.0,13.7,25.2,4.6,6.1,10284
Quaama,7.0,8.0,9.0,4.0,11.0,26.0,0.0,3.0,10.3,11.8,13.2,5.9,16.2,38.2,0.0,4.4,13285
Cobargo,22.0,20.0,24.0,12.0,15.0,56.0,5.0,12.0,13.3,12.0,14.5,7.2,9.0,33.7,3.0,7.2,10951
Yowrie,0.0,0.0,6.0,5.0,3.0,11.0,3.0,0.0,0.0,0.0,21.4,17.9,10.7,39.3,10.7,0.0,14520
Wandella (NSW),3.0,3.0,8.0,4.0,6.0,13.0,0.0,3.0,7.5,7.5,20.0,10.0,15.0,32.5,0.0,7.5,14128
Angledale,12.0,0.0,10.0,3.0,3.0,11.0,5.0,0.0,27.3,0.0,22.7,6.8,6.8,25.0,11.4,0.0,10056
Verona,10.0,3.0,16.0,11.0,4.0,24.0,3.0,10.0,12.3,3.7,19.8,13.6,4.9,29.6,3.7,12.3,14073
Tanja,0.0,4.0,9.0,8.0,3.0,12.0,3.0,6.0,0.0,8.9,20.0,17.8,6.7,26.7,6.7,13.3,13749
Coolagolite,9.0,6.0,9.0,3.0,6.0,27.0,6.0,8.0,12.2,8.1,12.2,4.1,8.1,36.5,8.1,10.8,11023
Brogo,6.0,9.0,24.0,19.0,14.0,25.0,8.0,16.0,5.0,7.4,19.8,15.7,11.6,20.7,6.6,13.2,10589
Coopers Gully,13.0,3.0,8.0,3.0,0.0,5.0,3.0,8.0,30.2,7.0,18.6,7.0,0.0,11.6,7.0,18.6,11048
Stony Creek (Bega Valley - NSW),13.0,0.0,8.0,3.0,5.0,3.0,3.0,7.0,31.0,0.0,19.0,7.1,11.9,7.1,7.1,16.7,13668
Numbugga,6.0,6.0,0.0,3.0,7.0,9.0,0.0,8.0,15.4,15.4,0.0,7.7,17.9,23.1,0.0,20.5,13038
Buckajo,16.0,5.0,19.0,6.0,0.0,16.0,3.0,7.0,22.2,6.9,26.4,8.3,0.0,22.2,4.2,9.7,10629
Kameruka,3.0,0.0,7.0,7.0,3.0,7.0,0.0,4.0,9.7,0.0,22.6,22.6,9.7,22.6,0.0,12.9,12054
Greigs Flat,3.0,0.0,6.0,6.0,4.0,14.0,4.0,3.0,7.5,0.0,15.0,15.0,10.0,35.0,10.0,7.5,11775
Broulee,47.0,16.0,78.0,33.0,18.0,123.0,11.0,25.0,13.4,4.6,22.2,9.4,5.1,35.0,3.1,7.1,10608
Tomakin,26.0,14.0,41.0,24.0,13.0,99.0,3.0,14.0,11.1,6.0,17.5,10.3,5.6,42.3,1.3,6.0,13890
Mossy Point,27.0,11.0,32.0,12.0,9.0,40.0,6.0,14.0,17.9,7.3,21.2,7.9,6.0,26.5,4.0,9.3,12741
Bodalla,32.0,13.0,33.0,14.0,14.0,60.0,3.0,9.0,18.0,7.3,18.5,7.9,7.9,33.7,1.7,5.1,10434
Narooma,59.0,45.0,86.0,43.0,50.0,235.0,17.0,30.0,10.4,8.0,15.2,7.6,8.8,41.6,3.0,5.3,12900
Eden,77.0,28.0,127.0,71.0,52.0,191.0,34.0,42.0,12.4,4.5,20.4,11.4,8.4,30.7,5.5,6.8,11375
South Durras,13.0,10.0,12.0,7.0,7.0,18.0,3.0,6.0,17.1,13.2,15.8,9.2,9.2,23.7,3.9,7.9,13580
Mogo (Eurobodalla - NSW),10.0,4.0,11.0,13.0,6.0,16.0,0.0,3.0,15.9,6.3,17.5,20.6,9.5,25.4,0.0,4.8,12660
Jeremadra,3.0,8.0,8.0,5.0,5.0,9.0,3.0,0.0,7.3,19.5,19.5,12.2,12.2,22.0,7.3,0.0,12012
Mogendoura,5.0,3.0,8.0,5.0,0.0,18.0,0.0,0.0,12.8,7.7,20.5,12.8,0.0,46.2,0.0,0.0,12657
Turlinjah,4.0,6.0,10.0,3.0,3.0,5.0,0.0,3.0,11.8,17.6,29.4,8.8,8.8,14.7,0.0,8.8,13975
Potato Point,3.0,3.0,4.0,5.0,3.0,20.0,0.0,0.0,7.9,7.9,10.5,13.2,7.9,52.6,0.0,0.0,13253
Kianga (NSW),15.0,13.0,28.0,8.0,17.0,91.0,15.0,9.0,7.7,6.6,14.3,4.1,8.7,46.4,7.7,4.6,12119
Tuross Head,48.0,28.0,57.0,52.0,42.0,327.0,15.0,38.0,7.9,4.6,9.4,8.6,6.9,53.9,2.5,6.3,13979
Pambula Beach,19.0,10.0,37.0,8.0,9.0,61.0,8.0,9.0,11.8,6.2,23.0,5.0,5.6,37.9,5.0,5.6,13141
Merimbula,109.0,47.0,125.0,57.0,61.0,251.0,41.0,39.0,14.9,6.4,17.1,7.8,8.4,34.4,5.6,5.3,12575
Tura Beach,91.0,33.0,128.0,59.0,55.0,394.0,36.0,46.0,10.8,3.9,15.2,7.0,6.5,46.8,4.3,5.5,13973
South Pambula,13.0,10.0,32.0,13.0,9.0,24.0,4.0,9.0,11.4,8.8,28.1,11.4,7.9,21.1,3.5,7.9,13595
Pambula,29.0,14.0,42.0,15.0,19.0,47.0,5.0,20.0,15.2,7.3,22.0,7.9,9.9,24.6,2.6,10.5,13140
Broadwater (Bega Valley - NSW),8.0,3.0,4.0,5.0,0.0,7.0,0.0,5.0,25.0,9.4,12.5,15.6,0.0,21.9,0.0,15.6,10579
Bald Hills (NSW),11.0,3.0,15.0,5.0,3.0,13.0,7.0,3.0,18.3,5.0,25.0,8.3,5.0,21.7,11.7,5.0,10147
Millingandi,18.0,13.0,18.0,0.0,7.0,58.0,4.0,11.0,14.0,10.1,14.0,0.0,5.4,45.0,3.1,8.5,12622
Mirador,18.0,3.0,17.0,11.0,5.0,35.0,7.0,10.0,17.0,2.8,16.0,10.4,4.7,33.0,6.6,9.4,12644
Berrambool,14.0,6.0,16.0,10.0,11.0,29.0,4.0,7.0,14.4,6.2,16.5,10.3,11.3,29.9,4.1,7.2,10312
Moruya,126.0,35.0,146.0,75.0,85.0,304.0,55.0,54.0,14.3,4.0,16.6,8.5,9.7,34.5,6.2,6.1,12734
Moruya Heads,23.0,17.0,44.0,20.0,26.0,78.0,15.0,16.0,9.6,7.1,18.4,8.4,10.9,32.6,6.3,6.7,12735
Bergalia,11.0,4.0,12.0,0.0,4.0,13.0,3.0,3.0,22.0,8.0,24.0,0.0,8.0,26.0,6.0,6.0,10302
Congo,3.0,3.0,9.0,3.0,3.0,14.0,4.0,10.0,6.1,6.1,18.4,6.1,6.1,28.6,8.2,20.4,11008
Bingie,3.0,3.0,3.0,9.0,5.0,22.0,3.0,0.0,6.2,6.2,6.2,18.8,10.4,45.8,6.2,0.0,10367
Bermagui,37.0,25.0,47.0,27.0,37.0,152.0,11.0,31.0,10.1,6.8,12.8,7.4,10.1,41.4,3.0,8.4,10307
Dalmeny,39.0,28.0,59.0,27.0,31.0,201.0,11.0,32.0,9.1,6.5,13.8,6.3,7.2,47.0,2.6,7.5,11191
Wallaga Lake,12.0,9.0,22.0,4.0,7.0,80.0,8.0,6.0,8.1,6.1,14.9,2.7,4.7,54.1,5.4,4.1,14102
Central Tilba,15.0,7.0,10.0,8.0,8.0,18.0,4.0,0.0,21.4,10.0,14.3,11.4,11.4,25.7,5.7,0.0,10877
North Narooma,17.0,6.0,20.0,7.0,13.0,78.0,7.0,11.0,10.7,3.8,12.6,4.4,8.2,49.1,4.4,6.9,12998
Akolele,5.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,25.0,0.0,15.0,0.0,0.0,60.0,0.0,0.0,10023
Mystery Bay,5.0,5.0,3.0,7.0,0.0,24.0,0.0,3.0,10.6,10.6,6.4,14.9,0.0,51.1,0.0,6.4,12883
