,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Lower Boro,24.0,11.0,9.0,5.0,49.0,22.4,18.4,10.2,12402
New South Wales,709524.0,887358.0,310906.0,32438.0,36.6,45.7,16.0,1.7,
Australia,2291987.0,2716224.0,959543.0,102559.0,37.8,44.7,15.8,1.7,
Oallen,16.0,12.0,3.0,0.0,51.6,38.7,9.7,0.0,13062
Braidwood,187.0,164.0,71.0,5.0,43.8,38.4,16.6,1.2,10547
Majors Creek (NSW),33.0,22.0,7.0,0.0,53.2,35.5,11.3,0.0,12452
Araluen (NSW),25.0,10.0,8.0,0.0,58.1,23.3,18.6,0.0,10070
Reidsdale,17.0,11.0,3.0,0.0,54.8,35.5,9.7,0.0,13348
Bombay,9.0,16.0,3.0,0.0,32.1,57.1,10.7,0.0,10456
Warri,13.0,16.0,0.0,0.0,44.8,55.2,0.0,0.0,14172
Manar,19.0,10.0,0.0,0.0,65.5,34.5,0.0,0.0,12462
Mongarlowe,16.0,8.0,7.0,0.0,51.6,25.8,22.6,0.0,12678
Karabar,723.0,1005.0,469.0,42.0,32.3,44.9,20.9,1.9,12071
Queanbeyan,601.0,521.0,289.0,45.0,41.3,35.8,19.8,3.1,13291
Crestwood,465.0,445.0,209.0,13.0,41.1,39.3,18.5,1.1,11115
Queanbeyan East,372.0,401.0,168.0,14.0,39.0,42.0,17.6,1.5,13292
Greenleigh,79.0,106.0,11.0,0.0,40.3,54.1,5.6,0.0,11767
The Ridgeway,27.0,21.0,4.0,0.0,51.9,40.4,7.7,0.0,13836
Bungendore,413.0,631.0,102.0,9.0,35.8,54.6,8.8,0.8,10684
Sutton (NSW),155.0,195.0,31.0,3.0,40.4,50.8,8.1,0.8,13702
Carwoola,192.0,192.0,23.0,3.0,46.8,46.8,5.6,0.7,10841
Hoskinstown,19.0,27.0,4.0,0.0,38.0,54.0,8.0,0.0,11944
Captains Flat,63.0,64.0,23.0,0.0,42.0,42.7,15.3,0.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),104.0,101.0,15.0,3.0,46.6,45.3,6.7,1.3,10697
Mount Fairy,32.0,23.0,8.0,0.0,50.8,36.5,12.7,0.0,12758
Mulloon,22.0,11.0,4.0,0.0,59.5,29.7,10.8,0.0,12827
Royalla,92.0,159.0,16.0,0.0,34.5,59.6,6.0,0.0,13434
Primrose Valley,13.0,21.0,4.0,0.0,34.2,55.3,10.5,0.0,13265
Urila,16.0,15.0,0.0,0.0,51.6,48.4,0.0,0.0,14059
Tarago,54.0,48.0,14.0,3.0,45.4,40.3,11.8,2.5,13758
Currawang,21.0,24.0,3.0,0.0,43.8,50.0,6.2,0.0,11177
Googong,241.0,442.0,55.0,3.0,32.5,59.6,7.4,0.4,11704
Wamboin,183.0,253.0,28.0,0.0,39.4,54.5,6.0,0.0,14123
Bywong,178.0,177.0,32.0,0.0,46.0,45.7,8.3,0.0,10735
Michelago,50.0,81.0,4.0,0.0,37.0,60.0,3.0,0.0,12598
Jerrabomberra,740.0,1611.0,278.0,13.0,28.0,61.0,10.5,0.5,12016
Queanbeyan West,256.0,385.0,170.0,14.0,31.0,46.7,20.6,1.7,13293
Delegate,41.0,28.0,12.0,0.0,50.6,34.6,14.8,0.0,11233
Bombala,157.0,142.0,51.0,8.0,43.9,39.7,14.2,2.2,10455
Cathcart (NSW),16.0,11.0,3.0,0.0,53.3,36.7,10.0,0.0,10855
Cooma (NSW),756.0,566.0,339.0,20.0,45.0,33.7,20.2,1.2,11036
Kosciuszko National Park,37.0,22.0,4.0,0.0,58.7,34.9,6.3,0.0,12199
Adaminaby,55.0,22.0,8.0,0.0,64.7,25.9,9.4,0.0,10015
Nimmitabel,49.0,27.0,12.0,0.0,55.7,30.7,13.6,0.0,12966
Numeralla,31.0,27.0,8.0,0.0,47.0,40.9,12.1,0.0,13039
Colinton (NSW),22.0,14.0,0.0,0.0,61.1,38.9,0.0,0.0,10968
Dairymans Plains,22.0,28.0,0.0,0.0,44.0,56.0,0.0,0.0,11188
