,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Lower Boro,48.0,20.0,4.0,66.7,27.8,5.6,12402
New South Wales,1874524.0,620778.0,109004.0,72.0,23.8,4.2,
Australia,5907625.0,2023542.0,354917.0,71.3,24.4,4.3,
Oallen,32.0,20.0,0.0,61.5,38.5,0.0,13062
Braidwood,414.0,186.0,13.0,67.5,30.3,2.1,10547
Majors Creek (NSW),70.0,29.0,0.0,70.7,29.3,0.0,12452
Araluen (NSW),38.0,28.0,0.0,57.6,42.4,0.0,10070
Reidsdale,34.0,7.0,0.0,82.9,17.1,0.0,13348
Bombay,30.0,10.0,0.0,75.0,25.0,0.0,10456
Warri,25.0,15.0,0.0,62.5,37.5,0.0,14172
Manar,28.0,3.0,0.0,90.3,9.7,0.0,12462
Mongarlowe,34.0,17.0,0.0,66.7,33.3,0.0,12678
Karabar,2175.0,713.0,78.0,73.3,24.0,2.6,12071
Queanbeyan,1421.0,1110.0,103.0,53.9,42.1,3.9,13291
Crestwood,1102.0,821.0,67.0,55.4,41.3,3.4,11115
Queanbeyan East,931.0,758.0,63.0,53.1,43.3,3.6,13292
Greenleigh,199.0,20.0,0.0,90.9,9.1,0.0,11767
The Ridgeway,47.0,9.0,4.0,78.3,15.0,6.7,13836
Bungendore,1135.0,164.0,21.0,86.0,12.4,1.6,10684
Sutton (NSW),376.0,82.0,0.0,82.1,17.9,0.0,13702
Carwoola,395.0,54.0,8.0,86.4,11.8,1.8,10841
Hoskinstown,52.0,12.0,0.0,81.2,18.8,0.0,11944
Captains Flat,151.0,79.0,8.0,63.4,33.2,3.4,10804
Burra (Queanbeyan-Palerang Regional - NSW),214.0,28.0,3.0,87.3,11.4,1.2,10697
Mount Fairy,60.0,15.0,0.0,80.0,20.0,0.0,12758
Mulloon,37.0,7.0,0.0,84.1,15.9,0.0,12827
Royalla,257.0,15.0,0.0,94.5,5.5,0.0,13434
Primrose Valley,42.0,13.0,0.0,76.4,23.6,0.0,13265
Urila,29.0,7.0,3.0,74.4,17.9,7.7,14059
Tarago,115.0,24.0,0.0,82.7,17.3,0.0,13758
Currawang,46.0,11.0,0.0,80.7,19.3,0.0,11177
Googong,712.0,62.0,8.0,91.0,7.9,1.0,11704
Wamboin,452.0,63.0,3.0,87.3,12.2,0.6,14123
Bywong,378.0,68.0,4.0,84.0,15.1,0.9,10735
Michelago,139.0,35.0,3.0,78.5,19.8,1.7,12598
Jerrabomberra,2594.0,388.0,35.0,86.0,12.9,1.2,12016
Queanbeyan West,798.0,291.0,37.0,70.9,25.8,3.3,13293
Delegate,89.0,63.0,7.0,56.0,39.6,4.4,11233
Bombala,350.0,182.0,14.0,64.1,33.3,2.6,10455
Cathcart (NSW),32.0,7.0,0.0,82.1,17.9,0.0,10855
Cooma (NSW),1673.0,938.0,78.0,62.2,34.9,2.9,11036
Kosciuszko National Park,57.0,62.0,3.0,46.7,50.8,2.5,12199
Adaminaby,82.0,55.0,0.0,59.9,40.1,0.0,10015
Nimmitabel,82.0,47.0,0.0,63.6,36.4,0.0,12966
Numeralla,66.0,19.0,0.0,77.6,22.4,0.0,13039
Colinton (NSW),36.0,7.0,3.0,78.3,15.2,6.5,10968
Dairymans Plains,44.0,11.0,0.0,80.0,20.0,0.0,11188
Binjura,85.0,23.0,3.0,76.6,20.7,2.7,10370
Bunyan,40.0,21.0,0.0,65.6,34.4,0.0,10691
Bredbo,88.0,16.0,0.0,84.6,15.4,0.0,10559
Berridale,300.0,148.0,12.0,65.2,32.2,2.6,10316
Kalkite,61.0,12.0,4.0,79.2,15.6,5.2,12052
Crackenback,39.0,14.0,3.0,69.6,25.0,5.4,11103
Jindabyne,558.0,263.0,92.0,61.1,28.8,10.1,12030
East Jindabyne,179.0,47.0,6.0,77.2,20.3,2.6,11352
Dalgety,56.0,28.0,3.0,64.4,32.2,3.4,11190
Moonbah,144.0,40.0,5.0,76.2,21.2,2.6,12698
Catalina,598.0,285.0,19.0,66.3,31.6,2.1,10853
Batemans Bay,321.0,332.0,24.0,47.4,49.0,3.5,10229
Nelligen,104.0,35.0,0.0,74.8,25.2,0.0,12920
Long Beach,435.0,100.0,9.0,80.0,18.4,1.7,12376
Benandarah,32.0,26.0,0.0,55.2,44.8,0.0,10287
North Batemans Bay,147.0,75.0,6.0,64.5,32.9,2.6,12982
Surfside,375.0,139.0,22.0,70.0,25.9,4.1,13698
Maloneys Beach,113.0,36.0,0.0,75.8,24.2,0.0,12460
Lilli Pilli (Eurobodalla - NSW),187.0,48.0,0.0,79.6,20.4,0.0,12321
Malua Bay,543.0,169.0,19.0,74.3,23.1,2.6,12461
Surf Beach (NSW),508.0,257.0,19.0,64.8,32.8,2.4,13697
Denhams Beach,139.0,51.0,10.0,69.5,25.5,5.0,11236
Sunshine Bay,369.0,147.0,14.0,69.6,27.7,2.6,13695
Rosedale (NSW),67.0,21.0,0.0,76.1,23.9,0.0,13407
Batehaven,443.0,267.0,22.0,60.5,36.5,3.0,10228
Bega,1185.0,586.0,44.0,65.3,32.3,2.4,10253
Tathra,437.0,254.0,18.0,61.6,35.8,2.5,13774
Kalaru,178.0,70.0,0.0,71.8,28.2,0.0,12051
Wallagoot,143.0,37.0,0.0,79.4,20.6,0.0,14103
Bournda,33.0,18.0,4.0,60.0,32.7,7.3,10524
Black Range (NSW),51.0,9.0,0.0,85.0,15.0,0.0,10388
Tarraganda,93.0,33.0,3.0,72.1,25.6,2.3,13768
Kanoona,39.0,0.0,0.0,100.0,0.0,0.0,12066
Toothdale,52.0,6.0,0.0,89.7,10.3,0.0,13914
Wolumla,196.0,51.0,14.0,75.1,19.5,5.4,14362
South Wolumla,48.0,8.0,0.0,85.7,14.3,0.0,13602
Wyndham (NSW),100.0,45.0,0.0,69.0,31.0,0.0,14443
Kiah,38.0,25.0,3.0,57.6,37.9,4.5,12115
Towamba,59.0,30.0,8.0,60.8,30.9,8.2,13927
Lochiel (NSW),102.0,22.0,6.0,78.5,16.9,4.6,12367
Nethercote,106.0,11.0,3.0,88.3,9.2,2.5,12932
Candelo,188.0,76.0,3.0,70.4,28.5,1.1,10788
Tantawangalo,40.0,8.0,0.0,83.3,16.7,0.0,13753
Bemboka,153.0,80.0,9.0,63.2,33.1,3.7,10284
Quaama,76.0,40.0,4.0,63.3,33.3,3.3,13285
Cobargo,206.0,103.0,9.0,64.8,32.4,2.8,10951
