,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Lower Boro,--,--,32.8,6.2,12402
New South Wales,--,--,19.7,18.7,
Australia,--,--,20.0,16.4,
Oallen,--,--,30.0,16.0,13062
Braidwood,--,--,27.8,9.5,10547
Majors Creek (NSW),--,--,26.1,0.0,12452
Araluen (NSW),--,--,47.5,6.8,10070
Reidsdale,--,--,25.6,11.6,13348
Bombay,--,--,18.2,18.2,10456
Warri,--,--,11.4,42.9,14172
Manar,--,--,12.5,37.5,12462
Mongarlowe,--,--,32.6,0.0,12678
Karabar,--,--,17.1,19.9,12071
Queanbeyan,--,--,19.7,11.4,13291
Crestwood,--,--,18.1,12.7,11115
Queanbeyan East,--,--,19.5,10.9,13292
Greenleigh,--,--,5.4,46.5,11767
The Ridgeway,--,--,5.4,42.9,13836
Bungendore,--,--,8.3,38.4,10684
Sutton (NSW),--,--,10.8,37.2,13702
Carwoola,--,--,6.8,44.8,10841
Hoskinstown,--,--,15.2,34.8,11944
Captains Flat,--,--,21.1,12.2,10804
Burra (Queanbeyan-Palerang Regional - NSW),--,--,9.0,41.0,10697
Mount Fairy,--,--,9.2,18.5,12758
Mulloon,--,--,10.0,26.7,12827
Royalla,--,--,2.1,52.7,13434
Primrose Valley,--,--,14.0,30.0,13265
Urila,--,--,0.0,32.3,14059
Tarago,--,--,12.2,17.9,13758
Currawang,--,--,19.1,31.9,11177
Googong,--,--,3.2,44.6,11704
Wamboin,--,--,5.5,50.1,14123
Bywong,--,--,7.2,40.3,10735
Michelago,--,--,9.7,29.1,12598
Jerrabomberra,--,--,5.3,46.1,12016
Queanbeyan West,--,--,14.6,19.6,13293
Delegate,--,--,42.6,6.2,11233
Bombala,--,--,26.8,5.2,10455
Cathcart (NSW),--,--,18.4,10.5,10855
Cooma (NSW),--,--,29.0,7.3,11036
Kosciuszko National Park,--,--,12.4,7.4,12199
Adaminaby,--,--,37.4,8.9,10015
Nimmitabel,--,--,38.3,7.8,12966
Numeralla,--,--,32.9,5.5,13039
Colinton (NSW),--,--,14.3,25.7,10968
Dairymans Plains,--,--,17.3,25.0,11188
Binjura,--,--,17.0,22.0,10370
Bunyan,--,--,24.6,8.8,10691
Bredbo,--,--,14.0,19.6,10559
Berridale,--,--,28.3,6.7,10316
Kalkite,--,--,20.0,15.4,12052
Crackenback,--,--,23.9,30.4,11103
Jindabyne,--,--,16.1,11.5,12030
East Jindabyne,--,--,14.9,18.8,11352
Dalgety,--,--,26.1,5.8,11190
Moonbah,--,--,12.1,12.7,12698
Catalina,--,--,30.6,3.8,10853
Batemans Bay,--,--,44.6,1.3,10229
Nelligen,--,--,25.6,4.5,12920
Long Beach,--,--,16.6,7.3,12376
Benandarah,--,--,36.7,0.0,10287
North Batemans Bay,--,--,28.4,6.2,12982
Surfside,--,--,29.1,5.1,13698
Maloneys Beach,--,--,24.8,3.8,12460
Lilli Pilli (Eurobodalla - NSW),--,--,19.4,8.8,12321
Malua Bay,--,--,22.2,7.1,12461
Surf Beach (NSW),--,--,29.6,5.1,13697
Denhams Beach,--,--,24.0,8.9,11236
Sunshine Bay,--,--,24.3,3.3,13695
Rosedale (NSW),--,--,21.5,8.9,13407
Batehaven,--,--,33.4,3.9,10228
Bega,--,--,29.3,5.4,10253
Tathra,--,--,24.0,9.8,13774
Kalaru,--,--,19.7,10.6,12051
Wallagoot,--,--,19.4,9.1,14103
Bournda,--,--,30.2,7.0,10524
Black Range (NSW),--,--,26.8,12.5,10388
Tarraganda,--,--,17.8,9.3,13768
Kanoona,--,--,0.0,16.7,12066
Toothdale,--,--,20.0,6.0,13914
Wolumla,--,--,21.1,6.6,14362
South Wolumla,--,--,19.3,12.3,13602
Wyndham (NSW),--,--,39.3,3.7,14443
Kiah,--,--,46.2,0.0,12115
Towamba,--,--,42.2,0.0,13927
Lochiel (NSW),--,--,22.6,10.4,12367
Nethercote,--,--,19.8,0.0,12932
Candelo,--,--,29.8,3.3,10788
Tantawangalo,--,--,19.0,19.0,13753
Bemboka,--,--,34.9,4.7,10284
Quaama,--,--,38.1,3.5,13285
Cobargo,--,--,39.9,1.8,10951
Yowrie,--,--,41.3,8.7,14520
Wandella (NSW),--,--,32.7,9.1,14128
Angledale,--,--,18.8,14.6,10056
Verona,--,--,30.8,0.0,14073
Tanja,--,--,23.1,13.5,13749
Coolagolite,--,--,28.7,3.2,11023
Brogo,--,--,31.5,5.6,10589
Coopers Gully,--,--,14.5,14.5,11048
Stony Creek (Bega Valley - NSW),--,--,26.7,20.0,13668
Numbugga,--,--,28.6,0.0,13038
Buckajo,--,--,18.4,14.3,10629
Kameruka,--,--,26.8,14.6,12054
Greigs Flat,--,--,20.8,10.4,11775
Broulee,--,--,25.9,9.0,10608
Tomakin,--,--,26.3,3.9,13890
Mossy Point,--,--,23.0,11.2,12741
Bodalla,--,--,28.2,4.1,10434
Narooma,--,--,40.0,3.8,12900
Eden,--,--,35.0,2.9,11375
South Durras,--,--,25.2,7.8,13580
Mogo (Eurobodalla - NSW),--,--,26.3,8.1,12660
Jeremadra,--,--,26.2,8.2,12012
Mogendoura,--,--,25.0,8.3,12657
Turlinjah,--,--,19.1,6.4,13975
Potato Point,--,--,23.6,7.3,13253
Kianga (NSW),--,--,32.4,2.8,12119
Tuross Head,--,--,29.1,3.8,13979
Pambula Beach,--,--,19.8,9.1,13141
Merimbula,--,--,30.5,7.0,12575
Tura Beach,--,--,24.2,7.2,13973
South Pambula,--,--,20.4,2.9,13595
Pambula,--,--,38.2,2.4,13140
Broadwater (Bega Valley - NSW),--,--,17.6,8.8,10579
Bald Hills (NSW),--,--,16.5,15.2,10147
Millingandi,--,--,37.3,6.2,12622
Mirador,--,--,13.0,9.8,12644
Berrambool,--,--,29.2,1.7,10312
Moruya,--,--,32.5,4.3,12734
Moruya Heads,--,--,24.3,9.6,12735
Bergalia,--,--,21.1,14.0,10302
Congo,--,--,29.2,0.0,11008
Bingie,--,--,16.9,9.9,10367
Bermagui,--,--,35.2,2.6,10307
Dalmeny,--,--,28.8,4.7,11191
Wallaga Lake,--,--,38.1,3.0,14102
Central Tilba,--,--,28.4,6.4,10877
North Narooma,--,--,21.1,4.0,12998
Akolele,--,--,48.7,0.0,10023
Mystery Bay,--,--,30.1,0.0,12883
Goulburn,--,--,26.3,9.1,11725
Run-o-Waters,--,--,6.5,18.7,13440
Marulan,--,--,26.2,9.1,12513
Windellama,--,--,39.1,7.0,14318
Bigga,--,--,33.3,7.1,10346
Tirrannaville,--,--,16.3,15.1,13883
Lake Bathurst,--,--,22.2,15.9,12239
Quialigo,--,--,26.1,10.1,13297
Laggan,--,--,15.7,12.0,12235
Grabben Gullen,--,--,27.6,13.2,11731
Parkesbourne,--,--,6.7,25.0,13152
Yarra,--,--,14.9,14.9,14468
Crookwell,--,--,29.9,6.3,11123
Bungonia,--,--,19.3,10.1,10685
Collector,--,--,7.9,22.5,10972
Middle Arm,--,--,6.8,23.3,12599
Taralga,--,--,29.2,10.4,13759
Tarlo,--,--,17.2,13.8,13767
Wayo,--,--,20.5,25.0,14204
Kingsdale,--,--,5.4,33.9,12155
Bannister (NSW),--,--,12.5,15.6,10183
Brayton,--,--,30.4,15.2,10554
Greenwich Park,--,--,37.1,8.6,11771
Tallong,--,--,22.7,11.0,13733
Carrick (NSW),--,--,7.1,21.4,10828
Brisbane Grove,--,--,22.5,10.0,10577
Binda,--,--,32.1,13.1,10363
Mummel,--,--,20.6,32.4,12835
Baw Baw (NSW),--,--,15.4,10.3,10234
Boxers Creek,--,--,22.7,9.1,10541
Gundary,--,--,15.5,19.7,11806
Yass,--,--,19.9,13.5,14493
Bookham,--,--,30.0,0.0,10478
Binalong,--,--,24.0,8.0,10362
Jugiong,--,--,17.6,9.5,12044
Galong,--,--,46.8,5.2,11580
Manton (NSW),--,--,10.8,35.5,12481
Yass River,--,--,8.2,40.0,14494
Rye Park,--,--,15.5,4.2,13455
Dalton,--,--,25.0,5.9,11194
Gundaroo,--,--,6.8,39.9,11805
Bowning,--,--,18.8,11.8,10535
Bellmount Forest,--,--,18.4,42.9,10274
Gunning,--,--,20.3,13.1,11813
Lade Vale,--,--,14.6,18.8,12232
Good Hope,--,--,15.9,6.8,11700
Wallaroo (NSW),--,--,10.1,34.4,14112
Murrumbateman,--,--,4.2,46.2,12860
Springrange,--,--,5.1,28.2,13625
Jeir,--,--,0.0,45.6,12004
Marchmont,--,--,4.3,40.6,12487
Nanima,--,--,7.5,45.3,12891
Young,--,--,29.9,5.1,14518
Kingsvale,--,--,19.7,11.5,12161
Burrangong,--,--,31.1,8.1,10706
Wyangala,--,--,26.4,9.7,14434
Wombat,--,--,28.6,8.6,14364
Cunningar,--,--,16.1,14.3,11164
Harden,--,--,31.7,2.7,11851
Boorowa,--,--,29.2,8.4,10503
Murrumburrah,--,--,22.9,14.3,12863
Frogmore,--,--,29.2,8.3,11571
Maimuru,--,--,34.0,8.5,12444
Bendick Murrell,--,--,30.0,6.0,10290
Koorawatha,--,--,33.7,7.2,12192
Monteagle,--,--,26.1,17.4,12683
Murringo,--,--,27.6,6.3,12858
Thuddungra,--,--,12.8,7.7,13853
Bribbaree,--,--,42.9,0.0,10566
Avoca Beach,--,--,14.0,25.2,10114
Copacabana,--,--,14.2,19.7,11056
Killcare Heights,--,--,12.2,20.0,12134
Macmasters Beach,--,--,12.8,22.8,12432
Empire Bay,--,--,19.1,15.7,11415
Wagstaffe,--,--,22.1,20.8,14084
St Huberts Island,--,--,18.0,18.8,13638
Killcare,--,--,17.5,16.9,12133
Bensville,--,--,10.5,21.1,10297
Daleys Point,--,--,32.2,10.6,11189
Pretty Beach (Central Coast - NSW),--,--,16.8,15.9,13261
Hardys Bay,--,--,21.3,18.7,11852
Kincumber South,--,--,49.9,4.7,12142
Somersby,--,--,12.1,21.3,13571
Calga,--,--,13.5,27.0,10752
Woy Woy,--,--,32.1,7.3,14425
Patonga,--,--,33.7,8.4,13160
Mooney Mooney,--,--,10.4,23.6,12704
Kariong,--,--,12.1,16.9,12074
Peats Ridge,--,--,14.3,18.1,13172
Central Mangrove,--,--,27.3,15.6,10876
Mangrove Mountain,--,--,13.9,20.9,12472
Kulnura,--,--,20.2,20.2,12206
Mount White,--,--,31.9,15.3,12803
Wendoree Park,--,--,10.6,21.3,14224
Wisemans Ferry,--,--,26.8,6.1,14344
Gunderman,--,--,23.8,4.8,11808
Spencer,--,--,39.8,3.1,13607
Erina,--,--,33.4,10.9,11433
Green Point (Central Coast - NSW),--,--,21.6,15.5,11753
Matcham,--,--,12.7,44.8,12520
Holgate,--,--,7.0,44.4,11921
Lisarow,--,--,13.4,18.8,12343
Erina Heights,--,--,14.3,30.4,11434
Terrigal,--,--,17.5,22.0,13805
Springfield (Central Coast - NSW),--,--,18.9,14.1,13623
North Gosford,--,--,26.9,9.2,12991
West Gosford,--,--,30.7,5.4,14244
Gosford,--,--,23.8,6.8,11722
East Gosford,--,--,30.6,9.7,11349
Point Frederick,--,--,26.6,16.2,13232
Kincumber,--,--,27.6,11.6,12141
Picketts Valley,--,--,6.0,52.0,13198
Narara,--,--,15.2,14.4,12895
Niagara Park,--,--,19.1,12.2,12961
Mount Elliot (NSW),--,--,7.5,35.0,12757
Point Clare,--,--,22.0,13.6,13231
Tascott,--,--,16.0,17.5,13772
Koolewong,--,--,17.7,15.5,12185
Saratoga,--,--,16.4,19.2,13492
Davistown,--,--,23.6,11.1,11221
Yattalunga (NSW),--,--,18.5,16.7,14496
North Avoca,--,--,12.1,31.0,12980
Umina Beach,--,--,25.0,9.1,14007
Booker Bay,--,--,28.6,7.7,10477
Ettalong Beach,--,--,33.6,4.9,11445
Pearl Beach,--,--,20.4,18.0,13171
Wamberal,--,--,11.7,25.6,14122
Forresters Beach,--,--,17.6,15.7,11549
Tumbi Umbi,--,--,18.9,16.2,13962
Horsfield Bay,--,--,13.1,26.8,11941
Phegans Bay,--,--,14.8,17.8,13192
Woy Woy Bay,--,--,10.3,27.9,14426
Blackwall (NSW),--,--,25.6,11.4,10399
Wyoming,--,--,25.2,8.5,14445
Bateau Bay,--,--,24.2,10.5,10227
Killarney Vale,--,--,23.6,8.2,12131
Blue Haven,--,--,16.5,7.7,10415
San Remo (NSW),--,--,24.3,6.1,13470
Doyalson,--,--,25.3,3.3,11286
Buff Point,--,--,25.0,6.6,10645
Budgewoi,--,--,27.6,6.9,10642
Halekulani,--,--,32.5,5.5,11830
Glenning Valley,--,--,12.3,22.8,11672
Berkeley Vale,--,--,19.6,9.3,10304
Chittaway Point,--,--,15.4,17.1,10912
Chittaway Bay,--,--,17.4,9.8,10911
Kanwal,--,--,26.9,7.2,12067
Wyongah,--,--,16.6,7.5,14448
Tuggerawong,--,--,25.2,10.4,13951
Rocky Point (NSW),--,--,21.7,15.7,13388
Gorokan,--,--,28.9,5.0,11721
Charmhaven,--,--,21.5,6.6,10889
Lake Haven,--,--,34.8,6.5,12247
Jilliby,--,--,9.0,29.8,12027
Yarramalong,--,--,16.7,25.9,14475
Cedar Brush Creek,--,--,23.7,18.4,10867
Wyong Creek,--,--,15.9,22.2,14447
Dooralong,--,--,16.7,18.9,11276
Lake Munmorah,--,--,25.9,7.4,12253
Chain Valley Bay,--,--,28.8,5.1,10880
Kingfisher Shores,--,--,18.6,15.3,12146
Mannering Park,--,--,20.4,7.5,12477
Doyalson North,--,--,45.8,6.3,11287
Ourimbah,--,--,14.0,15.5,13103
Fountaindale,--,--,9.6,33.9,11554
Palm Grove (NSW),--,--,17.9,28.2,13133
Gwandalan,--,--,21.1,7.7,11824
Summerland Point,--,--,22.9,7.0,13690
